# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      55     0.00000     0.00000     0.00000   -3.054258161   -4.755683161   -1.701425000
     1      55    -0.04619     0.00000     0.00000   -3.064854546   -4.782632112   -1.717777566
     1      55    -0.09238     0.00000     0.00000   -3.088472642   -4.850469484   -1.761996842
     1      55    -0.13856     0.00000     0.00000   -3.107867169   -4.877721169   -1.769854000
     1      55    -0.18475     0.00000     0.00000   -3.135112714   -5.033460563   -1.898347849
     1      55    -0.23094     0.00000     0.00000   -3.137577411   -5.026321106   -1.888743694
     1      55    -0.27713     0.00000     0.00000   -3.118470473   -5.009391473   -1.890921000
     1      55     0.00000     0.00000     0.14237   -3.057900141   -4.791425141   -1.733525000
     1      55     0.00000     0.00000     0.11864   -3.058462039   -4.795106533   -1.736644494
     1      55     0.00000     0.00000     0.09491   -3.059006237   -4.801896850   -1.742890613
     1      55     0.00000     0.00000     0.07118   -3.058155276   -4.798159760   -1.740004483
     1      55     0.00000     0.00000     0.04746   -3.056394034   -4.780406448   -1.724012414
     1      55     0.00000     0.00000     0.02373   -3.054806637   -4.761055183   -1.706248546
     1      55     0.00000     0.00000     0.00000   -3.054258161   -4.755683161   -1.701425000
     1      55     0.00000     0.03367     0.00562   -3.060393747   -4.779565506   -1.719171759
     1      55     0.00000     0.06734     0.01123   -3.077335880   -4.843896857   -1.766560977
     1      55     0.00000     0.10101     0.01685   -3.101605336   -4.878042336   -1.776437000
     1      55     0.00000     0.13468     0.02246   -3.126510028   -4.917067635   -1.790557607
     1      55     0.00000     0.16836     0.02808   -3.132974321   -5.007881206   -1.874906885
     1      55     0.00000     0.20203     0.03369   -3.111938063   -5.047287063   -1.935349000
     1      55     0.27713     0.20203    -0.10867   -3.120115575   -4.970848575   -1.850733000
     1      55     0.23094     0.16836    -0.09056   -3.129126905   -4.982522858   -1.853395953
     1      55     0.18475     0.13468    -0.07245   -3.140792015   -5.018378263   -1.877586248
     1      55     0.13856     0.10101    -0.05434   -3.149023355   -5.050791810   -1.901768456
     1      55     0.09238     0.06734    -0.03622   -3.123589824   -4.948789909   -1.825200085
     1      55     0.04619     0.03367    -0.01811   -3.075199416   -4.789061899   -1.713862483
     1      55     0.00000     0.00000     0.00000   -3.054258161   -4.755683161   -1.701425000
     1      55     0.00000     0.03367    -0.01811   -3.064705741   -4.769867824   -1.705162083
     1      55     0.00000     0.06734    -0.03622   -3.094010951   -4.864100538   -1.770089587
     1      55     0.00000     0.10101    -0.05434   -3.135658204   -4.937660671   -1.802002467
     1      55     0.00000     0.13468    -0.07245   -3.178409652   -4.989834597   -1.811424946
     1      55     0.00000     0.16836    -0.09056   -3.166632623   -5.036687397   -1.870054773
     1      55     0.00000     0.20203    -0.10867   -3.149113020   -5.025753020   -1.876640000
     1      55     0.27713     0.20203     0.03369   -3.144508859   -4.972153859   -1.827645000
     1      55     0.23094     0.16836     0.02808   -3.145949144   -4.994936855   -1.848987711
     1      55     0.18475     0.13468     0.02246   -3.135517532   -5.000492013   -1.864974481
     1      55     0.13856     0.10101     0.01685   -3.122273544   -5.035234544   -1.912961000
     1      55     0.09238     0.06734     0.01123   -3.103892771   -4.920182031   -1.816289260
     1      55     0.04619     0.03367     0.00562   -3.070320538   -4.826858364   -1.756537826
     1      55     0.00000     0.00000     0.00000   -3.054258161   -4.755683161   -1.701425000
     1      55    -0.04619     0.00000    -0.02373   -3.065657141   -4.794589161   -1.728932019
     1      55    -0.09238     0.00000    -0.04746   -3.093899452   -4.885650003   -1.791750551
     1      55    -0.13856     0.00000    -0.07118   -3.131212616   -4.988465129   -1.857252513
     1      55    -0.18475     0.00000    -0.09491   -3.170355909   -5.026987695   -1.856631786
     1      55    -0.23094     0.00000    -0.11864   -3.177756790   -5.059342363   -1.881585573
     1      55    -0.27713     0.00000    -0.14237   -3.153417088   -5.047403088   -1.893986000
     1      56     0.00000     0.00000     0.00000   -2.957044439   -4.814141439   -1.857097000
     1      56    -0.04619     0.00000     0.00000   -2.977796531   -4.841103037   -1.863306506
     1      56    -0.09238     0.00000     0.00000   -3.030405375   -4.923517556   -1.893112181
     1      56    -0.13856     0.00000     0.00000   -3.093064415   -4.996782415   -1.903718000
     1      56    -0.18475     0.00000     0.00000   -3.111365542   -4.896059231   -1.784693688
     1      56    -0.23094     0.00000     0.00000   -3.105715832   -4.961840457   -1.856124624
     1      56    -0.27713     0.00000     0.00000   -3.118432993   -5.009076993   -1.890644000
     1      56     0.00000     0.00000     0.14237   -3.013214084   -4.836592084   -1.823378000
     1      56     0.00000     0.00000     0.11864   -3.008282905   -4.832200634   -1.823917729
     1      56     0.00000     0.00000     0.09491   -2.995959525   -4.827820785   -1.831861260
     1      56     0.00000     0.00000     0.07118   -2.980840766   -4.823784074   -1.842943309
     1      56     0.00000     0.00000     0.04746   -2.967572966   -4.818641923   -1.851068957
     1      56     0.00000     0.00000     0.02373   -2.959492518   -4.815050892   -1.855558373
     1      56     0.00000     0.00000     0.00000   -2.957044439   -4.814141439   -1.857097000
     1      56     0.00000     0.03367     0.00562   -2.961738885   -4.818974526   -1.857235642
