# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     215     0.00000     0.00000     0.00000   -1.065328842   -2.359158842   -1.293830000
     1     215     0.00000     0.00000    -0.01872   -1.067984499   -2.361341223   -1.293356724
     1     215     0.00000     0.00000    -0.03743   -1.073174841   -2.366770165   -1.293595324
     1     215     0.00000     0.00000    -0.05615   -1.078349948   -2.374268654   -1.295918706
     1     215     0.00000     0.00000    -0.07487   -1.081192364   -2.375658473   -1.294466109
     1     215     0.00000     0.00000    -0.09359   -1.077028926   -2.368411926   -1.291383000
     1     215     0.00000     0.09456     0.00000   -1.063914516   -2.358029516   -1.294115000
     1     215     0.00000     0.07565     0.00000   -1.064686006   -2.353814418   -1.289128412
     1     215     0.00000     0.05674     0.00000   -1.065104023   -2.356350647   -1.291246624
     1     215     0.00000     0.03783     0.00000   -1.065254749   -2.358469676   -1.293214926
     1     215     0.00000     0.01891     0.00000   -1.065342014   -2.359262530   -1.293920516
     1     215     0.00000     0.00000     0.00000   -1.065328842   -2.359158842   -1.293830000
     1     215     0.03657     0.00092     0.00000   -1.065259804   -2.358606315   -1.293346511
     1     215     0.07315     0.00184     0.00000   -1.065108774   -2.353658592   -1.288549818
     1     215     0.10972     0.00276     0.00000   -1.064488169   -2.347751285   -1.283263116
     1     215     0.14629     0.00367     0.00000   -1.062055704   -2.344273704   -1.282218000
     1     215     0.18287     0.00459     0.00000   -1.056836192   -2.339146480   -1.282310288
     1     215     0.21944     0.00551     0.00000   -1.048479328   -2.328554964   -1.280075636
     1     215     0.25601     0.00643     0.00000   -1.038183006   -2.315061677   -1.276878672
     1     215     0.29258     0.00735     0.00000   -1.027953461   -2.303328461   -1.275375000
     1     215     0.29258    -0.08722     0.09359   -1.038788476   -2.320838476   -1.282050000
     1     215     0.25601    -0.07631     0.08189   -1.042118247   -2.323482413   -1.281364166
     1     215     0.21944    -0.06541     0.07019   -1.047284968   -2.329677746   -1.282392778
     1     215     0.18287    -0.05451     0.05849   -1.053877698   -2.338509989   -1.284632291
     1     215     0.14629    -0.04361     0.04679   -1.059052927   -2.343240342   -1.284187415
