# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     655     0.00000     0.00000     0.00000    0.535811801   -0.100524199   -0.636336000
     1     655     0.00000     0.00000     0.01815    0.529215103   -0.095665608   -0.624880711
     1     655     0.00000     0.00000     0.03631    0.518622675   -0.093582595   -0.612205269
     1     655     0.00000     0.00000     0.05446    0.509419534   -0.097824003   -0.607243536
     1     655     0.00000     0.00000     0.07262    0.502559611   -0.111004145   -0.613563755
     1     655     0.00000     0.00000     0.09077    0.501902064   -0.125404936   -0.627307000
     1     655     0.00000    -0.09657     0.00000    0.534333339    0.002694339   -0.531639000
     1     655     0.00000    -0.07725     0.00000    0.531374338   -0.026026850   -0.557401188
     1     655     0.00000    -0.05794     0.00000    0.530174329   -0.100969182   -0.631143512
     1     655     0.00000    -0.03863     0.00000    0.532534244   -0.098228502   -0.630762746
     1     655     0.00000    -0.01931     0.00000    0.534901745   -0.099023736   -0.633925482
     1     655     0.00000     0.00000     0.00000    0.535811801   -0.100524199   -0.636336000
     1     655     0.01345     0.00000     0.00021    0.534095966   -0.102169404   -0.636265370
     1     655     0.02691     0.00000     0.00043    0.531756151   -0.101560176   -0.633316327
     1     655     0.04036     0.00000     0.00064    0.529909696   -0.097498512   -0.627408208
     1     655     0.05381     0.00000     0.00086    0.528878710   -0.092473971   -0.621352681
     1     655     0.06726     0.00000     0.00107    0.528814550   -0.087859992   -0.616674542
     1     655     0.08072     0.00000     0.00128    0.529461379   -0.088521087   -0.617982466
     1     655     0.09417     0.00000     0.00150    0.529875171   -0.100831130   -0.630706301
     1     655     0.10762     0.00000     0.00171    0.529708331   -0.103520669   -0.633229000
     1     655     0.10762     0.09657    -0.08906    0.519586039   -0.127948961   -0.647535000
     1     655     0.09417     0.08449    -0.07793    0.520342614   -0.118251790   -0.638594404
     1     655     0.08072     0.07242    -0.06680    0.521080521   -0.103947864   -0.625028385
     1     655     0.06726     0.06035    -0.05566    0.520416628   -0.093723876   -0.614140504
     1     655     0.05381     0.04828    -0.04453    0.521186604   -0.103745951   -0.624932556
