# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      29     0.00000     0.00000     0.00000   -4.872719602   -7.019077602   -2.146358000
     1      29     0.00000    -0.04913     0.00000   -4.869592611   -7.022285506   -2.152692895
     1      29     0.00000    -0.09825     0.00000   -4.862250723   -7.033561476   -2.171310753
     1      29     0.00000    -0.14738     0.00000   -4.853670991   -7.029139991   -2.175469000
     1      29     0.00000    -0.19651     0.00000   -4.842317737   -7.023989021   -2.181671284
     1      29     0.00000    -0.24564     0.00000   -4.826762657   -7.036326273   -2.209563616
     1      29     0.00000    -0.29476     0.00000   -4.817853782   -7.039045782   -2.221192000
     1      29     0.20474     0.00000     0.01935   -4.770887352   -6.918016352   -2.147129000
     1      29     0.17061     0.00000     0.01613   -4.777812487   -6.923025024   -2.145212537
     1      29     0.13649     0.00000     0.01290   -4.796718939   -6.941458001   -2.144739062
     1      29     0.10237     0.00000     0.00968   -4.822363114   -6.968152114   -2.145789000
     1      29     0.06825     0.00000     0.00645   -4.847789860   -6.993804403   -2.146014543
     1      29     0.03412     0.00000     0.00323   -4.866066393   -7.012603978   -2.146537585
     1      29     0.00000     0.00000     0.00000   -4.872719602   -7.019077602   -2.146358000
     1      29     0.00000     0.00000     0.02939   -4.876150082   -7.018456840   -2.142306757
     1      29     0.00000     0.00000     0.05878   -4.881046243   -7.012381620   -2.131335377
     1      29     0.00000     0.00000     0.08817   -4.881738164   -7.009337164   -2.127599000
     1      29     0.00000     0.00000     0.11756   -4.876608358   -7.011463948   -2.134855590
     1      29     0.00000     0.00000     0.14694   -4.867467602   -7.026701048   -2.159233445
     1      29     0.00000     0.00000     0.17633   -4.862441836   -7.030277836   -2.167836000
     1      29    -0.20474     0.29476     0.15698   -4.921862720   -7.121615720   -2.199753000
     1      29    -0.17061     0.24564     0.13082   -4.886921484   -7.078793294   -2.191871810
     1      29    -0.13649     0.19651     0.10465   -4.814712651   -7.002819909   -2.188107259
     1      29    -0.10237     0.14738     0.07849   -4.772558711   -6.972200711   -2.199642000
     1      29    -0.06825     0.09825     0.05233   -4.797200127   -6.968508734   -2.171308607
     1      29    -0.03412     0.04913     0.02616   -4.850017657   -7.007144878   -2.157127221
     1      29     0.00000     0.00000     0.00000   -4.872719602   -7.019077602   -2.146358000
     1      29    -0.03412     0.00000     0.02616   -4.866563383   -7.013370986   -2.146807603
     1      29    -0.06825     0.00000     0.05233   -4.848536736   -6.997952395   -2.149415659
     1      29    -0.10237     0.00000     0.07849   -4.820959581   -6.971374581   -2.150415000
     1      29    -0.13649     0.00000     0.10465   -4.789958073   -6.939795656   -2.149837583
     1      29    -0.17061     0.00000     0.13082   -4.765392602   -6.917532726   -2.152140124
     1      29    -0.20474     0.00000     0.15698   -4.755995137   -6.910643137   -2.154648000
     1      29     0.00000     0.29476     0.17633   -4.818183324   -7.034191324   -2.216008000
     1      29     0.00000     0.24564     0.14694   -4.830005691   -7.034248718   -2.204243027
     1      29     0.00000     0.19651     0.11756   -4.850693993   -7.043582958   -2.192888965
     1      29     0.00000     0.14738     0.08817   -4.865216507   -7.049107507   -2.183891000
     1      29     0.00000     0.09825     0.05878   -4.869343582   -7.034074431   -2.164730850
     1      29     0.00000     0.04913     0.02939   -4.871053913   -7.022483849   -2.151429936
     1      29     0.00000     0.00000     0.00000   -4.872719602   -7.019077602   -2.146358000
     1      29    -0.03412    -0.04913    -0.00323   -4.874218965   -7.022704811   -2.148485846
     1      29    -0.06825    -0.09825    -0.00645   -4.884076179   -7.042110980   -2.158034801
     1      29    -0.10237    -0.14738    -0.00968   -4.905538049   -7.066712049   -2.161174000
     1      29    -0.13649    -0.19651    -0.01290   -4.930019600   -7.113088592   -2.183068992
     1      29    -0.17061    -0.24564    -0.01613   -4.946597415   -7.144590285   -2.197992870
     1      29    -0.20474    -0.29476    -0.01935   -4.951601392   -7.159554392   -2.207953000
     1      30     0.00000     0.00000     0.00000   -4.591024145   -6.997732145   -2.406708000
     1      30     0.00000    -0.04913     0.00000   -4.582633308   -6.954622982   -2.371989674
     1      30     0.00000    -0.09825     0.00000   -4.559825576   -6.785402291   -2.225576715
     1      30     0.00000    -0.14738     0.00000   -4.538967966   -6.659466966   -2.120499000
     1      30     0.00000    -0.19651     0.00000   -4.545662909   -6.714926463   -2.169263554
     1      30     0.00000    -0.24564     0.00000   -4.571798968   -6.820061024   -2.248262056
     1      30     0.00000    -0.29476     0.00000   -4.584744014   -6.854832014   -2.270088000
     1      30     0.20474     0.00000     0.01935   -4.610321085   -7.021920085   -2.411599000
     1      30     0.17061     0.00000     0.01613   -4.609668129   -7.013222299   -2.403554171
     1      30     0.13649     0.00000     0.01290   -4.607825235   -6.995743929   -2.387918694
     1      30     0.10237     0.00000     0.00968   -4.604917937   -6.992160937   -2.387243000
     1      30     0.06825     0.00000     0.00645   -4.600737627   -6.980033188   -2.379295561
     1      30     0.03412     0.00000     0.00323   -4.595066755   -6.964265751   -2.369198996
     1      30     0.00000     0.00000     0.00000   -4.591024145   -6.997732145   -2.406708000
     1      30     0.00000     0.00000     0.02939   -4.608354534   -6.954329059   -2.345974525
     1      30     0.00000     0.00000     0.05878   -4.623214959   -7.012712997   -2.389498038
     1      30     0.00000     0.00000     0.08817   -4.624825934   -7.029294934   -2.404469000
     1      30     0.00000     0.00000     0.11756   -4.611487674   -7.006451909   -2.394964235
     1      30     0.00000     0.00000     0.14694   -4.591597574   -6.977736655   -2.386139081
     1      30     0.00000     0.00000     0.17633   -4.581142107   -6.979875107   -2.398733000
     1      30    -0.20474     0.29476     0.15698   -4.567240260   -6.813037260   -2.245797000
     1      30    -0.17061     0.24564     0.13082   -4.558935068   -6.791736893   -2.232801825
     1      30    -0.13649     0.19651     0.10465   -4.536223423   -6.760279991   -2.224056568
     1      30    -0.10237     0.14738     0.07849   -4.548270661   -6.767792661   -2.219522000
     1      30    -0.06825     0.09825     0.05233   -4.580951690   -6.859319710   -2.278368020
     1      30    -0.03412     0.04913     0.02616   -4.590447263   -6.921819357   -2.331372095
     1      30     0.00000     0.00000     0.00000   -4.591024145   -6.997732145   -2.406708000
     1      30    -0.03412     0.00000     0.02616   -4.599570973   -6.946132022   -2.346561049
     1      30    -0.06825     0.00000     0.05233   -4.609827247   -6.980337372   -2.370510125
     1      30    -0.10237     0.00000     0.07849   -4.616972143   -6.999880143   -2.382908000
     1      30    -0.13649     0.00000     0.10465   -4.621120168   -7.004458763   -2.383338596
     1      30    -0.17061     0.00000     0.13082   -4.623117257   -7.024292495   -2.401175238
     1      30    -0.20474     0.00000     0.15698   -4.623720092   -7.034857092   -2.411137000
     1      30     0.00000     0.29476     0.17633   -4.555007147   -6.798112147   -2.243105000
     1      30     0.00000     0.24564     0.14694   -4.527328183   -6.765314194   -2.237986011
     1      30     0.00000     0.19651     0.11756   -4.488531096   -6.663641424   -2.175110328
     1      30     0.00000     0.14738     0.08817   -4.518434184   -6.819904184   -2.301470000
     1      30     0.00000     0.09825     0.05878   -4.580967983   -6.903003045   -2.322035063
     1      30     0.00000     0.04913     0.02939   -4.599407668   -6.933610855   -2.334203186
     1      30     0.00000     0.00000     0.00000   -4.591024145   -6.997732145   -2.406708000
     1      30    -0.03412    -0.04913    -0.00323   -4.584361882   -6.929663623   -2.345301740
     1      30    -0.06825    -0.09825    -0.00645   -4.564171979   -6.761674728   -2.197502749
     1      30    -0.10237    -0.14738    -0.00968   -4.538065072   -6.647138072   -2.109073000
     1      30    -0.13649    -0.19651    -0.01290   -4.531777082   -6.736941497   -2.205164414
     1      30    -0.17061    -0.24564    -0.01613   -4.598752251   -6.840374482   -2.241622231
     1      30    -0.20474    -0.29476    -0.01935   -4.631879460   -6.881909460   -2.250030000
     1      31     0.00000     0.00000     0.00000   -4.570350529   -6.617661529   -2.047311000
     1      31     0.00000    -0.04913     0.00000   -4.564839783   -6.649267913   -2.084428130
     1      31     0.00000    -0.09825     0.00000   -4.548583182   -6.803332039   -2.254748857
     1      31     0.00000    -0.14738     0.00000   -4.516388578   -6.884106578   -2.367718000
     1      31     0.00000    -0.19651     0.00000   -4.500214744   -6.658109876   -2.157895131
     1      31     0.00000    -0.24564     0.00000   -4.489037916   -6.551087562   -2.062049645
     1      31     0.00000    -0.29476     0.00000   -4.483713353   -6.520499353   -2.036786000
     1      31     0.20474     0.00000     0.01935   -4.486052786   -6.541007786   -2.054955000
     1      31     0.17061     0.00000     0.01613   -4.491977526   -6.551504623   -2.059527097
     1      31     0.13649     0.00000     0.01290   -4.507118048   -6.579151828   -2.072033780
     1      31     0.10237     0.00000     0.00968   -4.526722565   -6.600509565   -2.073787000
     1      31     0.06825     0.00000     0.00645   -4.546234968   -6.626083630   -2.079848662
     1      31     0.03412     0.00000     0.00323   -4.562455108   -6.648324033   -2.085868925
     1      31     0.00000     0.00000     0.00000   -4.570350529   -6.617661529   -2.047311000
     1      31     0.00000     0.00000     0.02939   -4.543432277   -6.652561720   -2.109129443
     1      31     0.00000     0.00000     0.05878   -4.507440884   -6.565268046   -2.057827162
     1      31     0.00000     0.00000     0.08817   -4.482812918   -6.522679918   -2.039867000
     1      31     0.00000     0.00000     0.11756   -4.477385922   -6.526549600   -2.049163678
     1      31     0.00000     0.00000     0.14694   -4.484546114   -6.530920730   -2.046374615
     1      31     0.00000     0.00000     0.17633   -4.490256063   -6.510882063   -2.020626000
     1      31    -0.20474     0.29476     0.15698   -4.477838550   -6.510291550   -2.032453000
     1      31    -0.17061     0.24564     0.13082   -4.484769464   -6.544929898   -2.060160434
     1      31    -0.13649     0.19651     0.10465   -4.507528397   -6.624840927   -2.117312529
     1      31    -0.10237     0.14738     0.07849   -4.527458702   -6.704182702   -2.176724000
     1      31    -0.06825     0.09825     0.05233   -4.542459365   -6.707691681   -2.165232316
     1      31    -0.03412     0.04913     0.02616   -4.562024664   -6.685478085   -2.123453421
     1      31     0.00000     0.00000     0.00000   -4.570350529   -6.617661529   -2.047311000
     1      31    -0.03412     0.00000     0.02616   -4.555904793   -6.660669063   -2.104764270
     1      31    -0.06825     0.00000     0.05233   -4.529539675   -6.605629113   -2.076089439
     1      31    -0.10237     0.00000     0.07849   -4.499462656   -6.563378656   -2.063916000
     1      31    -0.13649     0.00000     0.10465   -4.470136327   -6.528574564   -2.058438237
     1      31    -0.17061     0.00000     0.13082   -4.447192007   -6.475253057   -2.028061051
     1      31    -0.20474     0.00000     0.15698   -4.438084598   -6.453370598   -2.015286000
