# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     155     0.00000     0.00000     0.00000   -0.847949724   -2.320717724   -1.472768000
     1     155     0.00000     0.01358     0.00000   -0.847522250   -2.318888892   -1.471366642
     1     155     0.00000     0.02716     0.00000   -0.841238544   -2.312444822   -1.471206278
     1     155     0.00000     0.04074     0.00000   -0.832356422   -2.302851152   -1.470494730
     1     155     0.00000     0.05432     0.00000   -0.822548059   -2.291372981   -1.468824922
     1     155     0.00000     0.06790     0.00000   -0.813334744   -2.279263538   -1.465928795
     1     155     0.00000     0.08148     0.00000   -0.806150576   -2.275095734   -1.468945159
     1     155     0.00000     0.08148     0.02089   -0.807594085   -2.275689693   -1.468095608
     1     155     0.00000     0.08148     0.04177   -0.811975147   -2.278750546   -1.466775399
     1     155     0.00000     0.08148     0.06266   -0.818724255   -2.283363467   -1.464639212
     1     155     0.00000     0.08148     0.08355   -0.827465006   -2.289433139   -1.461968134
     1     155     0.00000     0.08148     0.10443   -0.837292806   -2.296689150   -1.459396344
     1     155     0.00000     0.08148     0.12532   -0.844714217   -2.308035577   -1.463321361
     1     155     0.00000     0.06790     0.12532   -0.840476486   -2.306907055   -1.466430569
     1     155     0.00000     0.05432     0.12532   -0.835264812   -2.305035404   -1.469770592
     1     155     0.00000     0.04074     0.12532   -0.831593408   -2.303662885   -1.472069477
     1     155     0.00000     0.02716     0.12532   -0.829438631   -2.302893762   -1.473455131
     1     155     0.00000     0.01358     0.12532   -0.828355158   -2.302510805   -1.474155647
     1     155     0.00000     0.00000     0.12532   -0.828050500   -2.302414500   -1.474364000
     1     155     0.00000     0.00000     0.10443   -0.830218268   -2.303857358   -1.473639091
     1     155     0.00000     0.00000     0.08355   -0.831314663   -2.302143179   -1.470828516
     1     155     0.00000     0.00000     0.06266   -0.833068114   -2.302258002   -1.469189888
     1     155     0.00000     0.00000     0.04177   -0.836472647   -2.306663321   -1.470190674
     1     155     0.00000     0.00000     0.02089   -0.841899668   -2.313781132   -1.471881465
     1     155     0.00000     0.00000     0.00000   -0.847949724   -2.320717724   -1.472768000
     1     155    -0.06303     0.00000     0.01436   -0.830590364   -2.306389560   -1.475799196
     1     155    -0.12606     0.00000     0.02871   -0.813536536   -2.292758146   -1.479221610
     1     155    -0.18908     0.00000     0.04307   -0.820813756   -2.308419521   -1.487605766
     1     155    -0.25211     0.00000     0.05742   -0.840980199   -2.329163042   -1.488182843
     1     155    -0.31514     0.00000     0.07178   -0.856197971   -2.343994500   -1.487796529
     1     155    -0.37817     0.00000     0.08613   -0.847731032   -2.331796032   -1.484065000
     1     155    -0.37817     0.01358     0.08613   -0.848434558   -2.332707060   -1.484272502
     1     155    -0.37817     0.02716     0.08613   -0.850704775   -2.335621638   -1.484916863
     1     155    -0.37817     0.04074     0.08613   -0.854221385   -2.340266316   -1.486044931
     1     155    -0.37817     0.05432     0.08613   -0.858499110   -2.346260312   -1.487761202
     1     155    -0.37817     0.06790     0.08613   -0.862743986   -2.353081695   -1.490337709
     1     155    -0.37817     0.08148     0.08613   -0.865057763   -2.359361118   -1.494303355
     1     155    -0.31514     0.08148     0.07178   -0.847950538   -2.343069865   -1.495119327
     1     155    -0.25211     0.08148     0.05742   -0.830459249   -2.319313687   -1.488854439
     1     155    -0.18908     0.08148     0.04307   -0.817911439   -2.302083329   -1.484171890
     1     155    -0.12606     0.08148     0.02871   -0.809473786   -2.288621293   -1.479147507
     1     155    -0.06303     0.08148     0.01436   -0.805597881   -2.279008076   -1.473410195
     1     155     0.00000     0.08148     0.00000   -0.806150576   -2.275095734   -1.468945159
     1     155    -0.06303     0.08148    -0.00653   -0.806081349   -2.279287822   -1.473206473
     1     155    -0.12606     0.08148    -0.01306   -0.812573284   -2.289356576   -1.476783292
     1     155    -0.18908     0.08148    -0.01959   -0.824833876   -2.303247664   -1.478413788
     1     155    -0.25211     0.08148    -0.02613   -0.838967559   -2.322471876   -1.483504317
