# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     139     0.00000     0.00000     0.00000   -1.285234067   -2.843998067   -1.558764000
     1     139     0.01905     0.00000     0.00000   -1.282906997   -2.841269117   -1.558362120
     1     139     0.03810     0.00000     0.00000   -1.276299041   -2.823431605   -1.547132564
     1     139     0.05715     0.00000     0.00000   -1.265472015   -2.790993328   -1.525521313
     1     139     0.07620     0.00000     0.00000   -1.249878745   -2.756533830   -1.506655085
     1     139     0.09526     0.00000     0.00000   -1.230182622   -2.734281050   -1.504098429
     1     139     0.11431     0.00000     0.00000   -1.218274992   -2.725830992   -1.507556000
     1     139     0.09526     0.01973     0.00000   -1.231408776   -2.735105071   -1.503696295
     1     139     0.07620     0.03946     0.00000   -1.250589800   -2.746641639   -1.496051839
     1     139     0.05715     0.05919     0.00000   -1.270125033   -2.742319142   -1.472194109
     1     139     0.03810     0.07892     0.00000   -1.285068496   -2.739693760   -1.454625264
     1     139     0.01905     0.09865     0.00000   -1.294421368   -2.740534043   -1.446112675
     1     139     0.00000     0.11838     0.00000   -1.294243047   -2.738085047   -1.443842000
     1     139     0.00000     0.09865     0.00000   -1.295132430   -2.740754612   -1.445622182
     1     139     0.00000     0.07892     0.00000   -1.287634136   -2.742466765   -1.454832629
     1     139     0.00000     0.05919     0.00000   -1.276839239   -2.745077307   -1.468238067
     1     139     0.00000     0.03946     0.00000   -1.272903563   -2.808253527   -1.535349964
     1     139     0.00000     0.01973     0.00000   -1.281575602   -2.836224033   -1.554648431
     1     139     0.00000     0.00000     0.00000   -1.285234067   -2.843998067   -1.558764000
     1     139     0.00000     0.00000     0.04956   -1.273798325   -2.830789032   -1.556990707
     1     139     0.00000     0.00000     0.09912   -1.248780548   -2.800147614   -1.551367066
     1     139     0.00000     0.00000     0.14869   -1.218300564   -2.732795564   -1.514495000
     1     139     0.00000     0.00000     0.19825   -1.205134646   -2.728804846   -1.523670199
     1     139     0.00000     0.00000     0.24781   -1.198501226   -2.746010265   -1.547509039
     1     139     0.00000     0.00000     0.29737   -1.191842984   -2.744336984   -1.552494000
     1     139    -0.01905    -0.01973     0.29737   -1.187424761   -2.739574730   -1.552149969
     1     139    -0.03810    -0.03946     0.29737   -1.176462631   -2.720054978   -1.543592347
     1     139    -0.05715    -0.05919     0.29737   -1.163468552   -2.702175345   -1.538706793
     1     139    -0.07620    -0.07892     0.29737   -1.152263942   -2.691306083   -1.539042141
     1     139    -0.09526    -0.09865     0.29737   -1.145536114   -2.684761968   -1.539225854
     1     139    -0.11431    -0.11838     0.29737   -1.145416180   -2.685301180   -1.539885000
     1     139    -0.09526    -0.09865     0.24781   -1.146196490   -2.684784317   -1.538587827
     1     139    -0.07620    -0.07892     0.19825   -1.163149209   -2.680991175   -1.517841965
     1     139    -0.05715    -0.05919     0.14869   -1.199300079   -2.707712919   -1.508412840
     1     139    -0.03810    -0.03946     0.09912   -1.247034036   -2.747912885   -1.500878849
