# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     355     0.00000     0.00000     0.00000    0.363699527   -0.521803473   -0.885503000
     1     355    -0.02954     0.00000     0.00000    0.365187657   -0.518475686   -0.883663343
     1     355    -0.05908     0.00000     0.00000    0.371073232   -0.503984855   -0.875058087
     1     355    -0.08862     0.00000     0.00000    0.381964219   -0.487048681   -0.869012900
     1     355    -0.11816     0.00000     0.00000    0.394526432   -0.477266509   -0.871792941
     1     355    -0.14770     0.00000     0.00000    0.402328342   -0.474282658   -0.876611000
     1     355     0.00000     0.00000     0.08323    0.380869159   -0.484760239   -0.865629398
     1     355     0.00000     0.00000     0.06659    0.379432317   -0.488972986   -0.868405303
     1     355     0.00000     0.00000     0.04994    0.375987095   -0.495568594   -0.871555689
     1     355     0.00000     0.00000     0.03329    0.371617900   -0.502901064   -0.874518963
     1     355     0.00000     0.00000     0.01665    0.366947806   -0.511325953   -0.878273759
     1     355     0.00000     0.00000     0.00000    0.363699527   -0.521803473   -0.885503000
     1     355     0.00000     0.01818     0.00265    0.371300863   -0.503263339   -0.874564203
     1     355     0.00000     0.03636     0.00529    0.382965856   -0.487214778   -0.870180634
     1     355     0.00000     0.05454     0.00794    0.391522840   -0.478637215   -0.870160056
     1     355     0.00000     0.07272     0.01058    0.394651478   -0.478875899   -0.873527377
     1     355     0.00000     0.09089     0.01323    0.390682988   -0.480629954   -0.871312942
     1     355     0.00000     0.10907     0.01588    0.385085478   -0.479491220   -0.864576698
     1     355     0.00000     0.12725     0.01852    0.378900442   -0.504513476   -0.883413917
     1     355     0.00000     0.14543     0.02117    0.384845166   -0.499438834   -0.884284000
     1     355     0.14770     0.14543    -0.06206    0.399739361   -0.468980850   -0.868720210
     1     355     0.12924     0.12725    -0.05431    0.397869281   -0.470683040   -0.868552321
     1     355     0.11078     0.10907    -0.04655    0.392400612   -0.474639895   -0.867040507
     1     355     0.09231     0.09089    -0.03879    0.384287720   -0.482057504   -0.866345224
     1     355     0.07385     0.07272    -0.03103    0.382891943   -0.472012346   -0.854904289
     1     355     0.05539     0.05454    -0.02327    0.387021070   -0.478144648   -0.865165718
