# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     163     0.00000     0.00000     0.00000   -1.131893499   -2.580822499   -1.448929000
     1     163     0.00000     0.00000     0.01925   -1.137882242   -2.591315810   -1.453433569
     1     163     0.00000     0.00000     0.03850   -1.146967615   -2.599971434   -1.453003818
     1     163     0.00000     0.00000     0.05775   -1.154300435   -2.607059958   -1.452759523
     1     163     0.00000     0.00000     0.07700   -1.158991764   -2.616285139   -1.457293375
     1     163     0.00000     0.00000     0.09625   -1.161198696   -2.623973870   -1.462775173
     1     163     0.00000     0.00000     0.11550   -1.161699880   -2.625588880   -1.463889000
     1     163     0.00000    -0.15213     0.00000   -1.110828222   -2.559849222   -1.449021000
     1     163     0.00000    -0.12677     0.00000   -1.112655663   -2.561226493   -1.448570830
     1     163     0.00000    -0.10142     0.00000   -1.115062541   -2.564381843   -1.449319302
     1     163     0.00000    -0.07606     0.00000   -1.116895656   -2.573195830   -1.456300175
     1     163     0.00000    -0.05071     0.00000   -1.124047784   -2.570729818   -1.446682034
     1     163     0.00000    -0.02535     0.00000   -1.129806386   -2.578239345   -1.448432960
     1     163     0.00000     0.00000     0.00000   -1.131893499   -2.580822499   -1.448929000
     1     163     0.03249     0.00000     0.00147   -1.141471186   -2.598352994   -1.456881807
     1     163     0.06498     0.00000     0.00295   -1.157300388   -2.628364211   -1.471063823
     1     163     0.09747     0.00000     0.00442   -1.169531521   -2.645330521   -1.475799000
     1     163     0.12996     0.00000     0.00590   -1.175269128   -2.647002455   -1.471733327
     1     163     0.16245     0.00000     0.00737   -1.175170925   -2.636461226   -1.461290301
     1     163     0.19493     0.00000     0.00885   -1.173183791   -2.633298791   -1.460115000
     1     163     0.19493     0.15213    -0.10665   -1.138216975   -2.586350975   -1.448134000
     1     163     0.16245     0.12677    -0.08888   -1.146308686   -2.592441493   -1.446132808
     1     163     0.12996     0.10142    -0.07110   -1.149016080   -2.590018814   -1.441002734
     1     163     0.09747     0.07606    -0.05333   -1.149951657   -2.597268225   -1.447316567
     1     163     0.06498     0.05071    -0.03555   -1.144288964   -2.591015286   -1.446726322
     1     163     0.03249     0.02535    -0.01778   -1.130297828   -2.585708193   -1.455410364
     1     163     0.00000     0.00000     0.00000   -1.131893499   -2.580822499   -1.448929000
     1     163     0.03249     0.02535     0.00147   -1.140458896   -2.598694350   -1.458235454
     1     163     0.06498     0.05071     0.00295   -1.153145029   -2.619418170   -1.466273141
     1     163     0.09747     0.07606     0.00442   -1.158006731   -2.611964273   -1.453957542
     1     163     0.12996     0.10142     0.00590   -1.151178959   -2.601434312   -1.450255354
     1     163     0.16245     0.12677     0.00737   -1.142110801   -2.587905806   -1.445795005
     1     163     0.19493     0.15213     0.00885   -1.137546489   -2.586613489   -1.449067000
     1     163     0.19493     0.00000    -0.10665   -1.152281905   -2.621539905   -1.469258000
     1     163     0.16245     0.00000    -0.08888   -1.148941049   -2.616978985   -1.468037936
     1     163     0.12996     0.00000    -0.07110   -1.142555611   -2.602095433   -1.459539822
     1     163     0.09747     0.00000    -0.05333   -1.140107397   -2.599899390   -1.459791993
     1     163     0.06498     0.00000    -0.03555   -1.137815831   -2.599145480   -1.461329649
     1     163     0.03249     0.00000    -0.01778   -1.129315391   -2.578840446   -1.449525056
     1     163     0.00000     0.00000     0.00000   -1.131893499   -2.580822499   -1.448929000
     1     163     0.00000     0.02535     0.01925   -1.136988537   -2.590483795   -1.453495258
     1     163     0.00000     0.05071     0.03850   -1.147159193   -2.595830700   -1.448671507
     1     163     0.00000     0.07606     0.05775   -1.156037189   -2.600213093   -1.444175904
     1     163     0.00000     0.10142     0.07700   -1.158223870   -2.606432289   -1.448208419
     1     163     0.00000     0.12677     0.09625   -1.151286856   -2.605671951   -1.454385095
     1     163     0.00000     0.15213     0.11550   -1.139533582   -2.595597582   -1.456064000
     1     164     0.00000     0.00000     0.00000   -1.114652142   -2.588176142   -1.473524000
     1     164     0.00000     0.00000     0.01925   -1.108749940   -2.574406145   -1.465656205
     1     164     0.00000     0.00000     0.03850   -1.099410480   -2.553511931   -1.454101451
     1     164     0.00000     0.00000     0.05775   -1.091360520   -2.540228711   -1.448868191
     1     164     0.00000     0.00000     0.07700   -1.085812792   -2.540233528   -1.454420736
     1     164     0.00000     0.00000     0.09625   -1.082940349   -2.545951146   -1.463010798
     1     164     0.00000     0.00000     0.11550   -1.082044784   -2.546834784   -1.464790000
     1     164     0.00000    -0.15213     0.00000   -1.110792358   -2.559738358   -1.448946000
     1     164     0.00000    -0.12677     0.00000   -1.108158172   -2.556510790   -1.448352618
     1     164     0.00000    -0.10142     0.00000   -1.108038340   -2.558994145   -1.450955805
     1     164     0.00000    -0.07606     0.00000   -1.115974112   -2.563601490   -1.447627378
     1     164     0.00000    -0.05071     0.00000   -1.116733170   -2.583075136   -1.466341966
     1     164     0.00000    -0.02535     0.00000   -1.115414616   -2.588108195   -1.472693579
     1     164     0.00000     0.00000     0.00000   -1.114652142   -2.588176142   -1.473524000
     1     164     0.03249     0.00000     0.00147   -1.111073089   -2.572142934   -1.461069845
     1     164     0.06498     0.00000     0.00295   -1.109282297   -2.557209066   -1.447926769
     1     164     0.09747     0.00000     0.00442   -1.110296509   -2.558297509   -1.448001000
     1     164     0.12996     0.00000     0.00590   -1.112340750   -2.556950669   -1.444609919
     1     164     0.16245     0.00000     0.00737   -1.117449867   -2.551209647   -1.433759781
     1     164     0.19493     0.00000     0.00885   -1.124411527   -2.551965527   -1.427554000
     1     164     0.19493     0.15213    -0.10665   -1.138197029   -2.586282029   -1.448085000
     1     164     0.16245     0.12677    -0.08888   -1.125213786   -2.570316534   -1.445102748
     1     164     0.12996     0.10142    -0.07110   -1.112041242   -2.544541428   -1.432500186
     1     164     0.09747     0.07606    -0.05333   -1.104903647   -2.535962518   -1.431058871
     1     164     0.06498     0.05071    -0.03555   -1.109014293   -2.556460502   -1.447446209
     1     164     0.03249     0.02535    -0.01778   -1.122196299   -2.581716517   -1.459520218
     1     164     0.00000     0.00000     0.00000   -1.114652142   -2.588176142   -1.473524000
     1     164     0.03249     0.02535     0.00147   -1.110771742   -2.568184710   -1.457412968
     1     164     0.06498     0.05071     0.00295   -1.111354346   -2.553588700   -1.442234354
     1     164     0.09747     0.07606     0.00442   -1.125378694   -2.570574483   -1.445195790
     1     164     0.12996     0.10142     0.00590   -1.134581149   -2.580196846   -1.445615697
     1     164     0.16245     0.12677     0.00737   -1.135247233   -2.582501136   -1.447253904
     1     164     0.19493     0.15213     0.00885   -1.137531873   -2.586558873   -1.449027000
     1     164     0.19493     0.00000    -0.10665   -1.103634385   -2.555976385   -1.452342000
     1     164     0.16245     0.00000    -0.08888   -1.101080343   -2.547494944   -1.446414602
     1     164     0.12996     0.00000    -0.07110   -1.101513587   -2.539388450   -1.437874863
     1     164     0.09747     0.00000    -0.05333   -1.110589388   -2.558623865   -1.448034477
     1     164     0.06498     0.00000    -0.03555   -1.120903222   -2.566666006   -1.445762784
     1     164     0.03249     0.00000    -0.01778   -1.124652948   -2.592720213   -1.468067265
     1     164     0.00000     0.00000     0.00000   -1.114652142   -2.588176142   -1.473524000
     1     164     0.00000     0.02535     0.01925   -1.108723924   -2.572519770   -1.463795846
     1     164     0.00000     0.05071     0.03850   -1.098955266   -2.544591580   -1.445636315
     1     164     0.00000     0.07606     0.05775   -1.094492728   -2.534045785   -1.439553056
     1     164     0.00000     0.10142     0.07700   -1.106471624   -2.555606632   -1.449135009
     1     164     0.00000     0.12677     0.09625   -1.124738947   -2.579585955   -1.454847008
     1     164     0.00000     0.15213     0.11550   -1.139497452   -2.595549452   -1.456052000
     1     165     0.00000     0.00000     0.00000   -1.026252973   -2.480271973   -1.454019000
     1     165     0.00000     0.00000     0.01925   -1.027249525   -2.481321976   -1.454072451
     1     165     0.00000     0.00000     0.03850   -1.029974075   -2.481708819   -1.451734743
     1     165     0.00000     0.00000     0.05775   -1.033281466   -2.483755583   -1.450474117
     1     165     0.00000     0.00000     0.07700   -1.035693776   -2.486992830   -1.451299054
     1     165     0.00000     0.00000     0.09625   -1.036627579   -2.488819545   -1.452191967
     1     165     0.00000     0.00000     0.11550   -1.036784584   -2.489326584   -1.452542000
     1     165     0.00000    -0.15213     0.00000   -1.086560706   -2.560252706   -1.473692000
     1     165     0.00000    -0.12677     0.00000   -1.094643223   -2.565974801   -1.471331578
     1     165     0.00000    -0.10142     0.00000   -1.093811722   -2.545250870   -1.451439148
     1     165     0.00000    -0.07606     0.00000   -1.077398627   -2.512335482   -1.434936855
     1     165     0.00000    -0.05071     0.00000   -1.055015558   -2.486127119   -1.431111561
     1     165     0.00000    -0.02535     0.00000   -1.034790108   -2.478643797   -1.443853690
     1     165     0.00000     0.00000     0.00000   -1.026252973   -2.480271973   -1.454019000
     1     165     0.03249     0.00000     0.00147   -1.036111551   -2.489778040   -1.453666489
     1     165     0.06498     0.00000     0.00295   -1.047639029   -2.496910874   -1.449271845
     1     165     0.09747     0.00000     0.00442   -1.062360089   -2.513116089   -1.450756000
