# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     243     0.00000     0.00000     0.00000    0.050630945   -1.150293055   -1.200924000
     1     243    -0.04529     0.00000     0.00000    0.058665503   -1.116574009   -1.175239512
     1     243    -0.09058     0.00000     0.00000    0.072801035   -1.023176365   -1.095977399
     1     243    -0.13587     0.00000     0.00000    0.074943824   -1.021357776   -1.096301600
     1     243    -0.18116     0.00000     0.00000    0.069753952   -1.025065465   -1.094819418
     1     243    -0.22646     0.00000     0.00000    0.071813025   -1.018126975   -1.089940000
     1     243     0.00000     0.00000     0.09357    0.077953278   -1.044857722   -1.122811000
     1     243     0.00000     0.00000     0.07486    0.075512127   -1.045235362   -1.120747489
     1     243     0.00000     0.00000     0.05614    0.069379605   -1.062894847   -1.132274452
     1     243     0.00000     0.00000     0.03743    0.060427460   -1.104182107   -1.164609567
     1     243     0.00000     0.00000     0.01871    0.053265691   -1.141768499   -1.195034191
     1     243     0.00000     0.00000     0.00000    0.050630945   -1.150293055   -1.200924000
     1     243     0.00000     0.01575     0.00315    0.054309923   -1.144146963   -1.198456885
     1     243     0.00000     0.03149     0.00630    0.064365197   -1.124556395   -1.188921592
     1     243     0.00000     0.04724     0.00945    0.077967784   -1.092546304   -1.170514088
     1     243     0.00000     0.06299     0.01261    0.092483401   -1.057645759   -1.150129160
     1     243     0.00000     0.07874     0.01576    0.105808058   -1.027578193   -1.133386251
     1     243     0.00000     0.09448     0.01891    0.116685398   -1.006972073   -1.123657471
     1     243     0.00000     0.11023     0.02206    0.124471451   -0.996651097   -1.121122548
     1     243     0.00000     0.12598     0.02521    0.128863852   -0.992046148   -1.120910000
     1     243     0.22646     0.12598    -0.06836    0.073427439   -0.983488561   -1.056916000
     1     243     0.19815     0.11023    -0.05982    0.055780092   -1.053132987   -1.108913080
     1     243     0.16984     0.09448    -0.05127    0.040711942   -1.104219279   -1.144931221
     1     243     0.14154     0.07874    -0.04273    0.052061475   -1.083503909   -1.135565384
     1     243     0.11323     0.06299    -0.03418    0.067199334   -1.066132977   -1.133332311
     1     243     0.08492     0.04724    -0.02564    0.069909911   -1.062203123   -1.132113034
     1     243     0.05661     0.03149    -0.01709    0.063658678   -1.073749026   -1.137407705
     1     243     0.02831     0.01575    -0.00855    0.055188342   -1.133620152   -1.188808494
     1     243     0.00000     0.00000     0.00000    0.050630945   -1.150293055   -1.200924000
     1     243     0.00000     0.01575    -0.00855    0.052627068   -1.147789541   -1.200416609
