# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     155     0.00000     0.00000     0.00000   -0.836024180   -2.325051180   -1.489027000
     1     155     0.00000     0.00000     0.02559   -0.833529503   -2.307954697   -1.474425194
     1     155     0.00000     0.00000     0.05117   -0.827448238   -2.293970707   -1.466522469
     1     155     0.00000     0.00000     0.07676   -0.825387129   -2.295423641   -1.470036512
     1     155     0.00000     0.00000     0.10235   -0.831825562   -2.310961163   -1.479135601
     1     155     0.00000     0.00000     0.12793   -0.843238992   -2.328600517   -1.485361525
     1     155     0.00000     0.00000     0.15352   -0.852848813   -2.328705813   -1.475857000
     1     155     0.00000     0.16296    -0.03023   -0.864601802   -2.359510802   -1.494909000
     1     155     0.00000     0.13580    -0.02519   -0.857366336   -2.349103601   -1.491737264
     1     155     0.00000     0.10864    -0.02015   -0.843459813   -2.326776141   -1.483316327
     1     155     0.00000     0.08148    -0.01511   -0.837073108   -2.323404956   -1.486331848
     1     155     0.00000     0.05432    -0.01008   -0.835055939   -2.316388058   -1.481332119
     1     155     0.00000     0.02716    -0.00504   -0.833680505   -2.314199396   -1.480518892
     1     155     0.00000     0.00000     0.00000   -0.836024180   -2.325051180   -1.489027000
     1     155     0.02500    -0.01232    -0.00587   -0.837968680   -2.319115000   -1.481146320
     1     155     0.05000    -0.02463    -0.01173   -0.837813913   -2.305271276   -1.467457362
     1     155     0.07500    -0.03695    -0.01760   -0.836251566   -2.308004611   -1.471753045
     1     155     0.10000    -0.04926    -0.02346   -0.837656271   -2.319321985   -1.481665714
     1     155     0.12499    -0.06158    -0.02933   -0.849308761   -2.329719665   -1.480410903
     1     155     0.14999    -0.07390    -0.03519   -0.858569731   -2.332108731   -1.473539000
     1     155     0.14999     0.08906     0.08810   -0.871134757   -2.359729757   -1.488595000
     1     155     0.12499     0.07422     0.07342   -0.869471377   -2.362394062   -1.492922685
     1     155     0.10000     0.05937     0.05874   -0.859514326   -2.351117044   -1.491602718
     1     155     0.07500     0.04453     0.04405   -0.852501432   -2.327324940   -1.474823508
     1     155     0.05000     0.02969     0.02937   -0.840311614   -2.312144295   -1.471832681
     1     155     0.02500     0.01484     0.01468   -0.833399016   -2.309873481   -1.476474465
     1     155     0.00000     0.00000     0.00000   -0.836024180   -2.325051180   -1.489027000
     1     155     0.02500     0.01484    -0.01090   -0.834329473   -2.308931135   -1.474601661
     1     155     0.05000     0.02969    -0.02181   -0.829707121   -2.302570637   -1.472863516
     1     155     0.07500     0.04453    -0.03271   -0.834411494   -2.326481201   -1.492069707
     1     155     0.10000     0.05937    -0.04361   -0.837160884   -2.324013584   -1.486852700
     1     155     0.12499     0.07422    -0.05451   -0.857897816   -2.332018843   -1.474121027
     1     155     0.14999     0.08906    -0.06542   -0.875333300   -2.354051300   -1.478718000
     1     155     0.14999    -0.07390     0.11833   -0.855698507   -2.337024507   -1.481326000
     1     155     0.12499    -0.06158     0.09861   -0.852874903   -2.336271233   -1.483396330
     1     155     0.10000    -0.04926     0.07889   -0.849980461   -2.327732882   -1.477752421
