# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     331     0.00000     0.00000     0.00000    0.905149774    0.132505774   -0.772644000
     1     331    -0.02874     0.00000     0.00000    0.892862566    0.111839916   -0.781022650
     1     331    -0.05747     0.00000     0.00000    0.895401041    0.118040723   -0.777360319
     1     331    -0.08621     0.00000     0.00000    0.899328901    0.120394296   -0.778934605
     1     331    -0.11495     0.00000     0.00000    0.912266555    0.139128490   -0.773138065
     1     331    -0.14368     0.00000     0.00000    0.924612546    0.152520546   -0.772092000
     1     331     0.00000     0.00000     0.10498    0.912374982    0.150671982   -0.761703000
     1     331     0.00000     0.00000     0.08399    0.911720266    0.148950252   -0.762770014
     1     331     0.00000     0.00000     0.06299    0.910066365    0.142875235   -0.767191130
     1     331     0.00000     0.00000     0.04199    0.907729577    0.136578440   -0.771151136
     1     331     0.00000     0.00000     0.02100    0.905831535    0.133139472   -0.772692063
     1     331     0.00000     0.00000     0.00000    0.905149774    0.132505774   -0.772644000
     1     331     0.00000     0.01593     0.00328    0.906065458    0.133085413   -0.772980045
     1     331     0.00000     0.03185     0.00656    0.908995972    0.134398512   -0.774597461
     1     331     0.00000     0.04778     0.00984    0.914666880    0.138525267   -0.776141612
     1     331     0.00000     0.06371     0.01312    0.923793310    0.149069164   -0.774724146
     1     331     0.00000     0.07963     0.01640    0.935826560    0.173106716   -0.762719844
     1     331     0.00000     0.09556     0.01967    0.947438097    0.174538649   -0.772899447
     1     331     0.00000     0.11149     0.02295    0.944496281    0.170753336   -0.773742945
     1     331     0.00000     0.12741     0.02623    0.942957147    0.169790147   -0.773167000
     1     331     0.14368     0.12741    -0.07875    0.924112057    0.159831057   -0.764281000
     1     331     0.12572     0.11149    -0.06891    0.923939850    0.158583478   -0.765356371
     1     331     0.10776     0.09556    -0.05906    0.921607260    0.148680581   -0.772926679
     1     331     0.08980     0.07963    -0.04922    0.926150065    0.149657350   -0.776492715
     1     331     0.07184     0.06371    -0.03938    0.929468190    0.155666231   -0.773801959
     1     331     0.05388     0.04778    -0.02953    0.923177446    0.148418529   -0.774758916
     1     331     0.03592     0.03185    -0.01969    0.910129448    0.131612483   -0.778516965
     1     331     0.01796     0.01593    -0.00984    0.901628335    0.125054708   -0.776573627
     1     331     0.00000     0.00000     0.00000    0.905149774    0.132505774   -0.772644000
     1     331     0.00000     0.01593    -0.00984    0.905398041    0.132647372   -0.772750669
     1     331     0.00000     0.03185    -0.01969    0.906655063    0.132792027   -0.773863036
     1     331     0.00000     0.04778    -0.02953    0.910177793    0.134915222   -0.775262571
     1     331     0.00000     0.06371    -0.03938    0.917318302    0.143400838   -0.773917464
     1     331     0.00000     0.07963    -0.04922    0.928626262    0.160067598   -0.768558664
     1     331     0.00000     0.09556    -0.05906    0.941981211    0.183661197   -0.758320014
     1     331     0.00000     0.11149    -0.06891    0.953161739    0.198592889   -0.754568850
     1     331     0.00000     0.12741    -0.07875    0.966447681    0.213149681   -0.753298000
     1     331     0.14368     0.12741     0.02623    0.954375635    0.188380635   -0.765995000
     1     331     0.12572     0.11149     0.02295    0.943105566    0.176870300   -0.766235266
     1     331     0.10776     0.09556     0.01967    0.928018018    0.156104213   -0.771913805
     1     331     0.08980     0.07963     0.01640    0.913323389    0.133483189   -0.779840200
     1     331     0.07184     0.06371     0.01312    0.915463610    0.134877473   -0.780586138
     1     331     0.05388     0.04778     0.00984    0.916142844    0.139065952   -0.777076891
     1     331     0.03592     0.03185     0.00656    0.905761950    0.126696987   -0.779064962
     1     331     0.01796     0.01593     0.00328    0.899491928    0.121157658   -0.778334271
     1     331     0.00000     0.00000     0.00000    0.905149774    0.132505774   -0.772644000
     1     331    -0.01796     0.00000    -0.01312    0.898570238    0.120267955   -0.778302284
     1     331    -0.03592     0.00000    -0.02625    0.898798273    0.119098407   -0.779699865
     1     331    -0.05388     0.00000    -0.03937    0.901874100    0.119114691   -0.782759409
     1     331    -0.07184     0.00000    -0.05249    0.904538710    0.122919881   -0.781618830
     1     331    -0.08980     0.00000    -0.06562    0.906447933    0.126245430   -0.780202503
     1     331    -0.10776     0.00000    -0.07874    0.911253113    0.137279642   -0.773973471
     1     331    -0.12572     0.00000    -0.09186    0.921831024    0.153631803   -0.768199221
     1     331    -0.14368     0.00000    -0.10498    0.929768874    0.160769874   -0.768999000
     1     332     0.00000     0.00000     0.00000    0.909634479    0.119347479   -0.790287000
     1     332    -0.02874     0.00000     0.00000    0.930737043    0.145626426   -0.785110616
     1     332    -0.05747     0.00000     0.00000    0.955490100    0.194069926   -0.761420174
     1     332    -0.08621     0.00000     0.00000    0.946099629    0.174337510   -0.771762119
     1     332    -0.11495     0.00000     0.00000    0.935210518    0.162037605   -0.773172913
     1     332    -0.14368     0.00000     0.00000    0.924629580    0.152535580   -0.772094000
     1     332     0.00000     0.00000     0.10498    0.912416247    0.150707247   -0.761709000
     1     332     0.00000     0.00000     0.08399    0.913451636    0.150007046   -0.763444590
     1     332     0.00000     0.00000     0.06299    0.915488942    0.143250855   -0.772238087
     1     332     0.00000     0.00000     0.04199    0.915883241    0.133805321   -0.782077920
     1     332     0.00000     0.00000     0.02100    0.912470612    0.123753109   -0.788717503
     1     332     0.00000     0.00000     0.00000    0.909634479    0.119347479   -0.790287000
     1     332     0.00000     0.01593     0.00328    0.909895233    0.121332982   -0.788562251
     1     332     0.00000     0.03185     0.00656    0.911588059    0.128226806   -0.783361253
     1     332     0.00000     0.04778     0.00984    0.916431547    0.139661176   -0.776770371
     1     332     0.00000     0.06371     0.01312    0.924873678    0.154448935   -0.770424742
     1     332     0.00000     0.07963     0.01640    0.936519599    0.166486787   -0.770032812
     1     332     0.00000     0.09556     0.01967    0.947650823    0.193321111   -0.754329712
     1     332     0.00000     0.11149     0.02295    0.957358711    0.208162604   -0.749196107
     1     332     0.00000     0.12741     0.02623    0.961080347    0.213210347   -0.747870000
     1     332     0.14368     0.12741    -0.07875    0.924126221    0.159839221   -0.764287000
     1     332     0.12572     0.11149    -0.06891    0.931724618    0.161981338   -0.769743280
     1     332     0.10776     0.09556    -0.05906    0.945091893    0.170413361   -0.774678532
     1     332     0.08980     0.07963    -0.04922    0.954301728    0.175995065   -0.778306663
     1     332     0.07184     0.06371    -0.03938    0.947979799    0.165647737   -0.782332062
     1     332     0.05388     0.04778    -0.02953    0.941629290    0.160029441   -0.781599849
     1     332     0.03592     0.03185    -0.01969    0.935170255    0.154833392   -0.780336863
     1     332     0.01796     0.01593    -0.00984    0.922086820    0.137737661   -0.784349159
     1     332     0.00000     0.00000     0.00000    0.909634479    0.119347479   -0.790287000
     1     332     0.00000     0.01593    -0.00984    0.913087494    0.125472194   -0.787615300
     1     332     0.00000     0.03185    -0.01969    0.919604536    0.136980984   -0.782623551
     1     332     0.00000     0.04778    -0.02953    0.925236380    0.149409712   -0.775826668
     1     332     0.00000     0.06371    -0.03938    0.929484723    0.159859317   -0.769625406
     1     332     0.00000     0.07963    -0.04922    0.934367206    0.170257199   -0.764110007
     1     332     0.00000     0.09556    -0.05906    0.943153462    0.181562041   -0.761591421
     1     332     0.00000     0.11149    -0.06891    0.958893742    0.200977103   -0.757916639
     1     332     0.00000     0.12741    -0.07875    0.966477386    0.213163386   -0.753314000
     1     332     0.14368     0.12741     0.02623    0.954395645    0.188395645   -0.766000000
     1     332     0.12572     0.11149     0.02295    0.958682329    0.194116879   -0.764565451
     1     332     0.10776     0.09556     0.01967    0.956354934    0.188627340   -0.767727594
     1     332     0.08980     0.07963     0.01640    0.950026645    0.173669772   -0.776356873
     1     332     0.07184     0.06371     0.01312    0.939644287    0.161918255   -0.777726032
     1     332     0.05388     0.04778     0.00984    0.931700378    0.149762909   -0.781937470
     1     332     0.03592     0.03185     0.00656    0.929841533    0.152009736   -0.777831797
     1     332     0.01796     0.01593     0.00328    0.920674019    0.137615461   -0.783058558
     1     332     0.00000     0.00000     0.00000    0.909634479    0.119347479   -0.790287000
     1     332    -0.01796     0.00000    -0.01312    0.921662658    0.137088577   -0.784574081
     1     332    -0.03592     0.00000    -0.02625    0.935411523    0.155205345   -0.780206177
     1     332    -0.05388     0.00000    -0.03937    0.939036953    0.162385069   -0.776651884
     1     332    -0.07184     0.00000    -0.05249    0.933496398    0.154565630   -0.778930767
