# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      79     0.00000     0.00000     0.00000   -1.736157810   -3.148073810   -1.411916000
     1      79     0.00000     0.06063     0.00000   -1.732402116   -3.424977410   -1.692575294
     1      79     0.00000     0.12125     0.00000   -1.698007296   -3.392628040   -1.694620744
     1      79     0.00000     0.18188     0.00000   -1.682811999   -3.427455999   -1.744644000
     1      79     0.00000     0.24250     0.00000   -1.735595657   -3.442947622   -1.707351965
     1      79     0.00000     0.30313     0.00000   -1.769807876   -3.474792044   -1.704984168
     1      79     0.00000     0.36375     0.00000   -1.749521224   -3.439257224   -1.689736000
     1      79     0.00000     0.36375     0.01861   -1.748548960   -3.437888405   -1.689339445
     1      79     0.00000     0.36375     0.03723   -1.745552949   -3.432326399   -1.686773449
     1      79     0.00000     0.36375     0.05584   -1.740471610   -3.424049303   -1.683577692
     1      79     0.00000     0.36375     0.07446   -1.734117176   -3.416279754   -1.682162579
     1      79     0.00000     0.36375     0.09307   -1.728532689   -3.411736536   -1.683203847
     1      79     0.00000     0.36375     0.11169   -1.726300490   -3.410246490   -1.683946000
     1      79     0.00000     0.30313     0.11169   -1.732222728   -3.429698093   -1.697475365
     1      79     0.00000     0.24250     0.11169   -1.713841780   -3.417701001   -1.703859221
     1      79     0.00000     0.18188     0.11169   -1.645261410   -3.368792410   -1.723531000
     1      79     0.00000     0.12125     0.11169   -1.605756644   -3.321976809   -1.716220165
     1      79     0.00000     0.06063     0.11169   -1.598027813   -3.312584092   -1.714556280
     1      79     0.00000     0.00000     0.11169   -1.595380993   -3.314548993   -1.719168000
     1      79     0.00000     0.00000     0.09307   -1.633567406   -3.344622281   -1.711054874
     1      79     0.00000     0.00000     0.07446   -1.677967083   -3.356883843   -1.678916760
     1      79     0.00000     0.00000     0.05584   -1.715437472   -3.309547853   -1.594110381
     1      79     0.00000     0.00000     0.03723   -1.732615495   -3.205251636   -1.472636141
     1      79     0.00000     0.00000     0.01861   -1.736027958   -3.154240529   -1.418212571
     1      79     0.00000     0.00000     0.00000   -1.736157810   -3.148073810   -1.411916000
     1      79    -0.02771     0.00000     0.00818   -1.737087785   -3.157407065   -1.420319280
