# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     249     0.00000     0.00000     0.00000   -0.405983912   -1.722229912   -1.316246000
     1     249     0.00648     0.00000     0.00071   -0.408139400   -1.714156989   -1.306017590
     1     249     0.01296     0.00000     0.00142   -0.413770734   -1.703059262   -1.289288527
     1     249     0.01944     0.00000     0.00213   -0.421534072   -1.699176474   -1.277642402
     1     249     0.02592     0.00000     0.00283   -0.430428649   -1.701524459   -1.271095810
     1     249     0.03240     0.00000     0.00354   -0.439748951   -1.707492587   -1.267743636
     1     249     0.03888     0.00000     0.00425   -0.448823927   -1.715172646   -1.266348719
     1     249     0.04536     0.00000     0.00496   -0.457012086   -1.723523176   -1.266511090
     1     249     0.05184     0.00000     0.00567   -0.463569980   -1.731549178   -1.267979198
     1     249     0.05832     0.00000     0.00638   -0.467853214   -1.738644740   -1.270791525
     1     249     0.06480     0.00000     0.00709   -0.469395425   -1.743930407   -1.274534982
     1     249     0.06480     0.00000     0.00709   -0.469395425   -1.743930407   -1.274534982
     1     249     0.06565     0.00000    -0.00062   -0.468756154   -1.743748741   -1.274992587
     1     249     0.06649     0.00000    -0.00833   -0.466825358   -1.741116174   -1.274290816
     1     249     0.06733     0.00000    -0.01604   -0.463606044   -1.730122811   -1.266516766
     1     249     0.06818     0.00000    -0.02375   -0.459096870   -1.713833508   -1.254736638
     1     249     0.06902     0.00000    -0.03146   -0.453186518   -1.698695339   -1.245508821
     1     249     0.06986     0.00000    -0.03917   -0.446042813   -1.684357157   -1.238314344
     1     249     0.07071     0.00000    -0.04688   -0.437729132   -1.666065640   -1.228336509
     1     249     0.07155     0.00000    -0.05459   -0.428454026   -1.644895289   -1.216441263
     1     249     0.07239     0.00000    -0.06230   -0.418548215   -1.625648015   -1.207099800
     1     249     0.07323     0.00000    -0.07001   -0.408619158   -1.608426056   -1.199806898
     1     249     0.07323     0.00000    -0.07001   -0.408619158   -1.608426056   -1.199806898
     1     249     0.07239     0.00000    -0.07072   -0.407637758   -1.607507434   -1.199869676
     1     249     0.07155     0.00000    -0.07143   -0.406648121   -1.606433447   -1.199785326
     1     249     0.07071     0.00000    -0.07213   -0.405661386   -1.605199883   -1.199538496
     1     249     0.06986     0.00000    -0.07284   -0.404685087   -1.603810793   -1.199125706
     1     249     0.06902     0.00000    -0.07355   -0.403717236   -1.602256771   -1.198539534
     1     249     0.06818     0.00000    -0.07426   -0.402747225   -1.600521693   -1.197774468
     1     249     0.06733     0.00000    -0.07497   -0.401797068   -1.598614185   -1.196817117
     1     249     0.06649     0.00000    -0.07568   -0.400870687   -1.596539334   -1.195668647
     1     249     0.06565     0.00000    -0.07639   -0.399956866   -1.594275000   -1.194318134
     1     249     0.06480     0.00000    -0.07709   -0.399079470   -1.599693475   -1.200614006
     1     249     0.06480     0.00000    -0.07709   -0.399079470   -1.599693475   -1.200614006
     1     249     0.06480     0.04510    -0.07709   -0.415558116   -1.572416471   -1.156858355
