# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     175     0.00000     0.00000     0.00000   -0.969786675   -2.366297675   -1.396511000
     1     175     0.03475     0.00000     0.00000   -0.970236132   -2.379868982   -1.409632850
     1     175     0.06949     0.00000     0.00000   -0.972724756   -2.461409692   -1.488684936
     1     175     0.10424     0.00000     0.00000   -0.978209125   -2.503772125   -1.525563000
     1     175     0.13898     0.00000     0.00000   -0.981594444   -2.486331030   -1.504736587
     1     175     0.17373     0.00000     0.00000   -0.979748298   -2.434885703   -1.455137405
     1     175     0.20847     0.00000     0.00000   -0.982608212   -2.451566212   -1.468958000
     1     175     0.17373     0.02426     0.00000   -0.979773177   -2.433479748   -1.453706571
     1     175     0.13898     0.04851     0.00000   -0.981705465   -2.446737638   -1.465032173
     1     175     0.10424     0.07277     0.00000   -0.980246508   -2.459166314   -1.478919806
     1     175     0.06949     0.09702     0.00000   -0.973619855   -2.469897386   -1.496277532
     1     175     0.03475     0.12128     0.00000   -0.972065534   -2.502750247   -1.530684713
     1     175     0.00000     0.14554     0.00000   -0.975046362   -2.513346362   -1.538300000
     1     175     0.00000     0.12128     0.00000   -0.971969496   -2.508911837   -1.536942342
     1     175     0.00000     0.09702     0.00000   -0.965078560   -2.495795839   -1.530717280
     1     175     0.00000     0.07277     0.00000   -0.959964283   -2.353157426   -1.393193143
     1     175     0.00000     0.04851     0.00000   -0.964383261   -2.359416742   -1.395033482
     1     175     0.00000     0.02426     0.00000   -0.967859144   -2.364177273   -1.396318128
     1     175     0.00000     0.00000     0.00000   -0.969786675   -2.366297675   -1.396511000
     1     175     0.00000     0.00000     0.01820   -0.967184276   -2.365294008   -1.398109733
     1     175     0.00000     0.00000     0.03639   -0.967311275   -2.438076057   -1.470764782
     1     175     0.00000     0.00000     0.05459   -0.963337450   -2.387072621   -1.423735170
     1     175     0.00000     0.00000     0.07279   -0.952667635   -2.461433644   -1.508766009
     1     175     0.00000     0.00000     0.09098   -0.947852489   -2.477835422   -1.529982933
     1     175     0.00000     0.00000     0.10918   -0.942179585   -2.473911585   -1.531732000
     1     175    -0.03475    -0.02426     0.10918   -0.948328557   -2.464715318   -1.516386761
     1     175    -0.06949    -0.04851     0.10918   -0.964644489   -2.452971994   -1.488327505
     1     175    -0.10424    -0.07277     0.10918   -0.983252160   -2.455273988   -1.472021828
     1     175    -0.13898    -0.09702     0.10918   -0.994739816   -2.444768479   -1.450028663
     1     175    -0.17373    -0.12128     0.10918   -0.997978828   -2.497679566   -1.499700738
     1     175    -0.20847    -0.14554     0.10918   -0.998169594   -2.516979594   -1.518810000
