# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     227     0.00000     0.00000     0.00000   -0.096611658   -1.159407658   -1.062796000
     1     227    -0.05448     0.00000     0.00000   -0.081576475   -1.156058645   -1.074482170
     1     227    -0.10896     0.00000     0.00000   -0.054883920   -1.150034188   -1.095150268
     1     227    -0.16343     0.00000     0.00000    0.018234855   -1.013546145   -1.031781000
     1     227    -0.21791     0.00000     0.00000    0.055542346   -0.971357313   -1.026899660
     1     227    -0.27239     0.00000     0.00000    0.066582340   -0.953891217   -1.020473557
     1     227    -0.32687     0.00000     0.00000    0.072022219   -0.947986781   -1.020009000
     1     227     0.00000     0.00000     0.08568   -0.049357072   -1.114160072   -1.064803000
     1     227     0.00000     0.00000     0.07140   -0.062757985   -1.127541691   -1.064783706
     1     227     0.00000     0.00000     0.05712   -0.075854911   -1.138762134   -1.062907223
     1     227     0.00000     0.00000     0.04284   -0.086202843   -1.147459363   -1.061256520
     1     227     0.00000     0.00000     0.02856   -0.094325857   -1.155578012   -1.061252155
     1     227     0.00000     0.00000     0.01428   -0.096310387   -1.160248670   -1.063938284
     1     227     0.00000     0.00000     0.00000   -0.096611658   -1.159407658   -1.062796000
     1     227     0.00000     0.01695     0.00548   -0.091899745   -1.164673061   -1.072773316
     1     227     0.00000     0.03389     0.01096   -0.080701191   -1.170920301   -1.090219110
     1     227     0.00000     0.05084     0.01644   -0.068764167   -1.170594808   -1.101830641
     1     227     0.00000     0.06779     0.02192   -0.060000282   -1.163575197   -1.103574915
     1     227     0.00000     0.08473     0.02740   -0.056715680   -1.154290321   -1.097574641
     1     227     0.00000     0.10168     0.03288   -0.059685759   -1.141592229   -1.081906470
     1     227     0.32687     0.10168    -0.05280    0.065354573   -0.993881016   -1.059235589
     1     227     0.27239     0.08473    -0.04400    0.069171653   -0.980494079   -1.049665732
     1     227     0.21791     0.06779    -0.03520    0.074182056   -0.984866788   -1.059048844
     1     227     0.16343     0.05084    -0.02640    0.047191567   -1.008831469   -1.056023036
     1     227     0.10896     0.03389    -0.01760   -0.033346164   -1.126710306   -1.093364142
     1     227     0.05448     0.01695    -0.00880   -0.076725299   -1.127495613   -1.050770315
     1     227     0.00000     0.00000     0.00000   -0.096611658   -1.159407658   -1.062796000
     1     227     0.00000     0.01695    -0.00880   -0.095855413   -1.162532972   -1.066677559
     1     227     0.00000     0.03389    -0.01760   -0.087281404   -1.158924046   -1.071642642
     1     227     0.00000     0.05084    -0.02640   -0.075235473   -1.145487889   -1.070252415
     1     227     0.00000     0.06779    -0.03520   -0.062302708   -1.127801813   -1.065499105
     1     227     0.00000     0.08473    -0.04400   -0.049173131   -1.108003452   -1.058830321
     1     227     0.00000     0.10168    -0.05280   -0.038700668   -1.089791771   -1.051091103
     1     227     0.32687     0.10168     0.03288    0.025447137   -1.057143033   -1.082590171
     1     227     0.27239     0.08473     0.02740    0.037387684   -1.011902167   -1.049289850
     1     227     0.21791     0.06779     0.02192    0.051991258   -0.991255458   -1.043246716
     1     227     0.16343     0.05084     0.01644    0.026454011   -1.024258951   -1.050712961
     1     227     0.10896     0.03389     0.01096   -0.037050881   -1.111059226   -1.074008345
     1     227     0.05448     0.01695     0.00548   -0.075126697   -1.156382666   -1.081255969
     1     227     0.00000     0.00000     0.00000   -0.096611658   -1.159407658   -1.062796000
     1     227    -0.05448     0.00000    -0.01428   -0.077126882   -1.148683345   -1.071556464
     1     227    -0.10896     0.00000    -0.02856   -0.034966458   -1.106528066   -1.071561608
     1     227    -0.16343     0.00000    -0.04284    0.029799344   -1.010444360   -1.040243704
     1     227    -0.21791     0.00000    -0.05712    0.059060183   -0.988084070   -1.047144254
     1     227    -0.27239     0.00000    -0.07140    0.065140635   -0.994110982   -1.059251618
     1     227    -0.32687     0.00000    -0.08568    0.071196620   -0.962578380   -1.033775000
     1     228     0.00000     0.00000     0.00000   -0.036244895   -1.083039895   -1.046795000
     1     228    -0.05448     0.00000     0.00000   -0.073885693   -1.124066400   -1.050180707
     1     228    -0.10896     0.00000     0.00000   -0.040989019   -1.086388064   -1.045399045
     1     228    -0.16343     0.00000     0.00000    0.052314523   -0.976273477   -1.028588000
     1     228    -0.21791     0.00000     0.00000    0.096323937   -0.927565966   -1.023889903
     1     228    -0.27239     0.00000     0.00000    0.081632003   -0.939971720   -1.021603723
     1     228    -0.32687     0.00000     0.00000    0.072108760   -0.948163240   -1.020272000
     1     228     0.00000     0.00000     0.08568   -0.047707654   -1.113277654   -1.065570000
     1     228     0.00000     0.00000     0.07140   -0.035751789   -1.100083227   -1.064331438
     1     228     0.00000     0.00000     0.05712   -0.029595178   -1.089730132   -1.060134954
     1     228     0.00000     0.00000     0.04284   -0.030095099   -1.086487216   -1.056392117
     1     228     0.00000     0.00000     0.02856   -0.032943612   -1.085356527   -1.052412915
     1     228     0.00000     0.00000     0.01428   -0.035410184   -1.083578132   -1.048167949
     1     228     0.00000     0.00000     0.00000   -0.036244895   -1.083039895   -1.046795000
     1     228     0.00000     0.01695     0.00548   -0.036614976   -1.087757933   -1.051142957
     1     228     0.00000     0.03389     0.01096   -0.036658136   -1.098159074   -1.061500939
     1     228     0.00000     0.05084     0.01644   -0.038760239   -1.111823064   -1.073062825
     1     228     0.00000     0.06779     0.02192   -0.044746312   -1.127492333   -1.082746021
     1     228     0.00000     0.08473     0.02740   -0.054809493   -1.144745192   -1.089935699
     1     228     0.00000     0.10168     0.03288   -0.059440362   -1.141420671   -1.081980309
     1     228     0.32687     0.10168    -0.05280    0.065483147   -0.994347884   -1.059831031
     1     228     0.27239     0.08473    -0.04400    0.071017274   -0.976863829   -1.047881102
     1     228     0.21791     0.06779    -0.03520    0.074735821   -0.979145361   -1.053881182
     1     228     0.16343     0.05084    -0.02640    0.052875586   -1.030605478   -1.083481064
     1     228     0.10896     0.03389    -0.01760   -0.014709835   -1.076584801   -1.061874966
     1     228     0.05448     0.01695    -0.00880   -0.070369924   -1.151290992   -1.080921068
     1     228     0.00000     0.00000     0.00000   -0.036244895   -1.083039895   -1.046795000
     1     228     0.00000     0.01695    -0.00880   -0.039880116   -1.087152936   -1.047272820
     1     228     0.00000     0.03389    -0.01760   -0.047858405   -1.098682522   -1.050824118
     1     228     0.00000     0.05084    -0.02640   -0.057547511   -1.123619686   -1.066072175
     1     228     0.00000     0.06779    -0.03520   -0.062057300   -1.175564570   -1.113507270
     1     228     0.00000     0.08473    -0.04400   -0.039807541   -1.113785674   -1.073978133
     1     228     0.00000     0.10168    -0.05280   -0.038696189   -1.088421951   -1.049725763
     1     228     0.32687     0.10168     0.03288    0.025464648   -1.056808985   -1.082273632
     1     228     0.27239     0.08473     0.02740    0.049079968   -0.994608303   -1.043688271
     1     228     0.21791     0.06779     0.02192    0.084740032   -0.950999996   -1.035740028
     1     228     0.16343     0.05084     0.01644    0.065308449   -0.978181420   -1.043489869
     1     228     0.10896     0.03389     0.01096   -0.030444339   -1.083434404   -1.052990066
     1     228     0.05448     0.01695     0.00548   -0.071228855   -1.131485038   -1.060256183
     1     228     0.00000     0.00000     0.00000   -0.036244895   -1.083039895   -1.046795000
     1     228    -0.05448     0.00000    -0.01428   -0.072512828   -1.127289643   -1.054776815
     1     228    -0.10896     0.00000    -0.02856   -0.028802840   -1.087272156   -1.058469316
     1     228    -0.16343     0.00000    -0.04284    0.051801653   -0.996451063   -1.048252715
     1     228    -0.21791     0.00000    -0.05712    0.076847250   -0.963037613   -1.039884863
     1     228    -0.27239     0.00000    -0.07140    0.072139176   -0.975305566   -1.047444743
     1     228    -0.32687     0.00000    -0.08568    0.071920072   -0.959483928   -1.031404000
     1     229     0.00000     0.00000     0.00000    0.025071008   -1.039574992   -1.064646000
     1     229    -0.05448     0.00000     0.00000    0.058902198   -0.993321045   -1.052223243
     1     229    -0.10896     0.00000     0.00000    0.084279119   -0.967692691   -1.051971810
     1     229    -0.16343     0.00000     0.00000    0.159697098   -0.859978902   -1.019676000
     1     229    -0.21791     0.00000     0.00000    0.276639667   -0.736063427   -1.012703093
     1     229    -0.27239     0.00000     0.00000    0.441292187   -0.515735797   -0.957027985
     1     229    -0.32687     0.00000     0.00000    0.542499461   -0.398257539   -0.940757000
     1     229     0.00000     0.00000     0.08568    0.010137869   -1.043051131   -1.053189000
     1     229     0.00000     0.00000     0.07140    0.009349798   -1.044650889   -1.054000687
     1     229     0.00000     0.00000     0.05712    0.012171548   -1.043977099   -1.056148647
     1     229     0.00000     0.00000     0.04284    0.018882583   -1.040424529   -1.059307112
     1     229     0.00000     0.00000     0.02856    0.022575297   -1.038463022   -1.061038319
     1     229     0.00000     0.00000     0.01428    0.024360454   -1.039836652   -1.064197105
     1     229     0.00000     0.00000     0.00000    0.025071008   -1.039574992   -1.064646000
     1     229     0.00000     0.01695     0.00548    0.025535979   -1.040118144   -1.065654124
     1     229     0.00000     0.03389     0.01096    0.027748176   -1.040382213   -1.068130389
     1     229     0.00000     0.05084     0.01644    0.027954747   -1.038876107   -1.066830854
     1     229     0.00000     0.06779     0.02192    0.027240030   -1.041587504   -1.068827534
     1     229     0.00000     0.08473     0.02740    0.028272577   -1.043988805   -1.072261381
     1     229     0.00000     0.10168     0.03288    0.030065504   -1.039881051   -1.069946555
     1     229     0.32687     0.10168    -0.05280    0.455440801   -0.500883448   -0.956324250
     1     229     0.27239     0.08473    -0.04400    0.406088021   -0.575432581   -0.981520602
     1     229     0.21791     0.06779    -0.03520    0.274683195   -0.729539044   -1.004222239
     1     229     0.16343     0.05084    -0.02640    0.149353746   -0.870552724   -1.019906470
     1     229     0.10896     0.03389    -0.01760    0.103048117   -0.937449597   -1.040497714
     1     229     0.05448     0.01695    -0.00880    0.059054477   -0.997972888   -1.057027365
     1     229     0.00000     0.00000     0.00000    0.025071008   -1.039574992   -1.064646000
     1     229     0.00000     0.01695    -0.00880    0.026657166   -1.039137231   -1.065794397
     1     229     0.00000     0.03389    -0.01760    0.029630772   -1.034194569   -1.063825341
     1     229     0.00000     0.05084    -0.02640    0.027068203   -1.031102119   -1.058170322
     1     229     0.00000     0.06779    -0.03520    0.020207070   -1.038118635   -1.058325705
     1     229     0.00000     0.08473    -0.04400    0.011107265   -1.070854455   -1.081961720
     1     229     0.00000     0.10168    -0.05280    0.017661595   -1.063682624   -1.081344219
     1     229     0.32687     0.10168     0.03288    0.554002458   -0.385571929   -0.939574388
     1     229     0.27239     0.08473     0.02740    0.455064276   -0.505412658   -0.960476934
     1     229     0.21791     0.06779     0.02192    0.287544067   -0.711781562   -0.999325630
     1     229     0.16343     0.05084     0.01644    0.151990697   -0.873067321   -1.025058018
     1     229     0.10896     0.03389     0.01096    0.088365202   -0.967336382   -1.055701585
     1     229     0.05448     0.01695     0.00548    0.059566175   -0.991215258   -1.050781433
     1     229     0.00000     0.00000     0.00000    0.025071008   -1.039574992   -1.064646000
     1     229    -0.05448     0.00000    -0.01428    0.058010844   -0.989038635   -1.047049478
     1     229    -0.10896     0.00000    -0.02856    0.089627568   -0.955568589   -1.045196157
     1     229    -0.16343     0.00000    -0.04284    0.163247902   -0.858536047   -1.021783949
     1     229    -0.21791     0.00000    -0.05712    0.279909909   -0.733174894   -1.013084802
     1     229    -0.27239     0.00000    -0.07140    0.408799300   -0.568860712   -0.977660013
     1     229    -0.32687     0.00000    -0.08568    0.458541536   -0.502325464   -0.960867000
     1     230     0.00000     0.00000     0.00000    0.033450209   -1.034109791   -1.067560000
     1     230    -0.05448     0.00000     0.00000    0.076136642   -0.967338191   -1.043474833
     1     230    -0.10896     0.00000     0.00000    0.152549428   -0.866490673   -1.019040101
     1     230    -0.16343     0.00000     0.00000    0.162957671   -0.872298329   -1.035256000
     1     230    -0.21791     0.00000     0.00000    0.331146733   -0.691318224   -1.022464957
     1     230    -0.27239     0.00000     0.00000    0.486379732   -0.467950246   -0.954329978
     1     230    -0.32687     0.00000     0.00000    0.543390232   -0.397358768   -0.940749000
     1     230     0.00000     0.00000     0.08568    0.010412979   -1.045292021   -1.055705000
     1     230     0.00000     0.00000     0.07140    0.011412985   -1.041516739   -1.052929724
     1     230     0.00000     0.00000     0.05712    0.016940340   -1.036318631   -1.053258970
     1     230     0.00000     0.00000     0.04284    0.020351226   -1.036090995   -1.056442220
     1     230     0.00000     0.00000     0.02856    0.025693077   -1.037307768   -1.063000845
     1     230     0.00000     0.00000     0.01428    0.031056919   -1.035605096   -1.066662015
     1     230     0.00000     0.00000     0.00000    0.033450209   -1.034109791   -1.067560000
     1     230     0.00000     0.01695     0.00548    0.032406152   -1.034854375   -1.067260527
     1     230     0.00000     0.03389     0.01096    0.030479729   -1.036207592   -1.066687321
     1     230     0.00000     0.05084     0.01644    0.029960732   -1.040703886   -1.070664618
     1     230     0.00000     0.06779     0.02192    0.031750107   -1.039988594   -1.071738701
     1     230     0.00000     0.08473     0.02740    0.032044949   -1.038262393   -1.070307342
