# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     175     0.00000     0.00000     0.00000   -0.867904963   -2.294668963   -1.426764000
     1     175     0.00000     0.00000     0.01609   -0.867341776   -2.294202127   -1.426860351
     1     175     0.00000     0.00000     0.03218   -0.864794307   -2.289298269   -1.424503962
     1     175     0.00000     0.00000     0.04827   -0.860487644   -2.279426552   -1.418938907
     1     175     0.00000     0.00000     0.06436   -0.854920482   -2.267366008   -1.412445526
     1     175     0.00000     0.00000     0.08045   -0.848245313   -2.256779229   -1.408533915
     1     175     0.00000     0.00000     0.09654   -0.841129846   -2.249411846   -1.408282000
     1     175     0.00000    -0.11814     0.00000   -0.958092342   -2.375581342   -1.417489000
     1     175     0.00000    -0.09845     0.00000   -0.977312125   -2.400744827   -1.423432702
     1     175     0.00000    -0.07876     0.00000   -0.990853628   -2.402626902   -1.411773274
     1     175     0.00000    -0.05907     0.00000   -0.960518954   -2.358104954   -1.397586000
     1     175     0.00000    -0.03938     0.00000   -0.920655317   -2.317646796   -1.396991479
     1     175     0.00000    -0.01969     0.00000   -0.884720605   -2.292460079   -1.407739473
     1     175     0.00000     0.00000     0.00000   -0.867904963   -2.294668963   -1.426764000
     1     175     0.04869     0.00000     0.00315   -0.866087619   -2.287591496   -1.421503877
     1     175     0.09739     0.00000     0.00630   -0.867289347   -2.257930759   -1.390641412
     1     175     0.14608     0.00000     0.00945   -0.869812367   -2.222079114   -1.352266747
     1     175     0.19478     0.00000     0.01260   -0.869466684   -2.200885009   -1.331418325
     1     175     0.24347     0.00000     0.01575   -0.884430784   -2.271794854   -1.387364070
     1     175     0.29217     0.00000     0.01890   -0.926427430   -2.312898430   -1.386471000
     1     175     0.29217     0.11814    -0.07764   -0.852614025   -2.182959025   -1.330345000
     1     175     0.24347     0.09845    -0.06470   -0.866271928   -2.214154425   -1.347882497
     1     175     0.19478     0.07876    -0.05176   -0.864936410   -2.225339294   -1.360402884
     1     175     0.14608     0.05907    -0.03882   -0.867234524   -2.234388481   -1.367153957
     1     175     0.09739     0.03938    -0.02588   -0.876485404   -2.255669672   -1.379184269
     1     175     0.04869     0.01969    -0.01294   -0.876869451   -2.289192061   -1.412322610
     1     175     0.00000     0.00000     0.00000   -0.867904963   -2.294668963   -1.426764000
     1     175     0.04869     0.01969     0.00315   -0.876801348   -2.289714634   -1.412913286
     1     175     0.09739     0.03938     0.00630   -0.876297227   -2.250270230   -1.373973002
     1     175     0.14608     0.05907     0.00945   -0.867613468   -2.226157324   -1.358543857
     1     175     0.19478     0.07876     0.01260   -0.865583037   -2.224088171   -1.358505134
     1     175     0.24347     0.09845     0.01575   -0.851846420   -2.194254793   -1.342408373
     1     175     0.29217     0.11814     0.01890   -0.833477515   -2.174342515   -1.340865000
     1     175     0.29217     0.00000    -0.07764   -0.910798305   -2.282112305   -1.371314000
     1     175     0.24347     0.00000    -0.06470   -0.881052008   -2.247606710   -1.366554702
     1     175     0.19478     0.00000    -0.05176   -0.860385658   -2.212986459   -1.352600801
     1     175     0.14608     0.00000    -0.03882   -0.861602183   -2.221643121   -1.360040937
     1     175     0.09739     0.00000    -0.02588   -0.864906087   -2.258861702   -1.393955614
     1     175     0.04869     0.00000    -0.01294   -0.865860523   -2.287740726   -1.421880202
     1     175     0.00000     0.00000     0.00000   -0.867904963   -2.294668963   -1.426764000
     1     175     0.00000     0.01969     0.01609   -0.883621742   -2.289943410   -1.406321668
     1     175     0.00000     0.03938     0.03218   -0.915785068   -2.310614209   -1.394829141
     1     175     0.00000     0.05907     0.04827   -0.949091529   -2.346552263   -1.397460734
     1     175     0.00000     0.07876     0.06436   -0.974947035   -2.376576080   -1.401629044
     1     175     0.00000     0.09845     0.08045   -0.986059693   -2.408569928   -1.422510235
     1     175     0.00000     0.11814     0.09654   -0.987764766   -2.414550766   -1.426786000
     1     176     0.00000     0.00000     0.00000   -0.814060333   -2.201503333   -1.387443000
     1     176     0.00000     0.00000     0.01609   -0.815145468   -2.202608788   -1.387463320
     1     176     0.00000     0.00000     0.03218   -0.817641950   -2.208132079   -1.390490129
     1     176     0.00000     0.00000     0.04827   -0.821629257   -2.218570485   -1.396941228
     1     176     0.00000     0.00000     0.06436   -0.827469422   -2.231492284   -1.404022862
     1     176     0.00000     0.00000     0.08045   -0.834039117   -2.242125399   -1.408086282
     1     176     0.00000     0.00000     0.09654   -0.841107923   -2.249411923   -1.408304000
     1     176     0.00000    -0.11814     0.00000   -0.958088823   -2.375576823   -1.417488000
     1     176     0.00000    -0.09845     0.00000   -0.933894065   -2.348064270   -1.414170205
     1     176     0.00000    -0.07876     0.00000   -0.904528054   -2.303745755   -1.399217701
     1     176     0.00000    -0.05907     0.00000   -0.873068027   -2.267723027   -1.394655000
     1     176     0.00000    -0.03938     0.00000   -0.843329011   -2.231540778   -1.388211767
     1     176     0.00000    -0.01969     0.00000   -0.821657855   -2.202834699   -1.381176844
     1     176     0.00000     0.00000     0.00000   -0.814060333   -2.201503333   -1.387443000
     1     176     0.04869     0.00000     0.00315   -0.809790737   -2.189509426   -1.379718689
     1     176     0.09739     0.00000     0.00630   -0.817125782   -2.168074162   -1.350948381
     1     176     0.14608     0.00000     0.00945   -0.829648320   -2.172146585   -1.342498265
     1     176     0.19478     0.00000     0.01260   -0.846924858   -2.210197954   -1.363273096
     1     176     0.24347     0.00000     0.01575   -0.877308846   -2.198717131   -1.321408284
     1     176     0.29217     0.00000     0.01890   -0.886050468   -2.193379468   -1.307329000
     1     176     0.29217     0.11814    -0.07764   -0.852589263   -2.182953263   -1.330364000
     1     176     0.24347     0.09845    -0.06470   -0.846827787   -2.185223622   -1.338395834
     1     176     0.19478     0.07876    -0.05176   -0.838269748   -2.186919149   -1.348649401
     1     176     0.14608     0.05907    -0.03882   -0.835206037   -2.184518043   -1.349312006
     1     176     0.09739     0.03938    -0.02588   -0.831626351   -2.183203253   -1.351576901
     1     176     0.04869     0.01969    -0.01294   -0.818625250   -2.191624468   -1.372999218
     1     176     0.00000     0.00000     0.00000   -0.814060333   -2.201503333   -1.387443000
     1     176     0.04869     0.01969     0.00315   -0.816667839   -2.190413879   -1.373746040
     1     176     0.09739     0.03938     0.00630   -0.826817068   -2.181790857   -1.354973789
     1     176     0.14608     0.05907     0.00945   -0.830473329   -2.183736711   -1.353263383
     1     176     0.19478     0.07876     0.01260   -0.834293371   -2.179179432   -1.344886061
     1     176     0.24347     0.09845     0.01575   -0.834662800   -2.171018998   -1.336356198
     1     176     0.29217     0.11814     0.01890   -0.833469539   -2.174334539   -1.340865000
     1     176     0.29217     0.00000    -0.07764   -0.910786058   -2.282100058   -1.371314000
     1     176     0.24347     0.00000    -0.06470   -0.879227431   -2.245931729   -1.366704298
     1     176     0.19478     0.00000    -0.05176   -0.857879700   -2.208159513   -1.350279813
     1     176     0.14608     0.00000    -0.03882   -0.845914803   -2.181334740   -1.335419937
     1     176     0.09739     0.00000    -0.02588   -0.828547981   -2.170185602   -1.341637620
     1     176     0.04869     0.00000    -0.01294   -0.811991619   -2.189481226   -1.377489607
     1     176     0.00000     0.00000     0.00000   -0.814060333   -2.201503333   -1.387443000
     1     176     0.00000     0.01969     0.01609   -0.822783660   -2.204346371   -1.381562711
     1     176     0.00000     0.03938     0.03218   -0.848675566   -2.240742481   -1.392066915
     1     176     0.00000     0.05907     0.04827   -0.887007890   -2.278594465   -1.391586576
     1     176     0.00000     0.07876     0.06436   -0.929838539   -2.326917951   -1.397079412
     1     176     0.00000     0.09845     0.08045   -0.968940180   -2.388860359   -1.419920179
     1     176     0.00000     0.11814     0.09654   -0.987759874   -2.414545874   -1.426786000
     1     177     0.00000     0.00000     0.00000   -0.736019422   -1.971295422   -1.235276000
     1     177     0.00000     0.00000     0.01609   -0.734220616   -1.969783877   -1.235563261
     1     177     0.00000     0.00000     0.03218   -0.728888354   -1.963682135   -1.234793781
     1     177     0.00000     0.00000     0.04827   -0.720376119   -1.951592884   -1.231216765
     1     177     0.00000     0.00000     0.06436   -0.709507840   -1.936135654   -1.226627814
     1     177     0.00000     0.00000     0.08045   -0.697324872   -1.921463416   -1.224138544
     1     177     0.00000     0.00000     0.09654   -0.684596563   -1.908675563   -1.224079000
     1     177     0.00000    -0.11814     0.00000   -0.617041050   -1.871520050   -1.254479000
     1     177     0.00000    -0.09845     0.00000   -0.631261297   -1.885041552   -1.253780255
     1     177     0.00000    -0.07876     0.00000   -0.650191427   -1.903638331   -1.253446904
     1     177     0.00000    -0.05907     0.00000   -0.673684755   -1.927563755   -1.253879000
     1     177     0.00000    -0.03938     0.00000   -0.700234245   -1.957322971   -1.257088726
     1     177     0.00000    -0.01969     0.00000   -0.724961021   -1.977200772   -1.252239751
     1     177     0.00000     0.00000     0.00000   -0.736019422   -1.971295422   -1.235276000
     1     177     0.04869     0.00000     0.00315   -0.728858352   -1.972671224   -1.243812872
     1     177     0.09739     0.00000     0.00630   -0.695121343   -1.949024768   -1.253903425
     1     177     0.14608     0.00000     0.00945   -0.660633416   -1.897892948   -1.237259532
     1     177     0.19478     0.00000     0.01260   -0.631219860   -1.825372003   -1.194152144
     1     177     0.24347     0.00000     0.01575   -0.608602081   -1.791321218   -1.182719137
     1     177     0.29217     0.00000     0.01890   -0.605735434   -1.790310434   -1.184575000
     1     177     0.29217     0.11814    -0.07764   -0.557696127   -1.734652127   -1.176956000
     1     177     0.24347     0.09845    -0.06470   -0.580751625   -1.754186055   -1.173434429
     1     177     0.19478     0.07876    -0.05176   -0.625613042   -1.819663469   -1.194050427
     1     177     0.14608     0.05907    -0.03882   -0.669845507   -1.896474446   -1.226628939
     1     177     0.09739     0.03938    -0.02588   -0.700603395   -1.952794349   -1.252190954
     1     177     0.04869     0.01969    -0.01294   -0.725819086   -1.980123373   -1.254304287
     1     177     0.00000     0.00000     0.00000   -0.736019422   -1.971295422   -1.235276000
     1     177     0.04869     0.01969     0.00315   -0.720576695   -1.973459907   -1.252883212
     1     177     0.09739     0.03938     0.00630   -0.693235725   -1.941737629   -1.248501903
     1     177     0.14608     0.05907     0.00945   -0.671776217   -1.900792810   -1.229016592
     1     177     0.19478     0.07876     0.01260   -0.628424037   -1.824360434   -1.195936398
     1     177     0.24347     0.09845     0.01575   -0.587126720   -1.763919346   -1.176792625
     1     177     0.29217     0.11814     0.01890   -0.572059860   -1.752245860   -1.180186000
     1     177     0.29217     0.00000    -0.07764   -0.576661042   -1.750592042   -1.173931000
     1     177     0.24347     0.00000    -0.06470   -0.587030942   -1.759854980   -1.172824038
     1     177     0.19478     0.00000    -0.05176   -0.622260186   -1.814404447   -1.192144261
     1     177     0.14608     0.00000    -0.03882   -0.665012815   -1.887867835   -1.222855021
     1     177     0.09739     0.00000    -0.02588   -0.707128796   -1.969072223   -1.261943427
     1     177     0.04869     0.00000    -0.01294   -0.735039661   -1.979819982   -1.244780321
     1     177     0.00000     0.00000     0.00000   -0.736019422   -1.971295422   -1.235276000
     1     177     0.00000     0.01969     0.01609   -0.723168334   -1.976375058   -1.253206724
     1     177     0.00000     0.03938     0.03218   -0.693690740   -1.949194902   -1.255504162
     1     177     0.00000     0.05907     0.04827   -0.661317376   -1.916513374   -1.255195998
     1     177     0.00000     0.07876     0.06436   -0.632827036   -1.887553934   -1.254726898
     1     177     0.00000     0.09845     0.08045   -0.612511954   -1.871632489   -1.259120535
     1     177     0.00000     0.11814     0.09654   -0.605057891   -1.867995891   -1.262938000
     1     178     0.00000     0.00000     0.00000   -0.621382173   -1.819634173   -1.198252000
     1     178     0.00000     0.00000     0.01609   -0.626770289   -1.837137771   -1.210367482
     1     178     0.00000     0.00000     0.03218   -0.636530117   -1.853248843   -1.216718727
     1     178     0.00000     0.00000     0.04827   -0.647699649   -1.866861552   -1.219161904
     1     178     0.00000     0.00000     0.06436   -0.659415638   -1.881157425   -1.221741787
     1     178     0.00000     0.00000     0.08045   -0.671725485   -1.895548164   -1.223822679
     1     178     0.00000     0.00000     0.09654   -0.684589367   -1.908669367   -1.224080000
     1     178     0.00000    -0.11814     0.00000   -0.617032186   -1.871511186   -1.254479000
     1     178     0.00000    -0.09845     0.00000   -0.608140466   -1.864233644   -1.256093178
     1     178     0.00000    -0.07876     0.00000   -0.603383396   -1.867176724   -1.263793328
     1     178     0.00000    -0.05907     0.00000   -0.602077815   -1.868536815   -1.266459000
     1     178     0.00000    -0.03938     0.00000   -0.603398216   -1.871571345   -1.268173129
     1     178     0.00000    -0.01969     0.00000   -0.615750493   -1.826473613   -1.210723120
     1     178     0.00000     0.00000     0.00000   -0.621382173   -1.819634173   -1.198252000
     1     178     0.04869     0.00000     0.00315   -0.652070147   -1.881623388   -1.229553241
     1     178     0.09739     0.00000     0.00630   -0.670878094   -1.917248280   -1.246370186
     1     178     0.14608     0.00000     0.00945   -0.659127634   -1.881630533   -1.222502898
     1     178     0.19478     0.00000     0.01260   -0.617725345   -1.798338795   -1.180613450
     1     178     0.24347     0.00000     0.01575   -0.566648878   -1.733375370   -1.166726493
     1     178     0.29217     0.00000     0.01890   -0.548863756   -1.718156756   -1.169293000
     1     178     0.29217     0.11814    -0.07764   -0.557687206   -1.734643206   -1.176956000
     1     178     0.24347     0.09845    -0.06470   -0.577686300   -1.749886445   -1.172200145
     1     178     0.19478     0.07876    -0.05176   -0.621236641   -1.813029839   -1.191793198
     1     178     0.14608     0.05907    -0.03882   -0.648612582   -1.878377838   -1.229765256
     1     178     0.09739     0.03938    -0.02588   -0.647069430   -1.893855202   -1.246785773
     1     178     0.04869     0.01969    -0.01294   -0.637272426   -1.871360769   -1.234088343
     1     178     0.00000     0.00000     0.00000   -0.621382173   -1.819634173   -1.198252000
     1     178     0.04869     0.01969     0.00315   -0.647780633   -1.882942834   -1.235162201
     1     178     0.09739     0.03938     0.00630   -0.659988593   -1.905117475   -1.245128882
     1     178     0.14608     0.05907     0.00945   -0.649034747   -1.877417867   -1.228383121
     1     178     0.19478     0.07876     0.01260   -0.615703061   -1.810488133   -1.194785072
     1     178     0.24347     0.09845     0.01575   -0.575082896   -1.750594670   -1.175511774
     1     178     0.29217     0.11814     0.01890   -0.572046661   -1.752231661   -1.180185000
     1     178     0.29217     0.00000    -0.07764   -0.576655340   -1.750586340   -1.173931000
     1     178     0.24347     0.00000    -0.06470   -0.581284673   -1.752657155   -1.171372482
     1     178     0.19478     0.00000    -0.05176   -0.618665089   -1.797197725   -1.178532636
     1     178     0.14608     0.00000    -0.03882   -0.644928482   -1.881204619   -1.236276137
     1     178     0.09739     0.00000    -0.02588   -0.650755887   -1.896585770   -1.245829883
     1     178     0.04869     0.00000    -0.01294   -0.640680421   -1.869648614   -1.228968193
     1     178     0.00000     0.00000     0.00000   -0.621382173   -1.819634173   -1.198252000
     1     178     0.00000     0.01969     0.01609   -0.621715627   -1.848631206   -1.226915579
     1     178     0.00000     0.03938     0.03218   -0.618978738   -1.862051217   -1.243072479
     1     178     0.00000     0.05907     0.04827   -0.614161034   -1.865224759   -1.251063725
     1     178     0.00000     0.07876     0.06436   -0.609448861   -1.861954370   -1.252505509
     1     178     0.00000     0.09845     0.08045   -0.606086590   -1.865979576   -1.259892986
     1     178     0.00000     0.11814     0.09654   -0.605051989   -1.867989989   -1.262938000
     1     179     0.00000     0.00000     0.00000   -0.606137099   -1.878125099   -1.271988000
     1     179     0.00000     0.00000     0.01609   -0.601420499   -1.860602549   -1.259182050
     1     179     0.00000     0.00000     0.03218   -0.593829148   -1.845183455   -1.251354306
     1     179     0.00000     0.00000     0.04827   -0.586282565   -1.837127302   -1.250844736
     1     179     0.00000     0.00000     0.06436   -0.579761905   -1.834561217   -1.254799313
