# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     115     0.00000     0.00000     0.00000   -0.964539776   -2.430006776   -1.465467000
     1     115    -0.00000     0.03125    -0.00000   -0.959822407   -2.414246675   -1.454424268
     1     115    -0.00000     0.06249    -0.00000   -0.963657181   -2.435974026   -1.472316844
     1     115    -0.00000     0.09374    -0.00000   -0.970052177   -2.434397838   -1.464345661
     1     115    -0.00000     0.12498    -0.00000   -0.970779829   -2.331723293   -1.360943464
     1     115    -0.00000     0.15623     0.00000   -0.930095364   -2.270172044   -1.340076680
     1     115    -0.00000     0.18747    -0.00000   -0.902971678   -2.286971160   -1.383999482
     1     115     0.00000     0.21872    -0.00000   -0.901169644   -2.290835310   -1.389665666
     1     115    -0.00000     0.24996    -0.00000   -0.904155663   -2.304988949   -1.400833286
     1     115     0.00000     0.28121    -0.00000   -0.909277215   -2.312994968   -1.403717753
     1     115    -0.00000     0.31246    -0.00000   -0.914101184   -2.312246949   -1.398145765
     1     115     0.00000     0.34370     0.00000   -0.916508802   -2.305054633   -1.388545832
     1     115    -0.14565     0.30937    -0.03475   -0.916508802   -2.305054633   -1.388545832
     1     115    -0.14565     0.28125    -0.03475   -0.914369144   -2.292673875   -1.378304731
     1     115    -0.14565     0.25312    -0.03475   -0.905797771   -2.273212638   -1.367414867
     1     115    -0.14565     0.22500    -0.03475   -0.889790385   -2.242570452   -1.352780067
     1     115    -0.14565     0.19687    -0.03475   -0.874340181   -2.240685208   -1.366345027
     1     115    -0.14565     0.16875    -0.03475   -0.876406246   -2.254959369   -1.378553122
     1     115    -0.14565     0.14062    -0.03475   -0.918066376   -2.293341687   -1.375275311
     1     115    -0.14565     0.11250    -0.03475   -0.976488381   -2.403488592   -1.427000211
     1     115    -0.14565     0.08437    -0.03475   -1.014921702   -2.487017436   -1.472095734
     1     115    -0.14565     0.05625    -0.03475   -1.035462724   -2.526162025   -1.490699300
     1     115    -0.14565     0.02813    -0.03475   -1.026282385   -2.391712910   -1.365430525
     1     115    -0.14565    -0.00000    -0.03475   -1.011933762   -2.368360762   -1.356427000
     1     115    -0.12484     0.00000    -0.02979   -1.009483385   -2.368000882   -1.358517497
     1     115    -0.10403    -0.00000    -0.02482   -1.002733287   -2.374868336   -1.372135049
     1     115    -0.08323     0.00000    -0.01986   -0.993566343   -2.397672498   -1.404106156
     1     115    -0.06242    -0.00000    -0.01489   -0.987533901   -2.399002807   -1.411468906
     1     115    -0.04161     0.00000    -0.00993   -0.980397498   -2.438900410   -1.458502912
     1     115    -0.02081    -0.00000    -0.00496   -0.968834623   -2.433062383   -1.464227760
     1     115     0.00000     0.00000     0.00000   -0.964539776   -2.430006776   -1.465467000
     1     115    -0.02081    -0.00000     0.01064   -0.969742727   -2.434303593   -1.464560866
     1     115    -0.04161     0.00000     0.02128   -0.982594549   -2.442160252   -1.459565703
     1     115    -0.06242    -0.00000     0.03191   -0.986504574   -2.343705525   -1.357200950
     1     115    -0.08323     0.00000     0.04255   -0.973054043   -2.329942494   -1.356888450
     1     115    -0.10403    -0.00000     0.05319   -0.955195843   -2.382135439   -1.426939596
     1     115    -0.12484     0.00000     0.06383   -0.936702127   -2.363004504   -1.426302377
     1     115    -0.14565    -0.00000     0.07446   -0.926149465   -2.365431465   -1.439282000
     1     115    -0.14565     0.02865     0.07446   -0.925055669   -2.361249674   -1.436194005
     1     115    -0.14565     0.05731     0.07446   -0.919335540   -2.343674520   -1.424338980
     1     115    -0.14565     0.08596     0.07446   -0.905449313   -2.311250941   -1.405801628
     1     115    -0.14565     0.11461     0.07446   -0.879663348   -2.266727267   -1.387063919
     1     115    -0.14565     0.14326     0.07446   -0.839770948   -2.203278573   -1.363507625
     1     115    -0.14565     0.17192     0.07446   -0.828732095   -2.183832764   -1.355100669
     1     115    -0.14565     0.20057     0.07446   -0.844585827   -2.211333202   -1.366747374
     1     115    -0.14565     0.22922     0.07446   -0.860129552   -2.244435111   -1.384305560
     1     115    -0.14565     0.25788     0.07446   -0.872119733   -2.267818359   -1.395698626
     1     115    -0.14565     0.28653     0.07446   -0.880360451   -2.280166284   -1.399805833
     1     115    -0.14565     0.31518     0.07446   -0.885913352   -2.287245894   -1.401332543
     1     115    -0.00000     0.33789     0.10921   -0.885913352   -2.287245894   -1.401332543
     1     115     0.00000     0.30717     0.10921   -0.890130446   -2.291642506   -1.401512060
     1     115    -0.00000     0.27646     0.10921   -0.893063783   -2.292059627   -1.398995844
     1     115     0.00000     0.24574     0.10921   -0.895045526   -2.284977484   -1.389931957
     1     115     0.00000     0.21502     0.10921   -0.896742523   -2.270056684   -1.373314162
     1     115    -0.00000     0.18430     0.10921   -0.900747137   -2.262341616   -1.361594479
     1     115     0.00000     0.15359     0.10921   -0.910924505   -2.281462708   -1.370538203
     1     115     0.00000     0.12287     0.10921   -0.926060735   -2.328841794   -1.402781060
     1     115    -0.00000     0.09215     0.10921   -0.941032530   -2.386996133   -1.445963603
     1     115     0.00000     0.06143     0.10921   -0.951086403   -2.431763563   -1.480677160
     1     115    -0.00000     0.03072     0.10921   -0.953887856   -2.446481430   -1.492593574
