# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     151     0.00000     0.00000     0.00000    0.042769434   -1.098950566   -1.141720000
     1     151     0.00000     0.04084     0.00000    0.021305894   -1.123433930   -1.144739824
     1     151     0.00000     0.08168     0.00000   -0.045493809   -1.206517195   -1.161023386
     1     151     0.00000     0.12252     0.00000   -0.145625636   -1.290553203   -1.144927568
     1     151     0.00000     0.16336     0.00000   -0.191564783   -1.498031027   -1.306466244
     1     151     0.00000     0.20420     0.00000   -0.222711180   -1.606009052   -1.383297873
     1     151     0.00000     0.24504     0.00000   -0.251327476   -1.636450902   -1.385123426
     1     151     0.00000     0.28588     0.00000   -0.277496253   -1.661555201   -1.384058948
     1     151     0.00000     0.32672     0.00000   -0.300556241   -1.687481991   -1.386925751
     1     151     0.00000     0.36756     0.00000   -0.319778978   -1.693847914   -1.374068936
     1     151     0.00000     0.40840     0.00000   -0.333431972   -1.621009767   -1.287577795
     1     151     0.00000     0.44924     0.00000   -0.334303316   -1.595366316   -1.261063000
     1     151     0.00000     0.44924     0.01329   -0.335098912   -1.604675024   -1.269576113
     1     151     0.00000     0.44924     0.02657   -0.335765262   -1.609630932   -1.273865670
     1     151     0.00000     0.44924     0.03986   -0.335540280   -1.589603500   -1.254063220
     1     151     0.00000     0.44924     0.05314   -0.334821078   -1.556510231   -1.221689153
     1     151     0.00000     0.44924     0.06643   -0.333998258   -1.524308640   -1.190310382
     1     151     0.00000     0.44924     0.07971   -0.333378605   -1.509245552   -1.175866948
     1     151     0.00000     0.44924     0.09300   -0.333167948   -1.507952948   -1.174785000
     1     151     0.00000     0.40840     0.09300   -0.317997047   -1.517178131   -1.199181084
     1     151     0.00000     0.36756     0.09300   -0.276474457   -1.576395418   -1.299920961
     1     151     0.00000     0.32672     0.09300   -0.238463959   -1.579696322   -1.341232363
     1     151     0.00000     0.28588     0.09300   -0.217332151   -1.567428554   -1.350096403
     1     151     0.00000     0.24504     0.09300   -0.195051363   -1.581184897   -1.386133534
     1     151     0.00000     0.20420     0.09300   -0.167729122   -1.552465354   -1.384736232
     1     151     0.00000     0.16336     0.09300   -0.132141131   -1.423473041   -1.291331910
     1     151     0.00000     0.12252     0.09300   -0.077270539   -1.310585670   -1.233315131
     1     151     0.00000     0.08168     0.09300    0.000831395   -1.222746277   -1.223577672
     1     151     0.00000     0.04084     0.09300    0.063377806   -1.099601357   -1.162979162
     1     151     0.00000     0.00000     0.09300    0.085815182   -1.058169818   -1.143985000
     1     151     0.00000     0.00000     0.07971    0.081052826   -1.063492395   -1.144545222
     1     151     0.00000     0.00000     0.06643    0.074210999   -1.073028684   -1.147239683
     1     151     0.00000     0.00000     0.05314    0.065992328   -1.084613471   -1.150605799
     1     151     0.00000     0.00000     0.03986    0.057457458   -1.093585459   -1.151042917
