# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      83     0.00000     0.00000     0.00000   -2.921746477   -4.649450477   -1.727704000
     1      83    -0.01633     0.01268    -0.00007   -2.921032821   -4.646025569   -1.724992748
     1      83    -0.03265     0.02536    -0.00014   -2.918376718   -4.632386086   -1.714009369
     1      83    -0.04898     0.03804    -0.00022   -2.912726642   -4.615358397   -1.702631754
     1      83    -0.06531     0.05073    -0.00029   -2.903079740   -4.599769465   -1.696689725
     1      83    -0.08163     0.06341    -0.00036   -2.888862420   -4.585042944   -1.696180524
     1      83    -0.09796     0.07609    -0.00043   -2.870443311   -4.568302683   -1.697859373
     1      83    -0.11429     0.08877    -0.00050   -2.848729211   -4.553514215   -1.704785005
     1      83    -0.13061     0.10145    -0.00058   -2.825529871   -4.535795121   -1.710265250
     1      83    -0.14694     0.11413    -0.00065   -2.805141558   -4.512667843   -1.707526285
     1      83    -0.14694     0.11413     0.00950   -2.808852931   -4.518475374   -1.709622442
     1      83    -0.14694     0.11413     0.01964   -2.812888187   -4.524033916   -1.711145729
     1      83    -0.14694     0.11413     0.02978   -2.816962272   -4.529050286   -1.712088014
     1      83    -0.14694     0.11413     0.03993   -2.820861385   -4.533106875   -1.712245490
     1      83    -0.14694     0.11413     0.05007   -2.824431624   -4.536082653   -1.711651029
     1      83    -0.14694     0.11413     0.06022   -2.827520392   -4.538126828   -1.710606436
     1      83    -0.14694     0.11413     0.07036   -2.830064080   -4.539637530   -1.709573451
     1      83    -0.13061     0.10145     0.07043   -2.846871892   -4.545308776   -1.698436884
     1      83    -0.11429     0.08877     0.07050   -2.862723933   -4.560171560   -1.697447627
     1      83    -0.09796     0.07609     0.07058   -2.877273696   -4.579345437   -1.702071741
     1      83    -0.08163     0.06341     0.07065   -2.890121653   -4.597045698   -1.706924045
     1      83    -0.06531     0.05073     0.07072   -2.900337946   -4.609066066   -1.708728120
     1      83    -0.04898     0.03804     0.07079   -2.906720069   -4.617036161   -1.710316092
     1      83    -0.03265     0.02536     0.07086   -2.908847309   -4.623759968   -1.714912658
     1      83    -0.01633     0.01268     0.07094   -2.907067246   -4.636171953   -1.729104707
     1      83     0.00000     0.00000     0.07101   -2.902160639   -4.639569602   -1.737408963
     1      83     0.00000     0.00000     0.06086   -2.906946461   -4.641503190   -1.734556729
     1      83     0.00000     0.00000     0.05072   -2.911220256   -4.643236720   -1.732016464
     1      83     0.00000     0.00000     0.04058   -2.914856920   -4.644763843   -1.729906923
     1      83     0.00000     0.00000     0.03043   -2.917816440   -4.646281028   -1.728464588
     1      83     0.00000     0.00000     0.02029   -2.919970120   -4.647812215   -1.727842095
     1      83     0.00000     0.00000     0.01014   -2.921294067   -4.649019698   -1.727725631
     1      83     0.00000     0.00000     0.00000   -2.921746477   -4.649450477   -1.727704000
     1      83    -0.16805    -0.01640     0.06990   -2.799613066   -4.454734903   -1.655121836
     1      83    -0.15278    -0.01491     0.06355   -2.822448074   -4.480522933   -1.658074859
     1      83    -0.13750    -0.01342     0.05719   -2.843994329   -4.513117592   -1.669123263
     1      83    -0.12222    -0.01193     0.05084   -2.862783596   -4.545984425   -1.683200829
     1      83    -0.10694    -0.01044     0.04448   -2.877956186   -4.569968579   -1.692012393
     1      83    -0.09167    -0.00895     0.03813   -2.889614750   -4.589523441   -1.699908691
     1      83    -0.07639    -0.00746     0.03177   -2.898653144   -4.597923988   -1.699270844
     1      83    -0.06111    -0.00596     0.02542   -2.906156987   -4.609656188   -1.703499201
     1      83    -0.04583    -0.00447     0.01906   -2.912489281   -4.633445080   -1.720955799
     1      83    -0.03056    -0.00298     0.01271   -2.917485373   -4.644358787   -1.726873413
     1      83    -0.01528    -0.00149     0.00636   -2.920647682   -4.648266062   -1.727618379
     1      83     0.00000     0.00000     0.00000   -2.921746477   -4.649450477   -1.727704000
     1      83    -0.01528    -0.00149    -0.00010   -2.920217066   -4.647833260   -1.727616194
     1      83    -0.03056    -0.00298    -0.00020   -2.915869061   -4.641458665   -1.725589604
     1      83    -0.04583    -0.00447    -0.00030   -2.909375025   -4.624237907   -1.714862882
     1      83    -0.06111    -0.00596    -0.00040   -2.902052388   -4.602658905   -1.700606517
     1      83    -0.07639    -0.00746    -0.00050   -2.895659300   -4.595165707   -1.699506408
     1      83    -0.09167    -0.00895    -0.00060   -2.891004113   -4.591861665   -1.700857551
     1      83    -0.10694    -0.01044    -0.00070   -2.886716723   -4.567472657   -1.680755934
     1      83    -0.12222    -0.01193    -0.00080   -2.880547819   -4.535945261   -1.655397442
     1      83    -0.13750    -0.01342    -0.00090   -2.871244269   -4.516336604   -1.645092335
     1      83    -0.15278    -0.01491    -0.00100   -2.858635909   -4.500443173   -1.641807265
     1      83    -0.16805    -0.01640    -0.00110   -2.843400347   -4.485352977   -1.641952630
     1      84     0.00000     0.00000     0.00000   -2.837103595   -4.396174595   -1.559071000
     1      84    -0.01633     0.01268    -0.00007   -2.833645220   -4.408341055   -1.574695835
     1      84    -0.03265     0.02536    -0.00014   -2.824287202   -4.459511156   -1.635223955
     1      84    -0.04898     0.03804    -0.00022   -2.811554359   -4.504233714   -1.692679355
     1      84    -0.06531     0.05073    -0.00029   -2.800731458   -4.530331541   -1.729600082
     1      84    -0.08163     0.06341    -0.00036   -2.795037741   -4.531217488   -1.736179746
     1      84    -0.09796     0.07609    -0.00043   -2.786665892   -4.517042067   -1.730376175
     1      84    -0.11429     0.08877    -0.00050   -2.776175987   -4.481344808   -1.705168821
     1      84    -0.13061     0.10145    -0.00058   -2.766806388   -4.454468205   -1.687661817
     1      84    -0.14694     0.11413    -0.00065   -2.760743687   -4.476207565   -1.715463878
     1      84    -0.14694     0.11413     0.00950   -2.755270110   -4.471167897   -1.715897787
     1      84    -0.14694     0.11413     0.01964   -2.750095770   -4.458297626   -1.708201856
     1      84    -0.14694     0.11413     0.02978   -2.748187051   -4.397950341   -1.649763290
     1      84    -0.14694     0.11413     0.03993   -2.751527654   -4.399770122   -1.648242469
     1      84    -0.14694     0.11413     0.05007   -2.755600573   -4.399333239   -1.643732666
     1      84    -0.14694     0.11413     0.06022   -2.759963589   -4.399860279   -1.639896690
     1      84    -0.14694     0.11413     0.07036   -2.764408005   -4.401200329   -1.636792324
     1      84    -0.13061     0.10145     0.07043   -2.752217436   -4.420145871   -1.667928435
     1      84    -0.11429     0.08877     0.07050   -2.759060419   -4.480516636   -1.721456218
     1      84    -0.09796     0.07609     0.07058   -2.775638752   -4.494749497   -1.719110746
     1      84    -0.08163     0.06341     0.07065   -2.789774168   -4.497759959   -1.707985791
     1      84    -0.06531     0.05073     0.07072   -2.799500678   -4.491691793   -1.692191115
     1      84    -0.04898     0.03804     0.07079   -2.806749917   -4.458518708   -1.651768791
     1      84    -0.03265     0.02536     0.07086   -2.815480036   -4.444302062   -1.628822026
     1      84    -0.01633     0.01268     0.07094   -2.826232286   -4.474194449   -1.647962164
     1      84     0.00000     0.00000     0.07101   -2.834815697   -4.530175995   -1.695360298
     1      84     0.00000     0.00000     0.06086   -2.833493380   -4.494248668   -1.660755288
     1      84     0.00000     0.00000     0.05072   -2.833336476   -4.457997207   -1.624660731
     1      84     0.00000     0.00000     0.04058   -2.834029392   -4.428445784   -1.594416392
     1      84     0.00000     0.00000     0.03043   -2.835094152   -4.409113775   -1.574019623
     1      84     0.00000     0.00000     0.02029   -2.836135584   -4.399973315   -1.563837731
     1      84     0.00000     0.00000     0.01014   -2.836879949   -4.396961633   -1.560081683
     1      84     0.00000     0.00000     0.00000   -2.837103595   -4.396174595   -1.559071000
     1      84    -0.16805    -0.01640     0.06990   -2.757841171   -4.441855589   -1.684014418
     1      84    -0.15278    -0.01491     0.06355   -2.749248472   -4.427020258   -1.677771786
