# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     317     0.00000     0.00000     0.00000   -0.706845594   -1.796599901   -1.089754307
     1     317     0.00000     0.00000     0.03359   -0.703500674   -1.778954281   -1.075453607
     1     317     0.00000     0.00000     0.06717   -0.695312530   -1.881970720   -1.186658189
     1     317     0.00000     0.00000     0.10076   -0.684168342   -1.771027208   -1.086858866
     1     317     0.00000     0.00000     0.13434   -0.631205952   -1.628642654   -0.997436702
     1     317     0.00000     0.00000     0.16793   -0.544514810   -1.493137684   -0.948622874
     1     317     0.00000     0.00000     0.20151   -0.443520635   -1.404882450   -0.961361816
     1     317     0.00000     0.00000     0.23510   -0.379188220   -1.383582998   -1.004394778
     1     317     0.00000     0.00000     0.26868   -0.362991521   -1.368651848   -1.005660327
     1     317     0.00000     0.00000     0.30227   -0.353722305   -1.362667200   -1.008944895
     1     317     0.00000     0.00000     0.33585   -0.348623093   -1.356867338   -1.008244245
     1     317     0.00000     0.00000     0.33585   -0.348623093   -1.356867338   -1.008244245
     1     317     0.00000     0.00780     0.33585   -0.348442594   -1.356792411   -1.008349817
     1     317     0.00000     0.01560     0.33585   -0.347977134   -1.356645007   -1.008667873
     1     317     0.00000     0.02340     0.33585   -0.347127744   -1.356327575   -1.009199832
     1     317     0.00000     0.03120     0.33585   -0.345931482   -1.355875323   -1.009943841
     1     317     0.00000     0.03900     0.33585   -0.344323007   -1.355212907   -1.010889900
     1     317     0.00000     0.04680     0.33585   -0.342308099   -1.354327959   -1.012019860
     1     317     0.00000     0.05460     0.33585   -0.339981407   -1.353282513   -1.013301106
     1     317     0.00000     0.06240     0.33585   -0.337503005   -1.352191107   -1.014688102
     1     317     0.00000     0.07020     0.33585   -0.335318553   -1.351509151   -1.016190598
     1     317     0.00000     0.07800     0.33585   -0.334346984   -1.352199473   -1.017852490
     1     317     0.00000     0.07800     0.33585   -0.334346984   -1.352199473   -1.017852490
     1     317     0.00000     0.07800     0.30227   -0.336222798   -1.347024826   -1.010802028
     1     317     0.00000     0.07800     0.26868   -0.344100553   -1.337736090   -0.993635536
     1     317     0.00000     0.07800     0.23510   -0.369081384   -1.351898028   -0.982816644
     1     317     0.00000     0.07800     0.20151   -0.441030393   -1.411208526   -0.970178133
     1     317     0.00000     0.07800     0.16793   -0.539275201   -1.506768152   -0.967492951
     1     317     0.00000     0.07800     0.13434   -0.619873236   -1.646068383   -1.026195147
     1     317     0.00000     0.07800     0.10076   -0.659843127   -1.739062758   -1.079219632
     1     317     0.00000     0.07800     0.06717   -0.677504320   -1.779350215   -1.101845895
     1     317     0.00000     0.07800     0.03359   -0.688798950   -1.800296939   -1.111497988
     1     317     0.00000     0.07800     0.00000   -0.692356913   -1.788412545   -1.096055632
     1     317     0.00000     0.07800     0.00000   -0.692356913   -1.788412545   -1.096055632
     1     317     0.00000     0.07020     0.00000   -0.695601003   -1.798021839   -1.102420836
     1     317     0.00000     0.06240     0.00000   -0.698157132   -1.798472537   -1.100315405
     1     317     0.00000     0.05460     0.00000   -0.700005779   -1.797418098   -1.097412319
     1     317     0.00000     0.04680     0.00000   -0.701348283   -1.794251663   -1.092903380
     1     317     0.00000     0.03900     0.00000   -0.702507664   -1.789672380   -1.087164715
     1     317     0.00000     0.03120     0.00000   -0.703703233   -1.786886324   -1.083183091
     1     317     0.00000     0.02340     0.00000   -0.704917904   -1.788479475   -1.083561571
     1     317     0.00000     0.01560     0.00000   -0.705941290   -1.792240105   -1.086298814
     1     317     0.00000     0.00780     0.00000   -0.706609841   -1.795407664   -1.088797823
     1     317     0.00000     0.00000     0.00000   -0.706845594   -1.796599901   -1.089754307
     1     317     0.00000     0.00000     0.00000   -0.706845594   -1.796599901   -1.089754307
     1     317     0.00738     0.00000     0.00000   -0.706730177   -1.796658727   -1.089928550
     1     317     0.01476     0.00000     0.00000   -0.706387752   -1.796798125   -1.090410373
     1     317     0.02215     0.00000     0.00000   -0.705812322   -1.796910254   -1.091097932
     1     317     0.02953     0.00000     0.00000   -0.705116277   -1.796977457   -1.091861180
     1     317     0.03691     0.00000     0.00000   -0.704332661   -1.796904740   -1.092572079
     1     317     0.04429     0.00000     0.00000   -0.703498777   -1.796664409   -1.093165632
     1     317     0.05168     0.00000     0.00000   -0.702642168   -1.796236032   -1.093593864
     1     317     0.05906     0.00000     0.00000   -0.701831660   -1.795690304   -1.093858644
     1     317     0.06644     0.00000     0.00000   -0.701033589   -1.795046322   -1.094012733
     1     317     0.07382     0.00000     0.00000   -0.700306795   -1.811494674   -1.111187879
     1     317     0.07382     0.00000     0.00000   -0.700306795   -1.811494674   -1.111187879
     1     317     0.07382     0.00000     0.03359   -0.700038728   -1.809202454   -1.109163727
     1     317     0.07382     0.00000     0.06717   -0.695945310   -1.761700618   -1.065755308
     1     317     0.07382     0.00000     0.10076   -0.674740172   -1.698306052   -1.023565880
     1     317     0.07382     0.00000     0.13434   -0.622166935   -1.612066128   -0.989899193
     1     317     0.07382     0.00000     0.16793   -0.540082939   -1.493197644   -0.953114705
     1     317     0.07382     0.00000     0.20151   -0.441395223   -1.402983594   -0.961588371
     1     317     0.07382     0.00000     0.23510   -0.378950712   -1.373816292   -0.994865580
     1     317     0.07382     0.00000     0.26868   -0.363783640   -1.365223107   -1.001439468
     1     317     0.07382     0.00000     0.30227   -0.358858672   -1.367297530   -1.008438858
     1     317     0.07382     0.00000     0.33585   -0.357499025   -1.368737280   -1.011238254
     1     317     0.07382     0.00000     0.33585   -0.357499025   -1.368737280   -1.011238254
     1     317     0.07382     0.00780     0.33585   -0.357309725   -1.368712331   -1.011402607
     1     317     0.07382     0.01560     0.33585   -0.356702472   -1.368517951   -1.011815479
     1     317     0.07382     0.02340     0.33585   -0.355693172   -1.368146184   -1.012453012
     1     317     0.07382     0.03120     0.33585   -0.354240059   -1.367544714   -1.013304655
     1     317     0.07382     0.03900     0.33585   -0.352314160   -1.366669419   -1.014355259
     1     317     0.07382     0.04680     0.33585   -0.349879269   -1.365463668   -1.015584399
     1     317     0.07382     0.05460     0.33585   -0.346919069   -1.363920764   -1.017001696
     1     317     0.07382     0.06240     0.33585   -0.343502556   -1.362133372   -1.018630816
     1     317     0.07382     0.07020     0.33585   -0.339665426   -1.360307348   -1.020641922
     1     317     0.07382     0.07800     0.33585   -0.336658775   -1.363239708   -1.026580934
     1     317     0.07382     0.07800     0.33585   -0.336658775   -1.363239708   -1.026580934
     1     317     0.07382     0.07800     0.30227   -0.337108971   -1.356353869   -1.019244898
     1     317     0.07382     0.07800     0.26868   -0.340745721   -1.346254270   -1.005508549
     1     317     0.07382     0.07800     0.23510   -0.363051118   -1.341301827   -0.978250709
     1     317     0.07382     0.07800     0.20151   -0.438879768   -1.404940874   -0.966061106
     1     317     0.07382     0.07800     0.16793   -0.540010023   -1.506685625   -0.966675601
     1     317     0.07382     0.07800     0.13434   -0.621353215   -1.626995218   -1.005642003
     1     317     0.07382     0.07800     0.10076   -0.665879403   -1.722221468   -1.056342065
     1     317     0.07382     0.07800     0.06717   -0.682577617   -1.762191322   -1.079613706
     1     317     0.07382     0.07800     0.03359   -0.687911230   -1.774303060   -1.086391829
     1     317     0.07382     0.07800     0.00000   -0.685479115   -1.782813359   -1.097334244
     1     317     0.07382     0.07800     0.00000   -0.685479115   -1.782813359   -1.097334244
     1     317     0.07382     0.07020     0.00000   -0.688182746   -1.784065709   -1.095882963
     1     317     0.07382     0.06240     0.00000   -0.690771029   -1.789297868   -1.098526839
     1     317     0.07382     0.05460     0.00000   -0.693131290   -1.794109996   -1.100978706
     1     317     0.07382     0.04680     0.00000   -0.695150699   -1.798403145   -1.103252446
     1     317     0.07382     0.03900     0.00000   -0.696827806   -1.802176908   -1.105349102
     1     317     0.07382     0.03120     0.00000   -0.698147312   -1.805363896   -1.107216584
     1     317     0.07382     0.02340     0.00000   -0.699117670   -1.807912589   -1.108794920
     1     317     0.07382     0.01560     0.00000   -0.699774443   -1.809779438   -1.110004995
     1     317     0.07382     0.00780     0.00000   -0.700172852   -1.811007072   -1.110834220
     1     317     0.07382     0.00000     0.00000   -0.700306795   -1.811494674   -1.111187879
     1     317     0.00000     0.07800     0.00000   -0.692356913   -1.788412545   -1.096055632
     1     317     0.00738     0.07800     0.00000   -0.692235582   -1.788959205   -1.096723622
     1     317     0.01476     0.07800     0.00000   -0.691942467   -1.789241367   -1.097298899
     1     317     0.02215     0.07800     0.00000   -0.691503672   -1.789105379   -1.097601707
     1     317     0.02953     0.07800     0.00000   -0.690878936   -1.788501165   -1.097622229
     1     317     0.03691     0.07800     0.00000   -0.690165064   -1.787624534   -1.097459470
     1     317     0.04429     0.07800     0.00000   -0.689321424   -1.786447571   -1.097126147
     1     317     0.05168     0.07800     0.00000   -0.688429653   -1.785256888   -1.096827234
     1     317     0.05906     0.07800     0.00000   -0.687425591   -1.783886176   -1.096460585
     1     317     0.06644     0.07800     0.00000   -0.686450731   -1.782673412   -1.096222682
     1     317     0.07382     0.07800     0.00000   -0.685479115   -1.782813359   -1.097334244
     1     317     0.07382     0.00000     0.33585   -0.357499025   -1.368737280   -1.011238254
     1     317     0.06644     0.00000     0.33585   -0.357305692   -1.367529897   -1.010224205
     1     317     0.05906     0.00000     0.33585   -0.356730845   -1.366011597   -1.009280753
     1     317     0.05168     0.00000     0.33585   -0.355824004   -1.364324195   -1.008500191
     1     317     0.04429     0.00000     0.33585   -0.354644953   -1.362590819   -1.007945865
     1     317     0.03691     0.00000     0.33585   -0.353343878   -1.360996794   -1.007652916
     1     317     0.02953     0.00000     0.33585   -0.351947112   -1.359550006   -1.007602894
     1     317     0.02215     0.00000     0.33585   -0.350641655   -1.358380501   -1.007738846
     1     317     0.01476     0.00000     0.33585   -0.349565308   -1.357531103   -1.007965795
     1     317     0.00738     0.00000     0.33585   -0.348867389   -1.357032686   -1.008165298
     1     317     0.00000     0.00000     0.33585   -0.348623093   -1.356867338   -1.008244245
     1     317     0.00000     0.07800     0.33585   -0.334346984   -1.352199473   -1.017852490
     1     317     0.00738     0.07800     0.33585   -0.334567956   -1.352314385   -1.017746429
     1     317     0.01476     0.07800     0.33585   -0.335089404   -1.351686716   -1.016597312
     1     317     0.02215     0.07800     0.33585   -0.335791022   -1.351302026   -1.015511004
     1     317     0.02953     0.07800     0.33585   -0.336573631   -1.355900341   -1.019326710
     1     317     0.03691     0.07800     0.33585   -0.337389603   -1.356842567   -1.019452964
     1     317     0.04429     0.07800     0.33585   -0.338026086   -1.357754729   -1.019728643
     1     317     0.05168     0.07800     0.33585   -0.338330694   -1.358577220   -1.020246525
     1     317     0.05906     0.07800     0.33585   -0.338166863   -1.359161887   -1.020995024
     1     317     0.06644     0.07800     0.33585   -0.337640391   -1.359551961   -1.021911570
     1     317     0.07382     0.07800     0.33585   -0.336658775   -1.363239708   -1.026580934
     1     318     0.00000     0.00000     0.00000   -0.697643335   -1.862863307   -1.165219972
     1     318     0.00000     0.00000     0.03359   -0.697443945   -1.863200043   -1.165756099
     1     318     0.00000     0.00000     0.06717   -0.688831496   -1.686814552   -0.997983056
     1     318     0.00000     0.00000     0.10076   -0.663608467   -1.659804922   -0.996196455
     1     318     0.00000     0.00000     0.13434   -0.611405572   -1.590853846   -0.979448274
     1     318     0.00000     0.00000     0.16793   -0.530080784   -1.489873017   -0.959792233
     1     318     0.00000     0.00000     0.20151   -0.432824802   -1.395188833   -0.962364031
     1     318     0.00000     0.00000     0.23510   -0.373801036   -1.365942520   -0.992141484
     1     318     0.00000     0.00000     0.26868   -0.352800737   -1.347286355   -0.994485618
     1     318     0.00000     0.00000     0.30227   -0.347730584   -1.352854338   -1.005123754
     1     318     0.00000     0.00000     0.33585   -0.348593923   -1.359013179   -1.010419256
     1     318     0.00000     0.00000     0.33585   -0.348593923   -1.359013179   -1.010419256
     1     318     0.00000     0.00780     0.33585   -0.348413449   -1.358935171   -1.010521722
     1     318     0.00000     0.01560     0.33585   -0.347948076   -1.358778561   -1.010830485
     1     318     0.00000     0.02340     0.33585   -0.347098844   -1.358445917   -1.011347073
     1     318     0.00000     0.03120     0.33585   -0.345902840   -1.357971636   -1.012068796
     1     318     0.00000     0.03900     0.33585   -0.344294773   -1.357278795   -1.012984022
     1     318     0.00000     0.04680     0.33585   -0.342280575   -1.356348463   -1.014067887
     1     318     0.00000     0.05460     0.33585   -0.339955220   -1.355226896   -1.015271675
     1     318     0.00000     0.06240     0.33585   -0.337479628   -1.353988918   -1.016509290
     1     318     0.00000     0.07020     0.33585   -0.335301153   -1.353021629   -1.017720476
     1     318     0.00000     0.07800     0.33585   -0.334335982   -1.353297843   -1.018961862
     1     318     0.00000     0.07800     0.33585   -0.334335982   -1.353297843   -1.018961862
     1     318     0.00000     0.07800     0.30227   -0.336210255   -1.349154323   -1.012944068
     1     318     0.00000     0.07800     0.26868   -0.344084901   -1.351832763   -1.007747862
     1     318     0.00000     0.07800     0.23510   -0.369062936   -1.362540121   -0.993477185
     1     318     0.00000     0.07800     0.20151   -0.441017288   -1.406072247   -0.965054958
     1     318     0.00000     0.07800     0.16793   -0.539269235   -1.501237759   -0.961968524
     1     318     0.00000     0.07800     0.13434   -0.619867302   -1.639516677   -1.019649375
     1     318     0.00000     0.07800     0.10076   -0.659826131   -1.745741078   -1.085914948
     1     318     0.00000     0.07800     0.06717   -0.677481648   -1.765525721   -1.088044073
     1     318     0.00000     0.07800     0.03359   -0.688762220   -1.775917033   -1.087154813
     1     318     0.00000     0.07800     0.00000   -0.692314322   -1.788374791   -1.096060469
     1     318     0.00000     0.07800     0.00000   -0.692314322   -1.788374791   -1.096060469
     1     318     0.00000     0.07020     0.00000   -0.688506013   -1.777281528   -1.088775515
     1     318     0.00000     0.06240     0.00000   -0.685940131   -1.799935336   -1.113995205
     1     318     0.00000     0.05460     0.00000   -0.689266241   -1.811509424   -1.122243183
     1     318     0.00000     0.04680     0.00000   -0.692250455   -1.825037389   -1.132786934
