# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     359     0.00000     0.00000     0.00000    0.183295804   -0.851679196   -1.034975000
     1     359     0.00000     0.02794     0.00000    0.186113414   -0.844815944   -1.030929358
     1     359     0.00000     0.05587     0.00000    0.193737942   -0.827211315   -1.020949257
     1     359     0.00000     0.08381     0.00000    0.202707729   -0.818111271   -1.020819000
     1     359     0.00000     0.11175     0.00000    0.203305269   -0.804944341   -1.008249610
     1     359     0.00000     0.13969     0.00000    0.194981988   -0.784407652   -0.979389640
     1     359     0.00000     0.16762     0.00000    0.192994347   -0.788818653   -0.981813000
     1     359     0.11337     0.00000     0.01336    0.186135439   -0.824650561   -1.010786000
     1     359     0.09447     0.00000     0.01114    0.173278418   -0.836136876   -1.009415294
     1     359     0.07558     0.00000     0.00891    0.167412146   -0.837520778   -1.004932924
     1     359     0.05668     0.00000     0.00668    0.169798952   -0.836403681   -1.006202633
     1     359     0.03779     0.00000     0.00445    0.176015256   -0.842129862   -1.018145117
     1     359     0.01889     0.00000     0.00223    0.181330630   -0.850260287   -1.031590917
     1     359     0.00000     0.00000     0.00000    0.183295804   -0.851679196   -1.034975000
     1     359     0.00000     0.00000    -0.01515    0.184684823   -0.848916656   -1.033601478
     1     359     0.00000     0.00000    -0.03030    0.188600303   -0.834363247   -1.022963550
     1     359     0.00000     0.00000    -0.04545    0.194522429   -0.812783498   -1.007305927
     1     359     0.00000     0.00000    -0.06060    0.201639045   -0.793365897   -0.995004942
     1     359     0.00000     0.00000    -0.07575    0.208943273   -0.781235521   -0.990178795
     1     359     0.00000     0.00000    -0.09090    0.215623570   -0.774596430   -0.990220000
     1     359    -0.11337    -0.16762    -0.10427    0.159345689   -0.846447311   -1.005793000
     1     359    -0.09447    -0.13969    -0.08689    0.165879653   -0.836054589   -1.001934241
     1     359    -0.07558    -0.11175    -0.06951    0.174135737   -0.814936353   -0.989072090
     1     359    -0.05668    -0.08381    -0.05213    0.176189113   -0.810210794   -0.986399907
     1     359    -0.03779    -0.05587    -0.03476    0.178904537   -0.811590599   -0.990495136
     1     359    -0.01889    -0.02794    -0.01738    0.182574396   -0.845520651   -1.028095046
     1     359     0.00000     0.00000     0.00000    0.183295804   -0.851679196   -1.034975000
     1     359    -0.01889     0.00000    -0.01738    0.179754206   -0.850261383   -1.030015590
     1     359    -0.03779     0.00000    -0.03476    0.168820331   -0.828535402   -0.997355733
     1     359    -0.05668     0.00000    -0.05213    0.162622795   -0.823978249   -0.986601044
     1     359    -0.07558     0.00000    -0.06951    0.166775362   -0.824784655   -0.991560018
     1     359    -0.09447     0.00000    -0.08689    0.172092768   -0.837658932   -1.009751700
     1     359    -0.11337     0.00000    -0.10427    0.174382534   -0.837990466   -1.012373000
     1     359     0.00000    -0.16762    -0.09090    0.193513153   -0.776259847   -0.969773000
     1     359     0.00000    -0.13969    -0.07575    0.197276460   -0.773107091   -0.970383552
     1     359     0.00000    -0.11175    -0.06060    0.205160052   -0.768471140   -0.973631192
     1     359     0.00000    -0.08381    -0.04545    0.209267925   -0.784970172   -0.994238097
     1     359     0.00000    -0.05587    -0.03030    0.198449330   -0.810133506   -1.008582836
     1     359     0.00000    -0.02794    -0.01515    0.187442035   -0.845031555   -1.032473590
     1     359     0.00000     0.00000     0.00000    0.183295804   -0.851679196   -1.034975000
     1     359    -0.01889     0.02794    -0.00223    0.184173909   -0.846096698   -1.030270608
     1     359    -0.03779     0.05587    -0.00445    0.186230349   -0.817231429   -1.003461779
     1     359    -0.05668     0.08381    -0.00668    0.187619469   -0.804125948   -0.991745418
     1     359    -0.07558     0.11175    -0.00891    0.186750223   -0.807018710   -0.993768933
     1     359    -0.09447     0.13969    -0.01114    0.183125921   -0.799129281   -0.982255202
     1     359    -0.11337     0.16762    -0.01336    0.180391121   -0.794077879   -0.974469000
     1     360     0.00000     0.00000     0.00000    0.223146066   -0.748997934   -0.972144000
     1     360     0.00000     0.02794     0.00000    0.222166891   -0.748795461   -0.970962352
     1     360     0.00000     0.05587     0.00000    0.218801915   -0.748207026   -0.967008941
     1     360     0.00000     0.08381     0.00000    0.212456773   -0.753377227   -0.965834000
     1     360     0.00000     0.11175     0.00000    0.203451087   -0.765705329   -0.969156416
     1     360     0.00000     0.13969     0.00000    0.197391672   -0.788967713   -0.986359385
     1     360     0.00000     0.16762     0.00000    0.193023157   -0.788776843   -0.981800000
     1     360     0.11337     0.00000     0.01336    0.186244427   -0.824628573   -1.010873000
     1     360     0.09447     0.00000     0.01114    0.201352115   -0.808285125   -1.009637240
     1     360     0.07558     0.00000     0.00891    0.215031377   -0.787625067   -1.002656444
     1     360     0.05668     0.00000     0.00668    0.225286082   -0.769739399   -0.995025480
     1     360     0.03779     0.00000     0.00445    0.227722482   -0.748184761   -0.975907243
     1     360     0.01889     0.00000     0.00223    0.224252637   -0.749028129   -0.973280765
     1     360     0.00000     0.00000     0.00000    0.223146066   -0.748997934   -0.972144000
     1     360     0.00000     0.00000    -0.01515    0.223416873   -0.748575751   -0.971992624
     1     360     0.00000     0.00000    -0.03030    0.224092167   -0.748863505   -0.972955672
     1     360     0.00000     0.00000    -0.04545    0.225082366   -0.751034951   -0.976117317
     1     360     0.00000     0.00000    -0.06060    0.224819742   -0.761737875   -0.986557617
     1     360     0.00000     0.00000    -0.07575    0.221204274   -0.768574575   -0.989778849
     1     360     0.00000     0.00000    -0.09090    0.215759029   -0.774578971   -0.990338000
     1     360    -0.11337    -0.16762    -0.10427    0.159356856   -0.846436144   -1.005793000
     1     360    -0.09447    -0.13969    -0.08689    0.175063076   -0.827416738   -1.002479814
     1     360    -0.07558    -0.11175    -0.06951    0.194354341   -0.795161128   -0.989515468
     1     360    -0.05668    -0.08381    -0.05213    0.208032203   -0.776984677   -0.985016880
     1     360    -0.03779    -0.05587    -0.03476    0.215565291   -0.760887991   -0.976453282
     1     360    -0.01889    -0.02794    -0.01738    0.220789231   -0.751848557   -0.972637788
     1     360     0.00000     0.00000     0.00000    0.223146066   -0.748997934   -0.972144000
     1     360    -0.01889     0.00000    -0.01738    0.221946341   -0.750765199   -0.972711540
     1     360    -0.03779     0.00000    -0.03476    0.220582019   -0.758525023   -0.979107042
     1     360    -0.05668     0.00000    -0.05213    0.221166772   -0.762529079   -0.983695850
     1     360    -0.07558     0.00000    -0.06951    0.217330004   -0.766853166   -0.984183170
     1     360    -0.09447     0.00000    -0.08689    0.207198111   -0.778505031   -0.985703142
     1     360    -0.11337     0.00000    -0.10427    0.202014025   -0.784567975   -0.986582000
     1     360     0.00000    -0.16762    -0.09090    0.193551352   -0.776203648   -0.969755000
     1     360     0.00000    -0.13969    -0.07575    0.198399858   -0.774329996   -0.972729855
     1     360     0.00000    -0.11175    -0.06060    0.206934272   -0.776918326   -0.983852599
     1     360     0.00000    -0.08381    -0.04545    0.214527640   -0.763593402   -0.978121042
     1     360     0.00000    -0.05587    -0.03030    0.219647564   -0.752081193   -0.971728757
     1     360     0.00000    -0.02794    -0.01515    0.222384605   -0.749449587   -0.971834192
     1     360     0.00000     0.00000     0.00000    0.223146066   -0.748997934   -0.972144000
     1     360    -0.01889     0.02794    -0.00223    0.223093467   -0.750305863   -0.973399330
     1     360    -0.03779     0.05587    -0.00445    0.221868856   -0.760242930   -0.982111786
     1     360    -0.05668     0.08381    -0.00668    0.213767711   -0.779948409   -0.993716120
     1     360    -0.07558     0.11175    -0.00891    0.201002540   -0.790620900   -0.991623440
     1     360    -0.09447     0.13969    -0.01114    0.187660801   -0.796398569   -0.984059370
     1     360    -0.11337     0.16762    -0.01336    0.180420157   -0.794031843   -0.974452000
     1     361     0.00000     0.00000     0.00000    0.225819140   -0.757177860   -0.982997000
     1     361     0.00000     0.02794     0.00000    0.226995052   -0.757824094   -0.984819146
     1     361     0.00000     0.05587     0.00000    0.225606904   -0.773224136   -0.998831041
     1     361     0.00000     0.08381     0.00000    0.221884353   -0.778918647   -1.000803000
     1     361     0.00000     0.11175     0.00000    0.226883782   -0.779350340   -1.006234123
     1     361     0.00000     0.13969     0.00000    0.239069156   -0.770588033   -1.009657189
     1     361     0.00000     0.16762     0.00000    0.251613033   -0.758638967   -1.010252000
     1     361     0.11337     0.00000     0.01336    0.254510741   -0.732551259   -0.987062000
     1     361     0.09447     0.00000     0.01114    0.249772208   -0.737062861   -0.986835068
     1     361     0.07558     0.00000     0.00891    0.241845298   -0.742147542   -0.983992840
