# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     255     0.00000     0.00000     0.00000   -0.164261578   -1.331337578   -1.167076000
     1     255     0.01197     0.00000     0.00000   -0.157880041   -1.303475604   -1.145595563
     1     255     0.02395     0.00000     0.00000   -0.158831792   -1.321298031   -1.162466239
     1     255     0.03592     0.00000     0.00000   -0.173408300   -1.333994300   -1.160586001
     1     255     0.04790     0.00000     0.00000   -0.188256775   -1.345874460   -1.157617685
     1     255     0.05987     0.00000     0.00000   -0.189214487   -1.355210748   -1.165996260
     1     255     0.07184     0.00000     0.00000   -0.186353499   -1.343553298   -1.157199799
     1     255     0.05987     0.03088     0.00000   -0.188681982   -1.351242331   -1.162560348
     1     255     0.04790     0.06176     0.00000   -0.185367014   -1.343229947   -1.157862933
     1     255     0.03592     0.09265     0.00000   -0.179686631   -1.338483358   -1.158796727
     1     255     0.02395     0.12353     0.00000   -0.179383377   -1.338217323   -1.158833946
     1     255     0.01197     0.15441     0.00000   -0.187085997   -1.340676169   -1.153590172
     1     255     0.00000     0.18529     0.00000   -0.182859303   -1.307856303   -1.124997000
     1     255     0.00000     0.15441     0.00000   -0.188365866   -1.346845190   -1.158479324
     1     255     0.00000     0.12353     0.00000   -0.176961417   -1.339213027   -1.162251611
     1     255     0.00000     0.09265     0.00000   -0.171662777   -1.335257777   -1.163595000
     1     255     0.00000     0.06176     0.00000   -0.162797700   -1.325962783   -1.163165082
     1     255     0.00000     0.03088     0.00000   -0.163573002   -1.329879088   -1.166306086
     1     255     0.00000     0.00000     0.00000   -0.164261578   -1.331337578   -1.167076000
     1     255     0.00000     0.00000     0.02856   -0.164648444   -1.332140290   -1.167491845
     1     255     0.00000     0.00000     0.05711   -0.166020066   -1.334003710   -1.167983645
     1     255     0.00000     0.00000     0.08567   -0.168063860   -1.335822860   -1.167759000
     1     255     0.00000     0.00000     0.11422   -0.170522166   -1.339245918   -1.168723752
     1     255     0.00000     0.00000     0.14278   -0.177781155   -1.349162705   -1.171381550
     1     255     0.00000     0.00000     0.17134   -0.175588100   -1.347651100   -1.172063000
     1     255    -0.01197    -0.03088     0.17134   -0.174832518   -1.341978895   -1.167146377
     1     255    -0.02395    -0.06176     0.17134   -0.171033512   -1.324521696   -1.153488184
     1     255    -0.03592    -0.09265     0.17134   -0.173493659   -1.321605345   -1.148111686
     1     255    -0.04790    -0.12353     0.17134   -0.184835618   -1.329304789   -1.144469171
     1     255    -0.05987    -0.15441     0.17134   -0.193174838   -1.336403231   -1.143228393
     1     255    -0.07184    -0.18529     0.17134   -0.195959120   -1.338843078   -1.142883958
     1     255    -0.05987    -0.15441     0.14278   -0.184419926   -1.329783490   -1.145363564
     1     255    -0.04790    -0.12353     0.11422   -0.178571163   -1.325939763   -1.147368600
     1     255    -0.03592    -0.09265     0.08567   -0.180690107   -1.332359363   -1.151669256
     1     255    -0.02395    -0.06176     0.05711   -0.170875164   -1.324132284   -1.153257121
     1     255    -0.01197    -0.03088     0.02856   -0.162212029   -1.323856196   -1.161644167
     1     255     0.00000     0.00000     0.00000   -0.164261578   -1.331337578   -1.167076000
     1     255     0.00000    -0.03088     0.02856   -0.164271140   -1.329726359   -1.165455219
     1     255     0.00000    -0.06176     0.05711   -0.166316544   -1.326790364   -1.160473820
     1     255     0.00000    -0.09265     0.08567   -0.174756763   -1.331443674   -1.156686911
     1     255     0.00000    -0.12353     0.11422   -0.170683028   -1.316742154   -1.146059127
     1     255     0.00000    -0.15441     0.14278   -0.167288916   -1.310445233   -1.143156317
     1     255     0.00000    -0.18529     0.17134   -0.179539075   -1.320557075   -1.141018000
     1     255    -0.01197    -0.15441     0.17134   -0.178751777   -1.321516026   -1.142764249
     1     255    -0.02395    -0.12353     0.17134   -0.176885306   -1.323781022   -1.146895716
     1     255    -0.03592    -0.09265     0.17134   -0.173493659   -1.321605345   -1.148111686
     1     255    -0.04790    -0.06176     0.17134   -0.169465827   -1.317861743   -1.148395916
     1     255    -0.05987    -0.03088     0.17134   -0.166191300   -1.314770672   -1.148579372
     1     255    -0.07184     0.00000     0.17134   -0.164906810   -1.316457312   -1.151550501
     1     255    -0.05987     0.00000     0.14278   -0.166102890   -1.309383624   -1.143280734
     1     255    -0.04790     0.00000     0.11422   -0.165179771   -1.311502273   -1.146322502
     1     255    -0.03592     0.00000     0.08567   -0.161232072   -1.308443481   -1.147211409
     1     255    -0.02395     0.00000     0.05711   -0.156650959   -1.311406360   -1.154755400
     1     255    -0.01197     0.00000     0.02856   -0.159970724   -1.314602248   -1.154631525
     1     255     0.00000     0.00000     0.00000   -0.164261578   -1.331337578   -1.167076000
     1     255     0.07184    -0.18529     0.00000   -0.175605134   -1.306133190   -1.130528056
