# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     187     0.00000     0.00000     0.00000   -0.143983818   -1.282003818   -1.138020000
     1     187     0.00000     0.02354     0.00000   -0.140008323   -1.260234331   -1.120226008
     1     187     0.00000     0.04707     0.00000   -0.135108056   -1.261499374   -1.126391318
     1     187     0.00000     0.07061     0.00000   -0.131799877   -1.273494067   -1.141694191
     1     187     0.00000     0.09414     0.00000   -0.146059909   -1.209096497   -1.063036588
     1     187     0.00000     0.11768     0.00000   -0.155512966   -1.324250933   -1.168737967
     1     187     0.00000     0.14121     0.00000   -0.152447699   -1.319773870   -1.167326171
     1     187     0.00000     0.16475     0.00000   -0.148900728   -1.313569366   -1.164668638
     1     187     0.00000     0.18829     0.00000   -0.145668361   -1.310139534   -1.164471173
     1     187     0.00000     0.21182     0.00000   -0.143145957   -1.308411957   -1.165266000
     1     187     0.00000     0.21182     0.01698   -0.145290905   -1.307771324   -1.162480419
     1     187     0.00000     0.21182     0.03396   -0.150640683   -1.308233352   -1.157592669
     1     187     0.00000     0.21182     0.05093   -0.157515233   -1.313631461   -1.156116228
     1     187     0.00000     0.21182     0.06791   -0.164834841   -1.322297371   -1.157462530
     1     187     0.00000     0.21182     0.08489   -0.171810475   -1.330439474   -1.158629000
     1     187     0.00000     0.21182     0.10187   -0.177583252   -1.335781061   -1.158197808
     1     187     0.00000     0.21182     0.11885   -0.180491339   -1.341476339   -1.160985000
     1     187     0.00000     0.18829     0.11885   -0.174501654   -1.319721919   -1.145220265
     1     187     0.00000     0.16475     0.11885   -0.164946091   -1.305492398   -1.140546307
     1     187     0.00000     0.14121     0.11885   -0.158750806   -1.297244166   -1.138493361
     1     187     0.00000     0.11768     0.11885   -0.156893773   -1.291657438   -1.134763665
     1     187     0.00000     0.09414     0.11885   -0.158318260   -1.292982854   -1.134664595
     1     187     0.00000     0.07061     0.11885   -0.161752479   -1.293796833   -1.132044354
     1     187     0.00000     0.04707     0.11885   -0.165808820   -1.292405027   -1.126596207
     1     187     0.00000     0.02354     0.11885   -0.169100044   -1.292201110   -1.123101066
     1     187     0.00000     0.00000     0.11885   -0.170365438   -1.293265438   -1.122900000
     1     187     0.00000     0.00000     0.10187   -0.174614717   -1.300562761   -1.125948044
     1     187     0.00000     0.00000     0.08489   -0.171183511   -1.306564929   -1.135381418
     1     187     0.00000     0.00000     0.06791   -0.163653763   -1.307094836   -1.143441073
     1     187     0.00000     0.00000     0.05093   -0.155645674   -1.300198043   -1.144552369
     1     187     0.00000     0.00000     0.03396   -0.149196027   -1.290153434   -1.140957407
     1     187     0.00000     0.00000     0.01698   -0.145271286   -1.283501284   -1.138229998
     1     187     0.00000     0.00000     0.00000   -0.143983818   -1.282003818   -1.138020000
     1     187    -0.01225     0.01926     0.01078   -0.142550394   -1.263094395   -1.120544001
     1     187    -0.02450     0.03851     0.02156   -0.140924380   -1.266363870   -1.125439490
     1     187    -0.03676     0.05777     0.03234   -0.140365180   -1.290326917   -1.149961737
     1     187    -0.04901     0.07703     0.04312   -0.141210327   -1.298774147   -1.157563821
     1     187    -0.06126     0.09628     0.05390   -0.144137814   -1.303151578   -1.159013764
     1     187    -0.07351     0.11554     0.06468   -0.149561210   -1.308098880   -1.158537670
     1     187    -0.08576     0.13480     0.07546   -0.158035965   -1.313801635   -1.155765670
     1     187    -0.09801     0.15405     0.08624   -0.170011448   -1.319260677   -1.149249229
     1     187    -0.11027     0.17331     0.09702   -0.180521238   -1.327190935   -1.146669697
     1     187    -0.12252     0.19256     0.10780   -0.187915005   -1.294256943   -1.106341938
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
     1     187    -0.13477     0.21182     0.11858   -0.191609703   -1.224175703   -1.032566000
