# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     157     0.00000     0.00000     0.00000   -0.179639404   -1.470640404   -1.291001000
     1     157    -0.05512     0.00000     0.00000   -0.137062794   -1.241617690   -1.104554896
     1     157    -0.11025     0.00000     0.00000   -0.101636563   -1.213636824   -1.112000261
     1     157    -0.16537     0.00000     0.00000   -0.008186890   -1.086083890   -1.077897000
     1     157    -0.22049     0.00000     0.00000    0.111587539   -0.976705332   -1.088292870
     1     157    -0.27562     0.00000     0.00000    0.177880165   -0.877844135   -1.055724299
     1     157    -0.33074     0.00000     0.00000    0.204710802   -0.839502198   -1.044213000
     1     157     0.00000     0.00000     0.09846   -0.152717043   -1.398669043   -1.245952000
     1     157     0.00000     0.00000     0.08205   -0.160093203   -1.405789355   -1.245696152
     1     157     0.00000     0.00000     0.06564   -0.169202234   -1.416966500   -1.247764266
     1     157     0.00000     0.00000     0.04923   -0.172454465   -1.439465102   -1.267010637
     1     157     0.00000     0.00000     0.03282   -0.175738730   -1.454811022   -1.279072292
     1     157     0.00000     0.00000     0.01641   -0.178510623   -1.467193029   -1.288682406
     1     157     0.00000     0.00000     0.00000   -0.179639404   -1.470640404   -1.291001000
     1     157     0.00000     0.02148     0.00726   -0.181042173   -1.456276744   -1.275234571
     1     157     0.00000     0.04296     0.01452   -0.172733488   -1.389038951   -1.216305463
     1     157     0.00000     0.06444     0.02178   -0.161507942   -1.381647417   -1.220139476
     1     157     0.00000     0.08591     0.02904   -0.152353556   -1.378872557   -1.226519001
     1     157     0.00000     0.10739     0.03630   -0.143379644   -1.370470986   -1.227091342
     1     157     0.00000     0.12887     0.04355   -0.136921405   -1.363868405   -1.226947000
     1     157     0.33074     0.12887    -0.05490    0.196688576   -0.858069424   -1.054758000
     1     157     0.27562     0.10739    -0.04575    0.174114757   -0.895347589   -1.069462346
     1     157     0.22049     0.08591    -0.03660    0.104284165   -0.988828863   -1.093113029
     1     157     0.16537     0.06444    -0.02745   -0.004883892   -1.101109300   -1.096225408
     1     157     0.11025     0.04296    -0.01830   -0.098192821   -1.211101377   -1.112908556
     1     157     0.05512     0.02148    -0.00915   -0.138422983   -1.246002848   -1.107579866
