# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     367     0.00000     0.00000     0.00000   -0.132654845   -1.250172845   -1.117518000
     1     367     0.02281     0.00000     0.00000   -0.133099879   -1.249453960   -1.116354081
     1     367     0.04561     0.00000     0.00000   -0.134900442   -1.240010844   -1.105110402
     1     367     0.06842     0.00000     0.00000   -0.133449059   -1.216485681   -1.083036623
     1     367     0.09122     0.00000     0.00000   -0.127872561   -1.220750155   -1.092877593
     1     367     0.11403     0.00000     0.00000   -0.123688665   -1.223826506   -1.100137841
     1     367     0.13683     0.00000     0.00000   -0.122284490   -1.223596490   -1.101312000
     1     367     0.11403     0.02359     0.00000   -0.127478760   -1.225435238   -1.097956479
     1     367     0.09122     0.04718     0.00000   -0.132414663   -1.225283296   -1.092868633
     1     367     0.06842     0.07077     0.00000   -0.128693361   -1.213980741   -1.085287380
     1     367     0.04561     0.09436     0.00000   -0.120814193   -1.186553637   -1.065739445
     1     367     0.02281     0.11795     0.00000   -0.116721249   -1.168105401   -1.051384152
     1     367     0.00000     0.14154     0.00000   -0.113163268   -1.160896268   -1.047733000
     1     367     0.00000     0.11795     0.00000   -0.117743178   -1.167927275   -1.050184097
     1     367     0.00000     0.09436     0.00000   -0.122751922   -1.182398941   -1.059647020
     1     367     0.00000     0.07077     0.00000   -0.123551379   -1.194843498   -1.071292119
     1     367     0.00000     0.04718     0.00000   -0.111665966   -1.203569836   -1.091903871
     1     367     0.00000     0.02359     0.00000   -0.120923672   -1.230707600   -1.109783928
     1     367     0.00000     0.00000     0.00000   -0.132654845   -1.250172845   -1.117518000
     1     367     0.00000     0.00000     0.01376   -0.132486385   -1.249668683   -1.117182298
     1     367     0.00000     0.00000     0.02752   -0.127459317   -1.245247256   -1.117787940
     1     367     0.00000     0.00000     0.04128   -0.123326883   -1.223599412   -1.100272529
     1     367     0.00000     0.00000     0.05505   -0.120305486   -1.218525163   -1.098219677
     1     367     0.00000     0.00000     0.06881   -0.116791668   -1.212257808   -1.095466140
     1     367     0.00000     0.00000     0.08257   -0.113514908   -1.195624646   -1.082109739
     1     367    -0.02281    -0.02359     0.08257   -0.111917223   -1.194737067   -1.082819844
     1     367    -0.04561    -0.04718     0.08257   -0.110177006   -1.192875763   -1.082698757
     1     367    -0.06842    -0.07077     0.08257   -0.109157342   -1.183094965   -1.073937623
     1     367    -0.09122    -0.09436     0.08257   -0.105230111   -1.167879842   -1.062649731
     1     367    -0.11403    -0.11795     0.08257   -0.097679874   -1.156637761   -1.058957887
     1     367    -0.13683    -0.14154     0.08257   -0.092252615   -1.153063469   -1.060810854
     1     367    -0.11403    -0.11795     0.06881   -0.099614004   -1.165080274   -1.065466270
     1     367    -0.09122    -0.09436     0.05505   -0.109729717   -1.185654028   -1.075924311
     1     367    -0.06842    -0.07077     0.04128   -0.120086010   -1.199462532   -1.079376523
     1     367    -0.04561    -0.04718     0.02752   -0.127116713   -1.220457454   -1.093340741
     1     367    -0.02281    -0.02359     0.01376   -0.125399327   -1.229476630   -1.104077303
     1     367     0.00000     0.00000     0.00000   -0.132654845   -1.250172845   -1.117518000
     1     367     0.00000    -0.02359     0.01376   -0.124760720   -1.229654033   -1.104893313
     1     367     0.00000    -0.04718     0.02752   -0.124794659   -1.212815161   -1.088020502
     1     367     0.00000    -0.07077     0.04128   -0.120658369   -1.199911416   -1.079253047
     1     367     0.00000    -0.09436     0.05505   -0.115862447   -1.188530050   -1.072667603
     1     367     0.00000    -0.11795     0.06881   -0.114937739   -1.182313636   -1.067375897
     1     367     0.00000    -0.14154     0.08257   -0.114873201   -1.181984480   -1.067111278
