# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     267     0.00000     0.00000     0.00000    0.165368851   -0.927124149   -1.092493000
     1     267     0.00000     0.02840     0.00000    0.164562083   -0.933095593   -1.097657675
     1     267     0.00000     0.05681     0.00000    0.162206009   -0.953255005   -1.115461014
     1     267     0.00000     0.08521     0.00000    0.159501062   -0.961747938   -1.121249000
     1     267     0.00000     0.11361     0.00000    0.158855022   -0.965963166   -1.124818188
     1     267     0.00000     0.14201     0.00000    0.158840505   -0.996658945   -1.155499451
     1     267     0.00000     0.17042     0.00000    0.167171306   -0.954094694   -1.121266000
     1     267     0.00000     0.17042     0.02048    0.166226209   -0.956395483   -1.122621691
     1     267     0.00000     0.17042     0.04096    0.164365496   -0.959599381   -1.123964877
     1     267     0.00000     0.17042     0.06144    0.162498035   -0.961544971   -1.124043006
     1     267     0.00000     0.17042     0.08192    0.160973370   -0.962255028   -1.123228398
     1     267     0.00000     0.17042     0.10240    0.159944359   -0.961628332   -1.121572690
     1     267     0.00000     0.17042     0.12288    0.159599344   -0.961021656   -1.120621000
     1     267     0.00000     0.14201     0.12288    0.168296971   -0.972574836   -1.140871808
     1     267     0.00000     0.11361     0.12288    0.173021532   -0.977281860   -1.150303392
     1     267     0.00000     0.08521     0.12288    0.169625175   -0.984523825   -1.154149000
     1     267     0.00000     0.05681     0.12288    0.164457606   -0.985436776   -1.149894382
     1     267     0.00000     0.02840     0.12288    0.160395107   -0.977895918   -1.138291025
     1     267     0.00000     0.00000     0.12288    0.158790670   -0.975384330   -1.134175000
     1     267     0.00000     0.00000     0.10240    0.157154337   -0.978087726   -1.135242063
     1     267     0.00000     0.00000     0.08192    0.158401286   -0.971682651   -1.130083937
     1     267     0.00000     0.00000     0.06144    0.160748586   -0.955358766   -1.116107353
     1     267     0.00000     0.00000     0.04096    0.163086989   -0.938031289   -1.101118278
     1     267     0.00000     0.00000     0.02048    0.164765247   -0.928247518   -1.093012765
     1     267     0.00000     0.00000     0.00000    0.165368851   -0.927124149   -1.092493000
     1     267    -0.01858     0.00000     0.01864    0.165612490   -0.928749317   -1.094361808
     1     267    -0.03716     0.00000     0.03729    0.166797325   -0.935934161   -1.102731487
     1     267    -0.05575     0.00000     0.05593    0.169966687   -0.940990809   -1.110957497
     1     267    -0.07433     0.00000     0.07458    0.175274037   -0.946863333   -1.122137370
     1     267    -0.09291     0.00000     0.09322    0.179048846   -0.968481165   -1.147530011
     1     267    -0.11149     0.00000     0.11187    0.180557309   -0.972414691   -1.152972000
     1     267    -0.11149     0.02840     0.11187    0.180683050   -0.967221768   -1.147904819
     1     267    -0.11149     0.05681     0.11187    0.180336864   -0.963666842   -1.144003706
     1     267    -0.11149     0.08521     0.11187    0.178609789   -0.967940211   -1.146550000
     1     267    -0.11149     0.11361     0.11187    0.176062580   -0.969998712   -1.146061292
     1     267    -0.11149     0.14201     0.11187    0.175131103   -0.974099912   -1.149231015
     1     267    -0.11149     0.17042     0.11187    0.177536251   -0.977557749   -1.155094000
     1     267    -0.09291     0.17042     0.09322    0.175854043   -0.974083975   -1.149938018
     1     267    -0.07433     0.17042     0.07458    0.172153335   -0.968625121   -1.140778456
     1     267    -0.05575     0.17042     0.05593    0.168408678   -0.966442126   -1.134850803
     1     267    -0.03716     0.17042     0.03729    0.166413507   -0.963275259   -1.129688766
     1     267    -0.01858     0.17042     0.01864    0.166598956   -0.957666630   -1.124265586
     1     267     0.00000     0.17042     0.00000    0.167171306   -0.954094694   -1.121266000
     1     267    -0.01858     0.17042    -0.00184    0.167770551   -0.954248240   -1.122018791
     1     267    -0.03716     0.17042    -0.00367    0.169329879   -0.957083865   -1.126413743
     1     267    -0.05575     0.17042    -0.00551    0.171465358   -0.965394833   -1.136860192
     1     267    -0.07433     0.17042    -0.00734    0.173750539   -0.979134248   -1.152884786
     1     267    -0.09291     0.17042    -0.00918    0.175547282   -0.991113435   -1.166660717
     1     267    -0.11149     0.17042    -0.01101    0.176208705   -0.993490295   -1.169699000
     1     267    -0.11149     0.14201    -0.01101    0.159816710   -1.004459143   -1.164275852
     1     267    -0.11149     0.11361    -0.01101    0.147719756   -1.013686231   -1.161405986
     1     267    -0.11149     0.08521    -0.01101    0.137961801   -1.026893199   -1.164855000
     1     267    -0.11149     0.05681    -0.01101    0.130129342   -1.034400827   -1.164530169
     1     267    -0.11149     0.02840    -0.01101    0.123569679   -1.046268535   -1.169838214
     1     267    -0.11149     0.00000    -0.01101    0.120206112   -1.055679888   -1.175886000
     1     267    -0.09291     0.00000    -0.00918    0.126588841   -1.045201577   -1.171790418
     1     267    -0.07433     0.00000    -0.00734    0.138735824   -1.010567054   -1.149302878
     1     267    -0.05575     0.00000    -0.00551    0.151031813   -0.966769742   -1.117801555
     1     267    -0.03716     0.00000    -0.00367    0.159683969   -0.938306538   -1.097990507
     1     267    -0.01858     0.00000    -0.00184    0.164057043   -0.928763240   -1.092820283
     1     267     0.00000     0.00000     0.00000    0.165368851   -0.927124149   -1.092493000
     1     268     0.00000     0.00000     0.00000    0.207740112   -0.956122888   -1.163863000
     1     268     0.00000     0.02840     0.00000    0.207912966   -0.948452028   -1.156364994
     1     268     0.00000     0.05681     0.00000    0.206367888   -0.939714231   -1.146082119
     1     268     0.00000     0.08521     0.00000    0.199086397   -0.954250603   -1.153337000
     1     268     0.00000     0.11361     0.00000    0.187997257   -0.956812012   -1.144809270
     1     268     0.00000     0.14201     0.00000    0.177192873   -0.949895386   -1.127088259
     1     268     0.00000     0.17042     0.00000    0.167171306   -0.954094694   -1.121266000
     1     268     0.00000     0.17042     0.02048    0.166226209   -0.956395483   -1.122621691
     1     268     0.00000     0.17042     0.04096    0.164365496   -0.959599381   -1.123964877
     1     268     0.00000     0.17042     0.06144    0.162498035   -0.961544971   -1.124043006
     1     268     0.00000     0.17042     0.08192    0.160973370   -0.962255028   -1.123228398
     1     268     0.00000     0.17042     0.10240    0.159944359   -0.961628332   -1.121572690
     1     268     0.00000     0.17042     0.12288    0.159599344   -0.961021656   -1.120621000
     1     268     0.00000     0.14201     0.12288    0.168296971   -0.972574836   -1.140871808
     1     268     0.00000     0.11361     0.12288    0.173021532   -0.977281860   -1.150303392
     1     268     0.00000     0.08521     0.12288    0.169625175   -0.984523825   -1.154149000
     1     268     0.00000     0.05681     0.12288    0.164457606   -0.985436776   -1.149894382
     1     268     0.00000     0.02840     0.12288    0.160395107   -0.977895918   -1.138291025
     1     268     0.00000     0.00000     0.12288    0.158790670   -0.975384330   -1.134175000
     1     268     0.00000     0.00000     0.10240    0.164731677   -0.970819320   -1.135550997
     1     268     0.00000     0.00000     0.08192    0.174270059   -0.962902011   -1.137172071
     1     268     0.00000     0.00000     0.06144    0.185642065   -0.955839340   -1.141481405
     1     268     0.00000     0.00000     0.04096    0.196773895   -0.954168735   -1.150942630
     1     268     0.00000     0.00000     0.02048    0.204905901   -0.956120517   -1.161026417
     1     268     0.00000     0.00000     0.00000    0.207740112   -0.956122888   -1.163863000
     1     268    -0.01858     0.00000     0.01864    0.208850300   -0.954280867   -1.163131167
     1     268    -0.03716     0.00000     0.03729    0.211555055   -0.939436268   -1.150991323
     1     268    -0.05575     0.00000     0.05593    0.201659354   -0.926988911   -1.128648265
     1     268    -0.07433     0.00000     0.07458    0.191137071   -0.949685752   -1.140822824
     1     268    -0.09291     0.00000     0.09322    0.184121350   -0.966905981   -1.151027331
     1     268    -0.11149     0.00000     0.11187    0.180557309   -0.972414691   -1.152972000
     1     268    -0.11149     0.02840     0.11187    0.180683050   -0.967221768   -1.147904819
     1     268    -0.11149     0.05681     0.11187    0.180336864   -0.963666842   -1.144003706
     1     268    -0.11149     0.08521     0.11187    0.178609789   -0.967940211   -1.146550000
     1     268    -0.11149     0.11361     0.11187    0.176062580   -0.969998712   -1.146061292
     1     268    -0.11149     0.14201     0.11187    0.175131103   -0.974099912   -1.149231015
