# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     321     0.00000     0.00000     0.00000   -0.434464228   -1.719546536   -1.285082308
     1     321     0.00697     0.00000     0.00177   -0.435034227   -1.706151114   -1.271116887
     1     321     0.01394     0.00000     0.00354   -0.438689966   -1.621457264   -1.182767298
     1     321     0.02091     0.00000     0.00531   -0.443488731   -1.579435764   -1.135947032
     1     321     0.02787     0.00000     0.00708   -0.442717341   -1.603187650   -1.160470309
     1     321     0.03484     0.00000     0.00885   -0.440236879   -1.643895765   -1.203658886
     1     321     0.04181     0.00000     0.01061   -0.438857584   -1.662727470   -1.223869886
     1     321     0.04878     0.00000     0.01238   -0.438101737   -1.668136682   -1.230034945
     1     321     0.05575     0.00000     0.01415   -0.437444075   -1.668474774   -1.231030699
     1     321     0.06272     0.00000     0.01592   -0.436706372   -1.666873838   -1.230167466
     1     321     0.06968     0.00000     0.01769   -0.435798874   -1.669264071   -1.233465197
     1     321     0.06968     0.00000     0.01769   -0.435798874   -1.669264071   -1.233465197
     1     321     0.07230     0.00000     0.00740   -0.452132354   -1.677955947   -1.225823594
     1     321     0.07491     0.00000    -0.00289   -0.440203428   -1.602970008   -1.162766580
     1     321     0.07752     0.00000    -0.01317   -0.426746998   -1.584119283   -1.157372285
     1     321     0.08013     0.00000    -0.02346   -0.414934787   -1.563832336   -1.148897550
     1     321     0.08274     0.00000    -0.03375   -0.412441179   -1.498758045   -1.086316866
     1     321     0.08536     0.00000    -0.04404   -0.421398297   -1.517416372   -1.096018075
     1     321     0.08797     0.00000    -0.05433   -0.431385650   -1.537321617   -1.105935967
     1     321     0.09058     0.00000    -0.06461   -0.442006215   -1.562572310   -1.120566095
     1     321     0.09319     0.00000    -0.07490   -0.452505527   -1.588434596   -1.135929069
     1     321     0.09580     0.00000    -0.08519   -0.462004821   -1.611432390   -1.149427568
     1     321     0.09580     0.00000    -0.08519   -0.462004821   -1.611432390   -1.149427568
     1     321     0.09319     0.00000    -0.08696   -0.464001904   -1.610157796   -1.146155892
     1     321     0.09058     0.00000    -0.08873   -0.463242125   -1.526073619   -1.062831494
     1     321     0.08797     0.00000    -0.09050   -0.458739860   -1.524930146   -1.066190286
     1     321     0.08536     0.00000    -0.09227   -0.454418536   -1.524162561   -1.069744025
     1     321     0.08274     0.00000    -0.09404   -0.450374690   -1.523902848   -1.073528158
     1     321     0.08013     0.00000    -0.09581   -0.446696476   -1.524226738   -1.077530262
     1     321     0.07752     0.00000    -0.09757   -0.443521486   -1.525204187   -1.081682702
     1     321     0.07491     0.00000    -0.09934   -0.441052178   -1.526811619   -1.085759441
     1     321     0.07230     0.00000    -0.10111   -0.439428221   -1.528680308   -1.089252087
     1     321     0.06968     0.00000    -0.10288   -0.438859036   -1.530383729   -1.091524694
     1     321     0.06968     0.00000    -0.10288   -0.438859036   -1.530383729   -1.091524694
     1     321     0.06968     0.02303    -0.10288   -0.436353334   -1.531188405   -1.094835071
     1     321     0.06968     0.04607    -0.10288   -0.429810095   -1.529081668   -1.099271573
     1     321     0.06968     0.06910    -0.10288   -0.420910359   -1.521172497   -1.100262138
     1     321     0.06968     0.09213    -0.10288   -0.430240107   -1.511241471   -1.081001364
     1     321     0.06968     0.11517    -0.10288   -0.447562611   -1.531157953   -1.083595342
     1     321     0.06968     0.13820    -0.10288   -0.465490226   -1.554087739   -1.088597512
     1     321     0.06968     0.16123    -0.10288   -0.480948537   -1.588028660   -1.107080123
     1     321     0.06968     0.18426    -0.10288   -0.491631914   -1.610239722   -1.118607808
     1     321     0.06968     0.20730    -0.10288   -0.493675091   -1.624115781   -1.130440690
     1     321     0.06968     0.23033    -0.10288   -0.473259092   -1.608160231   -1.134901138
     1     321     0.06968     0.23033    -0.10288   -0.473259092   -1.608160231   -1.134901138
     1     321     0.06707     0.23033    -0.10465   -0.473248516   -1.611093407   -1.137844891
     1     321     0.06446     0.23033    -0.10642   -0.473233370   -1.614083475   -1.140850105
     1     321     0.06185     0.23033    -0.10819   -0.473178652   -1.617065331   -1.143886678
     1     321     0.05924     0.23033    -0.10996   -0.473080764   -1.620023023   -1.146942259
     1     321     0.05663     0.23033    -0.11173   -0.472922457   -1.622934391   -1.150011934
     1     321     0.05401     0.23033    -0.11350   -0.472669199   -1.625766900   -1.153097701
     1     321     0.05140     0.23033    -0.11526   -0.472281777   -1.628509983   -1.156228206
     1     321     0.04879     0.23033    -0.11703   -0.471750934   -1.631148478   -1.159397544
     1     321     0.04618     0.23033    -0.11880   -0.471055835   -1.633632873   -1.162577038
     1     321     0.04357     0.23033    -0.12057   -0.470156243   -1.635896272   -1.165740029
     1     321     0.04357     0.23033    -0.12057   -0.470156243   -1.635896272   -1.165740029
     1     321     0.03921     0.23033    -0.12057   -0.468420976   -1.639132126   -1.170711150
     1     321     0.03485     0.23033    -0.12057   -0.466213570   -1.641788179   -1.175574609
     1     321     0.03050     0.23033    -0.12057   -0.463475047   -1.643659144   -1.180184097
     1     321     0.02614     0.23033    -0.12057   -0.460184801   -1.644588454   -1.184403653
     1     321     0.02178     0.23033    -0.12057   -0.456391247   -1.644550637   -1.188159389
     1     321     0.01743     0.23033    -0.12057   -0.452120002   -1.643600423   -1.191480421
     1     321     0.01307     0.23033    -0.12057   -0.447529839   -1.642060334   -1.194530494
     1     321     0.00871     0.23033    -0.12057   -0.442802170   -1.640579078   -1.197776908
     1     321     0.00436     0.23033    -0.12057   -0.438439333   -1.640657977   -1.202218644
     1     321     0.00000     0.23033    -0.12057   -0.436257952   -1.642496635   -1.206238683
     1     321     0.00000     0.23033    -0.12057   -0.436257952   -1.642496635   -1.206238683
     1     321     0.00000     0.20730    -0.12057   -0.437019060   -1.639486294   -1.202467233
     1     321     0.00000     0.18426    -0.12057   -0.438137932   -1.639775694   -1.201637763
     1     321     0.00000     0.16123    -0.12057   -0.438801288   -1.649085468   -1.210284180
     1     321     0.00000     0.13820    -0.12057   -0.438768333   -1.659099084   -1.220330751
     1     321     0.00000     0.11517    -0.12057   -0.438041416   -1.660064855   -1.222023439
     1     321     0.00000     0.09213    -0.12057   -0.436795846   -1.657100920   -1.220305073
     1     321     0.00000     0.06910    -0.12057   -0.435057288   -1.645510710   -1.210453422
     1     321     0.00000     0.04607    -0.12057   -0.433523522   -1.618135342   -1.184611820
     1     321     0.00000     0.02303    -0.12057   -0.437197178   -1.550297665   -1.113100487
     1     321     0.00000     0.00000    -0.12057   -0.439490130   -1.552946913   -1.113456783
     1     321     0.00000     0.00000    -0.12057   -0.439490130   -1.552946913   -1.113456783
     1     321     0.00436     0.00000    -0.12057   -0.446678030   -1.557657004   -1.110978974
     1     321     0.00871     0.00000    -0.12057   -0.454466680   -1.572684715   -1.118218035
     1     321     0.01307     0.00000    -0.12057   -0.446155353   -1.631401214   -1.185245860
     1     321     0.01743     0.00000    -0.12057   -0.449922698   -1.630646752   -1.180724053
     1     321     0.02178     0.00000    -0.12057   -0.453162411   -1.630156336   -1.176993926
     1     321     0.02614     0.00000    -0.12057   -0.455894158   -1.629030436   -1.173136278
     1     321     0.03050     0.00000    -0.12057   -0.458129243   -1.626732591   -1.168603348
     1     321     0.03485     0.00000    -0.12057   -0.459862706   -1.622992128   -1.163129422
     1     321     0.03921     0.00000    -0.12057   -0.461139260   -1.617818877   -1.156679616
     1     321     0.04357     0.00000    -0.12057   -0.462004821   -1.611432390   -1.149427569
     1     321     0.09580     0.23033    -0.08519   -0.470156243   -1.635896272   -1.165740029
     1     321     0.09319     0.23033    -0.07490   -0.470577967   -1.632910800   -1.162332832
     1     321     0.09058     0.23033    -0.06461   -0.471461341   -1.626127146   -1.154665805
     1     321     0.08797     0.23033    -0.05433   -0.472694786   -1.618509414   -1.145814628
     1     321     0.08536     0.23033    -0.04404   -0.474192288   -1.614633284   -1.140440997
     1     321     0.08274     0.23033    -0.03375   -0.475809107   -1.610684404   -1.134875297
     1     321     0.08013     0.23033    -0.02346   -0.476927891   -1.608204718   -1.131276827
     1     321     0.07752     0.23033    -0.01317   -0.475509421   -1.620520526   -1.145011105
     1     321     0.07491     0.23033    -0.00289   -0.470129438   -1.646202335   -1.176072896
     1     321     0.07230     0.23033     0.00740   -0.462347953   -1.662610005   -1.200262053
     1     321     0.06968     0.23033     0.01769   -0.457295899   -1.667899271   -1.210603371
     1     321     0.06968     0.23033     0.01769   -0.457295899   -1.667899271   -1.210603371
     1     321     0.06272     0.23033     0.01592   -0.457277552   -1.672079591   -1.214802039
     1     321     0.05575     0.23033     0.01415   -0.457180994   -1.676803979   -1.219622986
     1     321     0.04878     0.23033     0.01238   -0.456743028   -1.681525354   -1.224782326
     1     321     0.04181     0.23033     0.01061   -0.455869109   -1.686197786   -1.230328677
     1     321     0.03484     0.23033     0.00885   -0.454539025   -1.691362754   -1.236823729
     1     321     0.02787     0.23033     0.00708   -0.452818726   -1.697493725   -1.244674999
     1     321     0.02091     0.23033     0.00531   -0.450944715   -1.704476120   -1.253531405
     1     321     0.01394     0.23033     0.00354   -0.449186226   -1.711198471   -1.262012244
     1     321     0.00697     0.23033     0.00177   -0.447903733   -1.715997781   -1.268094048
     1     321     0.00000     0.23033     0.00000   -0.447410433   -1.717705159   -1.270294726
     1     321     0.06968     0.00000     0.01769   -0.435798874   -1.669264071   -1.233465197
     1     321     0.06968     0.02303     0.01769   -0.436029159   -1.667674373   -1.231645214
     1     321     0.06968     0.04607     0.01769   -0.436858330   -1.649184629   -1.212326299
     1     321     0.06968     0.06910     0.01769   -0.438240591   -1.632662138   -1.194421547
     1     321     0.06968     0.09213     0.01769   -0.440342574   -1.615867000   -1.175524426
     1     321     0.06968     0.11517     0.01769   -0.443623921   -1.614713844   -1.171089923
     1     321     0.06968     0.13820     0.01769   -0.448979466   -1.621076109   -1.172096643
     1     321     0.06968     0.16123     0.01769   -0.456122414   -1.639019863   -1.182897450
     1     321     0.06968     0.18426     0.01769   -0.459389055   -1.658373119   -1.198984064
     1     321     0.06968     0.20730     0.01769   -0.458138041   -1.669798481   -1.211660440
     1     321     0.06968     0.23033     0.01769   -0.457295899   -1.667899271   -1.210603371
     1     322     0.00000     0.00000     0.00000   -0.417584964   -1.708984982   -1.291400018
     1     322     0.00697     0.00000     0.00177   -0.420492796   -1.446466879   -1.025974083
     1     322     0.01394     0.00000     0.00354   -0.427774124   -1.548701196   -1.120927072
     1     322     0.02091     0.00000     0.00531   -0.428370258   -1.596977824   -1.168607566
     1     322     0.02787     0.00000     0.00708   -0.427060256   -1.684586385   -1.257526129
     1     322     0.03484     0.00000     0.00885   -0.428948515   -1.683326433   -1.254377918
     1     322     0.04181     0.00000     0.01061   -0.430595354   -1.681796308   -1.251200955
     1     322     0.04878     0.00000     0.01238   -0.432086891   -1.680090179   -1.248003289
     1     322     0.05575     0.00000     0.01415   -0.433445143   -1.678213758   -1.244768615
     1     322     0.06272     0.00000     0.01592   -0.434715010   -1.676251003   -1.241535993
     1     322     0.06968     0.00000     0.01769   -0.435760376   -1.669155004   -1.233394627
     1     322     0.06968     0.00000     0.01769   -0.435760376   -1.669155004   -1.233394627
     1     322     0.07230     0.00000     0.00740   -0.420567904   -1.656514681   -1.235946778
     1     322     0.07491     0.00000    -0.00289   -0.407389267   -1.633008959   -1.225619692
     1     322     0.07752     0.00000    -0.01317   -0.397635718   -1.458491422   -1.060855704
     1     322     0.08013     0.00000    -0.02346   -0.404573859   -1.479103196   -1.074529338
     1     322     0.08274     0.00000    -0.03375   -0.405405819   -1.542525757   -1.137119938
     1     322     0.08536     0.00000    -0.04404   -0.398987912   -1.523042008   -1.124054096
     1     322     0.08797     0.00000    -0.05433   -0.395810708   -1.511043941   -1.115233233
     1     322     0.09058     0.00000    -0.06461   -0.394878862   -1.505797795   -1.110918933
     1     322     0.09319     0.00000    -0.07490   -0.395235541   -1.506076379   -1.110840838
     1     322     0.09580     0.00000    -0.08519   -0.396529583   -1.509404990   -1.112875408
     1     322     0.09580     0.00000    -0.08519   -0.396529583   -1.509404990   -1.112875408
     1     322     0.09319     0.00000    -0.08696   -0.395366835   -1.502837366   -1.107470531
     1     322     0.09058     0.00000    -0.08873   -0.394689005   -1.495904493   -1.101215488
     1     322     0.08797     0.00000    -0.09050   -0.394504588   -1.488701381   -1.094196793
     1     322     0.08536     0.00000    -0.09227   -0.394857054   -1.481561256   -1.086704202
     1     322     0.08274     0.00000    -0.09404   -0.395670616   -1.474906184   -1.079235568
     1     322     0.08013     0.00000    -0.09581   -0.396827743   -1.469083280   -1.072255537
     1     322     0.07752     0.00000    -0.09757   -0.398126457   -1.464108415   -1.065981958
     1     322     0.07491     0.00000    -0.09934   -0.399332237   -1.459930247   -1.060598010
     1     322     0.07230     0.00000    -0.10111   -0.400192346   -1.456588894   -1.056396548
     1     322     0.06968     0.00000    -0.10288   -0.400500326   -1.454273281   -1.053772955
     1     322     0.06968     0.00000    -0.10288   -0.400500326   -1.454273281   -1.053772955
     1     322     0.06968     0.02303    -0.10288   -0.401871514   -1.457560242   -1.055688728
     1     322     0.06968     0.04607    -0.10288   -0.406735117   -1.472251087   -1.065515969
     1     322     0.06968     0.06910    -0.10288   -0.416183349   -1.488781739   -1.072598390
     1     322     0.06968     0.09213    -0.10288   -0.410591353   -1.509191357   -1.098600004
     1     322     0.06968     0.11517    -0.10288   -0.400586602   -1.512575927   -1.111989325
     1     322     0.06968     0.13820    -0.10288   -0.401099099   -1.538483257   -1.137384158
     1     322     0.06968     0.16123    -0.10288   -0.413101438   -1.548356380   -1.135254941
     1     322     0.06968     0.18426    -0.10288   -0.430057951   -1.564346642   -1.134288690
     1     322     0.06968     0.20730    -0.10288   -0.450572604   -1.587067749   -1.136495145
     1     322     0.06968     0.23033    -0.10288   -0.473241820   -1.609730729   -1.136488909
     1     322     0.06968     0.23033    -0.10288   -0.473241820   -1.609730729   -1.136488909
     1     322     0.06707     0.23033    -0.10465   -0.473231022   -1.612035655   -1.138804634
     1     322     0.06446     0.23033    -0.10642   -0.473215096   -1.614335443   -1.141120347
     1     322     0.06185     0.23033    -0.10819   -0.473158997   -1.616639357   -1.143480360
     1     322     0.05924     0.23033    -0.10996   -0.473058986   -1.619007585   -1.145948600
     1     322     0.05663     0.23033    -0.11173   -0.472897778   -1.621470029   -1.148572251
     1     322     0.05401     0.23033    -0.11350   -0.472640820   -1.624019499   -1.151378679
