# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     191     0.00000     0.00000     0.00000   -0.406757988   -1.647205988   -1.240448000
     1     191     0.05222     0.00000     0.00000   -0.381541953   -1.652251173   -1.270709219
     1     191     0.10444     0.00000     0.00000   -0.349030725   -1.634658439   -1.285627714
     1     191     0.15667     0.00000     0.00000   -0.317837972   -1.662546557   -1.344708585
     1     191     0.20889     0.00000     0.00000   -0.301666861   -1.657889230   -1.356222369
     1     191     0.26111     0.00000     0.00000   -0.300505426   -1.679991086   -1.379485660
     1     191     0.31333     0.00000     0.00000   -0.305308638   -1.688455933   -1.383147295
     1     191     0.36555     0.00000     0.00000   -0.307762674   -1.697385674   -1.389623000
     1     191     0.36555     0.00905     0.00000   -0.308233802   -1.697661904   -1.389428102
     1     191     0.36555     0.01809     0.00000   -0.309691712   -1.698461354   -1.388769642
     1     191     0.36555     0.02714     0.00000   -0.312067156   -1.699717055   -1.387649899
     1     191     0.36555     0.03618     0.00000   -0.315282063   -1.702017713   -1.386735650
     1     191     0.36555     0.04523     0.00000   -0.319176919   -1.705715181   -1.386538263
     1     191     0.36555     0.05427     0.00000   -0.323641899   -1.710776883   -1.387134984
     1     191     0.36555     0.06332     0.00000   -0.328404985   -1.716740411   -1.388335426
     1     191     0.36555     0.07237     0.00000   -0.333341073   -1.723025584   -1.389684511
     1     191     0.36555     0.08141     0.00000   -0.338073301   -1.728509225   -1.390435924
     1     191     0.36555     0.09046     0.00000   -0.341931377   -1.732160830   -1.390229452
     1     191     0.36555     0.09950     0.00000   -0.343615737   -1.733502737   -1.389887000
     1     191     0.31333     0.09950     0.00000   -0.343010118   -1.730196796   -1.387186677
     1     191     0.26111     0.09950     0.00000   -0.342710545   -1.729048248   -1.386337703
     1     191     0.20889     0.09950     0.00000   -0.346268665   -1.711758218   -1.365489554
     1     191     0.15667     0.09950     0.00000   -0.354915663   -1.712430274   -1.357514611
     1     191     0.10444     0.09950     0.00000   -0.363587176   -1.683952218   -1.320365042
     1     191     0.05222     0.09950     0.00000   -0.370907390   -1.675862254   -1.304954864
     1     191     0.00000     0.09950     0.00000   -0.374422441   -1.667319441   -1.292897000
