# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     273     0.00000     0.00000     0.00000   -1.470639938   -2.802459756   -1.331819818
     1     273     0.00000     0.00000    -0.01496   -1.472356685   -2.803872120   -1.331515435
     1     273     0.00000     0.00000    -0.02993   -1.477239750   -2.808805520   -1.331565770
     1     273     0.00000     0.00000    -0.04489   -1.481214576   -2.830807935   -1.349593358
     1     273     0.00000     0.00000    -0.05986   -1.480085341   -2.841084656   -1.360999315
     1     273     0.00000     0.00000    -0.07482   -1.478391862   -2.848917691   -1.370525829
     1     273     0.00000     0.00000    -0.08978   -1.476425436   -2.854420915   -1.377995479
     1     273     0.00000     0.00000    -0.10475   -1.474110418   -2.854111692   -1.380001274
     1     273     0.00000     0.00000    -0.11971   -1.467148059   -2.761729917   -1.294581858
     1     273     0.00000     0.00000    -0.13468   -1.448306241   -2.718255820   -1.269949579
     1     273     0.00000     0.00000    -0.14964   -1.430902937   -2.684784653   -1.253881716
     1     273     0.00000     0.00000    -0.14964   -1.430902937   -2.684784653   -1.253881716
     1     273     0.00999     0.00000    -0.14964   -1.433828873   -2.689085639   -1.255256766
     1     273     0.01998     0.00000    -0.14964   -1.437015315   -2.694552487   -1.257537172
     1     273     0.02997     0.00000    -0.14964   -1.440187914   -2.700432124   -1.260244209
     1     273     0.03996     0.00000    -0.14964   -1.443085812   -2.708500430   -1.265414618
     1     273     0.04995     0.00000    -0.14964   -1.445150926   -2.722622161   -1.277471236
     1     273     0.05993     0.00000    -0.14964   -1.445827723   -2.744336198   -1.298508475
     1     273     0.06992     0.00000    -0.14964   -1.444952673   -2.766548465   -1.321595792
     1     273     0.07991     0.00000    -0.14964   -1.443308991   -2.783985167   -1.340676177
     1     273     0.08990     0.00000    -0.14964   -1.441752115   -2.798429725   -1.356677610
     1     273     0.09989     0.00000    -0.14964   -1.441081450   -2.811338337   -1.370256887
     1     273     0.09989     0.00000    -0.14964   -1.441081450   -2.811338337   -1.370256887
     1     273     0.10385     0.00000    -0.14299   -1.446113168   -2.845081679   -1.398968510
     1     273     0.10782     0.00000    -0.13634   -1.451611025   -2.872787121   -1.421176096
     1     273     0.11178     0.00000    -0.12969   -1.457333335   -2.893105034   -1.435771698
     1     273     0.11574     0.00000    -0.12303   -1.463014177   -2.905716131   -1.442701955
     1     273     0.11971     0.00000    -0.11638   -1.468390532   -2.909703675   -1.441313143
     1     273     0.12367     0.00000    -0.10973   -1.472992991   -2.891018635   -1.418025645
     1     273     0.12763     0.00000    -0.10308   -1.475271817   -2.795276062   -1.320004245
     1     273     0.13159     0.00000    -0.09643   -1.475307442   -2.756292239   -1.280984796
     1     273     0.13556     0.00000    -0.08978   -1.475100040   -2.747957363   -1.272857323
     1     273     0.13952     0.00000    -0.08313   -1.475006078   -2.746068823   -1.271062745
     1     273     0.13952     0.00000    -0.08313   -1.475006078   -2.746068823   -1.271062745
     1     273     0.13952     0.00974    -0.08313   -1.473538129   -2.765252987   -1.291714858
     1     273     0.13952     0.01948    -0.08313   -1.470976758   -2.781563885   -1.310587127
     1     273     0.13952     0.02922    -0.08313   -1.468667944   -2.791790785   -1.323122841
     1     273     0.13952     0.03896    -0.08313   -1.466975726   -2.799372461   -1.332396736
     1     273     0.13952     0.04870    -0.08313   -1.466087577   -2.805554698   -1.339467121
     1     273     0.13952     0.05844    -0.08313   -1.466198461   -2.811413618   -1.345215156
     1     273     0.13952     0.06818    -0.08313   -1.465290746   -2.784010041   -1.318719295
     1     273     0.13952     0.07792    -0.08313   -1.460044431   -2.776452963   -1.316408533
     1     273     0.13952     0.08766    -0.08313   -1.454514386   -2.768962141   -1.314447755
     1     273     0.13952     0.09740    -0.08313   -1.448725636   -2.762524454   -1.313798818
     1     273     0.13952     0.09740    -0.08313   -1.448725636   -2.762524454   -1.313798818
     1     273     0.14348     0.09740    -0.07647   -1.448786331   -2.762777635   -1.313991303
     1     273     0.14745     0.09740    -0.06982   -1.448950959   -2.763530903   -1.314579944
     1     273     0.15141     0.09740    -0.06317   -1.449161699   -2.764759123   -1.315597423
     1     273     0.15537     0.09740    -0.05652   -1.449393608   -2.766550592   -1.317156984
     1     273     0.15934     0.09740    -0.04987   -1.449598920   -2.769095413   -1.319496493
     1     273     0.16330     0.09740    -0.04322   -1.449690682   -2.772709677   -1.323018995
     1     273     0.16726     0.09740    -0.03656   -1.449544518   -2.777593780   -1.328049262
     1     273     0.17122     0.09740    -0.02991   -1.448969020   -2.783342299   -1.334373279
     1     273     0.17519     0.09740    -0.02326   -1.447629813   -2.787907567   -1.340277754
     1     273     0.17915     0.09740    -0.01661   -1.445123251   -2.786501033   -1.341377782
     1     273     0.17915     0.09740    -0.01661   -1.445123251   -2.786501033   -1.341377782
     1     273     0.17519     0.09740    -0.00830   -1.440634284   -2.776230336   -1.335596052
     1     273     0.17122     0.09740     0.00002   -1.434823008   -2.756694833   -1.321871825
     1     273     0.16726     0.09740     0.00833   -1.428494546   -2.733037128   -1.304542582
