# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     627     0.00000     0.00000     0.00000    0.899321013    0.313990013   -0.585331000
     1     627     0.02297     0.00000     0.00000    0.899164470    0.367916203   -0.531248267
     1     627     0.04594     0.00000     0.00000    0.898095607    0.312936903   -0.585158704
     1     627     0.06891     0.00000     0.00000    0.894425405    0.351055009   -0.543370396
     1     627     0.09189     0.00000     0.00000    0.893606822    0.343111188   -0.550495634
     1     627     0.11486     0.00000     0.00000    0.895858914    0.343212608   -0.552646306
     1     627     0.13783     0.00000     0.00000    0.899780613    0.348447613   -0.551333000
     1     627     0.11486     0.01786     0.00000    0.895815344    0.343555023   -0.552260321
     1     627     0.09189     0.03572     0.00000    0.894038393    0.345141858   -0.548896535
     1     627     0.06891     0.05359     0.00000    0.894239021    0.331284100   -0.562954921
     1     627     0.04594     0.07145     0.00000    0.898237001    0.368438783   -0.529798218
     1     627     0.02297     0.08931     0.00000    0.902733709    0.378037898   -0.524695811
     1     627     0.00000     0.10717     0.00000    0.905949350    0.381459350   -0.524490000
     1     627     0.00000     0.08931     0.00000    0.904192123    0.379561277   -0.524630846
     1     627     0.00000     0.07145     0.00000    0.901261161    0.319536549   -0.581724611
     1     627     0.00000     0.05359     0.00000    0.899036535    0.313987916   -0.585048619
     1     627     0.00000     0.03572     0.00000    0.897907381    0.311067343   -0.586840037
     1     627     0.00000     0.01786     0.00000    0.898665747    0.313398288   -0.585267458
     1     627     0.00000     0.00000     0.00000    0.899321013    0.313990013   -0.585331000
     1     627     0.00000     0.00000     0.01199    0.898741236    0.313899059   -0.584842177
     1     627     0.00000     0.00000     0.02399    0.897228871    0.313530035   -0.583698836
     1     627     0.00000     0.00000     0.03598    0.895166093    0.312573575   -0.582592518
     1     627     0.00000     0.00000     0.04797    0.891599610    0.332586406   -0.559013204
     1     627     0.00000     0.00000     0.05996    0.890126199    0.304908960   -0.585217240
     1     627     0.00000     0.00000     0.07196    0.890231088    0.305045158   -0.585185930
     1     627    -0.02297    -0.01786     0.07196    0.889838844    0.308019523   -0.581819321
