# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      81     0.00000     0.00000     0.00000   -1.966861428   -3.405793428   -1.438932000
     1      81     0.00000     0.06706     0.00000   -1.937680527   -3.394896905   -1.457216377
     1      81     0.00000     0.13412     0.00000   -1.927289653   -3.455272731   -1.527983077
     1      81     0.00000     0.20118     0.00000   -1.945342273   -3.428860044   -1.483517772
     1      81     0.00000     0.26824     0.00000   -1.966978584   -3.453370784   -1.486392200
     1      81     0.00000     0.33530     0.00000   -1.972366047   -3.459436647   -1.487070600
     1      81     0.00000     0.40235     0.00000   -1.961726067   -3.446430648   -1.484704581
     1      81     0.00000     0.40235     0.00817   -1.961547455   -3.445301223   -1.483753768
     1      81     0.00000     0.40235     0.01634   -1.960923956   -3.443241205   -1.482317249
     1      81     0.00000     0.40235     0.02450   -1.959607171   -3.440184119   -1.480576949
     1      81     0.00000     0.40235     0.03267   -1.957413465   -3.436326657   -1.478913193
     1      81     0.00000     0.40235     0.04084   -1.954199955   -3.432419080   -1.478219125
     1      81     0.00000     0.40235     0.04901   -1.950039228   -3.428973525   -1.478934297
     1      81     0.00000     0.40235     0.05718   -1.945155333   -3.425667993   -1.480512659
     1      81     0.00000     0.40235     0.06534   -1.939831616   -3.421979760   -1.482148144
     1      81     0.00000     0.40235     0.07351   -1.934591906   -3.417672082   -1.483080176
     1      81     0.00000     0.33530     0.07351   -1.948902270   -3.411208377   -1.462306108
     1      81     0.00000     0.26824     0.07351   -1.945938470   -3.413021173   -1.467082704
     1      81     0.00000     0.20118     0.07351   -1.928749868   -3.434090286   -1.505340418
     1      81     0.00000     0.13412     0.07351   -1.953277771   -3.456138446   -1.502860675
     1      81     0.00000     0.06706     0.07351   -1.935193660   -3.417790915   -1.482597254
     1      81     0.00000     0.00000     0.07351   -1.941017981   -3.402246957   -1.461228976
     1      81     0.00000     0.00000     0.06534   -1.942795945   -3.401784440   -1.458988495
     1      81     0.00000     0.00000     0.05718   -1.945399884   -3.402584202   -1.457184318
     1      81     0.00000     0.00000     0.04901   -1.948794093   -3.404271803   -1.455477710
     1      81     0.00000     0.00000     0.04084   -1.952686611   -3.405979510   -1.453292899
     1      81     0.00000     0.00000     0.03267   -1.956831603   -3.406972988   -1.450141385
     1      81     0.00000     0.00000     0.02450   -1.960757931   -3.406996447   -1.446238517
