# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     109     0.00000     0.00000     0.00000   -1.031448447   -2.630537447   -1.599089000
     1     109     0.00000     0.00000    -0.01232   -1.030946441   -2.629769321   -1.598822879
     1     109     0.00000     0.00000    -0.02464   -1.029527545   -2.626850313   -1.597322768
     1     109     0.00000     0.00000    -0.03695   -1.027322178   -2.624839249   -1.597517071
     1     109     0.00000     0.00000    -0.04927   -1.024630200   -2.628014653   -1.603384453
     1     109     0.00000     0.00000    -0.06159   -1.021701898   -2.636824759   -1.615122861
     1     109     0.00000     0.00000    -0.07391   -1.019334790   -2.645408016   -1.626073226
     1     109     0.00000     0.00000    -0.08622   -1.018387690   -2.647886690   -1.629499000
     1     109     0.00000    -0.13859    -0.00882   -1.057815018   -2.650719018   -1.592904000
     1     109     0.00000    -0.11879    -0.00756   -1.057605534   -2.649348037   -1.591742504
     1     109     0.00000    -0.09900    -0.00630   -1.056244373   -2.642726879   -1.586482507
     1     109     0.00000    -0.07920    -0.00504   -1.052234566   -2.632271971   -1.580037405
     1     109     0.00000    -0.05940    -0.00378   -1.045565224   -2.626071333   -1.580506108
     1     109     0.00000    -0.03960    -0.00252   -1.038402327   -2.627980159   -1.589577832
     1     109     0.00000    -0.01980    -0.00126   -1.033257293   -2.630853968   -1.597596675
     1     109     0.00000     0.00000     0.00000   -1.031448447   -2.630537447   -1.599089000
     1     109    -0.04009    -0.00405    -0.00372   -1.033514539   -2.634975855   -1.601461317
     1     109    -0.08018    -0.00811    -0.00744   -1.036145858   -2.664796832   -1.628650974
     1     109    -0.12027    -0.01216    -0.01116   -1.038321744   -2.673770913   -1.635449169
     1     109    -0.16036    -0.01622    -0.01488   -1.064637969   -2.505792498   -1.441154529
     1     109    -0.20045    -0.02027    -0.01860   -1.175270054   -2.641470124   -1.466200070
     1     109    -0.24054    -0.02433    -0.02232   -1.229644077   -2.702061282   -1.472417205
     1     109    -0.28063    -0.02838    -0.02604   -1.250823896   -2.793604726   -1.542780830
     1     109    -0.32071    -0.03244    -0.02976   -1.259603712   -2.858988099   -1.599384387
     1     109    -0.36080    -0.03649    -0.03348   -1.262518796   -2.861435806   -1.598917010
     1     109    -0.40089    -0.04055    -0.03720   -1.264410163   -2.870797997   -1.606387834
     1     109    -0.44098    -0.04460    -0.04092   -1.265229415   -2.876867415   -1.611638000
     1     109    -0.44098     0.09399     0.05413   -1.312136056   -2.874141056   -1.562005000
     1     109    -0.40089     0.08544     0.04921   -1.310364020   -2.874294216   -1.563930197
     1     109    -0.36080     0.07690     0.04429   -1.305382072   -2.858088818   -1.552706746
     1     109    -0.32071     0.06836     0.03937   -1.296945355   -2.844748924   -1.547803568
     1     109    -0.28063     0.05981     0.03444   -1.279829019   -2.826995320   -1.547166301
     1     109    -0.24054     0.05127     0.02952   -1.240006626   -2.689928348   -1.449921722
     1     109    -0.20045     0.04272     0.02460   -1.165752779   -2.599447257   -1.433694478
     1     109    -0.16036     0.03418     0.01968   -1.066412706   -2.492931164   -1.426518457
     1     109    -0.12027     0.02563     0.01476   -1.039640838   -2.656212735   -1.616571897
     1     109    -0.08018     0.01709     0.00984   -1.034810344   -2.646514567   -1.611704223
     1     109    -0.04009     0.00854     0.00492   -1.032675947   -2.628090115   -1.595414168
     1     109     0.00000     0.00000     0.00000   -1.031448447   -2.630537447   -1.599089000
     1     109    -0.04009     0.00854    -0.00292   -1.034079252   -2.631779428   -1.597700175
     1     109    -0.08018     0.01709    -0.00584   -1.038475877   -2.659337816   -1.620861938
     1     109    -0.12027     0.02563    -0.00875   -1.043036530   -2.662164487   -1.619127957
     1     109    -0.16036     0.03418    -0.01167   -1.059207926   -2.509641320   -1.450433394
     1     109    -0.20045     0.04272    -0.01459   -1.154826076   -2.601369900   -1.446543824
     1     109    -0.24054     0.05127    -0.01751   -1.220551491   -2.676277938   -1.455726447
     1     109    -0.28063     0.05981    -0.02043   -1.250331397   -2.781650621   -1.531319224
     1     109    -0.32071     0.06836    -0.02334   -1.259477702   -2.808683779   -1.549206077
     1     109    -0.36080     0.07690    -0.02626   -1.260936301   -2.810145149   -1.549208848
     1     109    -0.40089     0.08544    -0.02918   -1.257731391   -2.807638684   -1.549907293
     1     109    -0.44098     0.09399    -0.03210   -1.252206379   -2.800367379   -1.548161000
     1     109    -0.44098    -0.04460     0.04530   -1.359054947   -2.993882947   -1.634828000
     1     109    -0.40089    -0.04055     0.04118   -1.350689224   -2.976277683   -1.625588459
     1     109    -0.36080    -0.03649     0.03707   -1.333260851   -2.939404145   -1.606143294
     1     109    -0.32071    -0.03244     0.03295   -1.312062542   -2.911992641   -1.599930098
     1     109    -0.28063    -0.02838     0.02883   -1.284865201   -2.835908690   -1.551043490
     1     109    -0.24054    -0.02433     0.02471   -1.249104777   -2.705459516   -1.456354740
