# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      42     0.00000     0.00000     0.00000   -4.168880963   -6.407276963   -2.238396000
     1      42     0.04576     0.00178     0.00146   -4.182228435   -6.329122826   -2.146894392
     1      42     0.09153     0.00357     0.00292   -4.167905891   -6.302314866   -2.134408975
     1      42     0.13729     0.00535     0.00439   -4.146194521   -6.287385521   -2.141191000
     1      42     0.18305     0.00713     0.00585   -4.189539922   -6.352003054   -2.162463133
     1      42     0.22882     0.00892     0.00731   -4.255064853   -6.507027244   -2.251962391
     1      42     0.27458     0.01070     0.00877   -4.293222666   -6.559353666   -2.266131000
     1      42     0.00000    -0.19737    -0.05390   -4.101446004   -6.345368004   -2.243922000
     1      42     0.00000    -0.16448    -0.04492   -4.106678796   -6.324153393   -2.217474597
     1      42     0.00000    -0.13158    -0.03594   -4.125463714   -6.304680277   -2.179216563
     1      42     0.00000    -0.09869    -0.02695   -4.152968857   -6.334235857   -2.181267000
     1      42     0.00000    -0.06579    -0.01797   -4.171901904   -6.356307466   -2.184405562
     1      42     0.00000    -0.03290    -0.00898   -4.172820555   -6.386717899   -2.213897344
     1      42     0.00000     0.00000     0.00000   -4.168880963   -6.407276963   -2.238396000
     1      42     0.00000     0.00000    -0.02704   -4.159441279   -6.347181031   -2.187739752
     1      42     0.00000     0.00000    -0.05408   -4.153453122   -6.310125757   -2.156672635
     1      42     0.00000     0.00000    -0.08112   -4.149950809   -6.306737092   -2.156786283
     1      42     0.00000     0.00000    -0.10816   -4.134702625   -6.284090993   -2.149388368
     1      42     0.00000     0.00000    -0.13520   -4.104776408   -6.226066533   -2.121290125
     1      42     0.00000     0.00000    -0.16224   -4.083281696   -6.176384696   -2.093103000
     1      42    -0.27458     0.18667    -0.11711   -4.353377972   -6.579213972   -2.225836000
     1      42    -0.22882     0.15556    -0.09759   -4.294177755   -6.539772955   -2.245595200
     1      42    -0.18305     0.12445    -0.07807   -4.204179386   -6.406814994   -2.202635608
     1      42    -0.13729     0.09334    -0.05856   -4.173685947   -6.321572135   -2.147886188
     1      42    -0.09153     0.06222    -0.03904   -4.184670849   -6.367681148   -2.183010300
     1      42    -0.04576     0.03111    -0.01952   -4.158223135   -6.339289884   -2.181066749
     1      42     0.00000     0.00000     0.00000   -4.168880963   -6.407276963   -2.238396000
     1      42     0.00000     0.03290    -0.01806   -4.146299420   -6.364004585   -2.217705165
     1      42     0.00000     0.06579    -0.03611   -4.114199215   -6.301339279   -2.187140064
     1      42     0.00000     0.09869    -0.05417   -4.092132119   -6.248524450   -2.156392331
     1      42     0.00000     0.13158    -0.07223   -4.078469305   -6.234243158   -2.155773853
     1      42     0.00000     0.16448    -0.09028   -4.069578260   -6.238961942   -2.169383682
     1      42     0.00000     0.19737    -0.10834   -4.066446906   -6.234173906   -2.167727000
     1      42    -0.27458    -0.01070    -0.17101   -4.233963547   -6.517753547   -2.283790000
     1      42    -0.22882    -0.00892    -0.14251   -4.250889264   -6.456532890   -2.205643626
     1      42    -0.18305    -0.00713    -0.11401   -4.237896646   -6.399626355   -2.161729709
     1      42    -0.13729    -0.00535    -0.08551   -4.194510136   -6.368273269   -2.173763133
     1      42    -0.09153    -0.00357    -0.05700   -4.144327671   -6.313065351   -2.168737680
     1      42    -0.04576    -0.00178    -0.02850   -4.148393023   -6.325058896   -2.176665874
     1      42     0.00000     0.00000     0.00000   -4.168880963   -6.407276963   -2.238396000
     1      42     0.04576     0.03468     0.01045   -4.173276668   -6.364725223   -2.191448556
     1      42     0.09153     0.06936     0.02089   -4.167628221   -6.335285407   -2.167657186
     1      42     0.13729     0.10404     0.03134   -4.177105264   -6.414021264   -2.236916000
     1      42     0.18305     0.13872     0.04178   -4.246110954   -6.465249862   -2.219138908
     1      42     0.22882     0.17340     0.05223   -4.276583768   -6.511149820   -2.234566052
     1      42     0.27458     0.20807     0.06268   -4.293711012   -6.565944012   -2.272233000
     1      43     0.00000     0.00000     0.00000   -4.094435839   -6.163628839   -2.069193000
     1      43     0.04576     0.00178     0.00146   -4.090195470   -6.181358254   -2.091162784
     1      43     0.09153     0.00357     0.00292   -4.101101170   -6.237897881   -2.136796711
     1      43     0.13729     0.00535     0.00439   -4.135878383   -6.279503383   -2.143625000
     1      43     0.18305     0.00713     0.00585   -4.155942512   -6.309794510   -2.153851997
     1      43     0.22882     0.00892     0.00731   -4.186915592   -6.332566359   -2.145650767
     1      43     0.27458     0.01070     0.00877   -4.198438061   -6.334993061   -2.136555000
     1      43     0.00000    -0.19737    -0.05390   -4.016539430   -6.081030430   -2.064491000
     1      43     0.00000    -0.16448    -0.04492   -4.027632257   -6.116755894   -2.089123637
     1      43     0.00000    -0.13158    -0.03594   -4.046624936   -6.170433204   -2.123808269
     1      43     0.00000    -0.09869    -0.02695   -4.060161486   -6.182028486   -2.121867000
     1      43     0.00000    -0.06579    -0.01797   -4.072851790   -6.191045684   -2.118193894
     1      43     0.00000    -0.03290    -0.00898   -4.086963465   -6.178546649   -2.091583184
     1      43     0.00000     0.00000     0.00000   -4.094435839   -6.163628839   -2.069193000
     1      43     0.00000     0.00000    -0.02704   -4.088482068   -6.176402825   -2.087920758
     1      43     0.00000     0.00000    -0.05408   -4.069352698   -6.202662241   -2.133309543
     1      43     0.00000     0.00000    -0.08112   -4.043659513   -6.215380825   -2.171721312
     1      43     0.00000     0.00000    -0.10816   -4.021693429   -6.230568180   -2.208874751
     1      43     0.00000     0.00000    -0.13520   -4.014042131   -6.250244341   -2.236202210
     1      43     0.00000     0.00000    -0.16224   -4.020583434   -6.270283434   -2.249700000
     1      43    -0.27458     0.18667    -0.11711   -4.270722980   -6.395310980   -2.124588000
     1      43    -0.22882     0.15556    -0.09759   -4.238523909   -6.367777060   -2.129253151
     1      43    -0.18305     0.12445    -0.07807   -4.160871855   -6.307517450   -2.146645594
     1      43    -0.13729     0.09334    -0.05856   -4.102414886   -6.294813216   -2.192398330
     1      43    -0.09153     0.06222    -0.03904   -4.089180079   -6.239324081   -2.150144003
     1      43    -0.04576     0.03111    -0.01952   -4.091920962   -6.173501299   -2.081580337
     1      43     0.00000     0.00000     0.00000   -4.094435839   -6.163628839   -2.069193000
