# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     343     0.00000     0.00000     0.00000   -0.270698137   -1.327622137   -1.056924000
     1     343     0.00000     0.00000    -0.01342   -0.270146510   -1.324913008   -1.054766498
     1     343     0.00000     0.00000    -0.02685   -0.268872720   -1.317411959   -1.048539239
     1     343     0.00000     0.00000    -0.04027   -0.266672628   -1.260564259   -0.993891631
     1     343     0.00000     0.00000    -0.05369   -0.262050196   -1.248542951   -0.986492755
     1     343     0.00000     0.00000    -0.06712   -0.256147976   -1.252380093   -0.996232117
     1     343     0.00000     0.13742     0.00000   -0.236716270   -1.237496270   -1.000780000
     1     343     0.00000     0.10994     0.00000   -0.238632637   -1.239537502   -1.000904865
     1     343     0.00000     0.08245     0.00000   -0.244885345   -1.275026840   -1.030141494
     1     343     0.00000     0.05497     0.00000   -0.254368745   -1.281159073   -1.026790328
     1     343     0.00000     0.02748     0.00000   -0.262782222   -1.294962157   -1.032179934
     1     343     0.00000     0.00000     0.00000   -0.270698137   -1.327622137   -1.056924000
     1     343     0.02268     0.00507     0.00000   -0.264990218   -1.288167879   -1.023177661
     1     343     0.04536     0.01013     0.00000   -0.256562157   -1.222550984   -0.965988827
     1     343     0.06805     0.01520     0.00000   -0.249066317   -1.167831341   -0.918765023
     1     343     0.09073     0.02026     0.00000   -0.245210009   -1.156471009   -0.911261000
     1     343     0.11341     0.02533     0.00000   -0.248036639   -1.161553183   -0.913516544
     1     343     0.13609     0.03039     0.00000   -0.256320339   -1.151673377   -0.895353038
     1     343     0.15877     0.03546     0.00000   -0.265265003   -1.111349282   -0.846084279
     1     343     0.18145     0.04052     0.00000   -0.269499751   -1.092836751   -0.823337000
     1     343     0.18145    -0.09690     0.06712   -0.289201529   -1.265235913   -0.976034384
     1     343     0.15877    -0.08479     0.05873   -0.289508460   -1.255285032   -0.965776572
     1     343     0.13609    -0.07268     0.05034   -0.288374206   -1.247214097   -0.958839891
     1     343     0.11341    -0.06056     0.04195   -0.282977032   -1.261342069   -0.978365037
     1     343     0.09073    -0.04845     0.03356   -0.278777917   -1.275356896   -0.996578979
     1     343     0.06805    -0.03634     0.02517   -0.276521518   -1.278265563   -1.001744045
     1     343     0.04536    -0.02423     0.01678   -0.273186635   -1.310274337   -1.037087702
     1     343     0.02268    -0.01211     0.00839   -0.271151951   -1.324324466   -1.053172515
     1     343     0.00000     0.00000     0.00000   -0.270698137   -1.327622137   -1.056924000
     1     343     0.02268    -0.01211     0.00000   -0.271425902   -1.326113410   -1.054687508
     1     343     0.04536    -0.02423     0.00000   -0.273920504   -1.309115556   -1.035195052
     1     343     0.06805    -0.03634     0.00000   -0.276927013   -1.276874298   -0.999947285
     1     343     0.09073    -0.04845     0.00000   -0.278003909   -1.277059287   -0.999055377
     1     343     0.11341    -0.06056     0.00000   -0.280153246   -1.262599762   -0.982446516
     1     343     0.13609    -0.07268     0.00000   -0.290021479   -1.260985492   -0.970964013
     1     343     0.15877    -0.08479     0.00000   -0.288350674   -1.276644654   -0.988293980
     1     343     0.18145    -0.09690     0.00000   -0.282834926   -1.274071926   -0.991237000
     1     343     0.18145     0.04052     0.06712   -0.259414078   -1.147194492   -0.887780414
     1     343     0.15877     0.03546     0.05873   -0.257502396   -1.137143774   -0.879641378
     1     343     0.13609     0.03039     0.05034   -0.251771514   -1.157676192   -0.905904678
     1     343     0.11341     0.02533     0.04195   -0.246643434   -1.182879089   -0.936235655
     1     343     0.09073     0.02026     0.03356   -0.244640000   -1.174942180   -0.930302181
     1     343     0.06805     0.01520     0.02517   -0.247757499   -1.176070979   -0.928313480
     1     343     0.04536     0.01013     0.01678   -0.255432973   -1.235747100   -0.980314127
     1     343     0.02268     0.00507     0.00839   -0.264614716   -1.291337354   -1.026722638
     1     343     0.00000     0.00000     0.00000   -0.270698137   -1.327622137   -1.056924000
     1     343     0.00000    -0.01718    -0.00839   -0.265898881   -1.301538390   -1.035639510
     1     343     0.00000    -0.03436    -0.01678   -0.259568504   -1.285949845   -1.026381341
     1     343     0.00000    -0.05153    -0.02517   -0.253879754   -1.272674187   -1.018794433
     1     343     0.00000    -0.06871    -0.03356   -0.249824767   -1.266192011   -1.016367244
     1     343     0.00000    -0.08589    -0.04195   -0.248151072   -1.261426535   -1.013275463
