# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     221     0.00000     0.00000     0.00000   -1.199655253   -2.491030253   -1.291375000
     1     221     0.00000     0.00000    -0.01687   -1.186727964   -2.446362916   -1.259634952
     1     221     0.00000     0.00000    -0.03374   -1.170955760   -2.415876670   -1.244920910
     1     221     0.00000     0.00000    -0.05061   -1.157194163   -2.385984380   -1.228790217
     1     221     0.00000     0.00000    -0.06748   -1.146310674   -2.362208498   -1.215897824
     1     221     0.00000     0.00000    -0.08435   -1.138850105   -2.349031490   -1.210181385
     1     221     0.00000     0.00000    -0.10121   -1.134976898   -2.330107898   -1.195131000
     1     221     0.01413     0.00000    -0.10121   -1.138435683   -2.349796112   -1.211360430
     1     221     0.02827     0.00000    -0.10121   -1.141711008   -2.356894441   -1.215183433
     1     221     0.04240     0.00000    -0.10121   -1.143571755   -2.362169097   -1.218597342
     1     221     0.05653     0.00000    -0.10121   -1.153523162   -2.388315813   -1.234792651
     1     221     0.07067     0.00000    -0.10121   -1.164896232   -2.411046277   -1.246150045
     1     221     0.08480     0.00000    -0.10121   -1.160292734   -2.401029641   -1.240736907
     1     221     0.09893     0.00000    -0.10121   -1.156340589   -2.406477643   -1.250137055
     1     221     0.11307     0.00000    -0.10121   -1.152860518   -2.409512048   -1.256651529
     1     221     0.11541     0.00000    -0.09606   -1.152947765   -2.410816254   -1.257868489
     1     221     0.11776     0.00000    -0.09091   -1.153233740   -2.411602003   -1.258368263
     1     221     0.12010     0.00000    -0.08575   -1.154376413   -2.409947590   -1.255571178
     1     221     0.12245     0.00000    -0.08060   -1.157296863   -2.420440487   -1.263143624
     1     221     0.12479     0.00000    -0.07545   -1.156209533   -2.419748555   -1.263539022
     1     221     0.12714     0.00000    -0.07029   -1.155279705   -2.419230390   -1.263950684
     1     221     0.12948     0.00000    -0.06514   -1.154493053   -2.418689894   -1.264196842
     1     221     0.13183     0.00000    -0.05998   -1.153901101   -2.417559101   -1.263658000
     1     221     0.13183     0.02376    -0.05998   -1.152760654   -2.418444532   -1.265683879
     1     221     0.13183     0.04752    -0.05998   -1.149900830   -2.425184198   -1.275283368
     1     221     0.13183     0.07128    -0.05998   -1.146673922   -2.430645106   -1.283971184
     1     221     0.13183     0.09505    -0.05998   -1.143597150   -2.429364150   -1.285767000
     1     221     0.13183     0.11881    -0.05998   -1.140642548   -2.424602662   -1.283960114
     1     221     0.13183     0.14257    -0.05998   -1.137765612   -2.415569757   -1.277804145
     1     221     0.13183     0.16633    -0.05998   -1.135693352   -2.408984966   -1.273291614
     1     221     0.13183     0.19009    -0.05998   -1.134851654   -2.406937654   -1.272086000
     1     221     0.13417     0.19009    -0.05483   -1.135225403   -2.407324046   -1.272098644
     1     221     0.13652     0.19009    -0.04968   -1.136323717   -2.408463714   -1.272139997
     1     221     0.13886     0.19009    -0.04452   -1.138169470   -2.410404264   -1.272234794
     1     221     0.14121     0.19009    -0.03937   -1.140817395   -2.413297628   -1.272480234
     1     221     0.14355     0.19009    -0.03421   -1.144326966   -2.417330294   -1.273003328
     1     221     0.14590     0.19009    -0.02906   -1.148659359   -2.422552256   -1.273892897
     1     221     0.14824     0.19009    -0.02391   -1.153725011   -2.428957087   -1.275232076
     1     221     0.15059     0.19009    -0.01875   -1.159406725   -2.436476838   -1.277070113
     1     221     0.14746     0.19009    -0.00876   -1.167785288   -2.445005755   -1.277220467
     1     221     0.14433     0.19009     0.00124   -1.173395781   -2.442850666   -1.269454885
     1     221     0.14121     0.19009     0.01124   -1.175248778   -2.435661076   -1.260412298
     1     221     0.13808     0.19009     0.02124   -1.175086618   -2.431189705   -1.256103087
     1     221     0.13495     0.19009     0.03123   -1.174504967   -2.429434105   -1.254929138
     1     221     0.13183     0.19009     0.04123   -1.174267402   -2.428974402   -1.254707000
     1     221     0.13183     0.16633     0.04123   -1.185185241   -2.438377313   -1.253192073
     1     221     0.13183     0.14257     0.04123   -1.193272441   -2.450603581   -1.257331141
     1     221     0.13183     0.11881     0.04123   -1.184181880   -2.425583724   -1.241401844
     1     221     0.13183     0.09505     0.04123   -1.165394811   -2.402687811   -1.237293000
     1     221     0.13183     0.07128     0.04123   -1.146161602   -2.389069146   -1.242907544
     1     221     0.13183     0.04752     0.04123   -1.145970220   -2.394383479   -1.248413259
     1     221     0.13183     0.02376     0.04123   -1.147224705   -2.397969670   -1.250744965
     1     221     0.13183     0.00000     0.04123   -1.147897979   -2.397807979   -1.249910000
     1     221     0.13417     0.00000     0.03373   -1.147947811   -2.397929211   -1.249981400
     1     221     0.13652     0.00000     0.02623   -1.148182274   -2.398386964   -1.250204690
     1     221     0.13886     0.00000     0.01874   -1.148561022   -2.399250710   -1.250689688
     1     221     0.14121     0.00000     0.01124   -1.149117907   -2.400704832   -1.251586925
     1     221     0.14355     0.00000     0.00374   -1.149797242   -2.402648995   -1.252851753
     1     221     0.14590     0.00000    -0.00376   -1.150619945   -2.404910678   -1.254290733
     1     221     0.14824     0.00000    -0.01126   -1.151648450   -2.407295429   -1.255646979
     1     221     0.15059     0.00000    -0.01875   -1.152860518   -2.409512048   -1.256651529
     1     221     0.11307     0.19009    -0.10121   -1.159406725   -2.436476838   -1.277070113
     1     221     0.10050     0.19009    -0.10121   -1.160501266   -2.436816660   -1.276315394
     1     221     0.08794     0.19009    -0.10121   -1.153291139   -2.420938044   -1.267646905
     1     221     0.07538     0.19009    -0.10121   -1.139742917   -2.397906551   -1.258163634
     1     221     0.06281     0.19009    -0.10121   -1.123250546   -2.380210602   -1.256960056
     1     221     0.05025     0.19009    -0.10121   -1.105880150   -2.374602272   -1.268722122
     1     221     0.03769     0.19009    -0.10121   -1.090055168   -2.388389602   -1.298334434
     1     221     0.02513     0.19009    -0.10121   -1.079178300   -2.413475954   -1.334297654
     1     221     0.01256     0.19009    -0.10121   -1.074053389   -2.422518795   -1.348465406
     1     221     0.00000     0.19009    -0.10121   -1.072650354   -2.423069353   -1.350419000
     1     221     0.00000     0.19009    -0.08435   -1.073815088   -2.417397433   -1.343582345
     1     221     0.00000     0.19009    -0.06748   -1.076937779   -2.391231751   -1.314293972
     1     221     0.00000     0.19009    -0.05061   -1.081237447   -2.361121691   -1.279884244
     1     221     0.00000     0.19009    -0.03374   -1.085783934   -2.348070303   -1.262286369
     1     221     0.00000     0.19009    -0.01687   -1.089542217   -2.350670118   -1.261127901
     1     221     0.00000     0.19009     0.00000   -1.091025398   -2.352856398   -1.261831000
     1     221     0.00000     0.00000    -0.10121   -1.134976898   -2.330107898   -1.195131000
     1     221     0.00000     0.02376    -0.10121   -1.133680878   -2.331623868   -1.197942990
     1     221     0.00000     0.04752    -0.10121   -1.128237154   -2.337297369   -1.209060215
     1     221     0.00000     0.07128    -0.10121   -1.116705464   -2.329096752   -1.212391288
     1     221     0.00000     0.09505    -0.10121   -1.100948755   -2.312240755   -1.211292000
     1     221     0.00000     0.11881    -0.10121   -1.085812665   -2.303994008   -1.218181343
     1     221     0.00000     0.14257    -0.10121   -1.076697603   -2.363776635   -1.287079031
     1     221     0.00000     0.16633    -0.10121   -1.073394122   -2.415366611   -1.341972489
     1     221     0.00000     0.19009    -0.10121   -1.072650354   -2.423069353   -1.350419000
     1     222     0.00000     0.00000     0.00000   -1.145060695   -2.361999695   -1.216939000
     1     222     0.00000     0.00000    -0.01687   -1.147129123   -2.366505486   -1.219376363
     1     222     0.00000     0.00000    -0.03374   -1.149436290   -2.380839440   -1.231403150
     1     222     0.00000     0.00000    -0.05061   -1.145005822   -2.382295818   -1.237289996
     1     222     0.00000     0.00000    -0.06748   -1.137853177   -2.357879216   -1.220026040
     1     222     0.00000     0.00000    -0.08435   -1.134586784   -2.345703181   -1.211116397
     1     222     0.00000     0.00000    -0.10121   -1.134927958   -2.359559958   -1.224632000
     1     222     0.01413     0.00000    -0.10121   -1.133507713   -2.345805395   -1.212297681
     1     222     0.02827     0.00000    -0.10121   -1.136293575   -2.354843149   -1.218549573
     1     222     0.04240     0.00000    -0.10121   -1.143420728   -2.371680872   -1.228260144
     1     222     0.05653     0.00000    -0.10121   -1.143453041   -2.372080069   -1.228627028
     1     222     0.07067     0.00000    -0.10121   -1.141636674   -2.377613000   -1.235976326
     1     222     0.08480     0.00000    -0.10121   -1.139087677   -2.377810765   -1.238723088
     1     222     0.09893     0.00000    -0.10121   -1.137076914   -2.374782965   -1.237706051
     1     222     0.11307     0.00000    -0.10121   -1.136516941   -2.373317348   -1.236800407
     1     222     0.11541     0.00000    -0.09606   -1.141181372   -2.384701313   -1.243519941
     1     222     0.11776     0.00000    -0.09091   -1.145942773   -2.394979117   -1.249036344
     1     222     0.12010     0.00000    -0.08575   -1.150063996   -2.405958113   -1.255894116
     1     222     0.12245     0.00000    -0.08060   -1.151856302   -2.413733390   -1.261877088
     1     222     0.12479     0.00000    -0.07545   -1.152456758   -2.415815621   -1.263358863
     1     222     0.12714     0.00000    -0.07029   -1.152874244   -2.416841411   -1.263967167
     1     222     0.12948     0.00000    -0.06514   -1.153312860   -2.417605739   -1.264292880
     1     222     0.13183     0.00000    -0.05998   -1.153814779   -2.418833779   -1.265019000
     1     222     0.13183     0.02376    -0.05998   -1.152678293   -2.419604509   -1.266926216
     1     222     0.13183     0.04752    -0.05998   -1.149827760   -2.425808563   -1.275980803
     1     222     0.13183     0.07128    -0.05998   -1.146612198   -2.430688536   -1.284076338
