# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     115     0.00000     0.00000     0.00000   -0.959085237   -2.254888237   -1.295803000
     1     115     0.00000     0.01605     0.00000   -0.956042956   -2.254679333   -1.298636377
     1     115     0.00000     0.03209     0.00000   -0.947574578   -2.263152999   -1.315578421
     1     115     0.00000     0.04814     0.00000   -0.935803644   -2.278644768   -1.342841124
     1     115     0.00000     0.06418     0.00000   -0.929767564   -2.369384208   -1.439616643
     1     115     0.00000     0.08023     0.00000   -0.930441960   -2.302494625   -1.372052665
     1     115     0.00000     0.09627     0.00000   -0.922574268   -2.283926753   -1.361352485
     1     115     0.00000     0.11232     0.00000   -0.915791910   -2.275854910   -1.360063000
     1     115     0.00000     0.11232     0.02039   -0.920222038   -2.285349505   -1.365127467
     1     115     0.00000     0.11232     0.04078   -0.933011135   -2.308452887   -1.375441752
     1     115     0.00000     0.11232     0.06117   -0.950465547   -2.325667381   -1.375201834
     1     115     0.00000     0.11232     0.08157   -0.967255789   -2.328678345   -1.361422556
     1     115     0.00000     0.11232     0.10196   -0.979878496   -2.322723833   -1.342845337
     1     115     0.00000     0.11232     0.12235   -0.987297439   -2.319868102   -1.332570663
     1     115     0.00000     0.11232     0.14274   -0.989757430   -2.320861430   -1.331104000
     1     115     0.00000     0.09627     0.14274   -0.996316153   -2.329288440   -1.332972287
     1     115     0.00000     0.08023     0.14274   -1.003269169   -2.345343232   -1.342074063
     1     115     0.00000     0.06418     0.14274   -1.009956462   -2.365684550   -1.355728088
     1     115     0.00000     0.04814     0.14274   -1.015414807   -2.381208412   -1.365793605
     1     115     0.00000     0.03209     0.14274   -1.019046469   -2.389023648   -1.369977179
     1     115     0.00000     0.01605     0.14274   -1.020778782   -2.390647675   -1.369868893
     1     115     0.00000     0.00000     0.14274   -1.021217456   -2.390752456   -1.369535000
     1     115     0.00000     0.00000     0.12235   -1.019636559   -2.390756077   -1.371119518
     1     115     0.00000     0.00000     0.10196   -1.013808405   -2.386879077   -1.373070672
     1     115     0.00000     0.00000     0.08157   -1.001675734   -2.372279846   -1.370604112
     1     115     0.00000     0.00000     0.06117   -0.988046512   -2.355674348   -1.367627837
     1     115     0.00000     0.00000     0.04078   -0.977120978   -2.332096558   -1.354975580
     1     115     0.00000     0.00000     0.02039   -0.966908680   -2.286470178   -1.319561498
     1     115     0.00000     0.00000     0.00000   -0.959085237   -2.254888237   -1.295803000
     1     115    -0.02933     0.01021     0.00998   -0.973214951   -2.302884656   -1.329669705
     1     115    -0.05866     0.02042     0.01996   -0.982999537   -2.354470028   -1.371470491
     1     115    -0.08799     0.03063     0.02994   -0.955282026   -2.352882062   -1.397600035
     1     115    -0.11732     0.04084     0.03991   -0.901986533   -2.319005191   -1.417018658
     1     115    -0.14665     0.05105     0.04989   -0.854395825   -2.316890845   -1.462495020
     1     115    -0.17597     0.06127     0.05987   -0.843191975   -2.310618150   -1.467426175
     1     115    -0.20530     0.07148     0.06985   -0.837980015   -2.310564624   -1.472584608
     1     115    -0.23463     0.08169     0.07983   -0.833405761   -2.344603630   -1.511197869
     1     115    -0.26396     0.09190     0.08981   -0.829172207   -2.374765941   -1.545593734
     1     115    -0.29329     0.10211     0.09979   -0.825599359   -2.384020902   -1.558421543
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.32262     0.11232     0.10976   -0.822735892   -2.384362892   -1.561627000
     1     115    -0.29329     0.11232     0.09979   -0.822689228   -2.381487474   -1.558798247
     1     115    -0.26396     0.11232     0.08981   -0.822344015   -2.369857915   -1.547513900
     1     115    -0.23463     0.11232     0.07983   -0.821855603   -2.339881696   -1.518026093
     1     115    -0.20530     0.11232     0.06985   -0.821740171   -2.311864337   -1.490124166
     1     115    -0.17597     0.11232     0.05987   -0.824554898   -2.318106083   -1.493551185
     1     115    -0.14665     0.11232     0.04989   -0.839512003   -2.324138493   -1.484626490
     1     115    -0.11732     0.11232     0.03991   -0.880274151   -2.310296551   -1.430022400
     1     115    -0.08799     0.11232     0.02994   -0.920387875   -2.323347731   -1.402959856
     1     115    -0.05866     0.11232     0.01996   -0.937079863   -2.330471806   -1.393391943
     1     115    -0.02933     0.11232     0.00998   -0.927428789   -2.303138825   -1.375710037
     1     115     0.00000     0.11232     0.00000   -0.915791910   -2.275854910   -1.360063000
     1     115    -0.03585     0.11232    -0.00366   -0.927225497   -2.306821733   -1.379596236
     1     115    -0.07169     0.11232    -0.00733   -0.927249837   -2.335403529   -1.408153692
     1     115    -0.10754     0.11232    -0.01099   -0.893799587   -2.330962370   -1.437162783
     1     115    -0.14339     0.11232    -0.01466   -0.848883249   -2.358901636   -1.510018386
     1     115    -0.17923     0.11232    -0.01832   -0.835398973   -2.351266101   -1.515867129
     1     115    -0.21508     0.11232    -0.02198   -0.837353436   -2.340254988   -1.502901552
     1     115    -0.25093     0.11232    -0.02565   -0.843845239   -2.356169146   -1.512323907
     1     115    -0.28677     0.11232    -0.02931   -0.850204543   -2.386627746   -1.536423203
     1     115    -0.32262     0.11232    -0.03298   -0.852845416   -2.394655416   -1.541810000
     1     115    -0.32262     0.09627    -0.03298   -0.853775924   -2.394809588   -1.541033664
     1     115    -0.32262     0.08023    -0.03298   -0.854573687   -2.389716593   -1.535142905
     1     115    -0.32262     0.06418    -0.03298   -0.855038005   -2.379413498   -1.524375493
     1     115    -0.32262     0.04814    -0.03298   -0.855155534   -2.369596666   -1.514441133
     1     115    -0.32262     0.03209    -0.03298   -0.854871317   -2.362977962   -1.508106645
     1     115    -0.32262     0.01605    -0.03298   -0.854555336   -2.361231354   -1.506676019
