# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     169     0.00000     0.00000     0.00000   -0.593283461   -2.221616461   -1.628333000
     1     169     0.00000     0.05005     0.00000   -0.604530723   -2.231739607   -1.627208884
     1     169     0.00000     0.10009     0.00000   -0.636814588   -2.266795994   -1.629981406
     1     169     0.00000     0.15014     0.00000   -0.683830218   -2.319097218   -1.635267000
     1     169     0.00000     0.20019     0.00000   -0.733630304   -2.366676000   -1.633045697
     1     169     0.00000     0.25024     0.00000   -0.771143692   -2.403018587   -1.631874894
     1     169     0.00000     0.30028     0.00000   -0.783972786   -2.422187786   -1.638215000
     1     169     0.00000     0.00000    -0.22055   -0.621329000   -2.245493000   -1.624164000
     1     169     0.00000     0.00000    -0.18379   -0.620149241   -2.239486812   -1.619337570
     1     169     0.00000     0.00000    -0.14704   -0.615197561   -2.236430018   -1.621232457
     1     169     0.00000     0.00000    -0.11028   -0.607532630   -2.230630630   -1.623098000
     1     169     0.00000     0.00000    -0.07352   -0.599859746   -2.225586995   -1.625727249
     1     169     0.00000     0.00000    -0.03676   -0.594990364   -2.221798690   -1.626808326
     1     169     0.00000     0.00000     0.00000   -0.593283461   -2.221616461   -1.628333000
     1     169     0.00901     0.00000     0.00180   -0.593595914   -2.221197746   -1.627601833
     1     169     0.01801     0.00000     0.00361   -0.594550430   -2.219521992   -1.624971563
     1     169     0.02702     0.00000     0.00541   -0.596217072   -2.215546864   -1.619329792
     1     169     0.03602     0.00000     0.00721   -0.598459685   -2.208399841   -1.609940156
     1     169     0.04503     0.00000     0.00902   -0.600567234   -2.199229885   -1.598662651
     1     169     0.05403     0.00000     0.01082   -0.601453187   -2.191801261   -1.590348075
     1     169     0.05403    -0.30028     0.23137   -0.761713547   -2.403596143   -1.641882597
     1     169     0.04503    -0.25024     0.19281   -0.757379125   -2.380072797   -1.622693672
     1     169     0.03602    -0.20019     0.15425   -0.739298401   -2.355909406   -1.616611004
     1     169     0.02702    -0.15014     0.11569   -0.702739986   -2.319692849   -1.616952863
     1     169     0.01801    -0.10009     0.07712   -0.654001476   -2.271363791   -1.617362315
     1     169     0.00901    -0.05005     0.03856   -0.609998081   -2.233106358   -1.623108277
     1     169     0.00000     0.00000     0.00000   -0.593283461   -2.221616461   -1.628333000
     1     169     0.00901     0.00000     0.03856   -0.595573629   -2.220682112   -1.625108483
     1     169     0.01801     0.00000     0.07712   -0.602088165   -2.217101692   -1.615013528
     1     169     0.02702     0.00000     0.11569   -0.611115406   -2.219591698   -1.608476292
     1     169     0.03602     0.00000     0.15425   -0.619901529   -2.225878669   -1.605977140
     1     169     0.04503     0.00000     0.19281   -0.626084884   -2.238435546   -1.612350662
     1     169     0.05403     0.00000     0.23137   -0.628046844   -2.245449741   -1.617402898
     1     169     0.05403    -0.30028     0.01082   -0.780662680   -2.393788184   -1.613125504
     1     169     0.04503    -0.25024     0.00902   -0.769477392   -2.384965646   -1.615488254
     1     169     0.03602    -0.20019     0.00721   -0.735872616   -2.351520873   -1.615648257
     1     169     0.02702    -0.15014     0.00541   -0.687962401   -2.311355990   -1.623393589
