# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     125     0.00000     0.00000     0.00000   -0.883935136   -2.067701136   -1.183766000
     1     125     0.00000     0.02439     0.00000   -0.882020529   -2.070967656   -1.188947127
     1     125     0.00000     0.04878     0.00000   -0.877321632   -2.094429547   -1.217107915
     1     125     0.00000     0.07317     0.00000   -0.873464163   -2.110805436   -1.237341273
     1     125     0.00000     0.09757     0.00000   -0.875532693   -2.110674237   -1.235141543
     1     125     0.00000     0.12196     0.00000   -0.883759276   -2.118643173   -1.234883896
     1     125     0.00000     0.14635     0.00000   -0.891414005   -2.139525430   -1.248111425
     1     125     0.00000     0.17074     0.00000   -0.891161034   -2.179091121   -1.287930087
     1     125     0.00000     0.19513     0.00000   -0.883492865   -2.210838549   -1.327345684
     1     125     0.00000     0.21952     0.00000   -0.874864551   -2.208904551   -1.334040000
     1     125     0.00000     0.21952     0.02326   -0.877279133   -2.206063120   -1.328783987
     1     125     0.00000     0.21952     0.04653   -0.881805992   -2.199926578   -1.318120585
     1     125     0.00000     0.21952     0.06979   -0.885370683   -2.200606539   -1.315235856
     1     125     0.00000     0.21952     0.09306   -0.888754707   -2.211035931   -1.322281224
     1     125     0.00000     0.21952     0.11632   -0.892703260   -2.223664795   -1.330961535
     1     125     0.00000     0.21952     0.13958   -0.894686961   -2.227923961   -1.333237000
     1     125     0.00000     0.19513     0.13958   -0.896619356   -2.229573754   -1.332954398
     1     125     0.00000     0.17074     0.13958   -0.898537593   -2.234542341   -1.336004748
     1     125     0.00000     0.14635     0.13958   -0.900784684   -2.244253738   -1.343469053
     1     125     0.00000     0.12196     0.13958   -0.906679616   -2.200356766   -1.293677150
     1     125     0.00000     0.09757     0.13958   -0.919642967   -2.213367670   -1.293724704
     1     125     0.00000     0.07317     0.13958   -0.930268829   -2.234594212   -1.304325383
     1     125     0.00000     0.04878     0.13958   -0.938433536   -2.277094683   -1.338661147
     1     125     0.00000     0.02439     0.13958   -0.943922814   -2.325047913   -1.381125099
     1     125     0.00000     0.00000     0.13958   -0.946000331   -2.339813331   -1.393813000
     1     125     0.00000     0.00000     0.11632   -0.937762151   -2.326657271   -1.388895121
     1     125     0.00000     0.00000     0.09306   -0.918189800   -2.286963267   -1.368773468
     1     125     0.00000     0.00000     0.06979   -0.900449679   -2.243984828   -1.343535149
     1     125     0.00000     0.00000     0.04653   -0.889304111   -2.206939060   -1.317634949
     1     125     0.00000     0.00000     0.02326   -0.885493803   -2.140395407   -1.254901604
     1     125     0.00000     0.00000     0.00000   -0.883935136   -2.067701136   -1.183766000
     1     125    -0.02202     0.00000     0.01926   -0.894320901   -2.129907064   -1.235586163
     1     125    -0.04403     0.00000     0.03851   -0.898312308   -2.168616659   -1.270304351
     1     125    -0.06605     0.00000     0.05777   -0.891027271   -2.205271123   -1.314243853
     1     125    -0.08806     0.00000     0.07703   -0.891489045   -2.249992548   -1.358503503
     1     125    -0.11008     0.00000     0.09628   -0.902582114   -2.281257481   -1.378675366
     1     125    -0.13210     0.00000     0.11554   -0.914786060   -2.300341911   -1.385555851
     1     125    -0.15411     0.00000     0.13480   -0.920936594   -2.313384594   -1.392448000
     1     125    -0.15411     0.02439     0.13480   -0.921335834   -2.310854661   -1.389518827
     1     125    -0.15411     0.04878     0.13480   -0.922667232   -2.289163242   -1.366496010
     1     125    -0.15411     0.07317     0.13480   -0.924966849   -2.267890199   -1.342923350
     1     125    -0.15411     0.09757     0.13480   -0.927778909   -2.266601072   -1.338822163
     1     125    -0.15411     0.12196     0.13480   -0.928584523   -2.266461911   -1.337877388
     1     125    -0.15411     0.14635     0.13480   -0.921184489   -2.227265370   -1.306080881
     1     125    -0.15411     0.17074     0.13480   -0.906983590   -2.183046167   -1.276062577
     1     125    -0.15411     0.19513     0.13480   -0.898510077   -2.174529774   -1.276019696
     1     125    -0.15411     0.21952     0.13480   -0.893543758   -2.170060758   -1.276517000
