# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      93     0.00000     0.00000     0.00000   -2.335009825   -3.999577825   -1.664568000
     1      93    -0.03204    -0.01519    -0.00877   -2.347565135   -4.193184634   -1.845619500
     1      93    -0.06408    -0.03037    -0.01753   -2.359751326   -4.335154561   -1.975403236
     1      93    -0.09612    -0.04556    -0.02630   -2.368861292   -4.383743292   -2.014882000
     1      93    -0.12816    -0.06075    -0.03507   -2.371718271   -4.377743145   -2.006024874
     1      93    -0.16020    -0.07594    -0.04383   -2.380379030   -4.391823366   -2.011444336
     1      93    -0.19224    -0.09112    -0.05260   -2.390926947   -4.469570947   -2.078644000
     1      93     0.00000     0.00000     0.13746   -2.356665905   -4.324132905   -1.967467000
     1      93     0.00000     0.00000     0.11455   -2.356293773   -4.369116014   -2.012822241
     1      93     0.00000     0.00000     0.09164   -2.356435874   -4.400371724   -2.043935850
     1      93     0.00000     0.00000     0.06873   -2.357098337   -4.419806635   -2.062708299
     1      93     0.00000     0.00000     0.04582   -2.357054159   -4.430778023   -2.073723864
     1      93     0.00000     0.00000     0.02291   -2.350362018   -4.250620592   -1.900258573
     1      93     0.00000     0.00000     0.00000   -2.335009825   -3.999577825   -1.664568000
     1      93     0.00000     0.03355    -0.01021   -2.330674583   -4.244026261   -1.913351678
     1      93     0.00000     0.06711    -0.02042   -2.331398257   -4.306080142   -1.974681885
     1      93     0.00000     0.10066    -0.03064   -2.332452108   -4.324662108   -1.992210000
     1      93     0.00000     0.13421    -0.04085   -2.335481476   -4.334680190   -1.999198715
     1      93     0.00000     0.16776    -0.05106   -2.341101866   -4.387556606   -2.046454740
     1      93     0.00000     0.20132    -0.06127   -2.345987584   -4.406369584   -2.060382000
     1      93     0.19224     0.29244    -0.14613   -2.376088249   -4.481466249   -2.105378000
     1      93     0.16020     0.24370    -0.12178   -2.356960211   -4.400901938   -2.043941728
     1      93     0.12816     0.19496    -0.09742   -2.328207364   -4.276717572   -1.948510207
     1      93     0.09612     0.14622    -0.07307   -2.341318945   -4.273301455   -1.931982511
     1      93     0.06408     0.09748    -0.04871   -2.351183583   -4.366201318   -2.015017735
     1      93     0.03204     0.04874    -0.02436   -2.335261839   -4.310966345   -1.975704506
     1      93     0.00000     0.00000     0.00000   -2.335009825   -3.999577825   -1.664568000
     1      93     0.00000     0.03355    -0.03312   -2.342583299   -4.316029049   -1.973445749
     1      93     0.00000     0.06711    -0.06624   -2.347661974   -4.360404480   -2.012742506
     1      93     0.00000     0.10066    -0.09937   -2.334495266   -4.307850533   -1.973355267
     1      93     0.00000     0.13421    -0.13249   -2.310991208   -4.242166483   -1.931175275
     1      93     0.00000     0.16776    -0.16561   -2.300264096   -4.139772993   -1.839508897
     1      93     0.00000     0.20132    -0.19873   -2.301669942   -4.104269942   -1.802600000
     1      93     0.19224     0.29244    -0.00867   -2.319851805   -4.192231805   -1.872380000
     1      93     0.16020     0.24370    -0.00723   -2.342931542   -4.215195455   -1.872263913
     1      93     0.12816     0.19496    -0.00578   -2.362384593   -4.243560618   -1.881176025
     1      93     0.09612     0.14622    -0.00434   -2.368951558   -4.471096558   -2.102145000
     1      93     0.06408     0.09748    -0.00289   -2.347896025   -4.321733473   -1.973837449
     1      93     0.03204     0.04874    -0.00145   -2.331996148   -4.252989335   -1.920993187
     1      93     0.00000     0.00000     0.00000   -2.335009825   -3.999577825   -1.664568000
     1      93    -0.03204    -0.01519    -0.03168   -2.356198668   -4.317418390   -1.961219722
     1      93    -0.06408    -0.03037    -0.06335   -2.361226691   -4.339303731   -1.978077041
     1      93    -0.09612    -0.04556    -0.09503   -2.354505324   -4.377905086   -2.023399763
     1      93    -0.12816    -0.06075    -0.12671   -2.344106148   -4.382472345   -2.038366198
     1      93    -0.16020    -0.07594    -0.15839   -2.331599572   -4.420460168   -2.088860596
     1      93    -0.19224    -0.09112    -0.19006   -2.321689553   -4.459580553   -2.137891000
     1      94     0.00000     0.00000     0.00000   -2.326277996   -4.308643996   -1.982366000
     1      94    -0.03204    -0.01519    -0.00877   -2.313194265   -4.167798848   -1.854604583
     1      94    -0.06408    -0.03037    -0.01753   -2.300834202   -4.121123571   -1.820289368
     1      94    -0.09612    -0.04556    -0.02630   -2.287692039   -4.092255039   -1.804563000
     1      94    -0.12816    -0.06075    -0.03507   -2.269148351   -4.100621363   -1.831473012
     1      94    -0.16020    -0.07594    -0.04383   -2.248892830   -4.161551217   -1.912658388
     1      94    -0.19224    -0.09112    -0.05260   -2.239755247   -4.187489247   -1.947734000
     1      94     0.00000     0.00000     0.13746   -2.206045343   -3.976854343   -1.770809000
     1      94     0.00000     0.00000     0.11455   -2.212329574   -3.981902894   -1.769573320
     1      94     0.00000     0.00000     0.09164   -2.229384860   -3.993528143   -1.764143283
     1      94     0.00000     0.00000     0.06873   -2.253677977   -4.011379623   -1.757701646
     1      94     0.00000     0.00000     0.04582   -2.281181213   -4.044170593   -1.762989380
     1      94     0.00000     0.00000     0.02291   -2.307437252   -4.111597613   -1.804160361
     1      94     0.00000     0.00000     0.00000   -2.326277996   -4.308643996   -1.982366000
     1      94     0.00000     0.03355    -0.01021   -2.309759483   -4.142210105   -1.832450622
     1      94     0.00000     0.06711    -0.02042   -2.280423666   -4.079258966   -1.798835300
