# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     113     0.00000     0.00000     0.00000   -0.666745174   -2.195621174   -1.528876000
     1     113    -0.06004     0.00000     0.00000   -0.691416919   -2.198123209   -1.506706290
     1     113    -0.12009     0.00000     0.00000   -0.726543261   -2.230488000   -1.503944738
     1     113    -0.18013     0.00000     0.00000   -0.725906689   -2.233423689   -1.507517000
     1     113    -0.24018     0.00000     0.00000   -0.742126576   -2.269286733   -1.527160156
     1     113    -0.30022     0.00000     0.00000   -0.770965947   -2.304633445   -1.533667499
     1     113    -0.36027     0.00000     0.00000   -0.771812736   -2.341804736   -1.569992000
     1     113     0.00000     0.00000     0.08994   -0.737134783   -2.212327783   -1.475193000
     1     113     0.00000     0.00000     0.07495   -0.737343590   -2.209956176   -1.472612587
     1     113     0.00000     0.00000     0.05996   -0.731274703   -2.209625056   -1.478350353
     1     113     0.00000     0.00000     0.04497   -0.716496975   -2.189708901   -1.473211926
     1     113     0.00000     0.00000     0.02998   -0.689471478   -2.135379334   -1.445907856
     1     113     0.00000     0.00000     0.01499   -0.671693775   -2.191305112   -1.519611337
     1     113     0.00000     0.00000     0.00000   -0.666745174   -2.195621174   -1.528876000
     1     113     0.00000     0.02763     0.00728   -0.686444291   -2.212299006   -1.525854715
     1     113     0.00000     0.05526     0.01455   -0.716533287   -2.251260317   -1.534727030
     1     113     0.00000     0.08290     0.02183   -0.706782036   -2.260621632   -1.553839597
     1     113     0.00000     0.11053     0.02911   -0.728487449   -2.301380125   -1.572892675
     1     113     0.00000     0.13816     0.03638   -0.753527245   -2.338785855   -1.585258610
     1     113     0.00000     0.16579     0.04366   -0.761574776   -2.348167776   -1.586593000
     1     113     0.36027     0.16579    -0.04628   -0.766440916   -2.211874916   -1.445434000
     1     113     0.30022     0.13816    -0.03857   -0.791492555   -2.244010124   -1.452517569
     1     113     0.24018     0.11053    -0.03086   -0.795572469   -2.254415046   -1.458842577
     1     113     0.18013     0.08290    -0.02314   -0.760114305   -2.246006346   -1.485892041
     1     113     0.12009     0.05526    -0.01543   -0.747402520   -2.241627234   -1.494224714
     1     113     0.06004     0.02763    -0.00771   -0.710810014   -2.214355868   -1.503545854
     1     113     0.00000     0.00000     0.00000   -0.666745174   -2.195621174   -1.528876000
     1     113     0.00000     0.02763    -0.00771   -0.691614177   -2.213743148   -1.522128972
     1     113     0.00000     0.05526    -0.01543   -0.748303419   -2.258267218   -1.509963798
     1     113     0.00000     0.08290    -0.02314   -0.800181451   -2.299288470   -1.499107019
     1     113     0.00000     0.11053    -0.03086   -0.832771381   -2.330819091   -1.498047710
