# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      33     0.00000     0.00000     0.00000   -5.951055693   -7.952947971   -2.001892278
     1      33     0.00000     0.00000     0.01525   -5.951442376   -7.953431957   -2.001989581
     1      33     0.00000     0.00000     0.03051   -5.952441984   -7.954898111   -2.002456127
     1      33     0.00000     0.00000     0.04576   -5.954011530   -7.957489632   -2.003478103
     1      33     0.00000     0.00000     0.06101   -5.955914892   -7.960271211   -2.004356320
     1      33     0.00000     0.00000     0.07626   -5.957870915   -7.962357092   -2.004486177
     1      33     0.00000     0.00000     0.09152   -5.959672261   -7.963474144   -2.003801882
     1      33     0.00000     0.00000     0.10677   -5.960963325   -7.963865037   -2.002901712
     1      33     0.00000     0.00000     0.12202   -5.961646070   -7.965136976   -2.003490906
     1      33     0.00000     0.00000     0.13727   -5.961627423   -7.971473433   -2.009846010
     1      33     0.00000     0.00000     0.15253   -5.961147822   -8.021025186   -2.059877364
     1      33     0.00000     0.00000     0.15253   -5.961147822   -8.021025186   -2.059877364
     1      33    -0.01487     0.00000     0.15253   -5.974619056   -7.971600640   -1.996981584
     1      33    -0.02973     0.00000     0.15253   -5.990390782   -7.993508180   -2.003117397
     1      33    -0.04460     0.00000     0.15253   -6.005473423   -8.015069412   -2.009595989
     1      33    -0.05946     0.00000     0.15253   -6.016932979   -8.024167822   -2.007234843
     1      33    -0.07433     0.00000     0.15253   -6.023586695   -8.025115856   -2.001529161
     1      33    -0.08919     0.00000     0.15253   -6.026845440   -8.027434941   -2.000589501
     1      33    -0.10406     0.00000     0.15253   -6.029141763   -8.030618893   -2.001477130
     1      33    -0.11892     0.00000     0.15253   -6.032595251   -8.037897410   -2.005302160
     1      33    -0.13379     0.00000     0.15253   -6.038054373   -8.049262435   -2.011208062
     1      33    -0.14865     0.00000     0.15253   -6.045434783   -8.059528811   -2.014094028
     1      33    -0.14865     0.00000     0.15253   -6.045434783   -8.059528811   -2.014094028
     1      33    -0.15065     0.00000     0.14985   -6.045866715   -8.059180676   -2.013313961
     1      33    -0.15264     0.00000     0.14717   -6.046318942   -8.058665739   -2.012346797
     1      33    -0.15464     0.00000     0.14450   -6.046736076   -8.057911996   -2.011175920
     1      33    -0.15664     0.00000     0.14182   -6.047120616   -8.056959203   -2.009838587
     1      33    -0.15863     0.00000     0.13914   -6.047439707   -8.055668727   -2.008229020
     1      33    -0.16063     0.00000     0.13647   -6.047702324   -8.053867362   -2.006165038
     1      33    -0.16262     0.00000     0.13379   -6.047839014   -8.050949716   -2.003110702
     1      33    -0.16462     0.00000     0.13111   -6.047914380   -8.045772267   -1.997857888
     1      33    -0.16662     0.00000     0.12844   -6.047866937   -8.033739952   -1.985873016
     1      33    -0.16861     0.00000     0.12576   -6.047816089   -8.007672328   -1.959856239
     1      33    -0.16861     0.00000     0.12576   -6.047816089   -8.007672328   -1.959856239
     1      33    -0.16861     0.03064     0.12576   -6.045810208   -8.007617807   -1.961807599
     1      33    -0.16861     0.06128     0.12576   -6.039965292   -8.014765877   -1.974800585
     1      33    -0.16861     0.09192     0.12576   -6.030775342   -8.026390502   -1.995615160
     1      33    -0.16861     0.12255     0.12576   -6.019455161   -8.030775954   -2.011320793
     1      33    -0.16861     0.15319     0.12576   -6.007305038   -8.020806467   -2.013501429
     1      33    -0.16861     0.18383     0.12576   -5.995903757   -8.010195241   -2.014291484
     1      33    -0.16861     0.21447     0.12576   -5.986562360   -8.010224231   -2.023661871
     1      33    -0.16861     0.24511     0.12576   -5.979945212   -8.015681542   -2.035736330
     1      33    -0.16861     0.27575     0.12576   -5.976133191   -8.019752227   -2.043619036
     1      33    -0.16861     0.30639     0.12576   -5.974856959   -8.019253680   -2.044396721
     1      33    -0.16861     0.30639     0.12576   -5.974856959   -8.019253680   -2.044396721
     1      33    -0.17061     0.30639     0.12308   -5.974969347   -8.019391116   -2.044421769
     1      33    -0.17261     0.30639     0.12041   -5.975301760   -8.019798870   -2.044497110
     1      33    -0.17460     0.30639     0.11773   -5.975848601   -8.020471672   -2.044623071
     1      33    -0.17660     0.30639     0.11505   -5.976596209   -8.021398193   -2.044801984
     1      33    -0.17860     0.30639     0.11238   -5.977558497   -8.022603505   -2.045045008
     1      33    -0.18059     0.30639     0.10970   -5.978702466   -8.024077897   -2.045375431
     1      33    -0.18259     0.30639     0.10702   -5.980056497   -8.025879086   -2.045822589
     1      33    -0.18459     0.30639     0.10435   -5.981581202   -8.027985445   -2.046404243
     1      33    -0.18658     0.30639     0.10167   -5.983271705   -8.030392998   -2.047121293
     1      33    -0.18858     0.30639     0.09899   -5.985102878   -8.033055547   -2.047952669
     1      33    -0.18858     0.30639     0.09899   -5.985102878   -8.033055547   -2.047952669
     1      33    -0.18658     0.30639     0.08642   -5.986097605   -8.033111655   -2.047014050
     1      33    -0.18459     0.30639     0.07384   -5.987122917   -8.032535817   -2.045412900
     1      33    -0.18259     0.30639     0.06127   -5.988199928   -8.032347734   -2.044147805
     1      33    -0.18059     0.30639     0.04869   -5.989296571   -8.033199797   -2.043903226
     1      33    -0.17860     0.30639     0.03611   -5.990317083   -8.035105805   -2.044788721
     1      33    -0.17660     0.30639     0.02354   -5.991205857   -8.037790069   -2.046584211
     1      33    -0.17460     0.30639     0.01096   -5.991953749   -8.040766720   -2.048812972
     1      33    -0.17261     0.30639    -0.00161   -5.992477965   -8.043319920   -2.050841955
     1      33    -0.17061     0.30639    -0.01419   -5.992832587   -8.045046777   -2.052214190
     1      33    -0.16861     0.30639    -0.02677   -5.992954511   -8.045666255   -2.052711744
     1      33    -0.16861     0.30639    -0.02677   -5.992954511   -8.045666255   -2.052711744
     1      33    -0.16861     0.27575    -0.02677   -6.002332085   -8.006762749   -2.004430664
     1      33    -0.16861     0.24511    -0.02677   -6.013778393   -8.019234029   -2.005455637
     1      33    -0.16861     0.21447    -0.02677   -6.026192967   -8.032502734   -2.006309767
     1      33    -0.16861     0.18383    -0.02677   -6.038256433   -8.043649977   -2.005393544
     1      33    -0.16861     0.15319    -0.02677   -6.048590965   -8.053400071   -2.004809106
     1      33    -0.16861     0.12255    -0.02677   -6.056244555   -8.061933800   -2.005689245
     1      33    -0.16861     0.09192    -0.02677   -6.061208974   -8.072432979   -2.011224005
     1      33    -0.16861     0.06128    -0.02677   -6.063874852   -8.081595438   -2.017720586
