# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     267     0.00000     0.00000     0.00000   -0.439883916   -1.510351916   -1.070468000
     1     267     0.00000     0.01176     0.00000   -0.439860876   -1.510276057   -1.070415181
     1     267     0.00000     0.02351     0.00000   -0.439807664   -1.510060637   -1.070252972
     1     267     0.00000     0.03527     0.00000   -0.439669088   -1.509641792   -1.069972704
     1     267     0.00000     0.04703     0.00000   -0.439548938   -1.509110672   -1.069561734
     1     267     0.00000     0.05879     0.00000   -0.439357597   -1.508358922   -1.069001325
     1     267     0.00000     0.07054     0.00000   -0.439176933   -1.506837923   -1.067660990
     1     267     0.00000     0.07054     0.03556   -0.436506488   -1.496815091   -1.060308604
     1     267     0.00000     0.07054     0.07112   -0.430584757   -1.491243823   -1.060659066
     1     267     0.00000     0.07054     0.10667   -0.424785707   -1.486964084   -1.062178376
     1     267     0.00000     0.07054     0.14223   -0.420486135   -1.476364336   -1.055878201
     1     267     0.00000     0.07054     0.17779   -0.417318109   -1.474468260   -1.057150150
     1     267     0.00000     0.07054     0.21335   -0.415920772   -1.475634090   -1.059713318
     1     267     0.00000     0.05879     0.21335   -0.415913342   -1.476284733   -1.060371391
     1     267     0.00000     0.04703     0.21335   -0.415886985   -1.476803170   -1.060916185
     1     267     0.00000     0.03527     0.21335   -0.415827048   -1.477171713   -1.061344665
     1     267     0.00000     0.02351     0.21335   -0.415810560   -1.477465681   -1.061655121
     1     267     0.00000     0.01176     0.21335   -0.415791364   -1.477632895   -1.061841531
     1     267     0.00000     0.00000     0.21335   -0.415789111   -1.477693111   -1.061904000
     1     267     0.00000     0.00000     0.17779   -0.417815836   -1.476022763   -1.058206927
     1     267     0.00000     0.00000     0.14223   -0.421182477   -1.480827388   -1.059644911
     1     267     0.00000     0.00000     0.10667   -0.425290757   -1.489078757   -1.063788000
     1     267     0.00000     0.00000     0.07112   -0.430971213   -1.492109908   -1.061138695
     1     267     0.00000     0.00000     0.03556   -0.437064025   -1.502384458   -1.065320433
     1     267     0.00000     0.00000     0.00000   -0.439883916   -1.510351916   -1.070468000
     1     267    -0.02460     0.00000     0.03289   -0.435071321   -1.503043627   -1.067972306
     1     267    -0.04919     0.00000     0.06578   -0.426782052   -1.487585607   -1.060803555
     1     267    -0.07379     0.00000     0.09866   -0.418532969   -1.479785725   -1.061252756
     1     267    -0.09839     0.00000     0.13155   -0.412204213   -1.466663208   -1.054458995
     1     267    -0.12299     0.00000     0.16444   -0.408094866   -1.456004172   -1.047909306
     1     267    -0.14758     0.00000     0.19733   -0.405458804   -1.454012804   -1.048554000
     1     267    -0.14758     0.01176     0.19733   -0.405486121   -1.454005901   -1.048519780
     1     267    -0.14758     0.02351     0.19733   -0.405528779   -1.453948008   -1.048419229
     1     267    -0.14758     0.03527     0.19733   -0.405595324   -1.453857082   -1.048261758
     1     267    -0.14758     0.04703     0.19733   -0.405649707   -1.453707343   -1.048057636
     1     267    -0.14758     0.05879     0.19733   -0.405657474   -1.453474056   -1.047816582
     1     267    -0.14758     0.07054     0.19733   -0.405669860   -1.453219758   -1.047549899
     1     267    -0.12299     0.07054     0.16444   -0.406339362   -1.456712400   -1.050373038
     1     267    -0.09839     0.07054     0.13155   -0.409330202   -1.463041893   -1.053711691
     1     267    -0.07379     0.07054     0.09866   -0.415973657   -1.475371044   -1.059397386
     1     267    -0.04919     0.07054     0.06578   -0.425592492   -1.487820808   -1.062228316
     1     267    -0.02460     0.07054     0.03289   -0.435022431   -1.495131674   -1.060109244
     1     267     0.00000     0.07054     0.00000   -0.439176933   -1.506837923   -1.067660990
     1     267    -0.02460     0.07054    -0.00267   -0.443514064   -1.511737057   -1.068222993
     1     267    -0.04919     0.07054    -0.00534   -0.455888058   -1.525747791   -1.069859733
     1     267    -0.07379     0.07054    -0.00801   -0.474084001   -1.544257211   -1.070173210
     1     267    -0.09839     0.07054    -0.01068   -0.494129274   -1.562856391   -1.068727118
     1     267    -0.12299     0.07054    -0.01335   -0.510017447   -1.574934021   -1.064916574
     1     267    -0.14758     0.07054    -0.01602   -0.515934469   -1.579589091   -1.063654621
     1     267    -0.14758     0.05879    -0.01602   -0.519335782   -1.587516794   -1.068181012
     1     267    -0.14758     0.04703    -0.01602   -0.522513297   -1.590062352   -1.067549055
     1     267    -0.14758     0.03527    -0.01602   -0.525323001   -1.592207739   -1.066884738
     1     267    -0.14758     0.02351    -0.01602   -0.527469684   -1.593773609   -1.066303925
     1     267    -0.14758     0.01176    -0.01602   -0.528851376   -1.594757944   -1.065906567
     1     267    -0.14758     0.00000    -0.01602   -0.529318814   -1.595084814   -1.065766000
     1     267    -0.12299     0.00000    -0.01335   -0.519059042   -1.588332500   -1.069273458
