# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     267     0.00000     0.00000     0.00000   -0.406781459   -1.492998459   -1.086217000
     1     267     0.00000     0.02799     0.00000   -0.410451286   -1.493259659   -1.082808373
     1     267     0.00000     0.05598     0.00000   -0.419713230   -1.503306981   -1.083593751
     1     267     0.00000     0.08396     0.00000   -0.432331955   -1.518017955   -1.085686000
     1     267     0.00000     0.11195     0.00000   -0.437637769   -1.532213461   -1.094575692
     1     267     0.00000     0.13994     0.00000   -0.431925145   -1.526039742   -1.094114596
     1     267     0.00000     0.16793     0.00000   -0.423701952   -1.517904952   -1.094203000
     1     267     0.00000     0.16793     0.01651   -0.424473983   -1.518638558   -1.094164575
     1     267     0.00000     0.16793     0.03302   -0.426671955   -1.521811596   -1.095139641
     1     267     0.00000     0.16793     0.04953   -0.429975484   -1.527324386   -1.097348902
     1     267     0.00000     0.16793     0.06604   -0.433880861   -1.533650785   -1.099769924
     1     267     0.00000     0.16793     0.08255   -0.437339031   -1.538358846   -1.101019814
     1     267     0.00000     0.16793     0.09906   -0.438832822   -1.539772822   -1.100940000
     1     267     0.00000     0.13994     0.09906   -0.434429262   -1.532802371   -1.098373110
     1     267     0.00000     0.11195     0.09906   -0.426424405   -1.516807226   -1.090382821
     1     267     0.00000     0.08396     0.09906   -0.419200846   -1.507939846   -1.088739000
     1     267     0.00000     0.05598     0.09906   -0.414448145   -1.501742839   -1.087294695
     1     267     0.00000     0.02799     0.09906   -0.412418301   -1.497516502   -1.085098201
     1     267     0.00000     0.00000     0.09906   -0.412106242   -1.497405242   -1.085299000
     1     267     0.00000     0.00000     0.08255   -0.414138697   -1.499283213   -1.085144516
     1     267     0.00000     0.00000     0.06604   -0.412674008   -1.494227365   -1.081553357
     1     267     0.00000     0.00000     0.04953   -0.406518519   -1.491447660   -1.084929141
     1     267     0.00000     0.00000     0.03302   -0.406301269   -1.491784029   -1.085482761
     1     267     0.00000     0.00000     0.01651   -0.406584082   -1.492575114   -1.085991032
     1     267     0.00000     0.00000     0.00000   -0.406781459   -1.492998459   -1.086217000
     1     267    -0.02278     0.00000     0.00516   -0.402569734   -1.489370575   -1.086800841
     1     267    -0.04556     0.00000     0.01032   -0.395227742   -1.465084472   -1.069856730
     1     267    -0.06835     0.00000     0.01548   -0.395566149   -1.471168213   -1.075602064
     1     267    -0.09113     0.00000     0.02064   -0.392160073   -1.470680627   -1.078520554
     1     267    -0.11391     0.00000     0.02581   -0.386850087   -1.465653554   -1.078803467
     1     267    -0.13669     0.00000     0.03097   -0.382042442   -1.460795442   -1.078753000
     1     267    -0.13669     0.02799     0.03097   -0.384890190   -1.464037773   -1.079147583
     1     267    -0.13669     0.05598     0.03097   -0.393072891   -1.477027435   -1.083954544
     1     267    -0.13669     0.08396     0.03097   -0.405518962   -1.491739962   -1.086221000
     1     267    -0.13669     0.11195     0.03097   -0.420727263   -1.508309763   -1.087582500
     1     267    -0.13669     0.13994     0.03097   -0.436719228   -1.531676170   -1.094956942
     1     267    -0.13669     0.16793     0.03097   -0.447225570   -1.545267570   -1.098042000
     1     267    -0.11391     0.16793     0.02581   -0.445998317   -1.543474597   -1.097476280
     1     267    -0.09113     0.16793     0.02064   -0.441964872   -1.536870869   -1.094905996
     1     267    -0.06835     0.16793     0.01548   -0.435795317   -1.528468236   -1.092672919
     1     267    -0.04556     0.16793     0.01032   -0.429564459   -1.522274543   -1.092710084
     1     267    -0.02278     0.16793     0.00516   -0.425255547   -1.519108246   -1.093852699
     1     267     0.00000     0.16793     0.00000   -0.423701952   -1.517904952   -1.094203000
     1     267    -0.02278     0.16793    -0.01135   -0.425251468   -1.518683831   -1.093432363
     1     267    -0.04556     0.16793    -0.02270   -0.429221195   -1.521156138   -1.091934942
     1     267    -0.06835     0.16793    -0.03405   -0.434234965   -1.527626389   -1.093391423
     1     267    -0.09113     0.16793    -0.04540   -0.438769425   -1.536777545   -1.098008119
     1     267    -0.11391     0.16793    -0.05675   -0.441949655   -1.543995081   -1.102045426
     1     267    -0.13669     0.16793    -0.06810   -0.443101857   -1.545944857   -1.102843000
     1     267    -0.13669     0.13994    -0.06810   -0.447583992   -1.541796823   -1.094212831
     1     267    -0.13669     0.11195    -0.06810   -0.434962192   -1.520128210   -1.085166018
     1     267    -0.13669     0.08396    -0.06810   -0.421303024   -1.505179024   -1.083876000
     1     267    -0.13669     0.05598    -0.06810   -0.409797515   -1.491541616   -1.081744101
     1     267    -0.13669     0.02799    -0.06810   -0.402090961   -1.479437315   -1.077346354
     1     267    -0.13669     0.00000    -0.06810   -0.399417208   -1.476544208   -1.077127000
     1     267    -0.11391     0.00000    -0.05675   -0.399020169   -1.475934824   -1.076914654
     1     267    -0.09113     0.00000    -0.04540   -0.397856667   -1.472274144   -1.074417477
     1     267    -0.06835     0.00000    -0.03405   -0.395948677   -1.465908290   -1.069959613
     1     267    -0.04556     0.00000    -0.02270   -0.393801135   -1.460693785   -1.066892649
     1     267    -0.02278     0.00000    -0.01135   -0.400527350   -1.485897610   -1.085370260
     1     267     0.00000     0.00000     0.00000   -0.406781459   -1.492998459   -1.086217000
     1     268     0.00000     0.00000     0.00000   -0.391512563   -1.458371563   -1.066859000
     1     268     0.00000     0.02799     0.00000   -0.391809761   -1.462296689   -1.070486928
     1     268     0.00000     0.05598     0.00000   -0.393928503   -1.470226697   -1.076298194
     1     268     0.00000     0.08396     0.00000   -0.398807835   -1.476481835   -1.077674000
     1     268     0.00000     0.11195     0.00000   -0.406001666   -1.486029142   -1.080027476
     1     268     0.00000     0.13994     0.00000   -0.414693389   -1.505217806   -1.090524417
     1     268     0.00000     0.16793     0.00000   -0.423701952   -1.517904952   -1.094203000
     1     268     0.00000     0.16793     0.01651   -0.424473983   -1.518638558   -1.094164575
     1     268     0.00000     0.16793     0.03302   -0.426671955   -1.521811596   -1.095139641
     1     268     0.00000     0.16793     0.04953   -0.429975484   -1.527324386   -1.097348902
     1     268     0.00000     0.16793     0.06604   -0.433880861   -1.533650785   -1.099769924
     1     268     0.00000     0.16793     0.08255   -0.437339031   -1.538358846   -1.101019814
     1     268     0.00000     0.16793     0.09906   -0.438832822   -1.539772822   -1.100940000
     1     268     0.00000     0.13994     0.09906   -0.434429262   -1.532802371   -1.098373110
     1     268     0.00000     0.11195     0.09906   -0.426424405   -1.516807226   -1.090382821
     1     268     0.00000     0.08396     0.09906   -0.419200846   -1.507939846   -1.088739000
     1     268     0.00000     0.05598     0.09906   -0.414448145   -1.501742839   -1.087294695
     1     268     0.00000     0.02799     0.09906   -0.412418301   -1.497516502   -1.085098201
     1     268     0.00000     0.00000     0.09906   -0.412106242   -1.497405242   -1.085299000
     1     268     0.00000     0.00000     0.08255   -0.409593759   -1.494868492   -1.085274733
     1     268     0.00000     0.00000     0.06604   -0.407602222   -1.492517450   -1.084915228
     1     268     0.00000     0.00000     0.04953   -0.405795140   -1.479786882   -1.073991742
     1     268     0.00000     0.00000     0.03302   -0.398421414   -1.466909836   -1.068488422
     1     268     0.00000     0.00000     0.01651   -0.393316440   -1.459961555   -1.066645115
     1     268     0.00000     0.00000     0.00000   -0.391512563   -1.458371563   -1.066859000
     1     268    -0.02278     0.00000     0.00516   -0.392784369   -1.459787627   -1.067003258
     1     268    -0.04556     0.00000     0.01032   -0.393737870   -1.478881131   -1.085143261
     1     268    -0.06835     0.00000     0.01548   -0.385574536   -1.467240369   -1.081665834
     1     268    -0.09113     0.00000     0.02064   -0.380622959   -1.459918629   -1.079295670
     1     268    -0.11391     0.00000     0.02581   -0.379561984   -1.458283522   -1.078721537
     1     268    -0.13669     0.00000     0.03097   -0.382042442   -1.460795442   -1.078753000
     1     268    -0.13669     0.02799     0.03097   -0.384890190   -1.464037773   -1.079147583
     1     268    -0.13669     0.05598     0.03097   -0.393072891   -1.477027435   -1.083954544
     1     268    -0.13669     0.08396     0.03097   -0.405518962   -1.491739962   -1.086221000
     1     268    -0.13669     0.11195     0.03097   -0.420727263   -1.508309763   -1.087582500
     1     268    -0.13669     0.13994     0.03097   -0.436719228   -1.531676170   -1.094956942
     1     268    -0.13669     0.16793     0.03097   -0.447225570   -1.545267570   -1.098042000
     1     268    -0.11391     0.16793     0.02581   -0.445998317   -1.543474597   -1.097476280
     1     268    -0.09113     0.16793     0.02064   -0.441964872   -1.536870869   -1.094905996
     1     268    -0.06835     0.16793     0.01548   -0.435795317   -1.528468236   -1.092672919
     1     268    -0.04556     0.16793     0.01032   -0.429564459   -1.522274543   -1.092710084
     1     268    -0.02278     0.16793     0.00516   -0.425255547   -1.519108246   -1.093852699
     1     268     0.00000     0.16793     0.00000   -0.423701952   -1.517904952   -1.094203000
     1     268    -0.02278     0.16793    -0.01135   -0.425251468   -1.518683831   -1.093432363
     1     268    -0.04556     0.16793    -0.02270   -0.429221195   -1.521156138   -1.091934942
     1     268    -0.06835     0.16793    -0.03405   -0.434234965   -1.527626389   -1.093391423
     1     268    -0.09113     0.16793    -0.04540   -0.438769425   -1.536777545   -1.098008119
     1     268    -0.11391     0.16793    -0.05675   -0.441949655   -1.543995081   -1.102045426
     1     268    -0.13669     0.16793    -0.06810   -0.443101857   -1.545944857   -1.102843000
     1     268    -0.13669     0.13994    -0.06810   -0.423423306   -1.523036132   -1.099612826
     1     268    -0.13669     0.11195    -0.06810   -0.403197806   -1.495833290   -1.092635483
     1     268    -0.13669     0.08396    -0.06810   -0.385297534   -1.476759534   -1.091462000
     1     268    -0.13669     0.05598    -0.06810   -0.371276290   -1.460552374   -1.089276085
     1     268    -0.13669     0.02799    -0.06810   -0.362299962   -1.446841367   -1.084541405
     1     268    -0.13669     0.00000    -0.06810   -0.359261111   -1.443300111   -1.084039000
     1     268    -0.11391     0.00000    -0.05675   -0.360988702   -1.444681863   -1.083693161
     1     268    -0.09113     0.00000    -0.04540   -0.366393250   -1.448214431   -1.081821182
     1     268    -0.06835     0.00000    -0.03405   -0.375528514   -1.456231406   -1.080702892
     1     268    -0.04556     0.00000    -0.02270   -0.387775022   -1.470156483   -1.082381461
     1     268    -0.02278     0.00000    -0.01135   -0.392137326   -1.458734104   -1.066596778
     1     268     0.00000     0.00000     0.00000   -0.391512563   -1.458371563   -1.066859000
     1     269     0.00000     0.00000     0.00000    0.198272905   -0.720863095   -0.919136000
     1     269     0.00000     0.02799     0.00000    0.199605320   -0.720626944   -0.920232265
     1     269     0.00000     0.05598     0.00000    0.203588597   -0.715024230   -0.918612828
     1     269     0.00000     0.08396     0.00000    0.209976491   -0.706664509   -0.916641000
     1     269     0.00000     0.11195     0.00000    0.217956417   -0.699299161   -0.917255577
     1     269     0.00000     0.13994     0.00000    0.226467921   -0.689400329   -0.915868251
     1     269     0.00000     0.16793     0.00000    0.234513297   -0.680163703   -0.914677000
     1     269     0.00000     0.16793     0.01651    0.235746462   -0.679273069   -0.915019531
     1     269     0.00000     0.16793     0.03302    0.239238315   -0.675848400   -0.915086716
     1     269     0.00000     0.16793     0.04953    0.244334735   -0.669617367   -0.913952102
     1     269     0.00000     0.16793     0.06604    0.249875819   -0.663319522   -0.913195341
     1     269     0.00000     0.16793     0.08255    0.254417932   -0.660175440   -0.914593371
     1     269     0.00000     0.16793     0.09906    0.256239436   -0.659593564   -0.915833000
     1     269     0.00000     0.13994     0.09906    0.254507984   -0.659565203   -0.914073186
     1     269     0.00000     0.11195     0.09906    0.249899235   -0.661091138   -0.910990374
     1     269     0.00000     0.08396     0.09906    0.243977368   -0.666227632   -0.910205000
     1     269     0.00000     0.05598     0.09906    0.238487537   -0.672946090   -0.911433627
     1     269     0.00000     0.02799     0.09906    0.234729433   -0.677319630   -0.912049063
     1     269     0.00000     0.00000     0.09906    0.233450669   -0.677634331   -0.911085000
     1     269     0.00000     0.00000     0.08255    0.223954691   -0.687480654   -0.911435346
     1     269     0.00000     0.00000     0.06604    0.215401397   -0.698995784   -0.914397181
     1     269     0.00000     0.00000     0.04953    0.208221385   -0.709841117   -0.918062503
     1     269     0.00000     0.00000     0.03302    0.202810173   -0.717033066   -0.919843240
     1     269     0.00000     0.00000     0.01651    0.199416079   -0.720120100   -0.919536179
     1     269     0.00000     0.00000     0.00000    0.198272905   -0.720863095   -0.919136000
     1     269    -0.02278     0.00000     0.00516    0.198422559   -0.720546758   -0.918969316
     1     269    -0.04556     0.00000     0.01032    0.199270132   -0.719489213   -0.918759344
     1     269    -0.06835     0.00000     0.01548    0.201714420   -0.715876595   -0.917591015
     1     269    -0.09113     0.00000     0.02064    0.206782297   -0.707820699   -0.914602996
     1     269    -0.11391     0.00000     0.02581    0.215367728   -0.695926872   -0.911294600
     1     269    -0.13669     0.00000     0.03097    0.227690481   -0.682780519   -0.910471000
     1     269    -0.13669     0.02799     0.03097    0.227704342   -0.683223441   -0.910927782
     1     269    -0.13669     0.05598     0.03097    0.228199088   -0.681513358   -0.909712446
     1     269    -0.13669     0.08396     0.03097    0.230158615   -0.678299385   -0.908458000
     1     269    -0.13669     0.11195     0.03097    0.234095770   -0.673571019   -0.907666789
     1     269    -0.13669     0.13994     0.03097    0.239700775   -0.661802484   -0.901503259
     1     269    -0.13669     0.16793     0.03097    0.243893962   -0.655652038   -0.899546000
     1     269    -0.11391     0.16793     0.02581    0.243077728   -0.657028237   -0.900105965
     1     269    -0.09113     0.16793     0.02064    0.242303390   -0.661905991   -0.904209380
     1     269    -0.06835     0.16793     0.01548    0.240907830   -0.668704922   -0.909612752
     1     269    -0.04556     0.16793     0.01032    0.238333886   -0.675424597   -0.913758483
     1     269    -0.02278     0.16793     0.00516    0.235648100   -0.679255014   -0.914903113
     1     269     0.00000     0.16793     0.00000    0.234513297   -0.680163703   -0.914677000
     1     269    -0.02278     0.16793    -0.01135    0.238127939   -0.678158498   -0.916286437
     1     269    -0.04556     0.16793    -0.02270    0.247029185   -0.671633154   -0.918662339
     1     269    -0.06835     0.16793    -0.03405    0.255518506   -0.658298181   -0.913816687
     1     269    -0.09113     0.16793    -0.04540    0.256220355   -0.648546754   -0.904767109
     1     269    -0.11391     0.16793    -0.05675    0.250941047   -0.647641539   -0.898582587
     1     269    -0.13669     0.16793    -0.06810    0.248356987   -0.648602013   -0.896959000
     1     269    -0.13669     0.13994    -0.06810    0.246171413   -0.652494970   -0.898666384
     1     269    -0.13669     0.11195    -0.06810    0.242644748   -0.659148159   -0.901792907
     1     269    -0.13669     0.08396    -0.06810    0.237783635   -0.664393365   -0.902177000
