# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     107     0.00000     0.00000     0.00000   -1.255175462   -2.619297462   -1.364122000
     1     107     0.00000     0.03637     0.00000   -1.249916564   -2.608349416   -1.358432852
     1     107     0.00000     0.07274     0.00000   -1.233764985   -2.550569825   -1.316804840
     1     107     0.00000     0.10911     0.00000   -1.203087440   -2.453895369   -1.250807929
     1     107     0.00000     0.14548     0.00000   -1.152520521   -2.364996507   -1.212475986
     1     107     0.00000     0.18186     0.00000   -1.090697294   -2.302588584   -1.211891290
     1     107     0.00000     0.21823     0.00000   -1.039938423   -2.253607931   -1.213669508
     1     107     0.00000     0.25460     0.00000   -1.036535997   -2.302927641   -1.266391645
     1     107     0.00000     0.29097     0.00000   -1.046447121   -2.319645544   -1.273198423
     1     107     0.00000     0.32734     0.00000   -1.040156976   -2.307820976   -1.267664000
     1     107     0.00000     0.32734     0.01775   -1.031162856   -2.303043950   -1.271881094
     1     107     0.00000     0.32734     0.03550   -1.009851661   -2.280892894   -1.271041233
     1     107     0.00000     0.32734     0.05324   -0.992507482   -2.238769535   -1.246262054
     1     107     0.00000     0.32734     0.07099   -0.987943590   -2.223565907   -1.235622317
     1     107     0.00000     0.32734     0.08874   -0.987349579   -2.220356926   -1.233007347
     1     107     0.00000     0.32734     0.10649   -0.987277190   -2.220282190   -1.233005000
     1     107     0.00000     0.29097     0.10649   -0.989122880   -2.222071878   -1.232948998
     1     107     0.00000     0.25460     0.10649   -0.999564744   -2.226140021   -1.226575277
     1     107     0.00000     0.21823     0.10649   -1.033435836   -2.238023861   -1.204588025
     1     107     0.00000     0.18186     0.10649   -1.097491638   -2.289207971   -1.191716332
     1     107     0.00000     0.14548     0.10649   -1.170100118   -2.365454091   -1.195353974
     1     107     0.00000     0.10911     0.10649   -1.214368566   -2.474184882   -1.259816316
     1     107     0.00000     0.07274     0.10649   -1.239199804   -2.543869795   -1.304669992
     1     107     0.00000     0.03637     0.10649   -1.258635605   -2.579718294   -1.321082689
     1     107     0.00000     0.00000     0.10649   -1.267039400   -2.590226400   -1.323187000
     1     107     0.00000     0.00000     0.08874   -1.286055375   -2.609480553   -1.323425178
     1     107     0.00000     0.00000     0.07099   -1.300844186   -2.627922915   -1.327078729
     1     107     0.00000     0.00000     0.05324   -1.286015808   -2.581685730   -1.295669922
     1     107     0.00000     0.00000     0.03550   -1.271168825   -2.578530277   -1.307361452
     1     107     0.00000     0.00000     0.01775   -1.259758084   -2.600832254   -1.341074171
     1     107     0.00000     0.00000     0.00000   -1.255175462   -2.619297462   -1.364122000
     1     107    -0.02192     0.00000     0.00106   -1.252858037   -2.617260126   -1.364402089
     1     107    -0.04384     0.00000     0.00213   -1.247583334   -2.601959208   -1.354375874
     1     107    -0.06576     0.00000     0.00319   -1.253069633   -2.511779164   -1.258709531
     1     107    -0.08767     0.00000     0.00425   -1.257473846   -2.606470980   -1.348997134
     1     107    -0.10959     0.00000     0.00531   -1.221821569   -2.564493090   -1.342671521
     1     107    -0.13151     0.00000     0.00638   -1.195746608   -2.532456471   -1.336709862
     1     107    -0.15343     0.00000     0.00744   -1.186973748   -2.521121748   -1.334148000
     1     107    -0.15343     0.03637     0.00744   -1.187159626   -2.518075993   -1.330916367
     1     107    -0.15343     0.07274     0.00744   -1.189827247   -2.494984694   -1.305157447
     1     107    -0.15343     0.10911     0.00744   -1.195787527   -2.456753676   -1.260966149
     1     107    -0.15343     0.14548     0.00744   -1.194596816   -2.415141403   -1.220544587
     1     107    -0.15343     0.18186     0.00744   -1.170009337   -2.389349888   -1.219340551
     1     107    -0.15343     0.21823     0.00744   -1.138001003   -2.372823759   -1.234822757
     1     107    -0.15343     0.25460     0.00744   -1.113949350   -2.350512510   -1.236563160
     1     107    -0.15343     0.29097     0.00744   -1.098946331   -2.328798999   -1.229852667
     1     107    -0.15343     0.32734     0.00744   -1.093683074   -2.323105074   -1.229422000
     1     107    -0.13151     0.32734     0.00638   -1.093504878   -2.324659687   -1.231154809
     1     107    -0.10959     0.32734     0.00531   -1.092605642   -2.330270428   -1.237664786
     1     107    -0.08767     0.32734     0.00425   -1.090131190   -2.336401320   -1.246270130
     1     107    -0.06576     0.32734     0.00319   -1.084713511   -2.334433791   -1.249720280
     1     107    -0.04384     0.32734     0.00213   -1.073634874   -2.319909143   -1.246274269
     1     107    -0.02192     0.32734     0.00106   -1.054539242   -2.304489278   -1.249950037
     1     107     0.00000     0.32734     0.00000   -1.040156976   -2.307820976   -1.267664000
     1     107    -0.02192     0.32734    -0.01415   -1.037857217   -2.292652488   -1.254795271
     1     107    -0.04384     0.32734    -0.02830   -1.027095304   -2.264917834   -1.237822531
     1     107    -0.06576     0.32734    -0.04245   -1.018621281   -2.247957445   -1.229336164
     1     107    -0.08767     0.32734    -0.05660   -1.020419736   -2.258235590   -1.237815854
     1     107    -0.10959     0.32734    -0.07075   -1.032492645   -2.289692879   -1.257200234
     1     107    -0.13151     0.32734    -0.08490   -1.051506809   -2.321702184   -1.270195375
     1     107    -0.15343     0.32734    -0.09905   -1.062037919   -2.333193919   -1.271156000
     1     107    -0.15343     0.29097    -0.09905   -1.076204139   -2.346337254   -1.270133116
     1     107    -0.15343     0.25460    -0.09905   -1.084502338   -2.336887655   -1.252385317
     1     107    -0.15343     0.21823    -0.09905   -1.101984630   -2.318797074   -1.216812443
     1     107    -0.15343     0.18186    -0.09905   -1.150628230   -2.420966271   -1.270338041
     1     107    -0.15343     0.14548    -0.09905   -1.222191741   -2.493064925   -1.270873184
     1     107    -0.15343     0.10911    -0.09905   -1.274372380   -2.582361527   -1.307989147
     1     107    -0.15343     0.07274    -0.09905   -1.284811500   -2.625955748   -1.341144248
     1     107    -0.15343     0.03637    -0.09905   -1.288636008   -2.628644592   -1.340008584
     1     107    -0.15343     0.00000    -0.09905   -1.290707640   -2.632230640   -1.341523000
     1     107    -0.13151     0.00000    -0.08490   -1.287267665   -2.633731139   -1.346463474
     1     107    -0.10959     0.00000    -0.07075   -1.278202125   -2.639067842   -1.360865716
     1     107    -0.08767     0.00000    -0.05660   -1.266332330   -2.635632577   -1.369300247
     1     107    -0.06576     0.00000    -0.04245   -1.251807078   -2.591991198   -1.340184120
     1     107    -0.04384     0.00000    -0.02830   -1.269100263   -2.570298451   -1.301198188
     1     107    -0.02192     0.00000    -0.01415   -1.258727913   -2.604410882   -1.345682970
     1     107     0.00000     0.00000     0.00000   -1.255175462   -2.619297462   -1.364122000
     1     108     0.00000     0.00000     0.00000   -1.220232256   -2.395871256   -1.175639000
     1     108     0.00000     0.03637     0.00000   -1.219388496   -2.395118652   -1.175730156
     1     108     0.00000     0.07274     0.00000   -1.213315696   -2.386350041   -1.173034345
     1     108     0.00000     0.10911     0.00000   -1.188528522   -2.342481727   -1.153953205
     1     108     0.00000     0.14548     0.00000   -1.132335313   -2.265625021   -1.133289708
     1     108     0.00000     0.18186     0.00000   -1.066561792   -2.201241091   -1.134679299
     1     108     0.00000     0.21823     0.00000   -1.032383128   -2.223026140   -1.190643012
     1     108     0.00000     0.25460     0.00000   -1.007214851   -2.211178033   -1.203963182
     1     108     0.00000     0.29097     0.00000   -1.014422195   -2.290801113   -1.276378918
     1     108     0.00000     0.32734     0.00000   -1.040156976   -2.307820976   -1.267664000
     1     108     0.00000     0.32734     0.01775   -1.031162856   -2.303043949   -1.271881094
     1     108     0.00000     0.32734     0.03550   -1.009851661   -2.280892893   -1.271041233
     1     108     0.00000     0.32734     0.05324   -0.992507481   -2.238769535   -1.246262054
     1     108     0.00000     0.32734     0.07099   -0.987943590   -2.223565906   -1.235622317
     1     108     0.00000     0.32734     0.08874   -0.987349578   -2.220356926   -1.233007347
     1     108     0.00000     0.32734     0.10649   -0.987277189   -2.220282189   -1.233005000
     1     108     0.00000     0.29097     0.10649   -0.989122879   -2.222071878   -1.232948998
     1     108     0.00000     0.25460     0.10649   -0.999564744   -2.226140020   -1.226575277
     1     108     0.00000     0.21823     0.10649   -1.033435836   -2.238023860   -1.204588025
     1     108     0.00000     0.18186     0.10649   -1.097491638   -2.289207970   -1.191716332
     1     108     0.00000     0.14548     0.10649   -1.170100117   -2.365454091   -1.195353974
     1     108     0.00000     0.10911     0.10649   -1.214368566   -2.474184882   -1.259816316
     1     108     0.00000     0.07274     0.10649   -1.239199803   -2.543869795   -1.304669992
     1     108     0.00000     0.03637     0.10649   -1.258635605   -2.579718294   -1.321082689
     1     108     0.00000     0.00000     0.10649   -1.267039400   -2.590226400   -1.323187000
     1     108     0.00000     0.00000     0.08874   -1.246277066   -2.569129080   -1.322852014
     1     108     0.00000     0.00000     0.07099   -1.228768458   -2.545106868   -1.316338409
     1     108     0.00000     0.00000     0.05324   -1.218931413   -2.512442485   -1.293511071
     1     108     0.00000     0.00000     0.03550   -1.216740301   -2.467730877   -1.250990576
     1     108     0.00000     0.00000     0.01775   -1.218679326   -2.418673844   -1.199994517
     1     108     0.00000     0.00000     0.00000   -1.220232256   -2.395871256   -1.175639000
     1     108    -0.02192     0.00000     0.00106   -1.223356440   -2.399369912   -1.176013472
     1     108    -0.04384     0.00000     0.00213   -1.231564418   -2.427735375   -1.196170957
     1     108    -0.06576     0.00000     0.00319   -1.231554651   -2.547529797   -1.315975147
     1     108    -0.08767     0.00000     0.00425   -1.220262918   -2.557659445   -1.337396526
     1     108    -0.10959     0.00000     0.00531   -1.206551562   -2.545096619   -1.338545057
     1     108    -0.13151     0.00000     0.00638   -1.193424743   -2.529691703   -1.336266960
     1     108    -0.15343     0.00000     0.00744   -1.186973748   -2.521121748   -1.334148000
     1     108    -0.15343     0.03637     0.00744   -1.187159626   -2.518075993   -1.330916367
     1     108    -0.15343     0.07274     0.00744   -1.189827247   -2.494984694   -1.305157447
     1     108    -0.15343     0.10911     0.00744   -1.195787527   -2.456753676   -1.260966148
     1     108    -0.15343     0.14548     0.00744   -1.194596816   -2.415141403   -1.220544587
     1     108    -0.15343     0.18186     0.00744   -1.170009337   -2.389349887   -1.219340551
     1     108    -0.15343     0.21823     0.00744   -1.138001002   -2.372823758   -1.234822756
     1     108    -0.15343     0.25460     0.00744   -1.113949349   -2.350512509   -1.236563160
     1     108    -0.15343     0.29097     0.00744   -1.098946331   -2.328798998   -1.229852667
     1     108    -0.15343     0.32734     0.00744   -1.093683073   -2.323105073   -1.229422000
     1     108    -0.13151     0.32734     0.00638   -1.093504877   -2.324659687   -1.231154809
     1     108    -0.10959     0.32734     0.00531   -1.092605641   -2.330270427   -1.237664786
     1     108    -0.08767     0.32734     0.00425   -1.090131190   -2.336401319   -1.246270129
     1     108    -0.06576     0.32734     0.00319   -1.084713511   -2.334433790   -1.249720279
     1     108    -0.04384     0.32734     0.00213   -1.073634874   -2.319909143   -1.246274269
     1     108    -0.02192     0.32734     0.00106   -1.054539242   -2.304489278   -1.249950036
     1     108     0.00000     0.32734     0.00000   -1.040156976   -2.307820976   -1.267664000
     1     108    -0.02192     0.32734    -0.01415   -1.037857217   -2.292652488   -1.254795271
     1     108    -0.04384     0.32734    -0.02830   -1.027095303   -2.264917834   -1.237822530
     1     108    -0.06576     0.32734    -0.04245   -1.018621280   -2.247957444   -1.229336164
     1     108    -0.08767     0.32734    -0.05660   -1.020419735   -2.258235590   -1.237815854
     1     108    -0.10959     0.32734    -0.07075   -1.032492644   -2.289692879   -1.257200234
     1     108    -0.13151     0.32734    -0.08490   -1.051506809   -2.321702184   -1.270195375
     1     108    -0.15343     0.32734    -0.09905   -1.062037919   -2.333193919   -1.271156000
     1     108    -0.15343     0.29097    -0.09905   -1.036822691   -2.307715597   -1.270892906
     1     108    -0.15343     0.25460    -0.09905   -1.041457567   -2.278655394   -1.237197827
     1     108    -0.15343     0.21823    -0.09905   -1.087355416   -2.346738886   -1.259383469
     1     108    -0.15343     0.18186    -0.09905   -1.145659779   -2.342745807   -1.197086027
     1     108    -0.15343     0.14548    -0.09905   -1.205887007   -2.405015851   -1.199128844
     1     108    -0.15343     0.10911    -0.09905   -1.237671961   -2.497676927   -1.260004966
     1     108    -0.15343     0.07274    -0.09905   -1.237568912   -2.565524472   -1.327955559
     1     108    -0.15343     0.03637    -0.09905   -1.232453134   -2.595729290   -1.363276156
     1     108    -0.15343     0.00000    -0.09905   -1.230335321   -2.598478321   -1.368143000
     1     108    -0.13151     0.00000    -0.08490   -1.204843922   -2.555721463   -1.350877542
     1     108    -0.10959     0.00000    -0.07075   -1.161339802   -2.490969071   -1.329629269
     1     108    -0.08767     0.00000    -0.05660   -1.171411548   -2.486337762   -1.314926214
     1     108    -0.06576     0.00000    -0.04245   -1.235379929   -2.564255743   -1.328875814
     1     108    -0.04384     0.00000    -0.02830   -1.233215509   -2.485993839   -1.252778330
     1     108    -0.02192     0.00000    -0.01415   -1.222028645   -2.417898392   -1.195869747
     1     108     0.00000     0.00000     0.00000   -1.220232256   -2.395871256   -1.175639000
     1     109     0.00000     0.00000     0.00000   -0.899438560   -2.313190560   -1.413752000
     1     109     0.00000     0.03637     0.00000   -0.898778594   -2.308946765   -1.410168171
     1     109     0.00000     0.07274     0.00000   -0.897630500   -2.290342246   -1.392711746
     1     109     0.00000     0.10911     0.00000   -0.898966339   -2.276962310   -1.377995971
     1     109     0.00000     0.14548     0.00000   -0.907597561   -2.286290600   -1.378693039
     1     109     0.00000     0.18186     0.00000   -0.924871640   -2.301496390   -1.376624750
     1     109     0.00000     0.21823     0.00000   -0.940539653   -2.246255809   -1.305716156
     1     109     0.00000     0.25460     0.00000   -0.970826555   -2.256175486   -1.285348930
     1     109     0.00000     0.29097     0.00000   -0.981078537   -2.125820241   -1.144741704
     1     109     0.00000     0.32734     0.00000   -0.967742878   -2.100192878   -1.132450000
     1     109     0.00000     0.32734     0.01775   -0.967773834   -2.113513881   -1.145740047
     1     109     0.00000     0.32734     0.03550   -0.965340190   -2.156934978   -1.191594787
     1     109     0.00000     0.32734     0.05324   -0.949931588   -2.200921303   -1.250989715
     1     109     0.00000     0.32734     0.07099   -0.918025937   -2.200091560   -1.282065624
     1     109     0.00000     0.32734     0.08874   -0.883863357   -2.204617413   -1.320754056
     1     109     0.00000     0.32734     0.10649   -0.866127066   -2.239299066   -1.373172000
     1     109     0.00000     0.29097     0.10649   -0.877706016   -2.206885988   -1.329179972
     1     109     0.00000     0.25460     0.10649   -0.903208269   -2.209923317   -1.306715048
     1     109     0.00000     0.21823     0.10649   -0.923907601   -2.241268884   -1.317361283
     1     109     0.00000     0.18186     0.10649   -0.929111298   -2.250750485   -1.321639187
     1     109     0.00000     0.14548     0.10649   -0.924323938   -2.245921520   -1.321597583
     1     109     0.00000     0.10911     0.10649   -0.918302857   -2.237686466   -1.319383609
     1     109     0.00000     0.07274     0.10649   -0.917592232   -2.238025508   -1.320433276
     1     109     0.00000     0.03637     0.10649   -0.922327869   -2.251560345   -1.329232476
