# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     229     0.14400     0.07008     0.03581   -1.343274053   -2.669094395   -1.325820342
     1     229     0.12960     0.06308     0.03223   -1.344122194   -2.655611471   -1.311489278
     1     229     0.11520     0.05607     0.02865   -1.347275613   -2.616524075   -1.269248463
     1     229     0.10080     0.04906     0.02507   -1.349616722   -2.599739146   -1.250122423
     1     229     0.08640     0.04205     0.02149   -1.349419523   -2.597334057   -1.247914535
     1     229     0.07200     0.03504     0.01791   -1.348059205   -2.606090438   -1.258031232
     1     229     0.05760     0.02803     0.01433   -1.346020204   -2.611414688   -1.265394484
     1     229     0.04320     0.02103     0.01074   -1.344977273   -2.612651582   -1.267674309
     1     229     0.02880     0.01402     0.00716   -1.345660874   -2.614239313   -1.268578439
     1     229     0.01440     0.00701     0.00358   -1.346572500   -2.614328522   -1.267756022
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.01438     0.00318   -1.346009423   -2.614722756   -1.268713333
     1     229     0.00000     0.02876     0.00636   -1.343958147   -2.629280137   -1.285321990
     1     229     0.00000     0.04315     0.00954   -1.340195505   -2.642225413   -1.302029907
     1     229     0.00000     0.05753     0.01272   -1.336329713   -2.632839464   -1.296509751
     1     229     0.00000     0.07191     0.01590   -1.331631989   -2.619940205   -1.288308215
     1     229     0.00000     0.08629     0.01908   -1.314511071   -2.571557761   -1.257046690
     1     229     0.00000     0.10068     0.02226   -1.296652149   -2.546929447   -1.250277299
     1     229     0.00000     0.11506     0.02544   -1.283958420   -2.574050927   -1.290092507
     1     229     0.00000     0.12944     0.02862   -1.279154953   -2.593370944   -1.314215990
     1     229     0.00000     0.14382     0.03180   -1.277975544   -2.593493043   -1.315517499
     1     229     0.14400     0.21391     0.06762   -1.272332003   -2.459599893   -1.187267890
     1     229     0.12960     0.19252     0.06085   -1.274873643   -2.469967946   -1.195094303
     1     229     0.11520     0.17113     0.05409   -1.280657380   -2.489624127   -1.208966747
     1     229     0.10080     0.14974     0.04733   -1.287033102   -2.513430869   -1.226397767
     1     229     0.08640     0.12834     0.04057   -1.295646780   -2.551655409   -1.256008630
     1     229     0.07200     0.10695     0.03381   -1.310657119   -2.571984565   -1.261327446
     1     229     0.05760     0.08556     0.02705   -1.333664746   -2.605771699   -1.272106953
     1     229     0.04320     0.06417     0.02028   -1.347149583   -2.638735786   -1.291586203
     1     229     0.02880     0.04278     0.01352   -1.349658847   -2.644049675   -1.294390828
     1     229     0.01440     0.02139     0.00676   -1.345712931   -2.616519421   -1.270806490
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.00000    -0.01168   -1.344726322   -2.614197429   -1.269471107
     1     229     0.00000     0.00000    -0.02337   -1.338144434   -2.612910755   -1.274766322
     1     229     0.00000     0.00000    -0.03505   -1.328982233   -2.598358217   -1.269375983
     1     229     0.00000     0.00000    -0.04673   -1.320004067   -2.575559467   -1.255555400
     1     229     0.00000     0.00000    -0.05841   -1.310620745   -2.551710634   -1.241089889
     1     229     0.00000     0.00000    -0.07010   -1.300946922   -2.532328078   -1.231381156
     1     229     0.00000     0.00000    -0.08178   -1.286096131   -2.540591478   -1.254495347
     1     229     0.00000     0.00000    -0.09346   -1.270564242   -2.508383907   -1.237819665
     1     229     0.00000     0.00000    -0.10515   -1.266897399   -2.445651860   -1.178754460
     1     229     0.00000     0.00000    -0.11683   -1.266801190   -2.443401978   -1.176600788
     1     229     0.14400     0.07008    -0.08102   -1.256049861   -2.505902529   -1.249852668
     1     229     0.12960     0.06308    -0.07291   -1.267726153   -2.477106954   -1.209380801
     1     229     0.11520     0.05607    -0.06481   -1.283697266   -2.490550257   -1.206852991
     1     229     0.10080     0.04906    -0.05671   -1.297503440   -2.515979861   -1.218476422
     1     229     0.08640     0.04205    -0.04861   -1.307719347   -2.532514783   -1.224795436
     1     229     0.07200     0.03504    -0.04051   -1.312583647   -2.542088631   -1.229504984
     1     229     0.05760     0.02803    -0.03241   -1.325567060   -2.601713962   -1.276146902
     1     229     0.04320     0.02103    -0.02430   -1.334939068   -2.629561488   -1.294622420
     1     229     0.02880     0.01402    -0.01620   -1.341422606   -2.619827521   -1.278404915
     1     229     0.01440     0.00701    -0.00810   -1.345619844   -2.613143584   -1.267523740
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.00000     0.00000   -1.346880602   -2.614235065   -1.267354463
     1     229     0.00000     0.01438    -0.00850   -1.346769826   -2.614110969   -1.267341143
