# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     115     0.00000     0.00000     0.00000   -1.458190014   -3.013168014   -1.554978000
     1     115     0.00000     0.00000    -0.01421   -1.459455528   -2.977225970   -1.517770442
     1     115     0.00000     0.00000    -0.02842   -1.462492967   -2.900994116   -1.438501149
     1     115     0.00000     0.00000    -0.04263   -1.466735372   -2.847880588   -1.381145217
     1     115     0.00000     0.00000    -0.05684   -1.472924691   -2.839919488   -1.366994797
     1     115     0.00000     0.00000    -0.07105   -1.482311655   -2.868320055   -1.386008401
     1     115     0.00000     0.00000    -0.08526   -1.494024640   -2.919008513   -1.424983872
     1     115     0.00000     0.00000    -0.09947   -1.502338068   -3.085404068   -1.583066000
     1     115     0.00000    -0.20060     0.00020   -1.466736406   -2.937245406   -1.470509000
     1     115     0.00000    -0.17832     0.00018   -1.466960394   -2.939131333   -1.472170939
     1     115     0.00000    -0.15603     0.00016   -1.466666214   -2.932623241   -1.465957027
     1     115     0.00000    -0.13374     0.00013   -1.465612957   -2.923777549   -1.458164592
     1     115     0.00000    -0.11145     0.00011   -1.463974476   -2.919181546   -1.455207070
     1     115     0.00000    -0.08916     0.00009   -1.462019296   -2.917902851   -1.455883554
     1     115     0.00000    -0.06687     0.00007   -1.460212830   -2.950566090   -1.490353260
     1     115     0.00000    -0.04458     0.00004   -1.459244387   -2.983452168   -1.524207781
     1     115     0.00000    -0.02229     0.00002   -1.458506204   -3.007167298   -1.548661093
     1     115     0.00000     0.00000     0.00000   -1.458190014   -3.013168014   -1.554978000
     1     115    -0.02622     0.00001     0.00116   -1.457466911   -3.006447696   -1.548980785
     1     115    -0.05245     0.00003     0.00231   -1.455384935   -2.972310442   -1.516925507
     1     115    -0.07867     0.00004     0.00347   -1.450691917   -2.882668677   -1.431976759
     1     115    -0.10489     0.00006     0.00462   -1.446642816   -2.865245564   -1.418602748
     1     115    -0.13112     0.00007     0.00578   -1.434447154   -2.832852898   -1.398405744
     1     115    -0.15734     0.00009     0.00694   -1.417442712   -2.797488201   -1.380045489
     1     115    -0.18357     0.00010     0.00809   -1.418509234   -2.799027334   -1.380518101
     1     115    -0.20979     0.00012     0.00925   -1.417847919   -2.792048705   -1.374200786
     1     115    -0.23601     0.00013     0.01041   -1.415057786   -2.775941786   -1.360884000
     1     115    -0.23601     0.20074     0.10967   -1.486991935   -2.796583935   -1.309592000
     1     115    -0.21456     0.18249     0.09970   -1.483704643   -2.811606664   -1.327902021
     1     115    -0.19310     0.16424     0.08973   -1.476016236   -2.821780653   -1.345764418
     1     115    -0.17165     0.14599     0.07976   -1.465609435   -2.812685182   -1.347075747
     1     115    -0.15019     0.12774     0.06979   -1.463433107   -2.842416982   -1.378983875
     1     115    -0.12873     0.10949     0.05982   -1.471416086   -2.866112502   -1.394696416
     1     115    -0.10728     0.09125     0.04985   -1.477576054   -2.886240120   -1.408664066
     1     115    -0.08582     0.07300     0.03988   -1.474621090   -2.888234867   -1.413613777
     1     115    -0.06437     0.05475     0.02991   -1.466545932   -2.869440501   -1.402894569
     1     115    -0.04291     0.03650     0.01994   -1.460962948   -2.815241546   -1.354278598
     1     115    -0.02146     0.01825     0.00997   -1.460043338   -2.997047412   -1.537004074
     1     115     0.00000     0.00000     0.00000   -1.458190014   -3.013168014   -1.554978000
     1     115    -0.02146     0.01825     0.00093   -1.457688361   -3.005345669   -1.547657308
     1     115    -0.04291     0.03650     0.00186   -1.456697059   -2.942437190   -1.485740131
     1     115    -0.06437     0.05475     0.00278   -1.452483003   -2.839557423   -1.387074420
     1     115    -0.08582     0.07300     0.00371   -1.447674144   -2.926273567   -1.478599422
     1     115    -0.10728     0.09125     0.00464   -1.442683855   -2.950318798   -1.507634943
     1     115    -0.12873     0.10949     0.00557   -1.437121129   -2.944521604   -1.507400475
     1     115    -0.15019     0.12774     0.00649   -1.433521794   -2.805558196   -1.372036402
     1     115    -0.17165     0.14599     0.00742   -1.441074476   -2.818507451   -1.377432975
     1     115    -0.19310     0.16424     0.00835   -1.442395567   -2.824244240   -1.381848673
     1     115    -0.21456     0.18249     0.00928   -1.433108156   -2.816156510   -1.383048354
     1     115    -0.23601     0.20074     0.01020   -1.419843511   -2.671108511   -1.251265000
     1     115    -0.23601     0.00013     0.10988   -1.429029860   -2.753389860   -1.324360000
     1     115    -0.21456     0.00012     0.09989   -1.431533420   -2.764907241   -1.333373822
     1     115    -0.19310     0.00011     0.08990   -1.432103752   -2.779632683   -1.347528931
     1     115    -0.17165     0.00010     0.07991   -1.433839885   -2.770942524   -1.337102639
     1     115    -0.15019     0.00009     0.06992   -1.440766390   -2.780738037   -1.339971646
     1     115    -0.12873     0.00007     0.05993   -1.446270058   -2.821857454   -1.375587396
     1     115    -0.10728     0.00006     0.04994   -1.463392310   -2.865656530   -1.402264220
     1     115    -0.08582     0.00005     0.03995   -1.466233236   -2.882266044   -1.416032808
     1     115    -0.06437     0.00004     0.02997   -1.461095893   -2.874583724   -1.413487831
     1     115    -0.04291     0.00002     0.01998   -1.461580959   -2.824409435   -1.362828476
     1     115    -0.02146     0.00001     0.00999   -1.459928032   -2.998734131   -1.538806098
     1     115     0.00000     0.00000     0.00000   -1.458190014   -3.013168014   -1.554978000
     1     115     0.00000     0.02229    -0.01107   -1.459000471   -2.981078122   -1.522077650
     1     115     0.00000     0.04458    -0.02215   -1.460379592   -2.913764413   -1.453384821
     1     115     0.00000     0.06687    -0.03322   -1.461966217   -2.834873746   -1.372907529
     1     115     0.00000     0.08916    -0.04430   -1.475722809   -2.870392441   -1.394669632
     1     115     0.00000     0.11145    -0.05537   -1.489038083   -2.925628752   -1.436590669
     1     115     0.00000     0.13374    -0.06645   -1.492705381   -2.936361536   -1.443656155
     1     115     0.00000     0.15603    -0.07752   -1.488497526   -2.920454196   -1.431956670
     1     115     0.00000     0.17832    -0.08860   -1.482125368   -2.926780351   -1.444654983
     1     115     0.00000     0.20060    -0.09967   -1.479428153   -2.933994153   -1.454566000
     1     116     0.00000     0.00000     0.00000   -1.444116881   -2.998017881   -1.553901000
     1     116     0.00000     0.00000    -0.01421   -1.445061888   -2.993960564   -1.548898676
     1     116     0.00000     0.00000    -0.02842   -1.446817246   -2.982225843   -1.535408597
     1     116     0.00000     0.00000    -0.04263   -1.447256415   -2.971438837   -1.524182422
     1     116     0.00000     0.00000    -0.05684   -1.444822873   -2.968412327   -1.523589454
     1     116     0.00000     0.00000    -0.07105   -1.439388594   -2.973014139   -1.533625545
     1     116     0.00000     0.00000    -0.08526   -1.438755259   -2.657134759   -1.218379500
     1     116     0.00000     0.00000    -0.09947   -1.441490284   -2.657444284   -1.215954000
     1     116     0.00000    -0.20060     0.00020   -1.464946426   -2.952385426   -1.487439000
     1     116     0.00000    -0.17832     0.00018   -1.464221177   -2.949167502   -1.484946324
     1     116     0.00000    -0.15603     0.00016   -1.462838632   -2.955473766   -1.492635134
     1     116     0.00000    -0.13374     0.00013   -1.461573098   -2.969357873   -1.507784775
     1     116     0.00000    -0.11145     0.00011   -1.460585424   -2.977489158   -1.516903734
     1     116     0.00000    -0.08916     0.00009   -1.459666227   -2.975484207   -1.515817979
     1     116     0.00000    -0.06687     0.00007   -1.457095474   -2.931968399   -1.474872925
     1     116     0.00000    -0.04458     0.00004   -1.450419813   -2.934228728   -1.483808915
     1     116     0.00000    -0.02229     0.00002   -1.445541302   -2.987130034   -1.541588732
     1     116     0.00000     0.00000     0.00000   -1.444116881   -2.998017881   -1.553901000
     1     116    -0.02622     0.00001     0.00116   -1.446627012   -2.971271903   -1.524644892
     1     116    -0.05245     0.00003     0.00231   -1.450334114   -2.908249433   -1.457915320
     1     116    -0.07867     0.00004     0.00347   -1.445633265   -2.706259836   -1.260626570
     1     116    -0.10489     0.00006     0.00462   -1.428689771   -2.681917126   -1.253227355
     1     116    -0.13112     0.00007     0.00578   -1.411753022   -2.664785146   -1.253032125
     1     116    -0.15734     0.00009     0.00694   -1.401065866   -2.771157711   -1.370091845
     1     116    -0.18357     0.00010     0.00809   -1.402698618   -2.777513763   -1.374815144
     1     116    -0.20979     0.00012     0.00925   -1.409912015   -2.785046777   -1.375134763
     1     116    -0.23601     0.00013     0.01041   -1.415000214   -2.799979214   -1.384979000
     1     116    -0.23601     0.20074     0.10967   -1.486568667   -2.814899667   -1.328331000
     1     116    -0.21456     0.18249     0.09970   -1.481781691   -2.799937530   -1.318155839
     1     116    -0.19310     0.16424     0.08973   -1.470559871   -2.831294954   -1.360735083
     1     116    -0.17165     0.14599     0.07976   -1.462185900   -2.842837924   -1.380652025
     1     116    -0.15019     0.12774     0.06979   -1.452839173   -2.783834708   -1.330995535
     1     116    -0.12873     0.10949     0.05982   -1.439186278   -2.757612614   -1.318426336
     1     116    -0.10728     0.09125     0.04985   -1.429580422   -2.740879590   -1.311299167
