# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      65     0.00000     0.00000     0.00000   -2.668411014   -4.543297014   -1.874886000
     1      65     0.00000    -0.03181    -0.00488   -2.664933799   -4.530945459   -1.866011660
     1      65     0.00000    -0.06362    -0.00977   -2.661730856   -4.516515848   -1.854784993
     1      65     0.00000    -0.09543    -0.01465   -2.664641775   -4.547899485   -1.883257710
     1      65     0.00000    -0.12724    -0.01953   -2.667228443   -4.553524828   -1.886296385
     1      65     0.00000    -0.15905    -0.02442   -2.663346351   -4.546227377   -1.882881026
     1      65     0.00000    -0.19086    -0.02930   -2.657911912   -4.557504261   -1.899592349
     1      65     0.00000    -0.22267    -0.03419   -2.655387237   -4.560120237   -1.904733000
     1      65    -0.27723    -0.00290    -0.03461   -2.697817646   -4.592904646   -1.895087000
     1      65    -0.24643    -0.00258    -0.03077   -2.698655053   -4.586501314   -1.887846261
     1      65    -0.21562    -0.00226    -0.02692   -2.700216546   -4.546136547   -1.845920001
     1      65    -0.18482    -0.00194    -0.02308   -2.700507307   -4.505009910   -1.804502603
     1      65    -0.15402    -0.00161    -0.01923   -2.695430871   -4.502436055   -1.807005184
     1      65    -0.12321    -0.00129    -0.01538   -2.677007616   -4.485962372   -1.808954756
     1      65    -0.09241    -0.00097    -0.01154   -2.665178957   -4.480409824   -1.815230868
     1      65    -0.06161    -0.00065    -0.00769   -2.664621979   -4.507639286   -1.843017306
     1      65    -0.03080    -0.00032    -0.00385   -2.667007998   -4.535769850   -1.868761851
     1      65     0.00000     0.00000     0.00000   -2.668411014   -4.543297014   -1.874886000
     1      65     0.00000     0.00000    -0.01290   -2.665911923   -4.539567964   -1.873656041
     1      65     0.00000     0.00000    -0.02580   -2.659512867   -4.526814009   -1.867301142
     1      65     0.00000     0.00000    -0.03871   -2.651341601   -4.504387903   -1.853046303
     1      65     0.00000     0.00000    -0.05161   -2.642907065   -4.482718806   -1.839811741
     1      65     0.00000     0.00000    -0.06451   -2.635453877   -4.469145626   -1.833691748
     1      65     0.00000     0.00000    -0.07741   -2.629942388   -4.464203246   -1.834260858
     1      65     0.00000     0.00000    -0.09031   -2.626497933   -4.464864013   -1.838366081
     1      65     0.00000     0.00000    -0.10321   -2.624703896   -4.466139308   -1.841435411
     1      65     0.00000     0.00000    -0.11611   -2.624132976   -4.466404976   -1.842272000
     1      65     0.27723     0.22558    -0.04732   -2.698281639   -4.576521639   -1.878240000
     1      65     0.25203     0.20507    -0.04301   -2.698713566   -4.568668569   -1.869955003
     1      65     0.22682     0.18456    -0.03871   -2.697220348   -4.559842085   -1.862621737
     1      65     0.20162     0.16406    -0.03441   -2.691313295   -4.560558092   -1.869244797
     1      65     0.17642     0.14355    -0.03011   -2.684437447   -4.555372410   -1.870934963
     1      65     0.15122     0.12304    -0.02581   -2.678572630   -4.545575133   -1.867002503
     1      65     0.12601     0.10254    -0.02151   -2.673417787   -4.527252726   -1.853834939
     1      65     0.10081     0.08203    -0.01721   -2.659331203   -4.456360740   -1.797029537
     1      65     0.07561     0.06152    -0.01290   -2.654801055   -4.489811359   -1.835010303
     1      65     0.05041     0.04101    -0.00860   -2.660261726   -4.524466421   -1.864204695
     1      65     0.02520     0.02051    -0.00430   -2.665816113   -4.538544069   -1.872727957
     1      65     0.00000     0.00000     0.00000   -2.668411014   -4.543297014   -1.874886000
     1      65     0.02520     0.00026    -0.00741   -2.667130714   -4.539428181   -1.872297467
     1      65     0.05041     0.00053    -0.01482   -2.663718278   -4.527630847   -1.863912569
     1      65     0.07561     0.00079    -0.02223   -2.660586441   -4.508094402   -1.847507961
     1      65     0.10081     0.00106    -0.02964   -2.661374309   -4.493102403   -1.831728095
     1      65     0.12601     0.00132    -0.03705   -2.669837684   -4.502283308   -1.832445624
     1      65     0.15122     0.00158    -0.04446   -2.683029292   -4.510610714   -1.827581422
     1      65     0.17642     0.00185    -0.05186   -2.692067294   -4.517259633   -1.825192339
     1      65     0.20162     0.00211    -0.05927   -2.696823669   -4.550169130   -1.853345460
     1      65     0.22682     0.00238    -0.06668   -2.698876412   -4.572146459   -1.873270048
     1      65     0.25203     0.00264    -0.07409   -2.699277141   -4.576344180   -1.877067038
     1      65     0.27723     0.00290    -0.08150   -2.699127566   -4.576576566   -1.877449000
     1      65     0.00000     0.22267    -0.08193   -2.604406721   -4.493345721   -1.888939000
     1      65     0.00000     0.20243    -0.07448   -2.605778429   -4.493983758   -1.888205329
     1      65     0.00000     0.18219    -0.06703   -2.609696014   -4.493381292   -1.883685278
     1      65     0.00000     0.16194    -0.05959   -2.615582392   -4.481397476   -1.865815084
     1      65     0.00000     0.14170    -0.05214   -2.622405118   -4.467097885   -1.844692767
     1      65     0.00000     0.12146    -0.04469   -2.628601470   -4.477551145   -1.848949675
     1      65     0.00000     0.10122    -0.03724   -2.631949942   -4.488561859   -1.856611917
     1      65     0.00000     0.08097    -0.02979   -2.634869861   -4.478913481   -1.844043621
     1      65     0.00000     0.06073    -0.02234   -2.644216706   -4.493143355   -1.848926649
     1      65     0.00000     0.04049    -0.01490   -2.655312617   -4.519124471   -1.863811854
     1      65     0.00000     0.02024    -0.00745   -2.664477123   -4.536034753   -1.871557630
     1      65     0.00000     0.00000     0.00000   -2.668411014   -4.543297014   -1.874886000
     1      65     0.03080    -0.02442     0.00005   -2.664435872   -4.528775426   -1.864339554
     1      65     0.06161    -0.04884     0.00010   -2.660493393   -4.504829068   -1.844335675
     1      65     0.09241    -0.07326     0.00014   -2.665375507   -4.507008159   -1.841632652
     1      65     0.12321    -0.09768     0.00019   -2.680371330   -4.540502254   -1.860130924
     1      65     0.15402    -0.12209     0.00024   -2.694449044   -4.554845961   -1.860396917
     1      65     0.18482    -0.14651     0.00029   -2.702664451   -4.557754655   -1.855090204
     1      65     0.21562    -0.17093     0.00033   -2.706785716   -4.573448666   -1.866662950
     1      65     0.24643    -0.19535     0.00038   -2.709793733   -4.593016926   -1.883223194
     1      65     0.27723    -0.21977     0.00043   -2.711257670   -4.596745670   -1.885488000
     1      66     0.00000     0.00000     0.00000   -2.553582978   -4.220271978   -1.666689000
     1      66     0.00000    -0.03181    -0.00488   -2.563347558   -4.246862860   -1.683515303
     1      66     0.00000    -0.06362    -0.00977   -2.592714473   -4.358315986   -1.765601513
     1      66     0.00000    -0.09543    -0.01465   -2.624500458   -4.459307913   -1.834807455
     1      66     0.00000    -0.12724    -0.01953   -2.634081350   -4.471280371   -1.837199021
     1      66     0.00000    -0.15905    -0.02442   -2.635176990   -4.498126577   -1.862949587
     1      66     0.00000    -0.19086    -0.02930   -2.635820048   -4.543129164   -1.907309115
     1      66     0.00000    -0.22267    -0.03419   -2.636396419   -4.554103419   -1.917707000
     1      66    -0.27723    -0.00290    -0.03461   -2.666953289   -4.532201289   -1.865248000
     1      66    -0.24643    -0.00258    -0.03077   -2.664374977   -4.529835753   -1.865460776
     1      66    -0.21562    -0.00226    -0.02692   -2.658090136   -4.511077981   -1.852987845
     1      66    -0.18482    -0.00194    -0.02308   -2.650682388   -4.489637859   -1.838955471
     1      66    -0.15402    -0.00161    -0.01923   -2.643232135   -4.480944240   -1.837712105
     1      66    -0.12321    -0.00129    -0.01538   -2.630567185   -4.466313779   -1.835746593
     1      66    -0.09241    -0.00097    -0.01154   -2.603454700   -4.392820041   -1.789365341
     1      66    -0.06161    -0.00065    -0.00769   -2.576385460   -4.296182571   -1.719797110
     1      66    -0.03080    -0.00032    -0.00385   -2.559367079   -4.232005748   -1.672638669
     1      66     0.00000     0.00000     0.00000   -2.553582978   -4.220271978   -1.666689000
     1      66     0.00000     0.00000    -0.01290   -2.551915563   -4.219897835   -1.667982272
     1      66     0.00000     0.00000    -0.02580   -2.546994983   -4.221418580   -1.674423597
     1      66     0.00000     0.00000    -0.03871   -2.539231242   -4.227072127   -1.687840885
     1      66     0.00000     0.00000    -0.05161   -2.529456104   -4.229833754   -1.700377650
     1      66     0.00000     0.00000    -0.06451   -2.518829637   -4.225253983   -1.706424346
     1      66     0.00000     0.00000    -0.07741   -2.508849809   -4.214222144   -1.705372335
     1      66     0.00000     0.00000    -0.09031   -2.500832507   -4.201210212   -1.700377706
     1      66     0.00000     0.00000    -0.10321   -2.495662151   -4.192498283   -1.696836132
     1      66     0.00000     0.00000    -0.11611   -2.493873598   -4.189791598   -1.695918000
     1      66     0.27723     0.22558    -0.04732   -2.691698039   -4.519970039   -1.828272000
     1      66     0.25203     0.20507    -0.04301   -2.691138035   -4.525313812   -1.834175777
     1      66     0.22682     0.18456    -0.03871   -2.685685394   -4.523614030   -1.837928636
     1      66     0.20162     0.16406    -0.03441   -2.675020613   -4.540420093   -1.865399480
     1      66     0.17642     0.14355    -0.03011   -2.662794729   -4.526046034   -1.863251305
     1      66     0.15122     0.12304    -0.02581   -2.653643517   -4.514409609   -1.860766092
     1      66     0.12601     0.10254    -0.02151   -2.649578446   -4.513269956   -1.863691509
     1      66     0.10081     0.08203    -0.01721   -2.649039822   -4.487587769   -1.838547947
     1      66     0.07561     0.06152    -0.01290   -2.621603940   -4.375217876   -1.753613936
     1      66     0.05041     0.04101    -0.00860   -2.584469075   -4.266195450   -1.681726375
     1      66     0.02520     0.02051    -0.00430   -2.560751815   -4.229062366   -1.668310551
     1      66     0.00000     0.00000     0.00000   -2.553582978   -4.220271978   -1.666689000
     1      66     0.02520     0.00026    -0.00741   -2.556161378   -4.224190686   -1.668029308
     1      66     0.05041     0.00053    -0.01482   -2.564834166   -4.241135235   -1.676301069
     1      66     0.07561     0.00079    -0.02223   -2.581489707   -4.294102557   -1.712612850
     1      66     0.10081     0.00106    -0.02964   -2.605463231   -4.381333072   -1.775869841
     1      66     0.12601     0.00132    -0.03705   -2.628805074   -4.434076594   -1.805271520
     1      66     0.15122     0.00158    -0.04446   -2.642605965   -4.458900229   -1.816294264
     1      66     0.17642     0.00185    -0.05186   -2.650681818   -4.483153967   -1.832472149
     1      66     0.20162     0.00211    -0.05927   -2.656958796   -4.524677700   -1.867718904
     1      66     0.22682     0.00238    -0.06668   -2.662069812   -4.548400064   -1.886330252
     1      66     0.25203     0.00264    -0.07409   -2.665806214   -4.555583277   -1.889777063
     1      66     0.27723     0.00290    -0.08150   -2.667227937   -4.557507937   -1.890280000
     1      66     0.00000     0.22267    -0.08193   -2.570404124   -4.456676124   -1.886272000
     1      66     0.00000     0.20243    -0.07448   -2.571460716   -4.457070559   -1.885609843
     1      66     0.00000     0.18219    -0.06703   -2.574732564   -4.456750471   -1.882017907
     1      66     0.00000     0.16194    -0.05959   -2.580143592   -4.447514062   -1.867370470
     1      66     0.00000     0.14170    -0.05214   -2.587610758   -4.430879223   -1.843268464
     1      66     0.00000     0.12146    -0.04469   -2.596649992   -4.429746355   -1.833096362
     1      66     0.00000     0.10122    -0.03724   -2.605004561   -4.431971426   -1.826966865
     1      66     0.00000     0.08097    -0.02979   -2.603061415   -4.406177923   -1.803116508
     1      66     0.00000     0.06073    -0.02234   -2.585540671   -4.314341113   -1.728800441
     1      66     0.00000     0.04049    -0.01490   -2.567678923   -4.251028240   -1.683349317
     1      66     0.00000     0.02024    -0.00745   -2.556959506   -4.226749193   -1.669789688
     1      66     0.00000     0.00000     0.00000   -2.553582978   -4.220271978   -1.666689000
     1      66     0.03080    -0.02442     0.00005   -2.564653466   -4.243276383   -1.678622918
     1      66     0.06161    -0.04884     0.00010   -2.589986542   -4.337335324   -1.747348782
     1      66     0.09241    -0.07326     0.00014   -2.612719970   -4.445144665   -1.832424695
     1      66     0.12321    -0.09768     0.00019   -2.627029975   -4.489411490   -1.862381514
     1      66     0.15402    -0.12209     0.00024   -2.641265777   -4.503945186   -1.862679409
     1      66     0.18482    -0.14651     0.00029   -2.656706407   -4.512291143   -1.855584735
     1      66     0.21562    -0.17093     0.00033   -2.669018769   -4.513104486   -1.844085717
     1      66     0.24643    -0.19535     0.00038   -2.674378707   -4.513049605   -1.838670898
     1      66     0.27723    -0.21977     0.00043   -2.674617601   -4.513815601   -1.839198000
     1      67     0.00000     0.00000     0.00000   -2.442680650   -4.249652650   -1.806972000
     1      67     0.00000    -0.03181    -0.00488   -2.446587126   -4.245139385   -1.798552259
     1      67     0.00000    -0.06362    -0.00977   -2.456219708   -4.257157418   -1.800937710
     1      67     0.00000    -0.09543    -0.01465   -2.464158548   -4.282765997   -1.818607449
     1      67     0.00000    -0.12724    -0.01953   -2.467457664   -4.286306629   -1.818848965
     1      67     0.00000    -0.15905    -0.02442   -2.467313660   -4.285366974   -1.818053314
     1      67     0.00000    -0.19086    -0.02930   -2.465488835   -4.286343966   -1.820855131
     1      67     0.00000    -0.22267    -0.03419   -2.464286776   -4.288168776   -1.823882000
     1      67    -0.27723    -0.00290    -0.03461   -2.501284737   -4.306401737   -1.805117000
     1      67    -0.24643    -0.00258    -0.03077   -2.501070612   -4.307610830   -1.806540217
     1      67    -0.21562    -0.00226    -0.02692   -2.499818980   -4.311062823   -1.811243843
     1      67    -0.18482    -0.00194    -0.02308   -2.496050387   -4.309273178   -1.813222791
     1      67    -0.15402    -0.00161    -0.01923   -2.488424274   -4.300644107   -1.812219833
     1      67    -0.12321    -0.00129    -0.01538   -2.477177966   -4.289374253   -1.812196288
     1      67    -0.09241    -0.00097    -0.01154   -2.464918761   -4.274034319   -1.809115558
     1      67    -0.06161    -0.00065    -0.00769   -2.454181634   -4.260825832   -1.806644198
     1      67    -0.03080    -0.00032    -0.00385   -2.445954299   -4.251996633   -1.806042334
     1      67     0.00000     0.00000     0.00000   -2.442680650   -4.249652650   -1.806972000
     1      67     0.00000     0.00000    -0.01290   -2.439867962   -4.246212000   -1.806344037
     1      67     0.00000     0.00000    -0.02580   -2.432256793   -4.234573964   -1.802317171
     1      67     0.00000     0.00000    -0.03871   -2.422367340   -4.209071284   -1.786703945
     1      67     0.00000     0.00000    -0.05161   -2.414138213   -4.177508816   -1.763370603
     1      67     0.00000     0.00000    -0.06451   -2.408393237   -4.160849238   -1.752456001
     1      67     0.00000     0.00000    -0.07741   -2.404174817   -4.154376465   -1.750201649
     1      67     0.00000     0.00000    -0.09031   -2.401247125   -4.151999788   -1.750752664
     1      67     0.00000     0.00000    -0.10321   -2.399494818   -4.150911989   -1.751417171
     1      67     0.00000     0.00000    -0.11611   -2.398917056   -4.150567056   -1.751650000
     1      67     0.27723     0.22558    -0.04732   -2.375099685   -4.238429685   -1.863330000
     1      67     0.25203     0.20507    -0.04301   -2.376728461   -4.239169496   -1.862441035
     1      67     0.22682     0.18456    -0.03871   -2.381369424   -4.239740219   -1.858370794
     1      67     0.20162     0.16406    -0.03441   -2.388718172   -4.220936425   -1.832218253
     1      67     0.17642     0.14355    -0.03011   -2.398461687   -4.226724225   -1.828262538
     1      67     0.15122     0.12304    -0.02581   -2.409864895   -4.235203850   -1.825338955
     1      67     0.12601     0.10254    -0.02151   -2.421474454   -4.246364678   -1.824890224
     1      67     0.10081     0.08203    -0.01721   -2.431490553   -4.252254982   -1.820764429
     1      67     0.07561     0.06152    -0.01290   -2.437789612   -4.252921110   -1.815131497
     1      67     0.05041     0.04101    -0.00860   -2.439880670   -4.237394227   -1.797513558
     1      67     0.02520     0.02051    -0.00430   -2.441859508   -4.247604267   -1.805744759
     1      67     0.00000     0.00000     0.00000   -2.442680650   -4.249652650   -1.806972000
     1      67     0.02520     0.00026    -0.00741   -2.442739249   -4.248543678   -1.805804428
     1      67     0.05041     0.00053    -0.01482   -2.442404544   -4.245035560   -1.802631016
     1      67     0.07561     0.00079    -0.02223   -2.440702664   -4.242735711   -1.802033047
     1      67     0.10081     0.00106    -0.02964   -2.436873313   -4.248440658   -1.811567345
     1      67     0.12601     0.00132    -0.03705   -2.430486548   -4.245717071   -1.815230523
     1      67     0.15122     0.00158    -0.04446   -2.422090967   -4.236990746   -1.814899779
     1      67     0.17642     0.00185    -0.05186   -2.413017560   -4.232285921   -1.819268361
     1      67     0.20162     0.00211    -0.05927   -2.404662571   -4.237938998   -1.833276427
     1      67     0.22682     0.00238    -0.06668   -2.398265069   -4.240532376   -1.842267307
     1      67     0.25203     0.00264    -0.07409   -2.394444877   -4.239211902   -1.844767026
