# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     703     0.00000     0.00000     0.00000    0.041126734   -0.838376266   -0.879503000
     1     703     0.01725     0.00000     0.00000    0.041800355   -0.836897236   -0.878697590
     1     703     0.03449     0.00000     0.00000    0.043538348   -0.821294497   -0.864832845
     1     703     0.05174     0.00000     0.00000    0.053111053   -0.796317208   -0.849428261
     1     703     0.06898     0.00000     0.00000    0.054527906   -0.781437103   -0.835965009
     1     703     0.08623     0.00000     0.00000    0.051810749   -0.782448164   -0.834258913
     1     703     0.10347     0.00000     0.00000    0.050056003   -0.783326997   -0.833383000
     1     703     0.08623     0.00998     0.00000    0.051537029   -0.783618875   -0.835155904
     1     703     0.06898     0.01996     0.00000    0.052330867   -0.786016637   -0.838347504
     1     703     0.05174     0.02994     0.00000    0.048907579   -0.803787605   -0.852695184
     1     703     0.03449     0.03992     0.00000    0.044677503   -0.828370415   -0.873047919
     1     703     0.01725     0.04989     0.00000    0.046405092   -0.813733948   -0.860139040
     1     703     0.00000     0.05987     0.00000    0.048272751   -0.810547023   -0.858819774
     1     703     0.00000     0.04989     0.00000    0.047308213   -0.809419380   -0.856727594
     1     703     0.00000     0.03992     0.00000    0.045430134   -0.808881920   -0.854312054
     1     703     0.00000     0.02994     0.00000    0.043635694   -0.811916302   -0.855551996
     1     703     0.00000     0.01996     0.00000    0.042291046   -0.818367864   -0.860658910
     1     703     0.00000     0.00998     0.00000    0.041445041   -0.829191724   -0.870636766
     1     703     0.00000     0.00000     0.00000    0.041126734   -0.838376266   -0.879503000
     1     703     0.00000     0.00000     0.02312    0.043900228   -0.818577069   -0.862477296
     1     703     0.00000     0.00000     0.04623    0.051336040   -0.794114744   -0.845450784
     1     703     0.00000     0.00000     0.06935    0.057913744   -0.778683333   -0.836597077
     1     703     0.00000     0.00000     0.09247    0.061137106   -0.763229170   -0.824366276
     1     703     0.00000     0.00000     0.11558    0.060981455   -0.754185628   -0.815167083
     1     703     0.00000     0.00000     0.13870    0.060598358   -0.750029642   -0.810628000
     1     703    -0.01725    -0.00998     0.13870    0.062187111   -0.750094189   -0.812281300
     1     703    -0.03449    -0.01996     0.13870    0.066770634   -0.760480566   -0.827251200
     1     703    -0.05174    -0.02994     0.13870    0.066144143   -0.756778391   -0.822922534
     1     703    -0.06898    -0.03992     0.13870    0.062522522   -0.779854068   -0.842376590
     1     703    -0.08623    -0.04989     0.13870    0.061235140   -0.772698763   -0.833933904
     1     703    -0.10347    -0.05987     0.13870    0.061058678   -0.768609222   -0.829667899
     1     703    -0.08623    -0.04989     0.11558    0.060263258   -0.774668362   -0.834931621
     1     703    -0.06898    -0.03992     0.09247    0.057320137   -0.792994252   -0.850314390
     1     703    -0.05174    -0.02994     0.06935    0.062203510   -0.792168373   -0.854371883
     1     703    -0.03449    -0.01996     0.04623    0.055311445   -0.789277750   -0.844589195
     1     703    -0.01725    -0.00998     0.02312    0.044212254   -0.813574299   -0.857786552
     1     703     0.00000     0.00000     0.00000    0.041126734   -0.838376266   -0.879503000
     1     703     0.00000    -0.00998     0.02312    0.044019179   -0.818389206   -0.862408385
     1     703     0.00000    -0.01996     0.04623    0.051576959   -0.794472671   -0.846049630
     1     703     0.00000    -0.02994     0.06935    0.061717891   -0.781254159   -0.842972050
     1     703     0.00000    -0.03992     0.09247    0.061481832   -0.772647799   -0.834129631
     1     703     0.00000    -0.04989     0.11558    0.061678756   -0.771976917   -0.833655674
     1     703     0.00000    -0.05987     0.13870    0.060274041   -0.781495173   -0.841769214
     1     703    -0.01725    -0.04989     0.13870    0.062531634   -0.757379217   -0.819910852
     1     703    -0.03449    -0.03992     0.13870    0.066247939   -0.761119279   -0.827367218
     1     703    -0.05174    -0.02994     0.13870    0.066144143   -0.756778391   -0.822922534
     1     703    -0.06898    -0.01996     0.13870    0.063751694   -0.749349845   -0.813101539
     1     703    -0.08623    -0.00998     0.13870    0.060336659   -0.748469471   -0.808806130
     1     703    -0.10347     0.00000     0.13870    0.056363711   -0.751051289   -0.807415000
     1     703    -0.08623     0.00000     0.11558    0.061482359   -0.748868287   -0.810350646
     1     703    -0.06898     0.00000     0.09247    0.065332602   -0.759496644   -0.824829245
     1     703    -0.05174     0.00000     0.06935    0.061755572   -0.791869766   -0.853625338
     1     703    -0.03449     0.00000     0.04623    0.056396673   -0.788072348   -0.844469021
     1     703    -0.01725     0.00000     0.02312    0.044145240   -0.812249660   -0.856394901
     1     703     0.00000     0.00000     0.00000    0.041126734   -0.838376266   -0.879503000
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
     1     703     0.10347    -0.05987     0.00000    0.048977856   -0.810717186   -0.859695042
