# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     141     0.00000     0.00000     0.00000   -1.943639608   -3.791283608   -1.847644000
     1     141    -0.02759     0.01246     0.00715   -1.952697141   -3.791947313   -1.839250172
     1     141    -0.05518     0.02491     0.01430   -1.973520024   -3.804565132   -1.831045109
     1     141    -0.08276     0.03737     0.02145   -1.990385025   -3.824616799   -1.834231774
     1     141    -0.11035     0.04982     0.02860   -1.987211901   -3.821028751   -1.833816850
     1     141    -0.13794     0.06228     0.03575   -1.980427821   -3.808555779   -1.828127958
     1     141    -0.16553     0.07474     0.04290   -1.977146469   -3.805045469   -1.827899000
     1     141     0.00000     0.00000    -0.14740   -1.965853944   -3.830435944   -1.864582000
     1     141     0.00000     0.00000    -0.12283   -1.970493515   -3.829533203   -1.859039689
     1     141     0.00000     0.00000    -0.09827   -1.978608919   -3.826114113   -1.847505195
     1     141     0.00000     0.00000    -0.07370   -1.974236485   -3.817387054   -1.843150568
     1     141     0.00000     0.00000    -0.04913   -1.961264997   -3.798621784   -1.837356787
     1     141     0.00000     0.00000    -0.02457   -1.948898595   -3.791221643   -1.842323048
     1     141     0.00000     0.00000     0.00000   -1.943639608   -3.791283608   -1.847644000
     1     141     0.00000    -0.02515     0.00947   -1.941454433   -3.789082418   -1.847627985
     1     141     0.00000    -0.05029     0.01894   -1.937146668   -3.781966853   -1.844820185
     1     141     0.00000    -0.07544     0.02841   -1.934742638   -3.781169146   -1.846426508
     1     141     0.00000    -0.10058     0.03788   -1.937107168   -3.796970763   -1.859863595
     1     141     0.00000    -0.12573     0.04735   -1.945067459   -3.822656534   -1.877589075
     1     141     0.00000    -0.15087     0.05682   -1.952924382   -3.840285382   -1.887361000
     1     141     0.16553    -0.22561     0.16131   -1.974300168   -3.837425168   -1.863125000
     1     141     0.13794    -0.18801     0.13443   -1.978254738   -3.835179905   -1.856925167
     1     141     0.11035    -0.15041     0.10754   -1.984293075   -3.848892208   -1.864599133
     1     141     0.08276    -0.11280     0.08066   -1.972496613   -3.841112206   -1.868615593
     1     141     0.05518    -0.07520     0.05377   -1.958755257   -3.810072354   -1.851317097
     1     141     0.02759    -0.03760     0.02689   -1.949053274   -3.795600836   -1.846547563
     1     141     0.00000     0.00000     0.00000   -1.943639608   -3.791283608   -1.847644000
     1     141     0.00000    -0.02515     0.03404   -1.947651359   -3.792016723   -1.844365364
     1     141     0.00000    -0.05029     0.06807   -1.956637722   -3.795438458   -1.838800736
     1     141     0.00000    -0.07544     0.10211   -1.965970685   -3.812227158   -1.846256473
     1     141     0.00000    -0.10058     0.13614   -1.974182498   -3.831384418   -1.857201920
     1     141     0.00000    -0.12573     0.17018   -1.985411558   -3.856364950   -1.870953392
     1     141     0.00000    -0.15087     0.20422   -1.982760282   -3.849374282   -1.866614000
     1     141     0.16553    -0.22561     0.01391   -1.972741296   -3.800434296   -1.827693000
     1     141     0.13794    -0.18801     0.01160   -1.958163019   -3.774957695   -1.816794676
     1     141     0.11035    -0.15041     0.00928   -1.981459338   -3.808355634   -1.826896296
     1     141     0.08276    -0.11280     0.00696   -1.989444955   -3.838264212   -1.848819258
     1     141     0.05518    -0.07520     0.00464   -1.970306019   -3.815433382   -1.845127363
     1     141     0.02759    -0.03760     0.00232   -1.952925587   -3.792526323   -1.839600736
     1     141     0.00000     0.00000     0.00000   -1.943639608   -3.791283608   -1.847644000
     1     141    -0.02759     0.01246     0.03172   -1.965517776   -3.795326177   -1.829808402
     1     141    -0.05518     0.02491     0.06343   -1.985241863   -3.826180491   -1.840938628
     1     141    -0.08276     0.03737     0.09515   -1.961678736   -3.820368840   -1.858690104
     1     141    -0.11035     0.04982     0.12687   -1.972935215   -3.830898568   -1.857963353
     1     141    -0.13794     0.06228     0.15858   -1.985995168   -3.797618127   -1.811622959
     1     141    -0.16553     0.07474     0.19030   -1.965375707   -3.778908707   -1.813533000
     1     142     0.00000     0.00000     0.00000   -1.816125115   -3.478040115   -1.661915000
     1     142    -0.02759     0.01246     0.00715   -1.813465677   -3.483749507   -1.670283829
     1     142    -0.05518     0.02491     0.01430   -1.821309168   -3.523399315   -1.702090147
     1     142    -0.08276     0.03737     0.02145   -1.842104960   -3.602859109   -1.760754149
     1     142    -0.11035     0.04982     0.02860   -1.873566773   -3.676412408   -1.802845636
     1     142    -0.13794     0.06228     0.03575   -1.901273495   -3.707847448   -1.806573953
     1     142    -0.16553     0.07474     0.04290   -1.911156680   -3.710325680   -1.799169000
     1     142     0.00000     0.00000    -0.14740   -1.810605471   -3.474390471   -1.663785000
     1     142     0.00000     0.00000    -0.12283   -1.808855518   -3.475537866   -1.666682347
     1     142     0.00000     0.00000    -0.09827   -1.804884876   -3.485131210   -1.680246334
     1     142     0.00000     0.00000    -0.07370   -1.801083791   -3.499944285   -1.698860493
     1     142     0.00000     0.00000    -0.04913   -1.800890370   -3.499938400   -1.699048029
     1     142     0.00000     0.00000    -0.02457   -1.810801225   -3.480060810   -1.669259585
     1     142     0.00000     0.00000     0.00000   -1.816125115   -3.478040115   -1.661915000
     1     142     0.00000    -0.02515     0.00947   -1.816082080   -3.482331999   -1.666249919
