# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.00000     0.00000     0.00000   -3.053515787   -4.920413787   -1.866898000
     1      39    -0.05506     0.00000     0.00000   -3.050013151   -4.937813334   -1.887800183
     1      39    -0.11012     0.00000     0.00000   -3.038138917   -4.991560988   -1.953422071
     1      39    -0.16519     0.00000     0.00000   -3.022267962   -5.176081962   -2.153814000
     1      39    -0.22025     0.00000     0.00000   -3.061467206   -5.185416146   -2.123948940
     1      39    -0.27531     0.00000     0.00000   -3.078515331   -5.152171843   -2.073656512
     1      39    -0.33037     0.00000     0.00000   -3.074042576   -5.140361576   -2.066319000
     1      39     0.00000     0.00000     0.13678   -3.027051198   -4.925583198   -1.898532000
     1      39     0.00000     0.00000     0.11399   -3.032914430   -4.931911878   -1.898997448
     1      39     0.00000     0.00000     0.09119   -3.039219040   -4.936988701   -1.897769661
     1      39     0.00000     0.00000     0.06839   -3.044964809   -4.935399661   -1.890434851
     1      39     0.00000     0.00000     0.04559   -3.049593511   -4.927518775   -1.877925264
     1      39     0.00000     0.00000     0.02280   -3.052507717   -4.920696895   -1.868189178
     1      39     0.00000     0.00000     0.00000   -3.053515787   -4.920413787   -1.866898000
     1      39     0.00000     0.03875     0.00443   -3.048794329   -4.941039587   -1.892245258
     1      39     0.00000     0.07749     0.00885   -3.032306074   -4.988273276   -1.955967203
     1      39     0.00000     0.11624     0.01328   -3.007906641   -4.911288641   -1.903382000
     1      39     0.00000     0.15499     0.01770   -2.997790747   -4.951789653   -1.953998906
     1      39     0.00000     0.19373     0.02213   -2.990465228   -5.035427326   -2.044962099
     1      39     0.00000     0.23248     0.02655   -2.981831006   -5.051666006   -2.069835000
     1      39     0.33037     0.23248    -0.11023   -2.986728208   -5.068995208   -2.082267000
     1      39     0.27531     0.19373    -0.09186   -3.008315346   -5.058269010   -2.049953664
     1      39     0.22025     0.15499    -0.07349   -3.036141246   -5.074467058   -2.038325812
     1      39     0.16519     0.11624    -0.05512   -3.029662099   -5.040667757   -2.011005657
     1      39     0.11012     0.07749    -0.03674   -3.024860756   -4.979993676   -1.955132920
     1      39     0.05506     0.03875    -0.01837   -3.042713189   -4.921393221   -1.878680032
     1      39     0.00000     0.00000     0.00000   -3.053515787   -4.920413787   -1.866898000
     1      39     0.00000     0.03875    -0.01837   -3.043776634   -4.919681358   -1.875904724
     1      39     0.00000     0.07749    -0.03674   -3.016952826   -4.959218014   -1.942265188
     1      39     0.00000     0.11624    -0.05512   -3.003438425   -4.973075014   -1.969636589
     1      39     0.00000     0.15499    -0.07349   -3.022902175   -5.018101437   -1.995199263
     1      39     0.00000     0.19373    -0.09186   -3.056567132   -5.077562533   -2.020995401
     1      39     0.00000     0.23248    -0.11023   -3.071971617   -5.090891617   -2.018920000
     1      39     0.33037     0.23248     0.02655   -3.010327650   -4.995393650   -1.985066000
     1      39     0.27531     0.19373     0.02213   -3.013454886   -5.031432842   -2.017977956
     1      39     0.22025     0.15499     0.01770   -3.028395339   -5.082185472   -2.053790133
     1      39     0.16519     0.11624     0.01328   -3.020162640   -5.024536621   -2.004373981
     1      39     0.11012     0.07749     0.00885   -3.028595170   -4.991188653   -1.962593484
     1      39     0.05506     0.03875     0.00443   -3.045488229   -4.989144103   -1.943655874
     1      39     0.00000     0.00000     0.00000   -3.053515787   -4.920413787   -1.866898000
     1      39    -0.05506     0.00000    -0.02280   -3.049390410   -4.946802736   -1.897412326
     1      39    -0.11012     0.00000    -0.04559   -3.037089972   -4.992118099   -1.955028126
     1      39    -0.16519     0.00000    -0.06839   -3.026213187   -5.039501803   -2.013288616
     1      39    -0.22025     0.00000    -0.09119   -3.038058636   -5.057368698   -2.019310062
     1      39    -0.27531     0.00000    -0.11399   -3.028364818   -5.001918254   -1.973553436
     1      39    -0.33037     0.00000    -0.13678   -3.016473987   -4.971536987   -1.955063000
     1      40     0.00000     0.00000     0.00000   -3.028350548   -4.886156548   -1.857806000
     1      40    -0.05506     0.00000     0.00000   -3.024700427   -4.884564445   -1.859864018
     1      40    -0.11012     0.00000     0.00000   -3.013113091   -4.889127220   -1.876014129
     1      40    -0.16519     0.00000     0.00000   -3.015083761   -4.982918761   -1.967835000
     1      40    -0.22025     0.00000     0.00000   -3.033197788   -5.052049982   -2.018852194
     1      40    -0.27531     0.00000     0.00000   -3.058393575   -5.113853953   -2.055460378
     1      40    -0.33037     0.00000     0.00000   -3.074032543   -5.140351543   -2.066319000
     1      40     0.00000     0.00000     0.13678   -3.027043619   -4.925574619   -1.898531000
     1      40     0.00000     0.00000     0.11399   -3.022691101   -4.921585094   -1.898893993
     1      40     0.00000     0.00000     0.09119   -3.020863113   -4.916700130   -1.895837017
     1      40     0.00000     0.00000     0.06839   -3.021667381   -4.906977207   -1.885309826
     1      40     0.00000     0.00000     0.04559   -3.024280899   -4.894394577   -1.870113678
