# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     243     0.00000     0.00000     0.00000    0.050608424   -1.175064576   -1.225673000
     1     243     0.00000     0.02831     0.00000    0.053851818   -1.165472128   -1.219323945
     1     243     0.00000     0.05661     0.00000    0.062819217   -1.121048459   -1.183867676
     1     243     0.00000     0.08492     0.00000    0.071984363   -1.047445594   -1.119429957
     1     243     0.00000     0.11323     0.00000    0.074928961   -1.045726039   -1.120655000
     1     243     0.00000     0.14154     0.00000    0.074587013   -1.045690073   -1.120277085
     1     243     0.00000     0.16984     0.00000    0.071343835   -1.048671078   -1.120014913
     1     243     0.00000     0.19815     0.00000    0.068037315   -1.047987241   -1.116024556
     1     243     0.00000     0.22646     0.00000    0.071823411   -1.042185589   -1.114009000
     1     243     0.00000     0.22646     0.01871    0.071099989   -1.042445237   -1.113545226
     1     243     0.00000     0.22646     0.03743    0.068873806   -1.043266782   -1.112140588
     1     243     0.00000     0.22646     0.05614    0.065357513   -1.044461952   -1.109819465
     1     243     0.00000     0.22646     0.07486    0.061034728   -1.045792177   -1.106826905
     1     243     0.00000     0.22646     0.09357    0.058286563   -1.048284038   -1.106570601
     1     243     0.00000     0.18871     0.09357    0.089569803   -1.023071121   -1.112640923
     1     243     0.00000     0.15097     0.09357    0.096781577   -1.022764095   -1.119545671
     1     243     0.00000     0.11323     0.09357    0.091948946   -1.026543379   -1.118492325
     1     243     0.00000     0.07549     0.09357    0.085631494   -1.028862267   -1.114493761
     1     243     0.00000     0.03774     0.09357    0.080129239   -1.038829946   -1.118959185
     1     243     0.00000     0.00000     0.09357    0.077919899   -1.048328222   -1.126248121
     1     243     0.00000     0.00000     0.07486    0.075486646   -1.041148867   -1.116635513
     1     243     0.00000     0.00000     0.05614    0.069346449   -1.119623131   -1.188969580
     1     243     0.00000     0.00000     0.03743    0.060398813   -1.148389267   -1.208788080
     1     243     0.00000     0.00000     0.01871    0.053241446   -1.168081345   -1.221322791
     1     243     0.00000     0.00000     0.00000    0.050608424   -1.175064576   -1.225673000
     1     243    -0.02520     0.00000     0.00504    0.059754779   -1.160044855   -1.219799634
