# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     321     0.00000     0.00000     0.00000    0.392362501   -0.322892155   -0.715254656
     1     321     0.00000     0.00000    -0.00884    0.392032314   -0.323455561   -0.715487875
     1     321     0.00000     0.00000    -0.01768    0.391140070   -0.325242789   -0.716382859
     1     321     0.00000     0.00000    -0.02652    0.389806222   -0.328567880   -0.718374102
     1     321     0.00000     0.00000    -0.03536    0.388268442   -0.332610309   -0.720878751
     1     321     0.00000     0.00000    -0.04420    0.386687787   -0.336327364   -0.723015150
     1     321     0.00000     0.00000    -0.05304    0.385253979   -0.339066751   -0.724320729
     1     321     0.00000     0.00000    -0.06187    0.384116182   -0.340633386   -0.724749568
     1     321     0.00000     0.00000    -0.07071    0.383285641   -0.341358524   -0.724644164
     1     321     0.00000     0.00000    -0.07955    0.382796727   -0.341707305   -0.724504032
     1     321     0.00000     0.00000    -0.08839    0.382630190   -0.341833298   -0.724463488
     1     321     0.01413     0.00000    -0.08839    0.383928507   -0.340542286   -0.724470793
     1     321     0.02825     0.00000    -0.08839    0.387825828   -0.336652071   -0.724477899
     1     321     0.04238     0.00000    -0.08839    0.394177350   -0.330046969   -0.724224318
     1     321     0.05651     0.00000    -0.08839    0.402856539   -0.320170100   -0.723026639
     1     321     0.07064     0.00000    -0.08839    0.413743149   -0.306461610   -0.720204759
     1     321     0.08476     0.00000    -0.08839    0.426536941   -0.288899124   -0.715436066
     1     321     0.09889     0.00000    -0.08839    0.441000138   -0.268073472   -0.709073610
     1     321     0.11302     0.00000    -0.08839    0.456765215   -0.246058991   -0.702824206
     1     321     0.12714     0.00000    -0.08839    0.473511697   -0.225796402   -0.699308098
     1     321     0.14127     0.00000    -0.08839    0.490723427   -0.207779095   -0.698502522
     1     321     0.14233     0.00000    -0.08585    0.492456618   -0.205126896   -0.697583514
     1     321     0.14338     0.00000    -0.08331    0.494256928   -0.202475871   -0.696732800
     1     321     0.14443     0.00000    -0.08076    0.496103218   -0.199887982   -0.695991200
     1     321     0.14549     0.00000    -0.07822    0.497994144   -0.197389649   -0.695383793
     1     321     0.14654     0.00000    -0.07568    0.499967999   -0.194943383   -0.694911383
     1     321     0.14760     0.00000    -0.07313    0.501961092   -0.192597216   -0.694558309
     1     321     0.14865     0.00000    -0.07059    0.504011618   -0.190288296   -0.694299914
     1     321     0.14971     0.00000    -0.06805    0.506091942   -0.188027926   -0.694119868
     1     321     0.15076     0.00000    -0.06550    0.508217025   -0.185795758   -0.694012783
     1     321     0.15182     0.00000    -0.06296    0.510358809   -0.183618617   -0.693977426
     1     321     0.15182     0.01566    -0.06296    0.509964254   -0.184046027   -0.694010281
     1     321     0.15182     0.03133    -0.06296    0.508742455   -0.185308448   -0.694050904
     1     321     0.15182     0.04699    -0.06296    0.506972145   -0.186924063   -0.693896207
     1     321     0.15182     0.06266    -0.06296    0.505032875   -0.188499416   -0.693532291
     1     321     0.15182     0.07832    -0.06296    0.503275045   -0.189652451   -0.692927496
     1     321     0.15182     0.09399    -0.06296    0.501836468   -0.190168302   -0.692004770
     1     321     0.15182     0.10965    -0.06296    0.500803205   -0.190064397   -0.690867602
