# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      85     0.00000     0.00000     0.00000   -1.888833172   -3.650701172   -1.761868000
     1      85     0.00000    -0.03069     0.00375   -1.857657022   -3.665887430   -1.808230408
     1      85     0.00000    -0.06137     0.00751   -1.902463481   -3.714590562   -1.812127082
     1      85     0.00000    -0.09206     0.01126   -1.882104798   -3.719811891   -1.837707093
     1      85     0.00000    -0.12274     0.01502   -1.859422137   -3.697296030   -1.837873893
     1      85     0.00000    -0.15343     0.01877   -1.837594750   -3.664107133   -1.826512384
     1      85     0.00000    -0.18411     0.02252   -1.818053619   -3.628929842   -1.810876223
     1      85     0.00000    -0.21480     0.02628   -1.801571447   -3.598066447   -1.796495000
     1      85    -0.30139     0.00089     0.00193   -1.777192246   -3.530187246   -1.752995000
     1      85    -0.26791     0.00079     0.00172   -1.793872750   -3.560526399   -1.766653649
     1      85    -0.23442     0.00070     0.00150   -1.817241949   -3.602528534   -1.785286585
     1      85    -0.20093     0.00060     0.00129   -1.833624390   -3.626960837   -1.793336447
     1      85    -0.16744     0.00050     0.00107   -1.841257114   -3.630401908   -1.789144794
     1      85    -0.13395     0.00040     0.00086   -1.848427656   -3.641354523   -1.792926867
     1      85    -0.10046     0.00030     0.00064   -1.865696162   -3.674976714   -1.809280551
     1      85    -0.06698     0.00020     0.00043   -1.882290416   -3.671718628   -1.789428212
     1      85    -0.03349     0.00010     0.00021   -1.889675855   -3.656156900   -1.766481045
     1      85     0.00000     0.00000     0.00000   -1.888833172   -3.650701172   -1.761868000
     1      85     0.00000     0.00000    -0.01343   -1.887306937   -3.651742362   -1.764435424
     1      85     0.00000     0.00000    -0.02686   -1.880842464   -3.671868714   -1.791026251
     1      85     0.00000     0.00000    -0.04030   -1.865420124   -3.648386589   -1.782966465
     1      85     0.00000     0.00000    -0.05373   -1.859782418   -3.707635513   -1.847853095
     1      85     0.00000     0.00000    -0.06716   -1.865309299   -3.625888282   -1.760578982
     1      85     0.00000     0.00000    -0.08059   -1.861490629   -3.597603386   -1.736112757
     1      85     0.00000     0.00000    -0.09402   -1.859931005   -3.592680005   -1.732749000
     1      85     0.30139     0.21390    -0.12223   -1.926593830   -3.657204830   -1.730611000
     1      85     0.27399     0.19446    -0.11112   -1.924061513   -3.663019383   -1.738957870
     1      85     0.24660     0.17501    -0.10001   -1.922849903   -3.669238331   -1.746388428
     1      85     0.21920     0.15557    -0.08890   -1.917574522   -3.674796326   -1.757221804
     1      85     0.19180     0.13612    -0.07779   -1.905800474   -3.664253544   -1.758453070
     1      85     0.16440     0.11667    -0.06667   -1.888059269   -3.652457618   -1.764398349
     1      85     0.13700     0.09723    -0.05556   -1.869055137   -3.636912973   -1.767857837
     1      85     0.10960     0.07778    -0.04445   -1.856252464   -3.631361686   -1.775109223
     1      85     0.08220     0.05834    -0.03334   -1.855417868   -3.646422578   -1.791004710
     1      85     0.05480     0.03889    -0.02222   -1.864277474   -3.655727612   -1.791450139
     1      85     0.02740     0.01945    -0.01111   -1.877197879   -3.665469299   -1.788271420
     1      85     0.00000     0.00000     0.00000   -1.888833172   -3.650701172   -1.761868000
     1      85     0.02740    -0.00008    -0.00872   -1.889248656   -3.653970473   -1.764721817
     1      85     0.05480    -0.00016    -0.01745   -1.884309213   -3.673727643   -1.789418430
     1      85     0.08220    -0.00024    -0.02617   -1.872610474   -3.691687394   -1.819076920
     1      85     0.10960    -0.00033    -0.03489   -1.859876235   -3.672256075   -1.812379839
     1      85     0.13700    -0.00041    -0.04362   -1.850190189   -3.654770354   -1.804580165
     1      85     0.16440    -0.00049    -0.05234   -1.843900043   -3.636910631   -1.793010588
     1      85     0.19180    -0.00057    -0.06106   -1.837014848   -3.629850235   -1.792835387
     1      85     0.21920    -0.00065    -0.06979   -1.825465995   -3.624896817   -1.799430823
     1      85     0.24660    -0.00073    -0.07851   -1.809056934   -3.637020620   -1.827963687
     1      85     0.27399    -0.00081    -0.08723   -1.792680901   -3.638521489   -1.845840588
     1      85     0.30139    -0.00089    -0.09596   -1.787355868   -3.628532868   -1.841177000
     1      85     0.00000     0.21480    -0.12030   -1.825536780   -3.637859780   -1.812323000
     1      85     0.00000     0.19527    -0.10937   -1.832614353   -3.653863492   -1.821249139
     1      85     0.00000     0.17574    -0.09843   -1.840989513   -3.660544385   -1.819554872
     1      85     0.00000     0.15622    -0.08749   -1.849352445   -3.665286732   -1.815934287
     1      85     0.00000     0.13669    -0.07656   -1.858061571   -3.672985495   -1.814923924
     1      85     0.00000     0.11716    -0.06562   -1.867725127   -3.687019102   -1.819293975
     1      85     0.00000     0.09764    -0.05468   -1.879394601   -3.708764963   -1.829370362
     1      85     0.00000     0.07811    -0.04375   -1.893636606   -3.723386638   -1.829750032
     1      85     0.00000     0.05858    -0.03281   -1.894227253   -3.678074065   -1.783846812
     1      85     0.00000     0.03905    -0.02187   -1.858254075   -3.660625527   -1.802371452
     1      85     0.00000     0.01953    -0.01094   -1.875611061   -3.665430600   -1.789819540
     1      85     0.00000     0.00000     0.00000   -1.888833172   -3.650701172   -1.761868000
     1      85     0.03349    -0.02397     0.00271   -1.872890891   -3.669302335   -1.796411444
     1      85     0.06698    -0.04793     0.00541   -1.858885431   -3.681798026   -1.822912594
     1      85     0.10046    -0.07190     0.00812   -1.864635510   -3.646389624   -1.781754115
     1      85     0.13395    -0.09586     0.01082   -1.878932588   -3.571176418   -1.692243831
     1      85     0.16744    -0.11983     0.01353   -1.904546181   -3.596286623   -1.691740441
     1      85     0.20093    -0.14379     0.01623   -1.929064398   -3.682781133   -1.753716735
     1      85     0.23442    -0.16776     0.01894   -1.945418011   -3.729268789   -1.783850778
     1      85     0.26791    -0.19173     0.02164   -1.955295811   -3.628053629   -1.672757817
     1      85     0.30139    -0.21569     0.02435   -1.962359842   -3.615004842   -1.652645000
     1      86     0.00000     0.00000     0.00000   -1.816499004   -3.683632004   -1.867133000
     1      86     0.00000    -0.03069     0.00375   -1.850170828   -3.683706491   -1.833535663
     1      86     0.00000    -0.06137     0.00751   -1.816591752   -3.611148203   -1.794556451
     1      86     0.00000    -0.09206     0.01126   -1.775498857   -3.555326984   -1.779828127
     1      86     0.00000    -0.12274     0.01502   -1.768801222   -3.550625846   -1.781824624
     1      86     0.00000    -0.15343     0.01877   -1.776543453   -3.567667264   -1.791123811
     1      86     0.00000    -0.18411     0.02252   -1.787387690   -3.592728589   -1.805340898
