# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     199     0.00000     0.00000     0.00000   -0.762231483   -2.231639483   -1.469408000
     1     199     0.02887     0.01078     0.00233   -0.760586798   -2.216684392   -1.456097594
     1     199     0.05774     0.02155     0.00467   -0.755151600   -2.182432729   -1.427281130
     1     199     0.08661     0.03233     0.00700   -0.745024608   -2.163045608   -1.418021000
     1     199     0.11548     0.04311     0.00933   -0.729817630   -2.137894961   -1.408077331
     1     199     0.14435     0.05388     0.01167   -0.711369583   -2.075067299   -1.363697716
     1     199     0.17322     0.06466     0.01400   -0.698422880   -2.045927880   -1.347505000
     1     199     0.00000    -0.18481     0.01121   -0.699226310   -2.039212310   -1.339986000
     1     199     0.00000    -0.15401     0.00934   -0.713487221   -2.068821292   -1.355334071
     1     199     0.00000    -0.12320     0.00747   -0.732165258   -2.126763139   -1.394597881
     1     199     0.00000    -0.09240     0.00561   -0.747138159   -2.150489159   -1.403351000
     1     199     0.00000    -0.06160     0.00374   -0.757056175   -2.170549997   -1.413493821
     1     199     0.00000    -0.03080     0.00187   -0.762106384   -2.212466957   -1.450360573
     1     199     0.00000     0.00000     0.00000   -0.762231483   -2.231639483   -1.469408000
     1     199     0.00000     0.00000    -0.01571   -0.762710984   -2.219680879   -1.456969896
     1     199     0.00000     0.00000    -0.03141   -0.766260909   -2.233058413   -1.466797504
     1     199     0.00000     0.00000    -0.04712   -0.772054268   -2.273490545   -1.501436277
     1     199     0.00000     0.00000    -0.06283   -0.777504931   -2.315768190   -1.538263259
     1     199     0.00000     0.00000    -0.07853   -0.780999096   -2.338163318   -1.557164222
     1     199     0.00000     0.00000    -0.09424   -0.782112219   -2.341037219   -1.558925000
     1     199    -0.17322     0.12015    -0.11945   -0.720847544   -2.100884544   -1.380037000
     1     199    -0.14435     0.10012    -0.09954   -0.734927063   -2.142187530   -1.407260467
     1     199    -0.11548     0.08010    -0.07964   -0.742249562   -2.194547710   -1.452298147
     1     199    -0.08661     0.06007    -0.05973   -0.745328248   -2.166347159   -1.421018911
     1     199    -0.05774     0.04005    -0.03982   -0.749476916   -2.133552944   -1.384076027
     1     199    -0.02887     0.02002    -0.01991   -0.756473797   -2.170212761   -1.413738964
     1     199     0.00000     0.00000     0.00000   -0.762231483   -2.231639483   -1.469408000
     1     199     0.00000     0.03080    -0.01758   -0.761272774   -2.203632352   -1.442359579
     1     199     0.00000     0.06160    -0.03515   -0.764641397   -2.201587709   -1.436946312
     1     199     0.00000     0.09240    -0.05273   -0.766600941   -2.217366495   -1.450765554
     1     199     0.00000     0.12320    -0.07030   -0.762855797   -2.234811500   -1.471955703
     1     199     0.00000     0.15401    -0.08788   -0.751833676   -2.171642298   -1.419808622
     1     199     0.00000     0.18481    -0.10545   -0.737559709   -2.125418709   -1.387859000
     1     199    -0.17322    -0.06466    -0.10824   -0.740593248   -2.146684248   -1.406091000
     1     199    -0.14435    -0.05388    -0.09020   -0.749491822   -2.183162268   -1.433670445
     1     199    -0.11548    -0.04311    -0.07216   -0.758522800   -2.247618762   -1.489095961
     1     199    -0.08661    -0.03233    -0.05412   -0.760444229   -2.224169372   -1.463725143
     1     199    -0.05774    -0.02155    -0.03608   -0.758345712   -2.189517322   -1.431171609
     1     199    -0.02887    -0.01078    -0.01804   -0.759114803   -2.195958165   -1.436843362
     1     199     0.00000     0.00000     0.00000   -0.762231483   -2.231639483   -1.469408000
     1     199     0.02887     0.04158     0.00047   -0.761688160   -2.190423360   -1.428735200
     1     199     0.05774     0.08316     0.00093   -0.754399335   -2.145321242   -1.390921907
     1     199     0.08661     0.12473     0.00140   -0.736191806   -2.094141806   -1.357950000
     1     199     0.11548     0.16631     0.00186   -0.707844882   -2.061007163   -1.353162282
     1     199     0.14435     0.20789     0.00233   -0.680790043   -2.019026352   -1.338236309
     1     199     0.17322     0.24947     0.00279   -0.669686610   -1.994827610   -1.325141000
     1     200     0.00000     0.00000     0.00000   -0.605823060   -1.927250060   -1.321427000
     1     200     0.02887     0.01078     0.00233   -0.608471031   -1.931413083   -1.322942052
     1     200     0.05774     0.02155     0.00467   -0.616116897   -1.942520067   -1.326403170
     1     200     0.08661     0.03233     0.00700   -0.628253475   -1.955019475   -1.326766000
     1     200     0.11548     0.04311     0.00933   -0.644038292   -1.976419552   -1.332381260
     1     200     0.14435     0.05388     0.01167   -0.661980354   -2.011883485   -1.349903131
     1     200     0.17322     0.06466     0.01400   -0.674439202   -2.029835202   -1.355396000
