# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     475     0.00000     0.00000     0.00000    1.519059318    0.910339318   -0.608720000
     1     475     0.03811     0.00000     0.00000    1.515748326    0.905541234   -0.610207092
     1     475     0.07623     0.00000     0.00000    1.513234555    0.900887772   -0.612346783
     1     475     0.11434     0.00000     0.00000    1.503264593    0.861696593   -0.641568000
     1     475     0.15246     0.00000     0.00000    1.507398203    0.868575780   -0.638822423
     1     475     0.19057     0.00000     0.00000    1.513787389    0.883654094   -0.630133295
     1     475     0.22868     0.00000     0.00000    1.524653460    0.897241460   -0.627412000
     1     475     0.19057     0.01559     0.00000    1.515422174    0.886577743   -0.628844432
     1     475     0.15246     0.03117     0.00000    1.513556726    0.875516579   -0.638040147
     1     475     0.11434     0.04676     0.00000    1.516413203    0.883320928   -0.633092275
     1     475     0.07623     0.06234     0.00000    1.516940522    0.883260207   -0.633680315
     1     475     0.03811     0.07793     0.00000    1.514141971    0.901654647   -0.612487324
     1     475     0.00000     0.09351     0.00000    1.517006164    0.906002164   -0.611004000
     1     475     0.00000     0.07793     0.00000    1.514037592    0.901899146   -0.612138446
     1     475     0.00000     0.06234     0.00000    1.513558247    0.897632205   -0.615926042
     1     475     0.00000     0.04676     0.00000    1.514915708    0.897495369   -0.617420339
     1     475     0.00000     0.03117     0.00000    1.516844447    0.902604611   -0.614239836
     1     475     0.00000     0.01559     0.00000    1.518455127    0.908730508   -0.609724619
     1     475     0.00000     0.00000     0.00000    1.519059318    0.910339318   -0.608720000
     1     475     0.00000     0.00000     0.01136    1.518416274    0.909400551   -0.609015723
     1     475     0.00000     0.00000     0.02272    1.516583052    0.906656343   -0.609926709
     1     475     0.00000     0.00000     0.03408    1.513845220    0.902328038   -0.611517182
     1     475     0.00000     0.00000     0.04543    1.511081018    0.878173112   -0.632907905
     1     475     0.00000     0.00000     0.05679    1.515759253    0.879487133   -0.636272120
     1     475     0.00000     0.00000     0.06815    1.520793827    0.891793045   -0.629000782
     1     475    -0.03811    -0.01559     0.06815    1.524174909    0.898171615   -0.626003294
     1     475    -0.07623    -0.03117     0.06815    1.533320227    0.896662177   -0.636658050
     1     475    -0.11434    -0.04676     0.06815    1.534206320    0.901620171   -0.632586149
     1     475    -0.15246    -0.06234     0.06815    1.535315438    0.907469888   -0.627845549
     1     475    -0.19057    -0.07793     0.06815    1.538279690    0.915464425   -0.622815265
     1     475    -0.22868    -0.09351     0.06815    1.539559412    0.923212055   -0.616347357
     1     475    -0.19057    -0.07793     0.05679    1.536162631    0.915089145   -0.621073487
     1     475    -0.15246    -0.06234     0.04543    1.528961963    0.902040023   -0.626921940
     1     475    -0.11434    -0.04676     0.03408    1.520735712    0.888547892   -0.632187820
     1     475    -0.07623    -0.03117     0.02272    1.517994363    0.892166969   -0.625827394
     1     475    -0.03811    -0.01559     0.01136    1.514751101    0.904008062   -0.610743038
     1     475     0.00000     0.00000     0.00000    1.519059318    0.910339318   -0.608720000
     1     475     0.00000    -0.01559     0.01136    1.517843269    0.907998891   -0.609844377
     1     475     0.00000    -0.03117     0.02272    1.514650037    0.901359391   -0.613290646
     1     475     0.00000    -0.04676     0.03408    1.510906708    0.892452405   -0.618454303
     1     475     0.00000    -0.06234     0.04543    1.509243122    0.872809721   -0.636433401
     1     475     0.00000    -0.07793     0.05679    1.509852667    0.874404063   -0.635448604
     1     475     0.00000    -0.09351     0.06815    1.508852016    0.879043912   -0.629808104
     1     475    -0.03811    -0.07793     0.06815    1.515505209    0.880952102   -0.634553108
     1     475    -0.07623    -0.06234     0.06815    1.527734686    0.887748247   -0.639986439
