# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     247     0.00000     0.00000     0.00000   -0.123590080   -1.076725080   -0.953135000
     1     247     0.00000     0.00000    -0.02106   -0.121089217   -1.075704473   -0.954615257
     1     247     0.00000     0.00000    -0.04211   -0.114524976   -1.073277427   -0.958752452
     1     247     0.00000     0.00000    -0.06317   -0.104700351   -1.066327475   -0.961627124
     1     247     0.00000     0.00000    -0.08422   -0.092855681   -1.052779622   -0.959923941
     1     247     0.00000     0.00000    -0.10528   -0.088756226   -1.045169226   -0.956413000
     1     247     0.00000     0.15215     0.00000   -0.078788100   -1.027593100   -0.948805000
     1     247     0.00000     0.12172     0.00000   -0.094545829   -1.049302924   -0.954757095
     1     247     0.00000     0.09129     0.00000   -0.105610350   -1.067106009   -0.961495659
     1     247     0.00000     0.06086     0.00000   -0.117369180   -1.078582298   -0.961213119
     1     247     0.00000     0.03043     0.00000   -0.123047288   -1.078007981   -0.954960692
     1     247     0.00000     0.00000     0.00000   -0.123590080   -1.076725080   -0.953135000
     1     247     0.01948     0.00411     0.00000   -0.123926707   -1.076882204   -0.952955497
     1     247     0.03897     0.00822     0.00000   -0.124837158   -1.078751992   -0.953914834
     1     247     0.05845     0.01233     0.00000   -0.126028520   -1.082810901   -0.956782381
     1     247     0.07794     0.01644     0.00000   -0.127218777   -1.085790885   -0.958572108
     1     247     0.09742     0.02055     0.00000   -0.122831197   -1.112147784   -0.989316587
     1     247     0.11691     0.02465     0.00000   -0.107530388   -1.096424004   -0.988893616
     1     247     0.13639     0.02876     0.00000   -0.094497761   -1.086596720   -0.992098959
     1     247     0.15588     0.03287     0.00000   -0.088568256   -1.083519256   -0.994951000
     1     247     0.15588    -0.11928     0.10528   -0.040667062   -1.011914062   -0.971247000
     1     247     0.13639    -0.10437     0.09212   -0.044514348   -1.015233470   -0.970719122
     1     247     0.11691    -0.08946     0.07896   -0.055121658   -1.025877621   -0.970755964
     1     247     0.09742    -0.07455     0.06580   -0.068946395   -1.042635315   -0.973688919
     1     247     0.07794    -0.05964     0.05264   -0.081103896   -1.051491600   -0.970387704
     1     247     0.05845    -0.04473     0.03948   -0.091420981   -1.051909816   -0.960488835
     1     247     0.03897    -0.02982     0.02632   -0.106407116   -1.065172140   -0.958765023
     1     247     0.01948    -0.01491     0.01316   -0.118869957   -1.074165009   -0.955295052
     1     247     0.00000     0.00000     0.00000   -0.123590080   -1.076725080   -0.953135000
     1     247     0.01948    -0.01491     0.00000   -0.119727913   -1.074604618   -0.954876705
     1     247     0.03897    -0.02982     0.00000   -0.108699985   -1.066210985   -0.957510999
     1     247     0.05845    -0.04473     0.00000   -0.092960292   -1.048027012   -0.955066720
     1     247     0.07794    -0.05964     0.00000   -0.084641108   -1.043654697   -0.959013589
