# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     175     0.00000     0.00000     0.00000   -0.801926763   -2.198687763   -1.396761000
     1     175     0.00000     0.03100     0.00000   -0.782006360   -2.167866221   -1.385859861
     1     175     0.00000     0.06200     0.00000   -0.766099811   -2.244064229   -1.477964418
     1     175     0.00000     0.09300     0.00000   -0.762967661   -2.252228163   -1.489260502
     1     175     0.00000     0.12400     0.00000   -0.762011245   -2.249296386   -1.487285141
     1     175     0.00000     0.15500     0.00000   -0.757192142   -2.244230668   -1.487038525
     1     175     0.00000     0.18599     0.00000   -0.748858496   -2.236630748   -1.487772252
     1     175     0.00000     0.21699     0.00000   -0.742565652   -2.232636893   -1.490071241
     1     175     0.00000     0.24799     0.00000   -0.737471147   -2.230533433   -1.493062286
     1     175     0.00000     0.27899     0.00000   -0.732568095   -2.225080812   -1.492512717
     1     175     0.00000     0.30999     0.00000   -0.726946009   -2.215223797   -1.488277789
     1     175     0.00000     0.34099     0.00000   -0.719565701   -2.205960701   -1.486395000
     1     175     0.00000     0.34099     0.01347   -0.719466777   -2.205720189   -1.486253412
     1     175     0.00000     0.34099     0.02694   -0.719165825   -2.204778636   -1.485612811
     1     175     0.00000     0.34099     0.04042   -0.718505149   -2.203654411   -1.485149262
     1     175     0.00000     0.34099     0.05389   -0.717533228   -2.203144143   -1.485610915
     1     175     0.00000     0.34099     0.06736   -0.716545011   -2.203528066   -1.486983056
     1     175     0.00000     0.34099     0.08083   -0.715746936   -2.204043184   -1.488296248
     1     175     0.00000     0.34099     0.09431   -0.715439554   -2.204085554   -1.488646000
     1     175     0.00000     0.30999     0.09431   -0.722633534   -2.212682205   -1.490048671
     1     175     0.00000     0.27899     0.09431   -0.728475131   -2.222700870   -1.494225739
     1     175     0.00000     0.24799     0.09431   -0.732761833   -2.227526077   -1.494764244
     1     175     0.00000     0.21699     0.09431   -0.736454226   -2.230027222   -1.493572996
     1     175     0.00000     0.18599     0.09431   -0.741116122   -2.237949127   -1.496833005
     1     175     0.00000     0.15500     0.09431   -0.747261413   -2.244027047   -1.496765634
     1     175     0.00000     0.12400     0.09431   -0.752944785   -2.247525078   -1.494580292
     1     175     0.00000     0.09300     0.09431   -0.756763814   -2.255160817   -1.498397003
     1     175     0.00000     0.06200     0.09431   -0.759413726   -2.256543464   -1.497129738
     1     175     0.00000     0.03100     0.09431   -0.796745625   -2.169591928   -1.372846303
     1     175     0.00000     0.00000     0.09431   -0.811040002   -2.250546002   -1.439506000
     1     175     0.00000     0.00000     0.08083   -0.811695864   -2.249563545   -1.437867680
     1     175     0.00000     0.00000     0.06736   -0.812894321   -2.225686388   -1.412792067
     1     175     0.00000     0.00000     0.05389   -0.812406010   -2.181808785   -1.369402775
     1     175     0.00000     0.00000     0.04042   -0.810387014   -2.172530803   -1.362143789
     1     175     0.00000     0.00000     0.02694   -0.807769194   -2.177780804   -1.370011610
     1     175     0.00000     0.00000     0.01347   -0.804219517   -2.198604121   -1.394384604
     1     175     0.00000     0.00000     0.00000   -0.801926763   -2.198687763   -1.396761000
     1     175    -0.01520     0.04871     0.00952   -0.771304003   -2.216567674   -1.445263672
     1     175    -0.03039     0.09743     0.01904   -0.764270508   -2.240411042   -1.476140534
     1     175    -0.04559     0.14614     0.02856   -0.756210061   -2.240060245   -1.483850185
     1     175    -0.06079     0.19485     0.03808   -0.741075326   -2.231468164   -1.490392837
     1     175    -0.07598     0.24356     0.04760   -0.726661418   -2.222292345   -1.495630926
     1     175    -0.09118     0.29228     0.05712   -0.710601897   -2.207633740   -1.497031843
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.10638     0.34099     0.06664   -0.698291843   -2.194509843   -1.496218000
     1     175    -0.09118     0.34099     0.05712   -0.699428212   -2.194650845   -1.495222633
     1     175    -0.07598     0.34099     0.04760   -0.702438586   -2.193888129   -1.491449543
     1     175    -0.06079     0.34099     0.03808   -0.706801642   -2.194206831   -1.487405189
     1     175    -0.04559     0.34099     0.02856   -0.711574519   -2.197314695   -1.485740177
     1     175    -0.03039     0.34099     0.01904   -0.715802351   -2.201769267   -1.485966916
     1     175    -0.01520     0.34099     0.00952   -0.718589765   -2.204974557   -1.486384793
     1     175     0.00000     0.34099     0.00000   -0.719565701   -2.205960701   -1.486395000
     1     175    -0.01520     0.34099    -0.00395   -0.718760012   -2.205171998   -1.486411986
     1     175    -0.03039     0.34099    -0.00790   -0.716366225   -2.202611315   -1.486245089
     1     175    -0.04559     0.34099    -0.01186   -0.712756039   -2.198962341   -1.486206302
     1     175    -0.06079     0.34099    -0.01581   -0.708685710   -2.196327290   -1.487641580
     1     175    -0.07598     0.34099    -0.01976   -0.704978165   -2.196118710   -1.491140545
     1     175    -0.09118     0.34099    -0.02371   -0.702481401   -2.196994978   -1.494513577
     1     175    -0.10638     0.34099    -0.02767   -0.701565975   -2.197018975   -1.495453000
     1     175    -0.10638     0.30999    -0.02767   -0.708061347   -2.201613745   -1.493552398
     1     175    -0.10638     0.27899    -0.02767   -0.716523771   -2.206698624   -1.490174854
     1     175    -0.10638     0.24799    -0.02767   -0.726576661   -2.216506564   -1.489929903
     1     175    -0.10638     0.21699    -0.02767   -0.737976558   -2.227252980   -1.489276422
     1     175    -0.10638     0.18599    -0.02767   -0.749967686   -2.239707925   -1.489740239
     1     175    -0.10638     0.15500    -0.02767   -0.760441966   -2.249963391   -1.489521426
