# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     187     0.00000     0.00000     0.00000   -0.492629540   -1.784582540   -1.291953000
     1     187     0.00000     0.00000     0.01515   -0.493017928   -1.784811457   -1.291793528
     1     187     0.00000     0.00000     0.03030   -0.494042198   -1.785388365   -1.291346167
     1     187     0.00000     0.00000     0.04544   -0.495547264   -1.786232025   -1.290684761
     1     187     0.00000     0.00000     0.06059   -0.495712107   -1.774572051   -1.278859944
     1     187     0.00000     0.00000     0.07574   -0.489090841   -1.766963054   -1.277872214
     1     187     0.00000    -0.12388     0.00000   -0.496775251   -1.781891251   -1.285116000
     1     187     0.00000    -0.09910     0.00000   -0.500629405   -1.785509890   -1.284880484
     1     187     0.00000    -0.07433     0.00000   -0.500670607   -1.784996059   -1.284325452
     1     187     0.00000    -0.04955     0.00000   -0.497760434   -1.783852369   -1.286091935
     1     187     0.00000    -0.02478     0.00000   -0.494221276   -1.784568893   -1.290347617
     1     187     0.00000     0.00000     0.00000   -0.492629540   -1.784582540   -1.291953000
     1     187     0.04447     0.00000     0.00066   -0.492198287   -1.779572581   -1.287374294
     1     187     0.08894     0.00000     0.00133   -0.491796650   -1.775066650   -1.283270000
     1     187     0.13342     0.00000     0.00199   -0.497168110   -1.773362154   -1.276194043
     1     187     0.17789     0.00000     0.00266   -0.506447553   -1.780702553   -1.274255000
     1     187     0.22236     0.00000     0.00332   -0.504287041   -1.775304999   -1.271017958
     1     187     0.26683     0.00000     0.00398   -0.506650015   -1.776297015   -1.269647000
     1     187     0.31130     0.00000     0.00465   -0.514465239   -1.787411473   -1.272946234
     1     187     0.35577     0.00000     0.00531   -0.520287822   -1.806057822   -1.285770000
     1     187     0.35577     0.12388    -0.07043   -0.456466718   -1.623944226   -1.167477508
     1     187     0.31130     0.10839    -0.06162   -0.462457118   -1.662543877   -1.200086759
     1     187     0.26683     0.09291    -0.05282   -0.475088666   -1.704104294   -1.229015628
     1     187     0.22236     0.07742    -0.04402   -0.485724300   -1.735426624   -1.249702324
     1     187     0.17789     0.06194    -0.03521   -0.493792991   -1.763932378   -1.270139388
     1     187     0.13342     0.04645    -0.02641   -0.496455332   -1.776224597   -1.279769265
     1     187     0.08894     0.03097    -0.01761   -0.495878589   -1.777959063   -1.282080474
     1     187     0.04447     0.01548    -0.00880   -0.493736229   -1.782068966   -1.288332737
     1     187     0.00000     0.00000     0.00000   -0.492629540   -1.784582540   -1.291953000
     1     187     0.04447     0.01548     0.00066   -0.492818570   -1.781132136   -1.288313566
     1     187     0.08894     0.03097     0.00133   -0.492670102   -1.774876276   -1.282206174
     1     187     0.13342     0.04645     0.00199   -0.491924504   -1.772441059   -1.280516555
     1     187     0.17789     0.06194     0.00266   -0.494461308   -1.767523678   -1.273062370
     1     187     0.22236     0.07742     0.00332   -0.497058126   -1.741962453   -1.244904327
     1     187     0.26683     0.09291     0.00398   -0.477487872   -1.721094340   -1.243606468
     1     187     0.31130     0.10839     0.00465   -0.445528451   -1.649445275   -1.203916823
     1     187     0.35577     0.12388     0.00531   -0.430978971   -1.627919971   -1.196941000
     1     187     0.35577     0.00000    -0.07043   -0.497033851   -1.716313921   -1.219280070
     1     187     0.31130     0.00000    -0.06162   -0.507837567   -1.764477914   -1.256640347
     1     187     0.26683     0.00000    -0.05282   -0.505810327   -1.766533977   -1.260723649
     1     187     0.22236     0.00000    -0.04402   -0.498678676   -1.766987981   -1.268309305
     1     187     0.17789     0.00000    -0.03521   -0.495953287   -1.768268035   -1.272314747
     1     187     0.13342     0.00000    -0.02641   -0.496087803   -1.775137921   -1.279050118
     1     187     0.08894     0.00000    -0.01761   -0.494418159   -1.777501139   -1.283082980
     1     187     0.04447     0.00000    -0.00880   -0.493140158   -1.781149492   -1.288009335
     1     187     0.00000     0.00000     0.00000   -0.492629540   -1.784582540   -1.291953000
     1     187     0.00000     0.01548     0.00947   -0.493441006   -1.784779208   -1.291338202
     1     187     0.00000     0.03097     0.01894   -0.495493841   -1.785148430   -1.289654590
     1     187     0.00000     0.04645     0.02840   -0.498369455   -1.785526620   -1.287157165
     1     187     0.00000     0.06194     0.03787   -0.501323463   -1.785894791   -1.284571328
     1     187     0.00000     0.07742     0.04734   -0.503868129   -1.787217620   -1.283349491
     1     187     0.00000     0.09291     0.05681   -0.505752585   -1.789913075   -1.284160490
     1     187     0.00000     0.10839     0.06627   -0.506835968   -1.792025767   -1.285189798
     1     187     0.00000     0.12388     0.07574   -0.507233005   -1.792968231   -1.285735225
     1     188     0.00000     0.00000     0.00000   -0.469593920   -1.745182920   -1.275589000
     1     188     0.00000     0.00000     0.01515   -0.470505729   -1.746054488   -1.275548759
     1     188     0.00000     0.00000     0.03030   -0.473076395   -1.748571360   -1.275494965
     1     188     0.00000     0.00000     0.04544   -0.477261674   -1.752869580   -1.275607906
     1     188     0.00000     0.00000     0.06059   -0.482668295   -1.758797438   -1.276129144
     1     188     0.00000     0.00000     0.07574   -0.488910558   -1.766758700   -1.277848142
     1     188     0.00000    -0.12388     0.00000   -0.496720289   -1.781833289   -1.285113000
     1     188     0.00000    -0.09910     0.00000   -0.490017945   -1.774386833   -1.284368888
     1     188     0.00000    -0.07433     0.00000   -0.482232910   -1.760822830   -1.278589920
     1     188     0.00000    -0.04955     0.00000   -0.475537742   -1.749427686   -1.273889944
     1     188     0.00000    -0.02478     0.00000   -0.471147505   -1.745375498   -1.274227992
     1     188     0.00000     0.00000     0.00000   -0.469593920   -1.745182920   -1.275589000
     1     188     0.04447     0.00000     0.00066   -0.471278611   -1.749290582   -1.278011971
     1     188     0.08894     0.00000     0.00133   -0.475318419   -1.758334419   -1.283016000
     1     188     0.13342     0.00000     0.00199   -0.476093135   -1.754090613   -1.277997478
     1     188     0.17789     0.00000     0.00266   -0.469441607   -1.743714607   -1.274273000
     1     188     0.22236     0.00000     0.00332   -0.459674742   -1.723079276   -1.263404534
     1     188     0.26683     0.00000     0.00398   -0.456277890   -1.722136890   -1.265859000
     1     188     0.31130     0.00000     0.00465   -0.478797850   -1.696817914   -1.218020064
     1     188     0.35577     0.00000     0.00531   -0.496337189   -1.712411189   -1.216074000
     1     188     0.35577     0.12388    -0.07043   -0.456449241   -1.623964130   -1.167514889
     1     188     0.31130     0.10839    -0.06162   -0.457444469   -1.657881337   -1.200436868
     1     188     0.26683     0.09291    -0.05282   -0.464196587   -1.695859503   -1.231662916
     1     188     0.22236     0.07742    -0.04402   -0.470105560   -1.720227663   -1.250122103
     1     188     0.17789     0.06194    -0.03521   -0.474868863   -1.745361579   -1.270492715
     1     188     0.13342     0.04645    -0.02641   -0.477357429   -1.759591624   -1.282234195
     1     188     0.08894     0.03097    -0.01761   -0.475062325   -1.757510830   -1.282448505
     1     188     0.04447     0.01548    -0.00880   -0.471046736   -1.747402995   -1.276356259
     1     188     0.00000     0.00000     0.00000   -0.469593920   -1.745182920   -1.275589000
     1     188     0.04447     0.01548     0.00066   -0.471883904   -1.748298506   -1.276414602
     1     188     0.08894     0.03097     0.00133   -0.477022380   -1.759622748   -1.282600367
     1     188     0.13342     0.04645     0.00199   -0.479434290   -1.759607445   -1.280173155
     1     188     0.17789     0.06194     0.00266   -0.472541672   -1.747708518   -1.275166846
     1     188     0.22236     0.07742     0.00332   -0.458619385   -1.705726126   -1.247106741
     1     188     0.26683     0.09291     0.00398   -0.444082407   -1.687847188   -1.243764781
     1     188     0.31130     0.10839     0.00465   -0.435020536   -1.636448519   -1.201427983
     1     188     0.35577     0.12388     0.00531   -0.430966748   -1.627907748   -1.196941000
     1     188     0.35577     0.00000    -0.07043   -0.496967610   -1.715999558   -1.219031948
     1     188     0.31130     0.00000    -0.06162   -0.484314028   -1.707770500   -1.223456472
     1     188     0.26683     0.00000    -0.05282   -0.481310304   -1.718106296   -1.236795993
     1     188     0.22236     0.00000    -0.04402   -0.486459237   -1.745365582   -1.258906345
