# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     359     0.00000     0.00000     0.00000    0.442125861   -0.445381139   -0.887507000
     1     359     0.00861     0.00235     0.00063    0.442017585   -0.445459014   -0.887476599
     1     359     0.01723     0.00470     0.00126    0.441711574   -0.445707583   -0.887419157
     1     359     0.02584     0.00705     0.00189    0.441223373   -0.446396743   -0.887620116
     1     359     0.03446     0.00940     0.00252    0.440566310   -0.448024094   -0.888590403
     1     359     0.04307     0.01175     0.00314    0.439785941   -0.450807684   -0.890593625
     1     359     0.01243     0.09590     0.00832    0.427569984   -0.464555646   -0.892125629
     1     359     0.01105     0.08525     0.00739    0.431169920   -0.456487446   -0.887657366
     1     359     0.00966     0.07459     0.00647    0.434572205   -0.449500370   -0.884072574
     1     359     0.00828     0.06393     0.00554    0.436693741   -0.444865207   -0.881558949
     1     359     0.00690     0.05328     0.00462    0.437500959   -0.443569192   -0.881070151
     1     359     0.00552     0.04262     0.00370    0.438335938   -0.444031188   -0.882367125
     1     359     0.00414     0.03197     0.00277    0.439503338   -0.444959185   -0.884462523
     1     359     0.00276     0.02131     0.00185    0.440769655   -0.445456107   -0.886225762
     1     359     0.00138     0.01066     0.00092    0.441756012   -0.445436348   -0.887192360
     1     359     0.00000     0.00000     0.00000    0.442125861   -0.445381139   -0.887507000
     1     359     0.00173     0.00432     0.00435    0.442202574   -0.445306034   -0.887508608
     1     359     0.00345     0.00864     0.00870    0.442442931   -0.445039012   -0.887481943
     1     359     0.00518     0.01296     0.01305    0.442779398   -0.444561002   -0.887340401
     1     359     0.00691     0.01728     0.01740    0.443112472   -0.443855795   -0.886968266
     1     359     0.00863     0.02160     0.02175    0.443256905   -0.442977695   -0.886234600
     1     359     0.01036     0.02592     0.02610    0.443026761   -0.442073471   -0.885100232
     1     359     0.01209     0.03023     0.03045    0.442297765   -0.441316650   -0.883614415
     1     359     0.01381     0.03455     0.03480    0.441142071   -0.440687352   -0.881829423
