# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     321     0.00000     0.00000     0.00000   -0.114135455   -1.213334001   -1.099198546
     1     321     0.00000     0.00000    -0.00650   -0.113853015   -1.213745495   -1.099892479
     1     321     0.00000     0.00000    -0.01299   -0.113024836   -1.214826332   -1.101801496
     1     321     0.00000     0.00000    -0.01949   -0.111764545   -1.216261255   -1.104496710
     1     321     0.00000     0.00000    -0.02599   -0.110151870   -1.217625434   -1.107473564
     1     321     0.00000     0.00000    -0.03249   -0.108323605   -1.218663854   -1.110340249
     1     321     0.00000     0.00000    -0.03898   -0.106349867   -1.219178665   -1.112828798
     1     321     0.00000     0.00000    -0.04548   -0.104335244   -1.219180546   -1.114845302
     1     321     0.00000     0.00000    -0.05198   -0.102325649   -1.218722436   -1.116396787
     1     321     0.00000     0.00000    -0.05848   -0.100392889   -1.217765180   -1.117372291
     1     321     0.00000     0.00000    -0.06497   -0.098607855   -1.183329257   -1.084721402
     1     321     0.00000     0.00000    -0.06497   -0.098607855   -1.183329257   -1.084721402
     1     321     0.00618     0.00000    -0.06497   -0.098275088   -1.209247806   -1.110972719
     1     321     0.01236     0.00000    -0.06497   -0.097235114   -1.211230885   -1.113995771
     1     321     0.01855     0.00000    -0.06497   -0.095531261   -1.209204882   -1.113673621
     1     321     0.02473     0.00000    -0.06497   -0.093252546   -1.202911695   -1.109659150
     1     321     0.03091     0.00000    -0.06497   -0.090585112   -1.173348922   -1.082763809
     1     321     0.03709     0.00000    -0.06497   -0.087628437   -1.163905549   -1.076277111
     1     321     0.04328     0.00000    -0.06497   -0.084513401   -1.189519839   -1.105006438
     1     321     0.04946     0.00000    -0.06497   -0.081498029   -1.193670600   -1.112172571
     1     321     0.05564     0.00000    -0.06497   -0.078953507   -1.188860945   -1.109907437
     1     321     0.06182     0.00000    -0.06497   -0.076983842   -1.181901464   -1.104917622
     1     321     0.06182     0.00000    -0.06497   -0.076983842   -1.181901464   -1.104917622
     1     321     0.06240     0.00000    -0.06430   -0.076795014   -1.181085519   -1.104290504
     1     321     0.06298     0.00000    -0.06363   -0.076618047   -1.180238296   -1.103620249
     1     321     0.06356     0.00000    -0.06295   -0.076463598   -1.179380851   -1.102917253
     1     321     0.06415     0.00000    -0.06228   -0.076351466   -1.178541808   -1.102190343
     1     321     0.06473     0.00000    -0.06160   -0.076238622   -1.177663821   -1.101425200
     1     321     0.06531     0.00000    -0.06093   -0.076156942   -1.176768074   -1.100611133
     1     321     0.06589     0.00000    -0.06026   -0.076083402   -1.175837029   -1.099753627
     1     321     0.06647     0.00000    -0.05958   -0.076028012   -1.174898758   -1.098870746
     1     321     0.06705     0.00000    -0.05891   -0.075993237   -1.173955242   -1.097962005
     1     321     0.06763     0.00000    -0.05823   -0.075981146   -1.154791473   -1.078810327
     1     321     0.06763     0.00000    -0.05823   -0.075981146   -1.154791473   -1.078810327
     1     321     0.06763     0.04466    -0.05823   -0.083817540   -1.175923016   -1.092105476
     1     321     0.06763     0.08933    -0.05823   -0.119066179   -1.195536650   -1.076470472
     1     321     0.06763     0.13399    -0.05823   -0.161613220   -1.322318945   -1.160705726
     1     321     0.06763     0.17865    -0.05823   -0.220305404   -1.381252085   -1.160946682
     1     321     0.06763     0.22332    -0.05823   -0.253400687   -1.471550763   -1.218150076
     1     321     0.06763     0.26798    -0.05823   -0.273947148   -1.453503789   -1.179556642
