# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     587     0.00000     0.00000     0.00000    1.147692188    0.669350188   -0.478342000
     1     587     0.01391     0.00000     0.00000    1.147405308    0.669701280   -0.477704028
     1     587     0.02781     0.00000     0.00000    1.146525655    0.669195766   -0.477329889
     1     587     0.04172     0.00000     0.00000    1.144894154    0.666064689   -0.478829465
     1     587     0.05562     0.00000     0.00000    1.142101007    0.654342145   -0.487758861
     1     587     0.06953     0.00000     0.00000    1.135344971    0.650740198   -0.484604774
     1     587     0.08344     0.00000     0.00000    1.136990879    0.653147879   -0.483843000
     1     587     0.06953     0.01046     0.00000    1.135272410    0.646299108   -0.488973302
     1     587     0.05562     0.02092     0.00000    1.142357271    0.652846134   -0.489511136
     1     587     0.04172     0.03138     0.00000    1.146945096    0.664441708   -0.482503389
     1     587     0.02781     0.04185     0.00000    1.151466883    0.670684965   -0.480781918
     1     587     0.01391     0.05231     0.00000    1.154995346    0.674760299   -0.480235047
     1     587     0.00000     0.06277     0.00000    1.156402316    0.675569076   -0.480833239
     1     587     0.00000     0.05231     0.00000    1.155992012    0.675580548   -0.480411463
     1     587     0.00000     0.04185     0.00000    1.155040794    0.674330409   -0.480710385
     1     587     0.00000     0.03138     0.00000    1.153515478    0.672603229   -0.480912249
     1     587     0.00000     0.02092     0.00000    1.151456568    0.670682500   -0.480774068
     1     587     0.00000     0.01046     0.00000    1.149097398    0.669266459   -0.479830939
     1     587     0.00000     0.00000     0.00000    1.147692188    0.669350188   -0.478342000
     1     587     0.00000     0.00000     0.03742    1.149965615    0.670264161   -0.479701454
     1     587     0.00000     0.00000     0.07485    1.154083078    0.680124725   -0.473958353
     1     587     0.00000     0.00000     0.11227    1.155159417    0.685085417   -0.470074000
     1     587     0.00000     0.00000     0.14970    1.151877931    0.677758770   -0.474119162
     1     587     0.00000     0.00000     0.18712    1.145845152    0.658287393   -0.487557759
     1     587     0.00000     0.00000     0.22455    1.142587925    0.654582925   -0.488005000
     1     587    -0.01391    -0.01046     0.22455    1.142772463    0.656807528   -0.485964935
     1     587    -0.02781    -0.02092     0.22455    1.142192502    0.660141954   -0.482050549
     1     587    -0.04172    -0.03138     0.22455    1.140429953    0.660813511   -0.479616442
     1     587    -0.05562    -0.04185     0.22455    1.138245791    0.659039992   -0.479205799
     1     587    -0.06953    -0.05231     0.22455    1.136518174    0.657527702   -0.478990473
     1     587    -0.08344    -0.06277     0.22455    1.135984514    0.655709025   -0.480275490
     1     587    -0.06953    -0.05231     0.18712    1.140193953    0.657817020   -0.482376933
     1     587    -0.05562    -0.04185     0.14970    1.145491676    0.667316636   -0.478175040
     1     587    -0.04172    -0.03138     0.11227    1.150140981    0.675149588   -0.474991393
     1     587    -0.02781    -0.02092     0.07485    1.152467129    0.672335596   -0.480131533
     1     587    -0.01391    -0.01046     0.03742    1.150204658    0.670009771   -0.480194887
     1     587     0.00000     0.00000     0.00000    1.147692188    0.669350188   -0.478342000
     1     587     0.00000    -0.01046     0.03742    1.150773719    0.670271240   -0.480502479
     1     587     0.00000    -0.02092     0.07485    1.156278591    0.680912312   -0.475366280
     1     587     0.00000    -0.03138     0.11227    1.159763192    0.689060334   -0.470702858
     1     587     0.00000    -0.04185     0.14970    1.160047584    0.684531477   -0.475516107
     1     587     0.00000    -0.05231     0.18712    1.151862959    0.668063600   -0.483799359
     1     587     0.00000    -0.06277     0.22455    1.135370044    0.652819698   -0.482550346
     1     587    -0.01391    -0.05231     0.22455    1.136319041    0.656341310   -0.479977732
     1     587    -0.02781    -0.04185     0.22455    1.137904602    0.657654389   -0.480250214
     1     587    -0.04172    -0.03138     0.22455    1.140429953    0.660813511   -0.479616442
     1     587    -0.05562    -0.02092     0.22455    1.142102852    0.662613416   -0.479489436
     1     587    -0.06953    -0.01046     0.22455    1.140085105    0.659962939   -0.480122166
     1     587    -0.08344     0.00000     0.22455    1.135354389    0.655284389   -0.480070000
     1     587    -0.06953     0.00000     0.18712    1.137040983    0.654517527   -0.482523456
     1     587    -0.05562     0.00000     0.14970    1.141249898    0.661537497   -0.479712401
     1     587    -0.04172     0.00000     0.11227    1.146952338    0.673871757   -0.473080581
     1     587    -0.02781     0.00000     0.07485    1.150802195    0.673467520   -0.477334675
     1     587    -0.01391     0.00000     0.03742    1.149490145    0.669803953   -0.479686192
     1     587     0.00000     0.00000     0.00000    1.147692188    0.669350188   -0.478342000
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
     1     587     0.08344    -0.06277     0.00000    1.133223276    0.647607656   -0.485615620
