# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      99     0.00000     0.00000     0.00000   -1.218474790   -2.699161790   -1.480687000
     1      99     0.07212     0.00000     0.00000   -1.273852778   -2.897632702   -1.623779923
     1      99     0.14423     0.00000     0.00000   -1.339507361   -2.925966261   -1.586458900
     1      99     0.21635     0.00000     0.00000   -1.383508065   -3.039397065   -1.655889000
     1      99     0.28846     0.00000     0.00000   -1.399149431   -3.068906466   -1.669757034
     1      99     0.36058     0.00000     0.00000   -1.407996529   -3.148882841   -1.740886311
     1      99     0.43270     0.00000     0.00000   -1.408429537   -3.156749537   -1.748320000
     1      99     0.36058     0.02592     0.00000   -1.404904288   -3.143342189   -1.738437901
     1      99     0.28846     0.05184     0.00000   -1.396932117   -3.114811866   -1.717879748
     1      99     0.21635     0.07776     0.00000   -1.385942588   -3.068402519   -1.682459930
     1      99     0.14423     0.10368     0.00000   -1.357498995   -2.916925966   -1.559426971
     1      99     0.07212     0.12960     0.00000   -1.266669569   -2.762311595   -1.495642026
     1      99     0.00000     0.15552     0.00000   -1.192613576   -2.573428576   -1.380815000
     1      99     0.00000     0.12960     0.00000   -1.201145136   -2.585888791   -1.384743654
     1      99     0.00000     0.10368     0.00000   -1.211894078   -2.633636183   -1.421742105
     1      99     0.00000     0.07776     0.00000   -1.221496885   -2.698392228   -1.476895343
     1      99     0.00000     0.05184     0.00000   -1.224897915   -2.727596308   -1.502698393
     1      99     0.00000     0.02592     0.00000   -1.221410236   -2.710688480   -1.489278245
     1      99     0.00000     0.00000     0.00000   -1.218474790   -2.699161790   -1.480687000
     1      99     0.00000     0.00000     0.01406   -1.223625650   -2.708508351   -1.484882701
     1      99     0.00000     0.00000     0.02812   -1.237518961   -2.744007156   -1.506488196
     1      99     0.00000     0.00000     0.04218   -1.238911307   -2.783701970   -1.544790663
     1      99     0.00000     0.00000     0.05624   -1.213928811   -2.717377527   -1.503448717
     1      99     0.00000     0.00000     0.07030   -1.194777842   -2.671068082   -1.476290240
     1      99     0.00000     0.00000     0.08436   -1.182583684   -2.655474684   -1.472891000
     1      99    -0.07212    -0.02592     0.08436   -1.229722308   -2.863310785   -1.633588477
     1      99    -0.14423    -0.05184     0.08436   -1.297216041   -2.948216920   -1.651000879
     1      99    -0.21635    -0.07776     0.08436   -1.348838491   -3.037179865   -1.688341374
     1      99    -0.28846    -0.10368     0.08436   -1.388882370   -3.074523297   -1.685640927
     1      99    -0.36058    -0.12960     0.08436   -1.409508184   -3.108521756   -1.699013572
     1      99    -0.43270    -0.15552     0.08436   -1.410773148   -3.154112148   -1.743339000
     1      99    -0.36058    -0.12960     0.07030   -1.407465943   -3.113220677   -1.705754733
     1      99    -0.28846    -0.10368     0.05624   -1.387962711   -3.073500479   -1.685537768
     1      99    -0.21635    -0.07776     0.04218   -1.359970344   -3.027051234   -1.667080890
