# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     211     0.00000     0.00000     0.00000   -0.247378206   -1.459997206   -1.212619000
     1     211     0.00000     0.03742     0.00000   -0.247057076   -1.460454995   -1.213397919
     1     211     0.00000     0.07484     0.00000   -0.247544274   -1.471126876   -1.223582601
     1     211     0.00000     0.11227     0.00000   -0.263761875   -1.507048875   -1.243287000
     1     211     0.00000     0.14969     0.00000   -0.277910764   -1.517983379   -1.240072616
     1     211     0.00000     0.18711     0.00000   -0.285271299   -1.521974840   -1.236703542
     1     211     0.00000     0.22453     0.00000   -0.285498524   -1.522120524   -1.236622000
     1     211     0.00000     0.00000    -0.13741   -0.200059739   -1.413490739   -1.213431000
     1     211     0.00000     0.00000    -0.11451   -0.218482211   -1.432376767   -1.213894556
     1     211     0.00000     0.00000    -0.09160   -0.234966928   -1.450317748   -1.215350820
     1     211     0.00000     0.00000    -0.06870   -0.238917273   -1.451471651   -1.212554377
     1     211     0.00000     0.00000    -0.04580   -0.241802067   -1.457343069   -1.215541002
     1     211     0.00000     0.00000    -0.02290   -0.245355737   -1.460399545   -1.215043807
     1     211     0.00000     0.00000     0.00000   -0.247378206   -1.459997206   -1.212619000
     1     211     0.01579     0.00000     0.00208   -0.238454816   -1.454946347   -1.216491530
     1     211     0.03159     0.00000     0.00416   -0.226384753   -1.442324729   -1.215939975
     1     211     0.04739     0.00000     0.00624   -0.215206248   -1.426749923   -1.211543675
     1     211     0.06318     0.00000     0.00832   -0.206361382   -1.411755759   -1.205394377
     1     211     0.07898     0.00000     0.01040   -0.200482098   -1.401940241   -1.201458143
     1     211     0.09477     0.00000     0.01249   -0.197530788   -1.398512788   -1.200982000
     1     211     0.09477    -0.22453     0.14989   -0.291123452   -1.557691452   -1.266568000
     1     211     0.07898    -0.18711     0.12491   -0.287117381   -1.551524287   -1.264406906
     1     211     0.06318    -0.14969     0.09993   -0.275587111   -1.517848111   -1.242261000
     1     211     0.04739    -0.11227     0.07495   -0.262517076   -1.493403586   -1.230886511
     1     211     0.03159    -0.07484     0.04996   -0.245959901   -1.464893863   -1.218933962
     1     211     0.01579    -0.03742     0.02498   -0.239069768   -1.455092086   -1.216022317
     1     211     0.00000     0.00000     0.00000   -0.247378206   -1.459997206   -1.212619000
     1     211     0.01579     0.00000     0.02498   -0.236043137   -1.453371974   -1.217328837
