# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      57     0.00000     0.00000     0.00000   -2.826215184   -4.523174184   -1.696959000
     1      57     0.00000     0.04991     0.00000   -2.866006825   -4.583759066   -1.717752241
     1      57     0.00000     0.09983     0.00000   -2.969236887   -4.757247838   -1.788010951
     1      57     0.00000     0.14974     0.00000   -3.090917937   -4.896277937   -1.805360000
     1      57     0.00000     0.19966     0.00000   -3.128620243   -4.942304407   -1.813684164
     1      57     0.00000     0.24957     0.00000   -3.152240496   -4.915706031   -1.763465535
     1      57     0.00000     0.29949     0.00000   -3.098086136   -4.768066136   -1.669980000
     1      57     0.00000     0.29949     0.03595   -3.085402838   -4.761901599   -1.676498761
     1      57     0.00000     0.29949     0.07190   -3.049654331   -4.715459060   -1.665804729
     1      57     0.00000     0.29949     0.10785   -2.998986627   -4.653754627   -1.654768000
     1      57     0.00000     0.29949     0.14379   -2.947186311   -4.603964731   -1.656778420
     1      57     0.00000     0.29949     0.17974   -2.908730667   -4.563565130   -1.654834464
     1      57     0.00000     0.29949     0.21569   -2.894426419   -4.547355419   -1.652929000
     1      57     0.00000     0.24957     0.21569   -2.905378790   -4.557641337   -1.652262547
     1      57     0.00000     0.19966     0.21569   -2.931992353   -4.575567762   -1.643575410
     1      57     0.00000     0.14974     0.21569   -2.959466364   -4.595692364   -1.636226000
     1      57     0.00000     0.09983     0.21569   -2.975168383   -4.621517628   -1.646349245
     1      57     0.00000     0.04991     0.21569   -2.978668692   -4.613826843   -1.635158151
     1      57     0.00000     0.00000     0.21569   -2.978391833   -4.597353833   -1.618962000
     1      57     0.00000     0.00000     0.17974   -2.980582916   -4.622441249   -1.641858333
     1      57     0.00000     0.00000     0.14379   -2.952517718   -4.630226227   -1.677708509
     1      57     0.00000     0.00000     0.10785   -2.909521247   -4.589728247   -1.680207000
     1      57     0.00000     0.00000     0.07190   -2.867314806   -4.552080384   -1.684765579
     1      57     0.00000     0.00000     0.03595   -2.837045354   -4.532046528   -1.695001175
     1      57     0.00000     0.00000     0.00000   -2.826215184   -4.523174184   -1.696959000
     1      57    -0.02045     0.00000     0.03459   -2.837843956   -4.535804258   -1.697960303
     1      57    -0.04090     0.00000     0.06918   -2.870061121   -4.559197565   -1.689136443
     1      57    -0.06135     0.00000     0.10378   -2.914867894   -4.597762939   -1.682895044
     1      57    -0.08180     0.00000     0.13837   -2.960189328   -4.634927633   -1.674738305
     1      57    -0.10225     0.00000     0.17296   -2.990571617   -4.625684981   -1.635113365
     1      57    -0.12270     0.00000     0.20755   -2.992837381   -4.620012381   -1.627175000
     1      57    -0.12270     0.04991     0.20755   -2.996584342   -4.639911352   -1.643327010
     1      57    -0.12270     0.09983     0.20755   -2.997615258   -4.652276623   -1.654661365
     1      57    -0.12270     0.14974     0.20755   -2.981049870   -4.626094870   -1.645045000
     1      57    -0.12270     0.19966     0.20755   -2.949800998   -4.600883485   -1.651082488
     1      57    -0.12270     0.24957     0.20755   -2.919873152   -4.577585770   -1.657712619
     1      57    -0.12270     0.29949     0.20755   -2.907640650   -4.565956650   -1.658316000
     1      57    -0.10225     0.29949     0.17296   -2.921755562   -4.582098244   -1.660342682
     1      57    -0.08180     0.29949     0.13837   -2.958269120   -4.625072935   -1.666803815
     1      57    -0.06135     0.29949     0.10378   -3.005854563   -4.671204864   -1.665350301
     1      57    -0.04090     0.29949     0.06918   -3.051524296   -4.729655512   -1.678131216
     1      57    -0.02045     0.29949     0.03459   -3.084897834   -4.761861403   -1.676963568
     1      57     0.00000     0.29949     0.00000   -3.098086136   -4.768066136   -1.669980000
     1      57    -0.02045     0.29949    -0.00136   -3.099630725   -4.771747073   -1.672116348
     1      57    -0.04090     0.29949    -0.00271   -3.103839597   -4.790602608   -1.686763011
     1      57    -0.06135     0.29949    -0.00407   -3.110759957   -4.816601052   -1.705841095
     1      57    -0.08180     0.29949    -0.00543   -3.120582823   -4.834076328   -1.713493504
     1      57    -0.10225     0.29949    -0.00678   -3.130224693   -4.839804011   -1.709579318
     1      57    -0.12270     0.29949    -0.00814   -3.134285008   -4.840680008   -1.706395000
     1      57    -0.12270     0.24957    -0.00814   -3.160560046   -4.947249551   -1.786689505
     1      57    -0.12270     0.19966    -0.00814   -3.143990640   -5.003692920   -1.859702280
     1      57    -0.12270     0.14974    -0.00814   -3.118080046   -5.050042046   -1.931962000
     1      57    -0.12270     0.09983    -0.00814   -2.983707930   -4.704951926   -1.721243996
     1      57    -0.12270     0.04991    -0.00814   -2.874944135   -4.578639130   -1.703694996
     1      57    -0.12270     0.00000    -0.00814   -2.833623782   -4.531551782   -1.697928000
     1      57    -0.10225     0.00000    -0.00678   -2.833190284   -4.531636827   -1.698446543
     1      57    -0.08180     0.00000    -0.00543   -2.831924070   -4.532035215   -1.700111146
     1      57    -0.06135     0.00000    -0.00407   -2.830130486   -4.531067507   -1.700937021
     1      57    -0.04090     0.00000    -0.00271   -2.828206760   -4.527750147   -1.699543387
     1      57    -0.02045     0.00000    -0.00136   -2.826809075   -4.524217441   -1.697408366
     1      57     0.00000     0.00000     0.00000   -2.826215184   -4.523174184   -1.696959000
     1      58     0.00000     0.00000     0.00000   -2.592931400   -4.151572400   -1.558641000
     1      58     0.00000     0.04991     0.00000   -2.622700311   -4.219563571   -1.596863261
     1      58     0.00000     0.09983     0.00000   -2.702357056   -4.340479973   -1.638122917
     1      58     0.00000     0.14974     0.00000   -2.802731458   -4.439259458   -1.636528000
     1      58     0.00000     0.19966     0.00000   -2.891550977   -4.546147669   -1.654596692
     1      58     0.00000     0.24957     0.00000   -2.989920786   -4.665328084   -1.675407298
     1      58     0.00000     0.29949     0.00000   -3.098086135   -4.768066135   -1.669980000
     1      58     0.00000     0.29949     0.03595   -3.085402837   -4.761901598   -1.676498761
     1      58     0.00000     0.29949     0.07190   -3.049654330   -4.715459059   -1.665804729
     1      58     0.00000     0.29949     0.10785   -2.998986626   -4.653754626   -1.654768000
     1      58     0.00000     0.29949     0.14379   -2.947186310   -4.603964730   -1.656778420
     1      58     0.00000     0.29949     0.17974   -2.908730666   -4.563565130   -1.654834464
     1      58     0.00000     0.29949     0.21569   -2.894426418   -4.547355418   -1.652929000
